Year,Показатель,Местность,Территория,Возраст,Образование матери,Функциональные трудности у ребенка,Функциональные трудности у матери,Квинтиль индекса благосостояния,Value,M49_country_code
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,9 лет,,,,,52.3,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,Посещающие 4-й класс,,,,,58.1,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,Посещающие 9-й класс,,,,,78.6,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,основное общее,,,,51.7,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,среднее общее,,,,55.2,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,профессиональное начальное/среднее,,,,59.6,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,высшее,,,,64.0,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,Есть,,,42.3,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,Нет,,,59.4,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,Есть,,43.4,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,Нет,,57.8,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,Нет информации,,61.0,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,беднейший,53.1,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,второй,52.1,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,средний,52.9,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,четвертый,60.3,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,богатейший,76.6,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,,51.3,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",городская,,,,,,,56.4,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",сельская,,,,,,,49.0,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Баткенская область,,,,,,66.7,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Джалал-Абадская область,,,,,,42.9,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Иссык-Кульская область,,,,,,54.5,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Нарынская область,,,,,,41.4,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Ошская область,,,,,,49.2,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Таласская область,,,,,,49.3,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Чуйская область,,,,,,46.0,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,г. Бишкек,,,,,,64.5,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,г. Ош,,,,,,54.2,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,В возрасте посещения 2-го/3-го класса,,,,,41.8,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,8 лет,,,,,32.6,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,9 лет,,,,,52.0,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,Посещающие 4-й класс,,,,,54.9,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,Посещающие 9-й класс,,,,,67.8,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,основное общее,,,,40.3,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,среднее общее,,,,51.3,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,профессиональное начальное/среднее,,,,49.5,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,высшее,,,,58.2,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,Есть,,,39.0,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,Нет,,,52.6,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,Есть,,47.9,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,Нет,,52.0,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,Нет информации,,49.1,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,беднейший,50.8,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,второй,42.6,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,средний,52.1,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,четвертый,50.1,KGZ
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,богатейший,64.4,KGZ
