Year,SERIES,Reference area,Degree of urbanisation,GeoCode,Value,M49_country_code
2019,Prevalence of severe food insecurity in the population,Naryn,,KG04,0.1,KGZ
2020,Prevalence of severe food insecurity in the population,Naryn,,KG04,0.4,KGZ
2021,Prevalence of severe food insecurity in the population,Naryn,,KG04,1.3,KGZ
2019,Prevalence of severe food insecurity in the population,Osh,,KG06,0.1,KGZ
2020,Prevalence of severe food insecurity in the population,Osh,,KG06,0.3,KGZ
2021,Prevalence of severe food insecurity in the population,Osh,,KG06,0.7,KGZ
2019,Prevalence of severe food insecurity in the population,Talas,,KG07,0.1,KGZ
2020,Prevalence of severe food insecurity in the population,Talas,,KG07,0.8,KGZ
2021,Prevalence of severe food insecurity in the population,Talas,,KG07,0.5,KGZ
2019,Prevalence of severe food insecurity in the population,Chui,,KG08,0.7,KGZ
2020,Prevalence of severe food insecurity in the population,Chui,,KG08,1.4,KGZ
2021,Prevalence of severe food insecurity in the population,Chui,,KG08,0.5,KGZ
2019,Prevalence of severe food insecurity in the population,Bishkek (city),,KG11,0.4,KGZ
2020,Prevalence of severe food insecurity in the population,Bishkek (city),,KG11,1.8,KGZ
2021,Prevalence of severe food insecurity in the population,Bishkek (city),,KG11,0.9,KGZ
2019,Prevalence of severe food insecurity in the population,Osh (city),,KG21,2.7,KGZ
2020,Prevalence of severe food insecurity in the population,Osh (city),,KG21,3.7,KGZ
2021,Prevalence of severe food insecurity in the population,Osh (city),,KG21,11.7,KGZ
