Year,Sex,Age,Education level,COMPOSITE_BREAKDOWN,Value,M49_country_code
2019,,41 to 50 years old,,,1121,KGZ
2009,,51 years old and over,,,131,KGZ
2010,,51 years old and over,,,108,KGZ
2011,,51 years old and over,,,148,KGZ
2012,,51 years old and over,,,137,KGZ
2013,,51 years old and over,,,168,KGZ
2014,,51 years old and over,,,296,KGZ
2015,,51 years old and over,,,256,KGZ
2016,,51 years old and over,,,530,KGZ
2017,,51 years old and over,,,1014,KGZ
2018,,51 years old and over,,,885,KGZ
2019,,51 years old and over,,,610,KGZ
2009,,,Master’s or equivalent level,,264,KGZ
2010,,,Master’s or equivalent level,,141,KGZ
2011,,,Master’s or equivalent level,,156,KGZ
2012,,,Master’s or equivalent level,,222,KGZ
2013,,,Master’s or equivalent level,,174,KGZ
2014,,,Master’s or equivalent level,,246,KGZ
2015,,,Master’s or equivalent level,,276,KGZ
2016,,,Master’s or equivalent level,,559,KGZ
2017,,,Master’s or equivalent level,,650,KGZ
2018,,,Master’s or equivalent level,,818,KGZ
2019,,,Master’s or equivalent level,,728,KGZ
2009,,,Bachelor’s or equivalent level,,131,KGZ
2010,,,Bachelor’s or equivalent level,,191,KGZ
2011,,,Bachelor’s or equivalent level,,164,KGZ
2012,,,Bachelor’s or equivalent level,,121,KGZ
2013,,,Bachelor’s or equivalent level,,87,KGZ
2014,,,Bachelor’s or equivalent level,,173,KGZ
2015,,,Bachelor’s or equivalent level,,159,KGZ
2016,,,Bachelor’s or equivalent level,,576,KGZ
2017,,,Bachelor’s or equivalent level,,585,KGZ
2018,,,Bachelor’s or equivalent level,,685,KGZ
2019,,,Bachelor’s or equivalent level,,407,KGZ
2009,,,Short-cycle tertiary education,,523,KGZ
2010,,,Short-cycle tertiary education,,495,KGZ
2011,,,Short-cycle tertiary education,,359,KGZ
2012,,,Short-cycle tertiary education,,421,KGZ
2013,,,Short-cycle tertiary education,,483,KGZ
2014,,,Short-cycle tertiary education,,318,KGZ
2015,,,Short-cycle tertiary education,,563,KGZ
2016,,,Short-cycle tertiary education,,1226,KGZ
2017,,,Short-cycle tertiary education,,1035,KGZ
2018,,,Short-cycle tertiary education,,1223,KGZ
2019,,,Short-cycle tertiary education,,1177,KGZ
2009,,,Upper secondary education,,1101,KGZ
2010,,,Upper secondary education,,795,KGZ
2011,,,Upper secondary education,,1072,KGZ
2012,,,Upper secondary education,,1647,KGZ
2013,,,Upper secondary education,,1588,KGZ
2014,,,Upper secondary education,,1839,KGZ
2015,,,Upper secondary education,,2195,KGZ
2016,,,Upper secondary education,,4436,KGZ
2017,,,Upper secondary education,,4793,KGZ
2018,,,Upper secondary education,,4228,KGZ
2019,,,Upper secondary education,,3381,KGZ
2009,,,,Education: Other,74,KGZ
2010,,,,Education: Other,167,KGZ
2011,,,,Education: Other,58,KGZ
2012,,,,Education: Other,4,KGZ
2013,,,,Education: Other,7,KGZ
2014,,,,Education: Other,42,KGZ
2015,,,,Education: Other,140,KGZ
2016,,,,Education: Other,208,KGZ
2017,,,,Education: Other,260,KGZ
2018,,,,Education: Other,224,KGZ
2019,,,,Education: Other,452,KGZ
2009,,,,Activity status: Working,533,KGZ
2010,,,,Activity status: Working,560,KGZ
2011,,,,Activity status: Working,493,KGZ
2012,,,,Activity status: Working,478,KGZ
2013,,,,Activity status: Working,383,KGZ
2014,,,,Activity status: Working,464,KGZ
2015,,,,Activity status: Working,646,KGZ
2016,,,,Activity status: Working,1658,KGZ
2017,,,,Activity status: Working,1516,KGZ
2018,,,,Activity status: Working,1818,KGZ
2019,,,,Activity status: Working,1178,KGZ
2009,,,,Activity status: Not working,1384,KGZ
2010,,,,Activity status: Not working,1106,KGZ
2011,,,,Activity status: Not working,1232,KGZ
2012,,,,Activity status: Not working,1814,KGZ
2013,,,,Activity status: Not working,1810,KGZ
2014,,,,Activity status: Not working,1916,KGZ
2015,,,,Activity status: Not working,2428,KGZ
2016,,,,Activity status: Not working,4906,KGZ
2017,,,,Activity status: Not working,5164,KGZ
2018,,,,Activity status: Not working,4681,KGZ
2019,,,,Activity status: Not working,4290,KGZ
2009,,,,Activity status: Students,82,KGZ
2010,,,,Activity status: Students,30,KGZ
2011,,,,Activity status: Students,14,KGZ
2012,,,,Activity status: Students,36,KGZ
2013,,,,Activity status: Students,61,KGZ
2014,,,,Activity status: Students,95,KGZ
2015,,,,Activity status: Students,94,KGZ
2016,,,,Activity status: Students,74,KGZ
2017,,,,Activity status: Students,120,KGZ
2018,,,,Activity status: Students,364,KGZ
2019,,,,Activity status: Students,318,KGZ
2009,,,,Activity status: Retirees,94,KGZ
2010,,,,Activity status: Retirees,93,KGZ
2011,,,,Activity status: Retirees,70,KGZ
2012,,,,Activity status: Retirees,87,KGZ
2013,,,,Activity status: Retirees,85,KGZ
2014,,,,Activity status: Retirees,143,KGZ
2015,,,,Activity status: Retirees,165,KGZ
2016,,,,Activity status: Retirees,367,KGZ
2017,,,,Activity status: Retirees,523,KGZ
2018,,,,Activity status: Retirees,315,KGZ
2019,,,,Activity status: Retirees,359,KGZ
