Year,Sex,Age,Education level,Value,M49_country_code
2020,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),26.7,KGZ
2021,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),28.5,KGZ
2010,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),26.3,KGZ
2013,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),26.7,KGZ
2014,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),26.5,KGZ
2015,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),24.6,KGZ
2016,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),22.2,KGZ
2017,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),20.6,KGZ
2018,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),21.3,KGZ
2019,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),24.0,KGZ
2020,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),28.4,KGZ
2021,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),29.7,KGZ
2010,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),22.4,KGZ
2013,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),21.8,KGZ
2014,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),21.2,KGZ
2015,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),20.6,KGZ
2016,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),18.3,KGZ
2017,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),17.4,KGZ
2018,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),18.3,KGZ
2019,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),21.2,KGZ
2020,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),25.0,KGZ
2021,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),27.5,KGZ
