Year,SERIES,Reference area,Sex,GeoCode,Value,M49_country_code
2011,Non-fatal occupational injuries among employees (rate),Batken,,KG05,44.998269,KGZ
2012,Non-fatal occupational injuries among employees (rate),Batken,,KG05,44.855428,KGZ
2013,Non-fatal occupational injuries among employees (rate),Batken,,KG05,40.545177,KGZ
2014,Non-fatal occupational injuries among employees (rate),Batken,,KG05,60.180542,KGZ
2015,Non-fatal occupational injuries among employees (rate),Batken,,KG05,5.901968,KGZ
2016,Non-fatal occupational injuries among employees (rate),Batken,,KG05,11.837822,KGZ
2017,Non-fatal occupational injuries among employees (rate),Batken,,KG05,16.899028,KGZ
2018,Non-fatal occupational injuries among employees (rate),Batken,,KG05,14.249886,KGZ
2019,Non-fatal occupational injuries among employees (rate),Batken,,KG05,16.981773,KGZ
2020,Non-fatal occupational injuries among employees (rate),Batken,,KG05,57.671711,KGZ
2021,Non-fatal occupational injuries among employees (rate),Batken,,KG05,69.179257,KGZ
2010,Non-fatal occupational injuries among employees (rate),Batken,Female,KG05,8.934954,KGZ
2012,Non-fatal occupational injuries among employees (rate),Batken,Female,KG05,14.155283,KGZ
2016,Non-fatal occupational injuries among employees (rate),Batken,Female,KG05,5.608525,KGZ
2021,Non-fatal occupational injuries among employees (rate),Batken,Female,KG05,0.0,KGZ
2007,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,21.335609,KGZ
2008,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,93.471383,KGZ
2009,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,49.829748,KGZ
2010,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,112.707805,KGZ
2011,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,86.672445,KGZ
2012,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,74.059113,KGZ
2013,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,76.587722,KGZ
2014,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,131.373162,KGZ
2015,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,12.854297,KGZ
2016,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,18.796992,KGZ
2017,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,37.225462,KGZ
2018,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,32.427524,KGZ
2019,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,38.444288,KGZ
2020,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,126.849894,KGZ
2021,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,153.092468,KGZ
2007,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,57.34356,KGZ
2008,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,34.763683,KGZ
2009,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,46.934978,KGZ
2010,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,41.29774,KGZ
2011,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,34.63367,KGZ
2012,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,32.200193,KGZ
2013,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,35.998247,KGZ
2014,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,22.677108,KGZ
2015,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,20.82061,KGZ
2016,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,26.515574,KGZ
2017,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,14.554885,KGZ
2018,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,46.09873,KGZ
2019,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,14.31397,KGZ
2020,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,17.213983,KGZ
2021,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,6.194789,KGZ
2007,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,13.387777,KGZ
2008,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,2.896032,KGZ
2009,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,6.402868,KGZ
2010,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,3.165859,KGZ
2012,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,5.598477,KGZ
2013,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,2.833263,KGZ
2014,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,5.61782,KGZ
2015,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,2.531197,KGZ
2016,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,10.194459,KGZ
2017,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,2.431907,KGZ
2018,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,10.021295,KGZ
2019,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,12.497813,KGZ
2020,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,2.419433,KGZ
2021,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,0.0,KGZ
2007,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,107.999691,KGZ
2008,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,69.552022,KGZ
2009,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,91.481651,KGZ
2010,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,82.904418,KGZ
2011,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,75.539074,KGZ
2012,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,64.422066,KGZ
2013,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,76.931147,KGZ
2014,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,42.560157,KGZ
2015,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,43.027937,KGZ
2016,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,46.269163,KGZ
2017,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,29.022521,KGZ
2018,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,86.089589,KGZ
2019,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,16.286203,KGZ
2020,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,35.100035,KGZ
2021,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,14.04889,KGZ
2007,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,21.018891,KGZ
2008,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,31.755273,KGZ
2009,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,19.005213,KGZ
2010,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,67.94721,KGZ
2011,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,31.154266,KGZ
2012,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,24.58479,KGZ
2013,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,44.681578,KGZ
2014,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,29.214916,KGZ
2015,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,51.98586,KGZ
2016,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,44.752152,KGZ
2017,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,18.566162,KGZ
2018,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,10.143788,KGZ
2019,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,7.904722,KGZ
2020,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,12.597949,KGZ
2021,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,2.536719,KGZ
2007,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,15.759613,KGZ
2008,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,5.282341,KGZ
2010,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,10.077598,KGZ
2011,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,5.041339,KGZ
2012,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,10.163635,KGZ
2013,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,10.07709,KGZ
2014,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,5.059449,KGZ
2015,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,9.607071,KGZ
2016,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,19.536974,KGZ
2017,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,14.912019,KGZ
2019,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,4.837695,KGZ
2007,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,26.281209,KGZ
2008,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,58.330682,KGZ
2009,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,36.972482,KGZ
2010,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,130.300233,KGZ
2011,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,58.880206,KGZ
2012,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,41.346722,KGZ
2013,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,82.417582,KGZ
2014,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,55.906524,KGZ
2015,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,101.959896,KGZ
2016,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,74.230572,KGZ
2017,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,22.746659,KGZ
2018,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,22.373867,KGZ
2019,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,11.573404,KGZ
2020,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,27.592296,KGZ
2021,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,5.611043,KGZ
2007,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,17.955739,KGZ
2008,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,26.688017,KGZ
2009,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,4.326569,KGZ
2010,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,30.101054,KGZ
2011,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,12.66464,KGZ
2012,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,24.857072,KGZ
2013,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,8.224022,KGZ
2014,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,12.259409,KGZ
2015,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,3.700278,KGZ
2016,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,35.364847,KGZ
2019,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,7.69586,KGZ
2020,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,34.258308,KGZ
2021,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,22.848439,KGZ
2007,Non-fatal occupational injuries among employees (rate),Naryn,Female,KG04,8.371003,KGZ
2010,Non-fatal occupational injuries among employees (rate),Naryn,Female,KG04,7.789375,KGZ
2012,Non-fatal occupational injuries among employees (rate),Naryn,Female,KG04,14.91758,KGZ
2020,Non-fatal occupational injuries among employees (rate),Naryn,Female,KG04,6.793478,KGZ
2021,Non-fatal occupational injuries among employees (rate),Naryn,Female,KG04,26.98327,KGZ
2007,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,29.038815,KGZ
2008,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,59.565174,KGZ
2009,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,9.553836,KGZ
2010,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,57.598157,KGZ
2011,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,28.055737,KGZ
2012,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,37.275184,KGZ
2013,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,18.883958,KGZ
2014,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,28.277877,KGZ
2015,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,8.688097,KGZ
2016,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,81.352255,KGZ
2019,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,17.711654,KGZ
2020,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,69.258073,KGZ
2021,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,17.488632,KGZ
2008,Non-fatal occupational injuries among employees (rate),Osh,,KG06,2.148043,KGZ
2011,Non-fatal occupational injuries among employees (rate),Osh,,KG06,2.416918,KGZ
2015,Non-fatal occupational injuries among employees (rate),Osh,,KG06,5.181481,KGZ
2016,Non-fatal occupational injuries among employees (rate),Osh,,KG06,2.346151,KGZ
2017,Non-fatal occupational injuries among employees (rate),Osh,,KG06,4.517834,KGZ
2018,Non-fatal occupational injuries among employees (rate),Osh,,KG06,4.578335,KGZ
2020,Non-fatal occupational injuries among employees (rate),Osh,,KG06,6.416014,KGZ
2021,Non-fatal occupational injuries among employees (rate),Osh,,KG06,0.0,KGZ
2016,Non-fatal occupational injuries among employees (rate),Osh,Female,KG06,3.779289,KGZ
2018,Non-fatal occupational injuries among employees (rate),Osh,Female,KG06,3.897268,KGZ
2020,Non-fatal occupational injuries among employees (rate),Osh,Female,KG06,3.713882,KGZ
2021,Non-fatal occupational injuries among employees (rate),Osh,Female,KG06,0.0,KGZ
2008,Non-fatal occupational injuries among employees (rate),Osh,Male,KG06,4.880906,KGZ
2011,Non-fatal occupational injuries among employees (rate),Osh,Male,KG06,5.961607,KGZ
2015,Non-fatal occupational injuries among employees (rate),Osh,Male,KG06,13.020833,KGZ
2017,Non-fatal occupational injuries among employees (rate),Osh,Male,KG06,11.112963,KGZ
2018,Non-fatal occupational injuries among employees (rate),Osh,Male,KG06,5.54785,KGZ
2020,Non-fatal occupational injuries among employees (rate),Osh,Male,KG06,10.084712,KGZ
2021,Non-fatal occupational injuries among employees (rate),Osh,Male,KG06,0.0,KGZ
2007,Non-fatal occupational injuries among employees (rate),Talas,,KG07,11.511454,KGZ
2008,Non-fatal occupational injuries among employees (rate),Talas,,KG07,5.701579,KGZ
2009,Non-fatal occupational injuries among employees (rate),Talas,,KG07,16.051364,KGZ
2010,Non-fatal occupational injuries among employees (rate),Talas,,KG07,38.385611,KGZ
2011,Non-fatal occupational injuries among employees (rate),Talas,,KG07,21.165141,KGZ
2012,Non-fatal occupational injuries among employees (rate),Talas,,KG07,10.518012,KGZ
2013,Non-fatal occupational injuries among employees (rate),Talas,,KG07,25.514109,KGZ
2014,Non-fatal occupational injuries among employees (rate),Talas,,KG07,26.011861,KGZ
2015,Non-fatal occupational injuries among employees (rate),Talas,,KG07,15.061753,KGZ
2016,Non-fatal occupational injuries among employees (rate),Talas,,KG07,10.722711,KGZ
2018,Non-fatal occupational injuries among employees (rate),Talas,,KG07,14.769594,KGZ
2019,Non-fatal occupational injuries among employees (rate),Talas,,KG07,9.282465,KGZ
2020,Non-fatal occupational injuries among employees (rate),Talas,,KG07,14.186409,KGZ
2021,Non-fatal occupational injuries among employees (rate),Talas,,KG07,4.645113,KGZ
2009,Non-fatal occupational injuries among employees (rate),Talas,Female,KG07,9.474183,KGZ
2010,Non-fatal occupational injuries among employees (rate),Talas,Female,KG07,10.188487,KGZ
2014,Non-fatal occupational injuries among employees (rate),Talas,Female,KG07,19.277108,KGZ
2018,Non-fatal occupational injuries among employees (rate),Talas,Female,KG07,9.250694,KGZ
2020,Non-fatal occupational injuries among employees (rate),Talas,Female,KG07,8.855827,KGZ
2021,Non-fatal occupational injuries among employees (rate),Talas,Female,KG07,0.0,KGZ
2007,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,26.588673,KGZ
2008,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,13.486177,KGZ
2009,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,24.585126,KGZ
2010,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,71.250445,KGZ
2011,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,46.838407,KGZ
2012,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,23.092022,KGZ
2013,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,55.463117,KGZ
2014,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,33.9098,KGZ
2015,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,32.619332,KGZ
2016,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,23.523877,KGZ
2018,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,21.0482,KGZ
2019,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,20.620683,KGZ
2020,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,20.294267,KGZ
2021,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,9.596929,KGZ
2007,Non-fatal occupational injuries among employees (rate),Chui,,KG08,54.795253,KGZ
2008,Non-fatal occupational injuries among employees (rate),Chui,,KG08,51.255766,KGZ
2009,Non-fatal occupational injuries among employees (rate),Chui,,KG08,30.489664,KGZ
2010,Non-fatal occupational injuries among employees (rate),Chui,,KG08,39.786743,KGZ
2011,Non-fatal occupational injuries among employees (rate),Chui,,KG08,28.308799,KGZ
2012,Non-fatal occupational injuries among employees (rate),Chui,,KG08,61.47541,KGZ
2013,Non-fatal occupational injuries among employees (rate),Chui,,KG08,50.052399,KGZ
2014,Non-fatal occupational injuries among employees (rate),Chui,,KG08,39.493821,KGZ
2015,Non-fatal occupational injuries among employees (rate),Chui,,KG08,52.914295,KGZ
2016,Non-fatal occupational injuries among employees (rate),Chui,,KG08,20.676602,KGZ
2017,Non-fatal occupational injuries among employees (rate),Chui,,KG08,14.895483,KGZ
2018,Non-fatal occupational injuries among employees (rate),Chui,,KG08,27.829162,KGZ
2019,Non-fatal occupational injuries among employees (rate),Chui,,KG08,26.166728,KGZ
2020,Non-fatal occupational injuries among employees (rate),Chui,,KG08,30.257644,KGZ
2021,Non-fatal occupational injuries among employees (rate),Chui,,KG08,22.137537,KGZ
2007,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,54.193199,KGZ
2008,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,26.478376,KGZ
2009,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,15.113046,KGZ
2010,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,18.584482,KGZ
2011,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,15.769886,KGZ
2012,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,29.823149,KGZ
2013,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,27.034334,KGZ
2014,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,22.348509,KGZ
2015,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,15.284911,KGZ
2016,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,9.59785,KGZ
2017,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,13.31425,KGZ
2018,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,9.651889,KGZ
2019,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,18.453022,KGZ
2020,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,6.034093,KGZ
2021,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,3.185221,KGZ
2007,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,55.381207,KGZ
2008,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,74.490978,KGZ
2009,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,46.136811,KGZ
2010,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,62.193126,KGZ
2011,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,42.334015,KGZ
2012,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,96.960781,KGZ
2013,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,75.060375,KGZ
2014,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,57.730838,KGZ
2015,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,94.425522,KGZ
2016,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,31.629555,KGZ
2017,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,16.45928,KGZ
2018,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,46.65889,KGZ
2019,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,33.895171,KGZ
2020,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,54.621594,KGZ
2021,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,40.821453,KGZ
2007,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,25.544578,KGZ
2008,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,35.587189,KGZ
2009,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,27.549559,KGZ
2010,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,172.396125,KGZ
2011,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,26.428883,KGZ
2012,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,21.074932,KGZ
2013,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,47.614038,KGZ
2014,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,34.362547,KGZ
2015,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,20.034504,KGZ
2016,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,30.786654,KGZ
2017,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,28.115403,KGZ
2018,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,34.548189,KGZ
2019,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,37.950088,KGZ
2020,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,42.637787,KGZ
2021,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,84.992299,KGZ
2007,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,13.871389,KGZ
2008,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,27.298253,KGZ
2009,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,18.177412,KGZ
2010,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,36.051626,KGZ
2011,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,21.926886,KGZ
2012,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,15.309916,KGZ
2013,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,31.064217,KGZ
2014,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,30.258167,KGZ
2015,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,14.949598,KGZ
2016,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,33.905848,KGZ
2017,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,31.034376,KGZ
2018,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,33.577192,KGZ
2019,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,24.386199,KGZ
2020,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,28.650255,KGZ
