Year,Reference area,Sex,COMPOSITE_BREAKDOWN,GeoCode,Value,M49_country_code
2020,,Male,Non-communicable disease: Cardiovascular disease,,336.5,KGZ
2021,,Male,Non-communicable disease: Cardiovascular disease,,311.0,KGZ
2007,,Female,Non-communicable disease: Cardiovascular disease,,334.396636,KGZ
2008,,Female,Non-communicable disease: Cardiovascular disease,,334.491404,KGZ
2009,,Female,Non-communicable disease: Cardiovascular disease,,309.213309,KGZ
2010,,Female,Non-communicable disease: Cardiovascular disease,,319.570812,KGZ
2011,,Female,Non-communicable disease: Cardiovascular disease,,320.487106,KGZ
2012,,Female,Non-communicable disease: Cardiovascular disease,,326.660087,KGZ
2013,,Female,Non-communicable disease: Cardiovascular disease,,297.628103,KGZ
2014,,Female,Non-communicable disease: Cardiovascular disease,,296.293785,KGZ
2015,,Female,Non-communicable disease: Cardiovascular disease,,290.6625,KGZ
2016,,Female,Non-communicable disease: Cardiovascular disease,,274.958443,KGZ
2017,,Female,Non-communicable disease: Cardiovascular disease,,267.728625,KGZ
2018,,Female,Non-communicable disease: Cardiovascular disease,,257.796323,KGZ
2019,,Female,Non-communicable disease: Cardiovascular disease,,256.878478,KGZ
2020,,Female,Non-communicable disease: Cardiovascular disease,,299.2,KGZ
2021,,Female,Non-communicable disease: Cardiovascular disease,,283.3,KGZ
2007,Batken,,Non-communicable disease: Cardiovascular disease,KG05,278.463649,KGZ
2008,Batken,,Non-communicable disease: Cardiovascular disease,KG05,281.861092,KGZ
2009,Batken,,Non-communicable disease: Cardiovascular disease,KG05,286.249449,KGZ
2010,Batken,,Non-communicable disease: Cardiovascular disease,KG05,285.093736,KGZ
2011,Batken,,Non-communicable disease: Cardiovascular disease,KG05,305.686671,KGZ
2012,Batken,,Non-communicable disease: Cardiovascular disease,KG05,338.2,KGZ
2013,Batken,,Non-communicable disease: Cardiovascular disease,KG05,289.468016,KGZ
2014,Batken,,Non-communicable disease: Cardiovascular disease,KG05,283.038721,KGZ
2015,Batken,,Non-communicable disease: Cardiovascular disease,KG05,284.833539,KGZ
2016,Batken,,Non-communicable disease: Cardiovascular disease,KG05,292.310781,KGZ
2017,Batken,,Non-communicable disease: Cardiovascular disease,KG05,267.453294,KGZ
2018,Batken,,Non-communicable disease: Cardiovascular disease,KG05,257.219869,KGZ
2019,Batken,,Non-communicable disease: Cardiovascular disease,KG05,251.694277,KGZ
2020,Batken,,Non-communicable disease: Cardiovascular disease,KG05,318.0,KGZ
2021,Batken,,Non-communicable disease: Cardiovascular disease,KG05,281.7,KGZ
2007,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,290.598291,KGZ
2008,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,295.837024,KGZ
2009,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,296.006944,KGZ
2010,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,292.847503,KGZ
2011,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,319.751993,KGZ
2012,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,359.375,KGZ
2013,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,321.322594,KGZ
2014,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,298.84106,KGZ
2015,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,308.282828,KGZ
2016,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,309.786898,KGZ
2017,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,302.936631,KGZ
2018,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,282.041588,KGZ
2019,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,266.444937,KGZ
2020,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,351.9,KGZ
2021,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,299.5,KGZ
2007,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,265.922827,KGZ
2008,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,267.457782,KGZ
2009,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,276.186213,KGZ
2010,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,277.080428,KGZ
2011,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,291.191237,KGZ
2012,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,316.472695,KGZ
2013,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,256.567426,KGZ
2014,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,266.695205,KGZ
2015,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,260.560435,KGZ
2016,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,274.213322,KGZ
2017,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,230.676812,KGZ
2018,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,231.463319,KGZ
2019,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,236.37759,KGZ
2020,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,282.8,KGZ
2021,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,263.3,KGZ
2007,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,272.842023,KGZ
2008,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,285.249665,KGZ
2009,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,265.321445,KGZ
2010,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,266.239441,KGZ
2011,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,289.841209,KGZ
2012,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,286.2,KGZ
2013,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,264.613971,KGZ
2014,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,264.584084,KGZ
2015,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,268.3,KGZ
2016,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,248.963372,KGZ
2017,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,244.045096,KGZ
2018,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,237.837838,KGZ
2019,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,243.111039,KGZ
2020,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,292.4,KGZ
2021,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,287.1,KGZ
2007,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,285.354025,KGZ
2008,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,281.620176,KGZ
2009,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,271.688214,KGZ
2010,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,270.223084,KGZ
2011,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,295.758502,KGZ
2012,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,285.553682,KGZ
2013,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,275.261324,KGZ
2014,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,278.047029,KGZ
2015,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,279.719052,KGZ
2016,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,256.189821,KGZ
2017,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,252.234025,KGZ
2018,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,247.974872,KGZ
2019,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,243.033052,KGZ
2020,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,311.4,KGZ
2021,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,313.7,KGZ
2007,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,260.303266,KGZ
2008,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,288.888889,KGZ
2009,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,258.931929,KGZ
2010,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,262.247278,KGZ
2011,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,283.908046,KGZ
2012,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,286.949981,KGZ
2013,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,253.915607,KGZ
2014,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,251.038468,KGZ
2015,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,256.682599,KGZ
2016,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,241.666667,KGZ
2017,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,235.765428,KGZ
2018,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,227.576975,KGZ
2019,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,243.190023,KGZ
2020,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,273.1,KGZ
2021,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,260.1,KGZ
2007,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,417.024159,KGZ
2008,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,391.888864,KGZ
2009,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,369.425338,KGZ
2010,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,391.05893,KGZ
2011,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,360.51983,KGZ
2012,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,394.941203,KGZ
2013,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,385.8,KGZ
2014,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,362.966175,KGZ
2015,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,361.027837,KGZ
2016,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,328.686101,KGZ
2017,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,325.901229,KGZ
2018,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,302.014803,KGZ
2019,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,302.901197,KGZ
2020,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,377.0,KGZ
2021,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,358.2,KGZ
2007,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,406.934307,KGZ
2008,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,382.007233,KGZ
2009,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,366.89038,KGZ
2010,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,388.229927,KGZ
2011,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,353.526221,KGZ
2012,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,391.051454,KGZ
2013,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,395.050817,KGZ
2014,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,379.475983,KGZ
2015,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,370.689655,KGZ
2016,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,334.324554,KGZ
2017,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,334.589615,KGZ
2018,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,309.661437,KGZ
2019,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,303.05499,KGZ
2020,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,400.0,KGZ
2021,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,360.7,KGZ
2007,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,426.911042,KGZ
2008,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,401.599289,KGZ
2009,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,371.919014,KGZ
2010,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,393.831024,KGZ
2011,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,367.39227,KGZ
2012,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,398.767606,KGZ
2013,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,376.578145,KGZ
2014,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,346.683893,KGZ
2015,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,351.489362,KGZ
2016,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,323.109244,KGZ
2017,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,317.295728,KGZ
2018,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,294.430794,KGZ
2019,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,302.748585,KGZ
2020,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,354.1,KGZ
2021,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,355.7,KGZ
2007,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,333.333333,KGZ
2008,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,306.525038,KGZ
2009,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,280.675422,KGZ
2010,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,301.11239,KGZ
2011,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,326.251897,KGZ
2012,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,318.198874,KGZ
2013,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,327.400816,KGZ
2014,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,317.582418,KGZ
2015,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,310.032597,KGZ
2016,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,312.813171,KGZ
2017,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,302.654867,KGZ
2018,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,307.988788,KGZ
2019,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,317.030871,KGZ
2020,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,340.7,KGZ
2021,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,332.2,KGZ
2007,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,351.515152,KGZ
2008,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,322.60479,KGZ
2009,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,278.846154,KGZ
2010,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,300.757576,KGZ
2011,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,346.556886,KGZ
2012,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,338.757396,KGZ
2013,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,347.69905,KGZ
2014,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,366.064982,KGZ
2015,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,327.623126,KGZ
2016,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,334.273625,KGZ
2017,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,311.977716,KGZ
2018,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,334.710744,KGZ
2019,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,344.239945,KGZ
2020,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,388.9,KGZ
2021,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,377.1,KGZ
2007,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,314.685315,KGZ
2008,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,290.0,KGZ
2009,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,282.559025,KGZ
2010,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,301.476301,KGZ
2011,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,305.384615,KGZ
2012,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,297.029703,KGZ
2013,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,306.475904,KGZ
2014,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,267.657993,KGZ
2015,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,291.911765,KGZ
2016,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,290.697674,KGZ
2017,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,293.016559,KGZ
2018,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,280.313837,KGZ
2019,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,288.841808,KGZ
2020,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,290.6,KGZ
2021,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,285.6,KGZ
2007,Osh,,Non-communicable disease: Cardiovascular disease,KG06,246.353611,KGZ
2008,Osh,,Non-communicable disease: Cardiovascular disease,KG06,252.523479,KGZ
2009,Osh,,Non-communicable disease: Cardiovascular disease,KG06,266.436881,KGZ
2010,Osh,,Non-communicable disease: Cardiovascular disease,KG06,285.129847,KGZ
2011,Osh,,Non-communicable disease: Cardiovascular disease,KG06,275.168963,KGZ
2012,Osh,,Non-communicable disease: Cardiovascular disease,KG06,281.602757,KGZ
2013,Osh,,Non-communicable disease: Cardiovascular disease,KG06,264.368785,KGZ
2014,Osh,,Non-communicable disease: Cardiovascular disease,KG06,273.041759,KGZ
2015,Osh,,Non-communicable disease: Cardiovascular disease,KG06,265.675241,KGZ
2016,Osh,,Non-communicable disease: Cardiovascular disease,KG06,239.007538,KGZ
2017,Osh,,Non-communicable disease: Cardiovascular disease,KG06,240.774908,KGZ
2018,Osh,,Non-communicable disease: Cardiovascular disease,KG06,229.292169,KGZ
2019,Osh,,Non-communicable disease: Cardiovascular disease,KG06,230.9,KGZ
2020,Osh,,Non-communicable disease: Cardiovascular disease,KG06,304.8,KGZ
2021,Osh,,Non-communicable disease: Cardiovascular disease,KG06,248.1,KGZ
2007,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,253.001412,KGZ
2008,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,260.983264,KGZ
2009,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,272.245038,KGZ
2010,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,301.200565,KGZ
2011,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,294.630404,KGZ
2012,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,299.110198,KGZ
2013,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,280.361325,KGZ
2014,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,291.224056,KGZ
2015,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,269.292092,KGZ
2016,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,243.075008,KGZ
2017,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,251.674787,KGZ
2018,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,243.702489,KGZ
2019,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,248.613139,KGZ
2020,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,330.8,KGZ
2021,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,259.2,KGZ
2007,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,239.605735,KGZ
2008,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,243.945554,KGZ
2009,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,260.545044,KGZ
2010,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,268.817204,KGZ
2011,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,255.435743,KGZ
2012,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,263.843083,KGZ
2013,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,248.131793,KGZ
2014,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,254.566589,KGZ
2015,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,261.997406,KGZ
2016,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,234.865293,KGZ
2017,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,229.658385,KGZ
2018,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,214.579212,KGZ
2019,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,212.686567,KGZ
2020,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,278.3,KGZ
2021,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,236.8,KGZ
2007,Talas,,Non-communicable disease: Cardiovascular disease,KG07,348.958333,KGZ
2008,Talas,,Non-communicable disease: Cardiovascular disease,KG07,340.325342,KGZ
2009,Talas,,Non-communicable disease: Cardiovascular disease,KG07,348.778433,KGZ
2010,Talas,,Non-communicable disease: Cardiovascular disease,KG07,333.767361,KGZ
2011,Talas,,Non-communicable disease: Cardiovascular disease,KG07,345.034247,KGZ
2012,Talas,,Non-communicable disease: Cardiovascular disease,KG07,342.459983,KGZ
2013,Talas,,Non-communicable disease: Cardiovascular disease,KG07,309.8,KGZ
2014,Talas,,Non-communicable disease: Cardiovascular disease,KG07,332.653893,KGZ
2015,Talas,,Non-communicable disease: Cardiovascular disease,KG07,322.503008,KGZ
2016,Talas,,Non-communicable disease: Cardiovascular disease,KG07,288.704581,KGZ
2017,Talas,,Non-communicable disease: Cardiovascular disease,KG07,301.945525,KGZ
2018,Talas,,Non-communicable disease: Cardiovascular disease,KG07,261.485452,KGZ
2019,Talas,,Non-communicable disease: Cardiovascular disease,KG07,299.924642,KGZ
2020,Talas,,Non-communicable disease: Cardiovascular disease,KG07,339.2,KGZ
2021,Talas,,Non-communicable disease: Cardiovascular disease,KG07,347.9,KGZ
2007,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,354.978355,KGZ
2008,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,348.678602,KGZ
2009,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,373.534338,KGZ
2010,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,382.683983,KGZ
2011,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,358.056266,KGZ
2012,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,371.021776,KGZ
2013,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,330.864198,KGZ
2014,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,369.7411,KGZ
2015,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,349.761526,KGZ
2016,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,303.362002,KGZ
2017,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,328.967643,KGZ
2018,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,282.575758,KGZ
2019,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,333.830104,KGZ
2020,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,369.6,KGZ
2021,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,361.7,KGZ
2007,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,342.906876,KGZ
2008,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,331.900258,KGZ
2009,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,323.728814,KGZ
2010,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,284.5953,KGZ
2011,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,331.900258,KGZ
2012,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,313.559322,KGZ
2013,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,288.573812,KGZ
2014,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,294.987675,KGZ
2015,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,294.736842,KGZ
2016,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,273.743017,KGZ
2017,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,274.371069,KGZ
2018,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,239.93808,KGZ
2019,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,265.243902,KGZ
2020,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,308.0,KGZ
2021,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,333.8,KGZ
2007,Chui,,Non-communicable disease: Cardiovascular disease,KG08,548.299655,KGZ
2008,Chui,,Non-communicable disease: Cardiovascular disease,KG08,539.513863,KGZ
2009,Chui,,Non-communicable disease: Cardiovascular disease,KG08,464.780253,KGZ
2010,Chui,,Non-communicable disease: Cardiovascular disease,KG08,483.982257,KGZ
2011,Chui,,Non-communicable disease: Cardiovascular disease,KG08,466.959814,KGZ
2012,Chui,,Non-communicable disease: Cardiovascular disease,KG08,466.947622,KGZ
2013,Chui,,Non-communicable disease: Cardiovascular disease,KG08,441.607565,KGZ
2014,Chui,,Non-communicable disease: Cardiovascular disease,KG08,430.162413,KGZ
2015,Chui,,Non-communicable disease: Cardiovascular disease,KG08,400.841962,KGZ
2016,Chui,,Non-communicable disease: Cardiovascular disease,KG08,381.345532,KGZ
