Year,Observation-level footnotes,Reference area,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,GeoCode,Value,M49_country_code
2014,"According to Multiple Indicator Cluster Survey, 2014.",,40 to 44 years old,,,,,,52.2,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,40 to 44 years old,,,,,,68.7,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,45 to 49 years old,,,,,,29.3,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,45 to 49 years old,,,,,,66.0,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,,,,Primary education,,,20.4,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,,,,Lower secondary education,,,36.5,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,,,,Lower secondary education,,,67.8,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,,,,Upper secondary education,,,42.1,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,,,,Upper secondary education,,,62.9,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,,,,Post-secondary non-tertiary education,,,43.3,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,,,,Post-secondary non-tertiary education,,,66.2,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,,,,Short-cycle tertiary education,,,43.7,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,,,,Short-cycle tertiary education,,,74.3,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,,,,,Persons with disability,,81.6,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,,,,,Persons without disability,,67.1,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,,,Quintile 1 (poorest),,,,42.5,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,,,Quintile 1 (poorest),,,,66.5,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,,,Quintile 2,,,,37.8,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,,,Quintile 2,,,,60.7,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,,,Quintile 3,,,,39.1,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,,,Quintile 3,,,,69.2,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,,,Quintile 4,,,,45.1,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,,,Quintile 4,,,,69.3,KGZ
2014,"According to Multiple Indicator Cluster Survey, 2014.",,,,Quintile 5 (richest),,,,45.3,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018",,,,Quintile 5 (richest),,,,71.4,KGZ
