Year,Observation-level footnotes,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,Value,M49_country_code
2018,"According to Multiple Indicator Cluster Survey, 2018.",,Female,under 5 years old,,,,,10.9,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",,,under 5 years old,Urban,,,,11.8,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",,,under 5 years old,Urban,,,,8.8,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",,,under 5 years old,Rural,,,,13.4,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",,,under 5 years old,Rural,,,,13.1,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",,,0 to 5 months old,,,,,5.3,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",,,0 to 5 months old,,,,,5.4,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",,,6 to 11 months old,,,,,7.2,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",,,6 to 11 months old,,,,,9.3,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",,,12 to 17 months old,,,,,11.2,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",,,12 to 17 months old,,,,,12.1,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",,,18 to 23 months old,,,,,18.2,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",,,18 to 23 months old,,,,,17.2,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",,,24 to 35 months old,,,,,18.6,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",,,24 to 35 months old,,,,,13.2,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",,,36 to 47 months old,,,,,14.6,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",,,36 to 47 months old,,,,,11.2,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",,,48 to 59 months old,,,,,10.5,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",,,48 to 59 months old,,,,,12.7,KGZ
2014,Education of mother,,,under 5 years old,,,Primary education,,26.5,KGZ
2014,Education of mother,,,under 5 years old,,,Lower secondary education,,17.1,KGZ
2018,Education of mother,,,under 5 years old,,,Lower secondary education,,14.8,KGZ
2014,Education of mother,,,under 5 years old,,,Upper secondary education,,13.5,KGZ
2018,Education of mother,,,under 5 years old,,,Upper secondary education,,12.0,KGZ
2014,Education of mother,,,under 5 years old,,,Post-secondary non-tertiary education,,11.8,KGZ
2018,Education of mother,,,under 5 years old,,,Post-secondary non-tertiary education,,12.2,KGZ
2014,Education of mother,,,under 5 years old,,,Short-cycle tertiary education,,9.8,KGZ
2018,Education of mother,,,under 5 years old,,,Short-cycle tertiary education,,10.0,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",,,under 5 years old,,Quintile 1 (poorest),,,17.7,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",,,under 5 years old,,Quintile 1 (poorest),,,14.0,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",,,under 5 years old,,Quintile 2,,,14.2,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",,,under 5 years old,,Quintile 2,,,13.8,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",,,under 5 years old,,Quintile 3,,,10.1,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",,,under 5 years old,,Quintile 3,,,12.0,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",,,under 5 years old,,Quintile 4,,,10.7,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",,,under 5 years old,,Quintile 4,,,8.2,KGZ
2014,"According to Multiple Indicator Cluster Survey,2014",,,under 5 years old,,Quintile 5 (richest),,,10.7,KGZ
2018,"According to Multiple Indicator Cluster Survey, 2018.",,,under 5 years old,,Quintile 5 (richest),,,9.2,KGZ
