Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value,M49_country_code
2014,"Number of victims of intentional homicide per 100,000 population",Naryn,"Per 100,000 population",KG04,3.642403,KGZ
2015,"Number of victims of intentional homicide per 100,000 population",Naryn,"Per 100,000 population",KG04,2.881274,KGZ
2016,"Number of victims of intentional homicide per 100,000 population",Naryn,"Per 100,000 population",KG04,2.490722,KGZ
2017,"Number of victims of intentional homicide per 100,000 population",Naryn,"Per 100,000 population",KG04,2.113577,KGZ
2018,"Number of victims of intentional homicide per 100,000 population",Naryn,"Per 100,000 population",KG04,2.090243,KGZ
2019,"Number of victims of intentional homicide per 100,000 population",Naryn,"Per 100,000 population",KG04,2.416952,KGZ
2020,"Number of victims of intentional homicide per 100,000 population",Naryn,"Per 100,000 population",KG04,3.080715,KGZ
2014,Number of victims of intentional homicide,Naryn,Number,KG04,10.0,KGZ
2015,Number of victims of intentional homicide,Naryn,Number,KG04,8.0,KGZ
2016,Number of victims of intentional homicide,Naryn,Number,KG04,7.0,KGZ
2017,Number of victims of intentional homicide,Naryn,Number,KG04,6.0,KGZ
2018,Number of victims of intentional homicide,Naryn,Number,KG04,6.0,KGZ
2019,Number of victims of intentional homicide,Naryn,Number,KG04,7.0,KGZ
2020,Number of victims of intentional homicide,Naryn,Number,KG04,9.0,KGZ
2014,"Number of victims of intentional homicide per 100,000 population",Osh,"Per 100,000 population",KG06,1.302565,KGZ
2015,"Number of victims of intentional homicide per 100,000 population",Osh,"Per 100,000 population",KG06,1.825895,KGZ
2016,"Number of victims of intentional homicide per 100,000 population",Osh,"Per 100,000 population",KG06,1.087358,KGZ
2017,"Number of victims of intentional homicide per 100,000 population",Osh,"Per 100,000 population",KG06,0.837122,KGZ
2018,"Number of victims of intentional homicide per 100,000 population",Osh,"Per 100,000 population",KG06,1.341419,KGZ
2019,"Number of victims of intentional homicide per 100,000 population",Osh,"Per 100,000 population",KG06,1.096448,KGZ
2020,"Number of victims of intentional homicide per 100,000 population",Osh,"Per 100,000 population",KG06,0.790429,KGZ
2014,Number of victims of intentional homicide,Osh,Number,KG06,16.0,KGZ
2015,Number of victims of intentional homicide,Osh,Number,KG06,23.0,KGZ
2016,Number of victims of intentional homicide,Osh,Number,KG06,14.0,KGZ
2017,Number of victims of intentional homicide,Osh,Number,KG06,11.0,KGZ
2018,Number of victims of intentional homicide,Osh,Number,KG06,18.0,KGZ
2019,Number of victims of intentional homicide,Osh,Number,KG06,15.0,KGZ
2020,Number of victims of intentional homicide,Osh,Number,KG06,11.0,KGZ
2014,"Number of victims of intentional homicide per 100,000 population",Talas,"Per 100,000 population",KG07,3.235906,KGZ
2015,"Number of victims of intentional homicide per 100,000 population",Talas,"Per 100,000 population",KG07,0.0,KGZ
2016,"Number of victims of intentional homicide per 100,000 population",Talas,"Per 100,000 population",KG07,3.527337,KGZ
2017,"Number of victims of intentional homicide per 100,000 population",Talas,"Per 100,000 population",KG07,4.247449,KGZ
2018,"Number of victims of intentional homicide per 100,000 population",Talas,"Per 100,000 population",KG07,0.759209,KGZ
2019,"Number of victims of intentional homicide per 100,000 population",Talas,"Per 100,000 population",KG07,1.870138,KGZ
2020,"Number of victims of intentional homicide per 100,000 population",Talas,"Per 100,000 population",KG07,1.845059,KGZ
2014,Number of victims of intentional homicide,Talas,Number,KG07,8.0,KGZ
2015,Number of victims of intentional homicide,Talas,Number,KG07,0.0,KGZ
2016,Number of victims of intentional homicide,Talas,Number,KG07,9.0,KGZ
2017,Number of victims of intentional homicide,Talas,Number,KG07,11.0,KGZ
2018,Number of victims of intentional homicide,Talas,Number,KG07,2.0,KGZ
2019,Number of victims of intentional homicide,Talas,Number,KG07,5.0,KGZ
2020,Number of victims of intentional homicide,Talas,Number,KG07,5.0,KGZ
2014,"Number of victims of intentional homicide per 100,000 population",Chui,"Per 100,000 population",KG08,9.996335,KGZ
2015,"Number of victims of intentional homicide per 100,000 population",Chui,"Per 100,000 population",KG08,9.803071,KGZ
2016,"Number of victims of intentional homicide per 100,000 population",Chui,"Per 100,000 population",KG08,8.396102,KGZ
2017,"Number of victims of intentional homicide per 100,000 population",Chui,"Per 100,000 population",KG08,8.136891,KGZ
2018,"Number of victims of intentional homicide per 100,000 population",Chui,"Per 100,000 population",KG08,6.587804,KGZ
2019,"Number of victims of intentional homicide per 100,000 population",Chui,"Per 100,000 population",KG08,3.646274,KGZ
2020,"Number of victims of intentional homicide per 100,000 population",Chui,"Per 100,000 population",KG08,5.128289,KGZ
2014,Number of victims of intentional homicide,Chui,Number,KG08,87.0,KGZ
2015,Number of victims of intentional homicide,Chui,Number,KG08,87.0,KGZ
2016,Number of victims of intentional homicide,Chui,Number,KG08,76.0,KGZ
2017,Number of victims of intentional homicide,Chui,Number,KG08,75.0,KGZ
2018,Number of victims of intentional homicide,Chui,Number,KG08,62.0,KGZ
2019,Number of victims of intentional homicide,Chui,Number,KG08,35.0,KGZ
2020,Number of victims of intentional homicide,Chui,Number,KG08,50.0,KGZ
2014,"Number of victims of intentional homicide per 100,000 population",Bishkek (city),"Per 100,000 population",KG11,6.934398,KGZ
2015,"Number of victims of intentional homicide per 100,000 population",Bishkek (city),"Per 100,000 population",KG11,6.260036,KGZ
2016,"Number of victims of intentional homicide per 100,000 population",Bishkek (city),"Per 100,000 population",KG11,4.080096,KGZ
2017,"Number of victims of intentional homicide per 100,000 population",Bishkek (city),"Per 100,000 population",KG11,6.086937,KGZ
2018,"Number of victims of intentional homicide per 100,000 population",Bishkek (city),"Per 100,000 population",KG11,4.672692,KGZ
2019,"Number of victims of intentional homicide per 100,000 population",Bishkek (city),"Per 100,000 population",KG11,3.605604,KGZ
2020,"Number of victims of intentional homicide per 100,000 population",Bishkek (city),"Per 100,000 population",KG11,3.537928,KGZ
2014,Number of victims of intentional homicide,Bishkek (city),Number,KG11,65.0,KGZ
2015,Number of victims of intentional homicide,Bishkek (city),Number,KG11,60.0,KGZ
2016,Number of victims of intentional homicide,Bishkek (city),Number,KG11,40.0,KGZ
2017,Number of victims of intentional homicide,Bishkek (city),Number,KG11,61.0,KGZ
2018,Number of victims of intentional homicide,Bishkek (city),Number,KG11,48.0,KGZ
2019,Number of victims of intentional homicide,Bishkek (city),Number,KG11,38.0,KGZ
2020,Number of victims of intentional homicide,Bishkek (city),Number,KG11,38.0,KGZ
2014,"Number of victims of intentional homicide per 100,000 population",Osh (city),"Per 100,000 population",KG21,4.439643,KGZ
2015,"Number of victims of intentional homicide per 100,000 population",Osh (city),"Per 100,000 population",KG21,4.351721,KGZ
2016,"Number of victims of intentional homicide per 100,000 population",Osh (city),"Per 100,000 population",KG21,2.128218,KGZ
2017,"Number of victims of intentional homicide per 100,000 population",Osh (city),"Per 100,000 population",KG21,5.539821,KGZ
2018,"Number of victims of intentional homicide per 100,000 population",Osh (city),"Per 100,000 population",KG21,4.007267,KGZ
2019,"Number of victims of intentional homicide per 100,000 population",Osh (city),"Per 100,000 population",KG21,2.879724,KGZ
2020,"Number of victims of intentional homicide per 100,000 population",Osh (city),"Per 100,000 population",KG21,3.41441,KGZ
2014,Number of victims of intentional homicide,Osh (city),Number,KG21,12.0,KGZ
2015,Number of victims of intentional homicide,Osh (city),Number,KG21,12.0,KGZ
2016,Number of victims of intentional homicide,Osh (city),Number,KG21,6.0,KGZ
2017,Number of victims of intentional homicide,Osh (city),Number,KG21,16.0,KGZ
2018,Number of victims of intentional homicide,Osh (city),Number,KG21,12.0,KGZ
2019,Number of victims of intentional homicide,Osh (city),Number,KG21,9.0,KGZ
2020,Number of victims of intentional homicide,Osh (city),Number,KG21,11.0,KGZ
