Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,Value,M49_country_code
2018,,,,,,Primary education,,2.8,KGZ
2019,,,,,,Primary education,,3.4,KGZ
2020,,,,,,Primary education,,2.8,KGZ
2021,,,,,,Primary education,,1.5,KGZ
2018,,,,,,Lower secondary education,,3.5,KGZ
2019,,,,,,Lower secondary education,,2.9,KGZ
2020,,,,,,Lower secondary education,,3.8,KGZ
2021,,,,,,Lower secondary education,,2.9,KGZ
2018,,,,,,Upper secondary education,,9.8,KGZ
2019,,,,,,Upper secondary education,,9.3,KGZ
2020,,,,,,Upper secondary education,,8.8,KGZ
2021,,,,,,Upper secondary education,,7.4,KGZ
2018,,,,,,Post-secondary non-tertiary education,,11.7,KGZ
2019,,,,,,Post-secondary non-tertiary education,,11.8,KGZ
2020,,,,,,Post-secondary non-tertiary education,,10.8,KGZ
2021,,,,,,Post-secondary non-tertiary education,,9.1,KGZ
2018,,,,,,Short-cycle tertiary education,,5.6,KGZ
2019,,,,,,Short-cycle tertiary education,,5.5,KGZ
2020,,,,,,Short-cycle tertiary education,,4.9,KGZ
2021,,,,,,Short-cycle tertiary education,,4.1,KGZ
2018,,,,,Quintile 1 (poorest),,,8.0,KGZ
2019,,,,,Quintile 1 (poorest),,,8.2,KGZ
2020,,,,,Quintile 1 (poorest),,,7.9,KGZ
2021,,,,,Quintile 1 (poorest),,,6.4,KGZ
2018,,,,,Quintile 2,,,7.4,KGZ
2019,,,,,Quintile 2,,,7.8,KGZ
2020,,,,,Quintile 2,,,6.9,KGZ
2021,,,,,Quintile 2,,,6.2,KGZ
2018,,,,,Quintile 3,,,8.5,KGZ
2019,,,,,Quintile 3,,,7.7,KGZ
2020,,,,,Quintile 3,,,8.0,KGZ
2021,,,,,Quintile 3,,,5.4,KGZ
2018,,,,,Quintile 4,,,8.5,KGZ
2019,,,,,Quintile 4,,,8.0,KGZ
2020,,,,,Quintile 4,,,7.2,KGZ
2021,,,,,Quintile 4,,,6.6,KGZ
2018,,,,,Quintile 5 (richest),,,9.6,KGZ
2019,,,,,Quintile 5 (richest),,,8.8,KGZ
2020,,,,,Quintile 5 (richest),,,8.1,KGZ
2021,,,,,Quintile 5 (richest),,,7.2,KGZ
