Year,SERIES,Reference area,Age,GeoCode,Value,M49_country_code
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,KG11,67.903553,KGZ
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,KG11,53.621316,KGZ
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,KG11,54.34825,KGZ
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,KG11,99.421992,KGZ
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,KG11,61.361069,KGZ
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,KG11,47.939623,KGZ
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,KG11,42.607395,KGZ
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,KG21,38.720578,KGZ
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,KG21,48.088624,KGZ
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,KG21,41.182821,KGZ
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,KG21,31.186184,KGZ
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,KG21,32.093396,KGZ
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,KG21,38.133333,KGZ
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,KG21,34.332724,KGZ
