Year,Economic activity,Value,M49_country_code
2018,"Professional, scientific and technical activities",142129.0,KGZ
2019,"Professional, scientific and technical activities",309563.2,KGZ
2020,"Professional, scientific and technical activities",59126.4,KGZ
2021,"Professional, scientific and technical activities",316755.0,KGZ
2008,Administrative and support service activities,0.2841,KGZ
2009,Administrative and support service activities,9.3,KGZ
2010,Administrative and support service activities,2.4,KGZ
2011,Administrative and support service activities,1.7,KGZ
2012,Administrative and support service activities,1083.0,KGZ
2013,Administrative and support service activities,17.1,KGZ
2014,Administrative and support service activities,11.1,KGZ
2015,Administrative and support service activities,0.8,KGZ
2016,Administrative and support service activities,65.4,KGZ
2017,Administrative and support service activities,123.3,KGZ
2018,Administrative and support service activities,76.1,KGZ
2019,Administrative and support service activities,2246.9,KGZ
2020,Administrative and support service activities,147.6,KGZ
2021,Administrative and support service activities,901.0,KGZ
2008,Education,0.3,KGZ
2009,Education,139.3,KGZ
2010,Education,12.9,KGZ
2013,Education,5009.5,KGZ
2014,Education,11.7,KGZ
2015,Education,17.3,KGZ
2016,Education,5.2,KGZ
2017,Education,6.1,KGZ
2019,Education,0.8,KGZ
2020,Education,0.5,KGZ
2021,Education,76.5,KGZ
2008,Human health and social work activities,397.7,KGZ
2009,Human health and social work activities,395.3,KGZ
2012,Human health and social work activities,127.2,KGZ
2017,Human health and social work activities,73.0,KGZ
2018,Human health and social work activities,8.1,KGZ
2019,Human health and social work activities,121.8,KGZ
2020,Human health and social work activities,393.4,KGZ
2021,Human health and social work activities,1672.3,KGZ
2008,"Arts, entertainment and recreation",37.0393,KGZ
2009,"Arts, entertainment and recreation",476.6,KGZ
2011,"Arts, entertainment and recreation",33.1,KGZ
2012,"Arts, entertainment and recreation",141.5,KGZ
2013,"Arts, entertainment and recreation",240.4,KGZ
2017,"Arts, entertainment and recreation",4712.0,KGZ
2019,"Arts, entertainment and recreation",181.1,KGZ
2020,"Arts, entertainment and recreation",919.7,KGZ
2021,"Arts, entertainment and recreation",5539.9,KGZ
2013,Other service activities,0.1,KGZ
2018,Other service activities,50.4,KGZ
2019,Other service activities,57.8,KGZ
2020,Other service activities,177.9,KGZ
2021,Other service activities,103.7,KGZ
