Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,Value,M49_country_code
2017,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,83.947666,KGZ
2018,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,82.067382,KGZ
2019,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,81.4,KGZ
2020,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,80.4,KGZ
2021,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,78.97639,KGZ
2016,,,,,Quintile 1 (poorest),,,72.459521,KGZ
2017,,,,,Quintile 1 (poorest),,,79.324082,KGZ
2018,,,,,Quintile 1 (poorest),,,74.701544,KGZ
2019,,,,,Quintile 1 (poorest),,,71.6,KGZ
2020,,,,,Quintile 1 (poorest),,,66.873388,KGZ
2021,,,,,Quintile 1 (poorest),,,64.367694,KGZ
2016,,,,,Quintile 2,,,77.314517,KGZ
2017,,,,,Quintile 2,,,81.925162,KGZ
2018,,,,,Quintile 2,,,74.760832,KGZ
2019,,,,,Quintile 2,,,73.0,KGZ
2020,,,,,Quintile 2,,,76.162079,KGZ
2021,,,,,Quintile 2,,,71.466218,KGZ
2016,,,,,Quintile 3,,,77.695134,KGZ
2017,,,,,Quintile 3,,,79.355343,KGZ
2018,,,,,Quintile 3,,,75.445514,KGZ
2019,,,,,Quintile 3,,,79.8,KGZ
2020,,,,,Quintile 3,,,73.787028,KGZ
2021,,,,,Quintile 3,,,74.357597,KGZ
2016,,,,,Quintile 4,,,78.152318,KGZ
2017,,,,,Quintile 4,,,78.68821,KGZ
2018,,,,,Quintile 4,,,75.522557,KGZ
2019,,,,,Quintile 4,,,78.6,KGZ
2020,,,,,Quintile 4,,,76.372727,KGZ
2021,,,,,Quintile 4,,,73.016879,KGZ
2016,,,,,Quintile 5 (richest),,,77.652465,KGZ
2017,,,,,Quintile 5 (richest),,,78.64359,KGZ
2018,,,,,Quintile 5 (richest),,,78.047036,KGZ
2019,,,,,Quintile 5 (richest),,,77.2,KGZ
2020,,,,,Quintile 5 (richest),,,73.088156,KGZ
2021,,,,,Quintile 5 (richest),,,73.786667,KGZ
