Year,UNIT_MEASURE,Regions,Area,Sex,Age,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,Mangistau,rural,,,7.3,KAZ,,,,,,,
2010.0,Percent,Ontustik Kazakhstan,rural,,,5.1,KAZ,,,,,,,
2010.0,Percent,Pavlodar,rural,,,4.5,KAZ,,,,,,,
2010.0,Percent,Soltustik Kazakhstan,rural,,,5.4,KAZ,,,,,,,
2010.0,Percent,Shygys Kazakhstan,rural,,,4.7,KAZ,,,,,,,
2010.0,Percent,,,,Y15,6.8,KAZ,,,,,,,
2010.0,Percent,,,,16-24,5.2,KAZ,,,,,,,
2010.0,Percent,,,,25-28,8.4,KAZ,,,,,,,
2010.0,Percent,,,,29-34,5.8,KAZ,,,,,,,
2010.0,Percent,,,,35-44,5.3,KAZ,,,,,,,
2010.0,Percent,,,,45-54,5.2,KAZ,,,,,,,
2010.0,Percent,,,,55-64,6.0,KAZ,,,,,,,
2010.0,Percent,Akmola,,,16-24,6.0,KAZ,,,,,,,
2010.0,Percent,Akmola,,,25-28,5.2,KAZ,,,,,,,
2010.0,Percent,Akmola,,,29-34,4.9,KAZ,,,,,,,
2010.0,Percent,Akmola,,,35-44,6.4,KAZ,,,,,,,
2010.0,Percent,Akmola,,,45-54,6.1,KAZ,,,,,,,
2010.0,Percent,Akmola,,,55-64,6.3,KAZ,,,,,,,
2010.0,Percent,Aktobe,,,16-24,2.2,KAZ,,,,,,,
2010.0,Percent,Aktobe,,,25-28,7.6,KAZ,,,,,,,
2010.0,Percent,Aktobe,,,29-34,7.5,KAZ,,,,,,,
2010.0,Percent,Aktobe,,,35-44,6.8,KAZ,,,,,,,
2010.0,Percent,Aktobe,,,45-54,4.2,KAZ,,,,,,,
2010.0,Percent,Aktobe,,,55-64,1.2,KAZ,,,,,,,
2010.0,Percent,Almaty,,,Y15,53.1,KAZ,,,,,,,
2010.0,Percent,Almaty,,,16-24,3.3,KAZ,,,,,,,
2010.0,Percent,Almaty,,,25-28,5.0,KAZ,,,,,,,
2010.0,Percent,Almaty,,,29-34,5.1,KAZ,,,,,,,
2010.0,Percent,Almaty,,,35-44,4.4,KAZ,,,,,,,
2010.0,Percent,Almaty,,,45-54,5.6,KAZ,,,,,,,
2010.0,Percent,Almaty,,,55-64,13.3,KAZ,,,,,,,
2010.0,Percent,Atyrau,,,16-24,1.5,KAZ,,,,,,,
2010.0,Percent,Atyrau,,,25-28,15.4,KAZ,,,,,,,
2010.0,Percent,Atyrau,,,29-34,6.2,KAZ,,,,,,,
2010.0,Percent,Atyrau,,,35-44,3.7,KAZ,,,,,,,
2010.0,Percent,Atyrau,,,45-54,3.5,KAZ,,,,,,,
2010.0,Percent,Atyrau,,,55-64,5.4,KAZ,,,,,,,
2010.0,Percent,Batys Kazakhstan,,,16-24,6.5,KAZ,,,,,,,
2010.0,Percent,Batys Kazakhstan,,,25-28,6.4,KAZ,,,,,,,
2010.0,Percent,Batys Kazakhstan,,,29-34,6.9,KAZ,,,,,,,
2010.0,Percent,Batys Kazakhstan,,,35-44,5.9,KAZ,,,,,,,
2010.0,Percent,Batys Kazakhstan,,,45-54,5.1,KAZ,,,,,,,
2010.0,Percent,Batys Kazakhstan,,,55-64,1.9,KAZ,,,,,,,
2010.0,Percent,Zhambyl,,,16-24,6.0,KAZ,,,,,,,
2010.0,Percent,Zhambyl,,,25-28,1.9,KAZ,,,,,,,
2010.0,Percent,Zhambyl,,,29-34,9.7,KAZ,,,,,,,
2010.0,Percent,Zhambyl,,,35-44,7.7,KAZ,,,,,,,
2010.0,Percent,Zhambyl,,,45-54,4.3,KAZ,,,,,,,
2010.0,Percent,Zhambyl,,,55-64,1.2,KAZ,,,,,,,
2010.0,Percent,Karagandy,,,16-24,5.9,KAZ,,,,,,,
2010.0,Percent,Karagandy,,,25-28,9.9,KAZ,,,,,,,
2010.0,Percent,Karagandy,,,29-34,5.5,KAZ,,,,,,,
2010.0,Percent,Karagandy,,,35-44,4.8,KAZ,,,,,,,
2010.0,Percent,Karagandy,,,45-54,4.6,KAZ,,,,,,,
2010.0,Percent,Karagandy,,,55-64,4.2,KAZ,,,,,,,
2010.0,Percent,Kostanay,,,16-24,5.3,KAZ,,,,,,,
2010.0,Percent,Kostanay,,,25-28,13.3,KAZ,,,,,,,
2010.0,Percent,Kostanay,,,29-34,5.1,KAZ,,,,,,,
2010.0,Percent,Kostanay,,,35-44,3.6,KAZ,,,,,,,
2010.0,Percent,Kostanay,,,45-54,4.4,KAZ,,,,,,,
2010.0,Percent,Kostanay,,,55-64,8.4,KAZ,,,,,,,
2010.0,Percent,Kyzylorda,,,16-24,6.5,KAZ,,,,,,,
2010.0,Percent,Kyzylorda,,,25-28,8.6,KAZ,,,,,,,
2010.0,Percent,Kyzylorda,,,29-34,4.1,KAZ,,,,,,,
2010.0,Percent,Kyzylorda,,,35-44,4.0,KAZ,,,,,,,
2010.0,Percent,Kyzylorda,,,45-54,6.1,KAZ,,,,,,,
2010.0,Percent,Kyzylorda,,,55-64,10.8,KAZ,,,,,,,
2010.0,Percent,Mangistau,,,16-24,7.0,KAZ,,,,,,,
2010.0,Percent,Mangistau,,,25-28,11.7,KAZ,,,,,,,
2010.0,Percent,Mangistau,,,29-34,2.7,KAZ,,,,,,,
2010.0,Percent,Mangistau,,,35-44,3.9,KAZ,,,,,,,
2010.0,Percent,Mangistau,,,45-54,10.4,KAZ,,,,,,,
2010.0,Percent,Mangistau,,,55-64,8.4,KAZ,,,,,,,
2010.0,Percent,Ontustik Kazakhstan,,,16-24,2.1,KAZ,,,,,,,
2010.0,Percent,Ontustik Kazakhstan,,,25-28,11.3,KAZ,,,,,,,
2010.0,Percent,Ontustik Kazakhstan,,,29-34,6.1,KAZ,,,,,,,
2010.0,Percent,Ontustik Kazakhstan,,,35-44,6.0,KAZ,,,,,,,
2010.0,Percent,Ontustik Kazakhstan,,,45-54,5.3,KAZ,,,,,,,
2010.0,Percent,Ontustik Kazakhstan,,,55-64,2.9,KAZ,,,,,,,
2010.0,Percent,Pavlodar,,,Y15,3.1,KAZ,,,,,,,
2010.0,Percent,Pavlodar,,,16-24,5.5,KAZ,,,,,,,
2010.0,Percent,Pavlodar,,,25-28,8.8,KAZ,,,,,,,
2010.0,Percent,Pavlodar,,,29-34,4.3,KAZ,,,,,,,
2010.0,Percent,Pavlodar,,,35-44,4.6,KAZ,,,,,,,
2010.0,Percent,Pavlodar,,,45-54,6.4,KAZ,,,,,,,
2010.0,Percent,Pavlodar,,,55-64,4.9,KAZ,,,,,,,
2010.0,Percent,Soltustik Kazakhstan,,,16-24,5.9,KAZ,,,,,,,
2010.0,Percent,Soltustik Kazakhstan,,,25-28,9.8,KAZ,,,,,,,
2010.0,Percent,Soltustik Kazakhstan,,,29-34,7.6,KAZ,,,,,,,
2010.0,Percent,Soltustik Kazakhstan,,,35-44,4.7,KAZ,,,,,,,
2010.0,Percent,Soltustik Kazakhstan,,,45-54,4.2,KAZ,,,,,,,
2010.0,Percent,Soltustik Kazakhstan,,,55-64,5.8,KAZ,,,,,,,
2010.0,Percent,Shygys Kazakhstan,,,16-24,7.0,KAZ,,,,,,,
2010.0,Percent,Shygys Kazakhstan,,,25-28,6.7,KAZ,,,,,,,
2010.0,Percent,Shygys Kazakhstan,,,29-34,4.4,KAZ,,,,,,,
2010.0,Percent,Shygys Kazakhstan,,,35-44,5.0,KAZ,,,,,,,
2010.0,Percent,Shygys Kazakhstan,,,45-54,4.9,KAZ,,,,,,,
2010.0,Percent,Shygys Kazakhstan,,,55-64,8.8,KAZ,,,,,,,
2010.0,Percent,Nur-Sultan city,,,16-24,11.2,KAZ,,,,,,,
2010.0,Percent,Nur-Sultan city,,,25-28,4.7,KAZ,,,,,,,
2010.0,Percent,Nur-Sultan city,,,29-34,6.6,KAZ,,,,,,,
2010.0,Percent,Nur-Sultan city,,,35-44,6.4,KAZ,,,,,,,
2010.0,Percent,Nur-Sultan city,,,45-54,5.6,KAZ,,,,,,,
2010.0,Percent,Nur-Sultan city,,,55-64,2.9,KAZ,,,,,,,
2010.0,Percent,Almaty city,,,16-24,9.0,KAZ,,,,,,,
2010.0,Percent,Almaty city,,,25-28,8.5,KAZ,,,,,,,
2010.0,Percent,Almaty city,,,29-34,5.7,KAZ,,,,,,,
2010.0,Percent,Almaty city,,,35-44,5.6,KAZ,,,,,,,
2010.0,Percent,Almaty city,,,45-54,5.5,KAZ,,,,,,,
2010.0,Percent,Almaty city,,,55-64,4.2,KAZ,,,,,,,
2011.0,Percent,,,,,5.4,KAZ,,,,,,,
2011.0,Percent,Akmola,,,,5.5,KAZ,,,,,,,
2011.0,Percent,Aktobe,,,,4.9,KAZ,,,,,,,
2011.0,Percent,Almaty,,,,5.1,KAZ,,,,,,,
2011.0,Percent,Atyrau,,,,5.0,KAZ,,,,,,,
2011.0,Percent,Batys Kazakhstan,,,,5.3,KAZ,,,,,,,
2011.0,Percent,Zhambyl,,,,5.5,KAZ,,,,,,,
2011.0,Percent,Karagandy,,,,5.3,KAZ,,,,,,,
2011.0,Percent,Kostanay,,,,5.4,KAZ,,,,,,,
2011.0,Percent,Kyzylorda,,,,5.5,KAZ,,,,,,,
2011.0,Percent,Mangistau,,,,5.8,KAZ,,,,,,,
2011.0,Percent,Ontustik Kazakhstan,,,,5.7,KAZ,,,,,,,
2011.0,Percent,Pavlodar,,,,5.2,KAZ,,,,,,,
2011.0,Percent,Soltustik Kazakhstan,,,,5.4,KAZ,,,,,,,
2011.0,Percent,Shygys Kazakhstan,,,,5.2,KAZ,,,,,,,
2011.0,Percent,Nur-Sultan city,,,,5.8,KAZ,,,,,,,
2011.0,Percent,Almaty city,,,,5.6,KAZ,,,,,,,
2011.0,Percent,,,Male,,4.6,KAZ,,,,,,,
2011.0,Percent,Akmola,,Male,,5.3,KAZ,,,,,,,
2011.0,Percent,Aktobe,,Male,,3.5,KAZ,,,,,,,
2011.0,Percent,Almaty,,Male,,5.1,KAZ,,,,,,,
2011.0,Percent,Atyrau,,Male,,4.2,KAZ,,,,,,,
2011.0,Percent,Batys Kazakhstan,,Male,,4.9,KAZ,,,,,,,
2011.0,Percent,Zhambyl,,Male,,4.9,KAZ,,,,,,,
2011.0,Percent,Karagandy,,Male,,3.7,KAZ,,,,,,,
2011.0,Percent,Kostanay,,Male,,4.8,KAZ,,,,,,,
2011.0,Percent,Kyzylorda,,Male,,5.2,KAZ,,,,,,,
2011.0,Percent,Mangistau,,Male,,5.4,KAZ,,,,,,,
2011.0,Percent,Ontustik Kazakhstan,,Male,,5.1,KAZ,,,,,,,
2011.0,Percent,Pavlodar,,Male,,4.4,KAZ,,,,,,,
2011.0,Percent,Soltustik Kazakhstan,,Male,,5.3,KAZ,,,,,,,
2011.0,Percent,Shygys Kazakhstan,,Male,,3.7,KAZ,,,,,,,
2011.0,Percent,Nur-Sultan city,,Male,,4.0,KAZ,,,,,,,
2011.0,Percent,Almaty city,,Male,,4.4,KAZ,,,,,,,
2011.0,Percent,,,Female,,6.2,KAZ,,,,,,,
2011.0,Percent,Akmola,,Female,,5.6,KAZ,,,,,,,
2011.0,Percent,Aktobe,,Female,,6.2,KAZ,,,,,,,
2011.0,Percent,Almaty,,Female,,5.0,KAZ,,,,,,,
2011.0,Percent,Atyrau,,Female,,5.9,KAZ,,,,,,,
2011.0,Percent,Batys Kazakhstan,,Female,,5.8,KAZ,,,,,,,
2011.0,Percent,Zhambyl,,Female,,6.1,KAZ,,,,,,,
2011.0,Percent,Karagandy,,Female,,6.8,KAZ,,,,,,,
2011.0,Percent,Kostanay,,Female,,5.9,KAZ,,,,,,,
2011.0,Percent,Kyzylorda,,Female,,5.8,KAZ,,,,,,,
2011.0,Percent,Mangistau,,Female,,6.3,KAZ,,,,,,,
2011.0,Percent,Ontustik Kazakhstan,,Female,,6.4,KAZ,,,,,,,
2011.0,Percent,Pavlodar,,Female,,6.0,KAZ,,,,,,,
2011.0,Percent,Soltustik Kazakhstan,,Female,,5.6,KAZ,,,,,,,
2011.0,Percent,Shygys Kazakhstan,,Female,,6.8,KAZ,,,,,,,
2011.0,Percent,Nur-Sultan city,,Female,,7.8,KAZ,,,,,,,
2011.0,Percent,Almaty city,,Female,,6.7,KAZ,,,,,,,
2011.0,Percent,,urban,,,5.8,KAZ,,,,,,,
2011.0,Percent,Akmola,urban,,,5.2,KAZ,,,,,,,
2011.0,Percent,Aktobe,urban,,,4.7,KAZ,,,,,,,
2011.0,Percent,Almaty,urban,,,6.0,KAZ,,,,,,,
2011.0,Percent,Atyrau,urban,,,5.2,KAZ,,,,,,,
2011.0,Percent,Batys Kazakhstan,urban,,,4.9,KAZ,,,,,,,
2011.0,Percent,Zhambyl,urban,,,6.8,KAZ,,,,,,,
2011.0,Percent,Karagandy,urban,,,5.3,KAZ,,,,,,,
2011.0,Percent,Kostanay,urban,,,7.4,KAZ,,,,,,,
2011.0,Percent,Kyzylorda,urban,,,5.1,KAZ,,,,,,,
2011.0,Percent,Mangistau,urban,,,4.9,KAZ,,,,,,,
2011.0,Percent,Ontustik Kazakhstan,urban,,,6.7,KAZ,,,,,,,
2011.0,Percent,Pavlodar,urban,,,5.8,KAZ,,,,,,,
2011.0,Percent,Soltustik Kazakhstan,urban,,,5.8,KAZ,,,,,,,
2011.0,Percent,Shygys Kazakhstan,urban,,,5.7,KAZ,,,,,,,
2011.0,Percent,Nur-Sultan city,urban,,,5.8,KAZ,,,,,,,
2011.0,Percent,Almaty city,urban,,,5.6,KAZ,,,,,,,
2011.0,Percent,,rural,,,4.9,KAZ,,,,,,,
2011.0,Percent,Akmola,rural,,,5.7,KAZ,,,,,,,
2011.0,Percent,Aktobe,rural,,,5.0,KAZ,,,,,,,
2011.0,Percent,Almaty,rural,,,4.8,KAZ,,,,,,,
2011.0,Percent,Atyrau,rural,,,4.9,KAZ,,,,,,,
2011.0,Percent,Batys Kazakhstan,rural,,,5.6,KAZ,,,,,,,
2011.0,Percent,Zhambyl,rural,,,4.6,KAZ,,,,,,,
2011.0,Percent,Karagandy,rural,,,5.1,KAZ,,,,,,,
2011.0,Percent,Kostanay,rural,,,3.5,KAZ,,,,,,,
2011.0,Percent,Kyzylorda,rural,,,5.8,KAZ,,,,,,,
2011.0,Percent,Mangistau,rural,,,7.2,KAZ,,,,,,,
2011.0,Percent,Ontustik Kazakhstan,rural,,,5.1,KAZ,,,,,,,
2011.0,Percent,Pavlodar,rural,,,4.1,KAZ,,,,,,,
2011.0,Percent,Soltustik Kazakhstan,rural,,,5.2,KAZ,,,,,,,
2011.0,Percent,Shygys Kazakhstan,rural,,,4.6,KAZ,,,,,,,
2011.0,Percent,,,,16-24,4.6,KAZ,,,,,,,
2011.0,Percent,,,,25-28,7.8,KAZ,,,,,,,
2011.0,Percent,,,,29-34,6.6,KAZ,,,,,,,
2011.0,Percent,,,,35-44,4.7,KAZ,,,,,,,
2011.0,Percent,,,,45-54,4.5,KAZ,,,,,,,
2011.0,Percent,,,,55-64,5.3,KAZ,,,,,,,
2011.0,Percent,Akmola,,,16-24,4.8,KAZ,,,,,,,
2011.0,Percent,Akmola,,,25-28,6.0,KAZ,,,,,,,
2011.0,Percent,Akmola,,,29-34,5.2,KAZ,,,,,,,
2011.0,Percent,Akmola,,,35-44,5.8,KAZ,,,,,,,
2011.0,Percent,Akmola,,,45-54,5.5,KAZ,,,,,,,
2011.0,Percent,Akmola,,,55-64,6.0,KAZ,,,,,,,
2011.0,Percent,Aktobe,,,16-24,2.1,KAZ,,,,,,,
2011.0,Percent,Aktobe,,,25-28,7.5,KAZ,,,,,,,
2011.0,Percent,Aktobe,,,29-34,6.7,KAZ,,,,,,,
2011.0,Percent,Aktobe,,,35-44,5.4,KAZ,,,,,,,
2011.0,Percent,Aktobe,,,45-54,3.2,KAZ,,,,,,,
2011.0,Percent,Aktobe,,,55-64,3.4,KAZ,,,,,,,
2011.0,Percent,Almaty,,,16-24,2.1,KAZ,,,,,,,
2011.0,Percent,Almaty,,,25-28,6.2,KAZ,,,,,,,
2011.0,Percent,Almaty,,,29-34,8.0,KAZ,,,,,,,
2011.0,Percent,Almaty,,,35-44,3.4,KAZ,,,,,,,
2011.0,Percent,Almaty,,,45-54,4.0,KAZ,,,,,,,
2011.0,Percent,Almaty,,,55-64,10.2,KAZ,,,,,,,
2011.0,Percent,Atyrau,,,16-24,0.8,KAZ,,,,,,,
2011.0,Percent,Atyrau,,,25-28,9.2,KAZ,,,,,,,
2011.0,Percent,Atyrau,,,29-34,8.1,KAZ,,,,,,,
2011.0,Percent,Atyrau,,,35-44,3.1,KAZ,,,,,,,
2011.0,Percent,Atyrau,,,45-54,4.2,KAZ,,,,,,,
2011.0,Percent,Atyrau,,,55-64,7.8,KAZ,,,,,,,
2011.0,Percent,Batys Kazakhstan,,,16-24,5.5,KAZ,,,,,,,
2011.0,Percent,Batys Kazakhstan,,,25-28,4.4,KAZ,,,,,,,
2011.0,Percent,Batys Kazakhstan,,,29-34,6.4,KAZ,,,,,,,
2011.0,Percent,Batys Kazakhstan,,,35-44,5.9,KAZ,,,,,,,
2011.0,Percent,Batys Kazakhstan,,,45-54,5.2,KAZ,,,,,,,
2011.0,Percent,Batys Kazakhstan,,,55-64,2.7,KAZ,,,,,,,
2011.0,Percent,Zhambyl,,,16-24,5.6,KAZ,,,,,,,
2011.0,Percent,Zhambyl,,,25-28,7.8,KAZ,,,,,,,
2011.0,Percent,Zhambyl,,,29-34,6.6,KAZ,,,,,,,
2011.0,Percent,Zhambyl,,,35-44,5.1,KAZ,,,,,,,
2011.0,Percent,Zhambyl,,,45-54,3.7,KAZ,,,,,,,
2011.0,Percent,Zhambyl,,,55-64,5.4,KAZ,,,,,,,
2011.0,Percent,Karagandy,,,16-24,5.0,KAZ,,,,,,,
2011.0,Percent,Karagandy,,,25-28,7.7,KAZ,,,,,,,
2011.0,Percent,Karagandy,,,29-34,5.2,KAZ,,,,,,,
2011.0,Percent,Karagandy,,,35-44,4.4,KAZ,,,,,,,
2011.0,Percent,Karagandy,,,45-54,6.0,KAZ,,,,,,,
2011.0,Percent,Karagandy,,,55-64,3.6,KAZ,,,,,,,
2011.0,Percent,Kostanay,,,16-24,5.0,KAZ,,,,,,,
2011.0,Percent,Kostanay,,,25-28,11.0,KAZ,,,,,,,
2011.0,Percent,Kostanay,,,29-34,6.7,KAZ,,,,,,,
2011.0,Percent,Kostanay,,,35-44,4.7,KAZ,,,,,,,
2011.0,Percent,Kostanay,,,45-54,4.1,KAZ,,,,,,,
2011.0,Percent,Kostanay,,,55-64,3.5,KAZ,,,,,,,
2011.0,Percent,Kyzylorda,,,16-24,6.8,KAZ,,,,,,,
2011.0,Percent,Kyzylorda,,,25-28,6.4,KAZ,,,,,,,
2011.0,Percent,Kyzylorda,,,29-34,4.9,KAZ,,,,,,,
2011.0,Percent,Kyzylorda,,,35-44,5.2,KAZ,,,,,,,
2011.0,Percent,Kyzylorda,,,45-54,4.3,KAZ,,,,,,,
2011.0,Percent,Kyzylorda,,,55-64,7.3,KAZ,,,,,,,
2011.0,Percent,Mangistau,,,16-24,6.2,KAZ,,,,,,,
2011.0,Percent,Mangistau,,,25-28,9.2,KAZ,,,,,,,
2011.0,Percent,Mangistau,,,29-34,6.1,KAZ,,,,,,,
2011.0,Percent,Mangistau,,,35-44,4.0,KAZ,,,,,,,
2011.0,Percent,Mangistau,,,45-54,5.3,KAZ,,,,,,,
2011.0,Percent,Mangistau,,,55-64,7.4,KAZ,,,,,,,
2011.0,Percent,Ontustik Kazakhstan,,,16-24,1.8,KAZ,,,,,,,
2011.0,Percent,Ontustik Kazakhstan,,,25-28,9.3,KAZ,,,,,,,
2011.0,Percent,Ontustik Kazakhstan,,,29-34,9.8,KAZ,,,,,,,
2011.0,Percent,Ontustik Kazakhstan,,,35-44,4.7,KAZ,,,,,,,
2011.0,Percent,Ontustik Kazakhstan,,,45-54,4.0,KAZ,,,,,,,
2011.0,Percent,Ontustik Kazakhstan,,,55-64,3.6,KAZ,,,,,,,
2011.0,Percent,Pavlodar,,,16-24,4.6,KAZ,,,,,,,
2011.0,Percent,Pavlodar,,,25-28,9.0,KAZ,,,,,,,
2011.0,Percent,Pavlodar,,,29-34,4.5,KAZ,,,,,,,
2011.0,Percent,Pavlodar,,,35-44,4.0,KAZ,,,,,,,
2011.0,Percent,Pavlodar,,,45-54,5.3,KAZ,,,,,,,
2011.0,Percent,Pavlodar,,,55-64,5.5,KAZ,,,,,,,
2011.0,Percent,Soltustik Kazakhstan,,,16-24,5.8,KAZ,,,,,,,
2011.0,Percent,Soltustik Kazakhstan,,,25-28,9.0,KAZ,,,,,,,
2011.0,Percent,Soltustik Kazakhstan,,,29-34,6.4,KAZ,,,,,,,
2011.0,Percent,Soltustik Kazakhstan,,,35-44,4.0,KAZ,,,,,,,
2011.0,Percent,Soltustik Kazakhstan,,,45-54,5.1,KAZ,,,,,,,
2011.0,Percent,Soltustik Kazakhstan,,,55-64,4.9,KAZ,,,,,,,
2011.0,Percent,Shygys Kazakhstan,,,16-24,9.2,KAZ,,,,,,,
2011.0,Percent,Shygys Kazakhstan,,,25-28,5.0,KAZ,,,,,,,
2011.0,Percent,Shygys Kazakhstan,,,29-34,5.9,KAZ,,,,,,,
2011.0,Percent,Shygys Kazakhstan,,,35-44,4.1,KAZ,,,,,,,
2011.0,Percent,Shygys Kazakhstan,,,45-54,4.0,KAZ,,,,,,,
2011.0,Percent,Shygys Kazakhstan,,,55-64,4.4,KAZ,,,,,,,
2011.0,Percent,Nur-Sultan city,,,16-24,9.0,KAZ,,,,,,,
2011.0,Percent,Nur-Sultan city,,,25-28,8.2,KAZ,,,,,,,
2011.0,Percent,Nur-Sultan city,,,29-34,4.5,KAZ,,,,,,,
2011.0,Percent,Nur-Sultan city,,,35-44,6.2,KAZ,,,,,,,
