Year,UNIT_MEASURE,SERIES,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2015.0,Percent,_L_KZ_010a02_1B,10.4,KAZ,,,,,
2015.0,Percent,"Proportion of total government spending on essential services, education [1.a.2]",15.3,KAZ,,,,,
2015.0,Percent,"Proportion of total government spending on essential services, health [1.a.2]",9.7,KAZ,,,,,
2015.0,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",19.3,KAZ,,,,,
2015.0,Percent,_L_KZ_010a02_1A,3.3,KAZ,,,,,
2016.0,Percent,_L_KZ_010a02_1B,10.7,KAZ,,,,,
2016.0,Percent,"Proportion of total government spending on essential services, education [1.a.2]",15.9,KAZ,,,,,
2016.0,Percent,"Proportion of total government spending on essential services, health [1.a.2]",9.9,KAZ,,,,,
2016.0,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",19.1,KAZ,,,,,
2016.0,Percent,_L_KZ_010a02_1A,3.1,KAZ,,,,,
2017.0,Percent,_L_KZ_010a02_1B,10.7,KAZ,,,,,
2017.0,Percent,"Proportion of total government spending on essential services, education [1.a.2]",13.6,KAZ,,,,,
2017.0,Percent,"Proportion of total government spending on essential services, health [1.a.2]",8.3,KAZ,,,,,
2017.0,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",17.1,KAZ,,,,,
2017.0,Percent,_L_KZ_010a02_1A,2.9,KAZ,,,,,
2018.0,Percent,_L_KZ_010a02_1B,10.8,KAZ,,,,,
2018.0,Percent,"Proportion of total government spending on essential services, education [1.a.2]",15.9,KAZ,,,,,
2018.0,Percent,"Proportion of total government spending on essential services, health [1.a.2]",9.5,KAZ,,,,,
2018.0,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",22.4,KAZ,,,,,
2018.0,Percent,_L_KZ_010a02_1A,3.7,KAZ,,,,,
2019.0,Percent,_L_KZ_010a02_1B,11.2,KAZ,,,,,
2019.0,Percent,"Proportion of total government spending on essential services, education [1.a.2]",15.6,KAZ,,,,,
2019.0,Percent,"Proportion of total government spending on essential services, health [1.a.2]",8.6,KAZ,,,,,
2019.0,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",23.2,KAZ,,,,,
2020.0,Percent,_L_KZ_010a02_1A,3.1,KAZ,,,,,
2020.0,Percent,_L_KZ_010a02_1B,13.4,KAZ,,,,,
2020.0,Percent,"Proportion of total government spending on essential services, education [1.a.2]",18.0,KAZ,,,,,
2020.0,Percent,"Proportion of total government spending on essential services, health [1.a.2]",11.2,KAZ,,,,,
2020.0,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",21.6,KAZ,,,,,
2020.0,Percent,_L_KZ_010a02_1A,2.87,KAZ,,,,,
2007.0,,"Proportion of total government spending on essential services (education, health and social protection)",43.1,KGZ,,,,,
2008.0,,"Proportion of total government spending on essential services (education, health and social protection)",41.5,KGZ,,,,,
2009.0,,"Proportion of total government spending on essential services (education, health and social protection)",39.0,KGZ,,,,,
2010.0,,"Proportion of total government spending on essential services (education, health and social protection)",42.8,KGZ,,,,,
2011.0,,"Proportion of total government spending on essential services (education, health and social protection)",45.3,KGZ,,,,,
2012.0,,"Proportion of total government spending on essential services (education, health and social protection)",47.1,KGZ,,,,,
2013.0,,"Proportion of total government spending on essential services (education, health and social protection)",51.6,KGZ,,,,,
2014.0,,"Proportion of total government spending on essential services (education, health and social protection)",47.6,KGZ,,,,,
2015.0,,"Proportion of total government spending on essential services (education, health and social protection)",46.8,KGZ,,,,,
2016.0,,"Proportion of total government spending on essential services (education, health and social protection)",45.3,KGZ,,,,,
2017.0,,"Proportion of total government spending on essential services (education, health and social protection)",45.3,KGZ,,,,,
2018.0,,"Proportion of total government spending on essential services (education, health and social protection)",48.9,KGZ,,,,,
2019.0,,"Proportion of total government spending on essential services (education, health and social protection)",49.2,KGZ,,,,,
2020.0,,"Proportion of total government spending on essential services (education, health and social protection)",53.2,KGZ,,,,,
2021.0,,"Proportion of total government spending on essential services (education, health and social protection)",47.8,KGZ,,,,,
2007.0,,"Proportion of total government spending on essential services, education",22.4,KGZ,,,,,
2008.0,,"Proportion of total government spending on essential services, education",21.4,KGZ,,,,,
2009.0,,"Proportion of total government spending on essential services, education",19.6,KGZ,,,,,
2010.0,,"Proportion of total government spending on essential services, education",17.4,KGZ,,,,,
2011.0,,"Proportion of total government spending on essential services, education",19.9,KGZ,,,,,
2012.0,,"Proportion of total government spending on essential services, education",20.2,KGZ,,,,,
2013.0,,"Proportion of total government spending on essential services, education",20.8,KGZ,,,,,
2014.0,,"Proportion of total government spending on essential services, education",18.5,KGZ,,,,,
2015.0,,"Proportion of total government spending on essential services, education",18.9,KGZ,,,,,
2016.0,,"Proportion of total government spending on essential services, education",20.0,KGZ,,,,,
2017.0,,"Proportion of total government spending on essential services, education",19.4,KGZ,,,,,
2018.0,,"Proportion of total government spending on essential services, education",21.1,KGZ,,,,,
2019.0,,"Proportion of total government spending on essential services, education",21.4,KGZ,,,,,
2020.0,,"Proportion of total government spending on essential services, education",23.2,KGZ,,,,,
2021.0,,"Proportion of total government spending on essential services, education",20.7,KGZ,,,,,
2007.0,,Proportion of total government spending on health,10.2,KGZ,,,,,
2008.0,,Proportion of total government spending on health,9.8,KGZ,,,,,
2009.0,,Proportion of total government spending on health,9.9,KGZ,,,,,
2010.0,,Proportion of total government spending on health,9.3,KGZ,,,,,
2011.0,,Proportion of total government spending on health,9.9,KGZ,,,,,
2012.0,,Proportion of total government spending on health,10.6,KGZ,,,,,
2013.0,,Proportion of total government spending on health,11.3,KGZ,,,,,
2014.0,,Proportion of total government spending on health,9.9,KGZ,,,,,
2015.0,,Proportion of total government spending on health,9.5,KGZ,,,,,
2016.0,,Proportion of total government spending on health,8.8,KGZ,,,,,
2017.0,,Proportion of total government spending on health,9.7,KGZ,,,,,
2018.0,,Proportion of total government spending on health,8.6,KGZ,,,,,
2019.0,,Proportion of total government spending on health,8.3,KGZ,,,,,
2020.0,,Proportion of total government spending on health,10.0,KGZ,,,,,
2021.0,,Proportion of total government spending on health,9.8,KGZ,,,,,
2007.0,,Proportion of total government spending on social protection,10.5,KGZ,,,,,
2008.0,,Proportion of total government spending on social protection,10.3,KGZ,,,,,
2009.0,,Proportion of total government spending on social protection,9.5,KGZ,,,,,
2010.0,,Proportion of total government spending on social protection,16.1,KGZ,,,,,
2011.0,,Proportion of total government spending on social protection,15.5,KGZ,,,,,
2012.0,,Proportion of total government spending on social protection,16.3,KGZ,,,,,
2013.0,,Proportion of total government spending on social protection,19.5,KGZ,,,,,
2014.0,,Proportion of total government spending on social protection,19.2,KGZ,,,,,
2015.0,,Proportion of total government spending on social protection,18.4,KGZ,,,,,
2016.0,,Proportion of total government spending on social protection,16.5,KGZ,,,,,
2017.0,,Proportion of total government spending on social protection,16.2,KGZ,,,,,
2018.0,,Proportion of total government spending on social protection,19.1,KGZ,,,,,
2019.0,,Proportion of total government spending on social protection,19.5,KGZ,,,,,
2020.0,,Proportion of total government spending on social protection,20.0,KGZ,,,,,
2021.0,,Proportion of total government spending on social protection,17.3,KGZ,,,,,
,,,,UZB,16_101_,Total,True,2000.0,38.1
,,,,UZB,16_101_,Total,True,2001.0,41.3
,,,,UZB,16_101_,Total,True,2002.0,41.7
,,,,UZB,16_101_,Total,True,2003.0,42.0
,,,,UZB,16_101_,Total,True,2004.0,43.5
,,,,UZB,16_101_,Total,True,2005.0,46.2
,,,,UZB,16_101_,Total,True,2006.0,48.0
,,,,UZB,16_101_,Total,True,2007.0,47.4
,,,,UZB,16_101_,Total,True,2008.0,49.7
,,,,UZB,16_101_,Total,True,2009.0,52.7
,,,,UZB,16_101_,Total,True,2010.0,56.4
,,,,UZB,16_101_,Total,True,2011.0,55.4
,,,,UZB,16_101_,Total,True,2012.0,56.8
,,,,UZB,16_101_,Total,True,2013.0,56.6
,,,,UZB,16_101_,Total,True,2014.0,56.7
,,,,UZB,16_101_,Total,True,2015.0,56.5
,,,,UZB,16_101_,Total,True,2016.0,56.7
,,,,UZB,16_101_,Total,True,2017.0,52.2
,,,,UZB,16_101_,Total,True,2018.0,47.1
,,,,UZB,16_101_,Total,True,2019.0,50.6
,,,,UZB,16_101_,Total,True,2020.0,42.2
,,,,UZB,16_101_,Total,True,2021.0,47.2
