Year,UNIT_MEASURE,Sex,Value,M49_country_code,Reference area,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2018.0,,,0.4,KGZ,,15 to 24 years old,,,,,,,,,
2019.0,,,0.3,KGZ,,15 to 24 years old,,,,,,,,,
2020.0,,,0.4,KGZ,,15 to 24 years old,,,,,,,,,
2021.0,,,0.1,KGZ,,15 to 24 years old,,,,,,,,,
2018.0,,,10.6,KGZ,,25 to 54 years old,,,,,,,,,
2019.0,,,10.0,KGZ,,25 to 54 years old,,,,,,,,,
2020.0,,,9.4,KGZ,,25 to 54 years old,,,,,,,,,
2021.0,,,7.4,KGZ,,25 to 54 years old,,,,,,,,,
2018.0,,,10.0,KGZ,,55 years old and over,,,,,,,,,
2019.0,,,10.2,KGZ,,55 years old and over,,,,,,,,,
2020.0,,,9.4,KGZ,,55 years old and over,,,,,,,,,
2021.0,,,9.0,KGZ,,55 years old and over,,,,,,,,,
2018.0,,,2.8,KGZ,,,,,Primary education,,,,,,
2019.0,,,3.4,KGZ,,,,,Primary education,,,,,,
2020.0,,,2.8,KGZ,,,,,Primary education,,,,,,
2021.0,,,1.5,KGZ,,,,,Primary education,,,,,,
2018.0,,,3.5,KGZ,,,,,Lower secondary education,,,,,,
2019.0,,,2.9,KGZ,,,,,Lower secondary education,,,,,,
2020.0,,,3.8,KGZ,,,,,Lower secondary education,,,,,,
2021.0,,,2.9,KGZ,,,,,Lower secondary education,,,,,,
2018.0,,,9.8,KGZ,,,,,Upper secondary education,,,,,,
2019.0,,,9.3,KGZ,,,,,Upper secondary education,,,,,,
2020.0,,,8.8,KGZ,,,,,Upper secondary education,,,,,,
2021.0,,,7.4,KGZ,,,,,Upper secondary education,,,,,,
2018.0,,,11.7,KGZ,,,,,Post-secondary non-tertiary education,,,,,,
2019.0,,,11.8,KGZ,,,,,Post-secondary non-tertiary education,,,,,,
2020.0,,,10.8,KGZ,,,,,Post-secondary non-tertiary education,,,,,,
2021.0,,,9.1,KGZ,,,,,Post-secondary non-tertiary education,,,,,,
2018.0,,,5.6,KGZ,,,,,Short-cycle tertiary education,,,,,,
2019.0,,,5.5,KGZ,,,,,Short-cycle tertiary education,,,,,,
2020.0,,,4.9,KGZ,,,,,Short-cycle tertiary education,,,,,,
2021.0,,,4.1,KGZ,,,,,Short-cycle tertiary education,,,,,,
2018.0,,,8.0,KGZ,,,,Quintile 1 (poorest),,,,,,,
2019.0,,,8.2,KGZ,,,,Quintile 1 (poorest),,,,,,,
2020.0,,,7.9,KGZ,,,,Quintile 1 (poorest),,,,,,,
2021.0,,,6.4,KGZ,,,,Quintile 1 (poorest),,,,,,,
2018.0,,,7.4,KGZ,,,,Quintile 2,,,,,,,
2019.0,,,7.8,KGZ,,,,Quintile 2,,,,,,,
2020.0,,,6.9,KGZ,,,,Quintile 2,,,,,,,
2021.0,,,6.2,KGZ,,,,Quintile 2,,,,,,,
2018.0,,,8.5,KGZ,,,,Quintile 3,,,,,,,
2019.0,,,7.7,KGZ,,,,Quintile 3,,,,,,,
2020.0,,,8.0,KGZ,,,,Quintile 3,,,,,,,
2021.0,,,5.4,KGZ,,,,Quintile 3,,,,,,,
2018.0,,,8.5,KGZ,,,,Quintile 4,,,,,,,
2019.0,,,8.0,KGZ,,,,Quintile 4,,,,,,,
2020.0,,,7.2,KGZ,,,,Quintile 4,,,,,,,
2021.0,,,6.6,KGZ,,,,Quintile 4,,,,,,,
2018.0,,,9.6,KGZ,,,,Quintile 5 (richest),,,,,,,
2019.0,,,8.8,KGZ,,,,Quintile 5 (richest),,,,,,,
2020.0,,,8.1,KGZ,,,,Quintile 5 (richest),,,,,,,
2021.0,,,7.2,KGZ,,,,Quintile 5 (richest),,,,,,,
,,,,UZB,,,,,,,01_101_,Total,True,2000.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2001.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2002.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2003.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2004.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2005.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2006.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2007.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2008.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2009.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2010.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2011.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2012.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2013.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2014.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2015.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2016.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2017.0,0.0
,,,,UZB,,,,,,,01_101_,Total,True,2018.0,11.9
,,,,UZB,,,,,,,01_101_,Total,True,2019.0,14.9
,,,,UZB,,,,,,,01_101_,Total,True,2020.0,12.8
,,,,UZB,,,,,,,01_101_,Total,True,2021.0,14.2
