Year,UNIT_MEASURE,Regions,Area,Sex,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,Pavlodar,urban,,4.1,KAZ,,,,,
2010.0,Percent,Soltustik Kazakhstan,urban,,3.7,KAZ,,,,,
2010.0,Percent,Shygys Kazakhstan,urban,,6.3,KAZ,,,,,
2010.0,Percent,Nur-Sultan city,urban,,7.8,KAZ,,,,,
2010.0,Percent,Almaty city,urban,,3.8,KAZ,,,,,
2010.0,Percent,,rural,,3.0,KAZ,,,,,
2010.0,Percent,Akmola,rural,,3.7,KAZ,,,,,
2010.0,Percent,Aktobe,rural,,0.3,KAZ,,,,,
2010.0,Percent,Almaty,rural,,3.2,KAZ,,,,,
2010.0,Percent,Atyrau,rural,,1.9,KAZ,,,,,
2010.0,Percent,Batys Kazakhstan,rural,,3.7,KAZ,,,,,
2010.0,Percent,Zhambyl,rural,,4.8,KAZ,,,,,
2010.0,Percent,Karagandy,rural,,2.8,KAZ,,,,,
2010.0,Percent,Kostanay,rural,,2.6,KAZ,,,,,
2010.0,Percent,Kyzylorda,rural,,3.2,KAZ,,,,,
2010.0,Percent,Mangistau,rural,,3.9,KAZ,,,,,
2010.0,Percent,Ontustik Kazakhstan,rural,,1.9,KAZ,,,,,
2010.0,Percent,Pavlodar,rural,,1.1,KAZ,,,,,
2010.0,Percent,Soltustik Kazakhstan,rural,,2.7,KAZ,,,,,
2010.0,Percent,Turkistan,rural,,6.8,KAZ,,,,,
2011.0,Percent,,,,5.1,KAZ,,,,,
2011.0,Percent,Akmola,,,5.2,KAZ,,,,,
2011.0,Percent,Aktobe,,,1.2,KAZ,,,,,
2011.0,Percent,Almaty,,,6.0,KAZ,,,,,
2011.0,Percent,Atyrau,,,2.3,KAZ,,,,,
2011.0,Percent,Batys Kazakhstan,,,5.6,KAZ,,,,,
2011.0,Percent,Zhambyl,,,7.3,KAZ,,,,,
2011.0,Percent,Karagandy,,,6.2,KAZ,,,,,
2011.0,Percent,Kostanay,,,4.3,KAZ,,,,,
2011.0,Percent,Kyzylorda,,,6.6,KAZ,,,,,
2011.0,Percent,Mangistau,,,7.7,KAZ,,,,,
2011.0,Percent,Ontustik Kazakhstan,,,3.8,KAZ,,,,,
2011.0,Percent,Pavlodar,,,3.6,KAZ,,,,,
2011.0,Percent,Soltustik Kazakhstan,,,5.4,KAZ,,,,,
2011.0,Percent,Shygys Kazakhstan,,,8.5,KAZ,,,,,
2011.0,Percent,Nur-Sultan city,,,6.6,KAZ,,,,,
2011.0,Percent,Almaty city,,,2.8,KAZ,,,,,
2011.0,Percent,,,Male,5.4,KAZ,,,,,
2011.0,Percent,Akmola,,Male,4.3,KAZ,,,,,
2011.0,Percent,Aktobe,,Male,3.5,KAZ,,,,,
2011.0,Percent,Almaty,,Male,6.5,KAZ,,,,,
2011.0,Percent,Atyrau,,Male,1.9,KAZ,,,,,
2011.0,Percent,Batys Kazakhstan,,Male,3.4,KAZ,,,,,
2011.0,Percent,Zhambyl,,Male,6.5,KAZ,,,,,
2011.0,Percent,Karagandy,,Male,5.6,KAZ,,,,,
2011.0,Percent,Kostanay,,Male,4.5,KAZ,,,,,
2011.0,Percent,Kyzylorda,,Male,9.8,KAZ,,,,,
2011.0,Percent,Mangistau,,Male,14.1,KAZ,,,,,
2011.0,Percent,Ontustik Kazakhstan,,Male,5.5,KAZ,,,,,
2011.0,Percent,Pavlodar,,Male,3.1,KAZ,,,,,
2011.0,Percent,Soltustik Kazakhstan,,Male,4.7,KAZ,,,,,
2011.0,Percent,Shygys Kazakhstan,,Male,5.6,KAZ,,,,,
2011.0,Percent,Nur-Sultan city,,Male,5.2,KAZ,,,,,
2011.0,Percent,Almaty city,,Male,2.9,KAZ,,,,,
2011.0,Percent,,,Female,9.4,KAZ,,,,,
2011.0,Percent,Akmola,,Female,6.1,KAZ,,,,,
2011.0,Percent,Aktobe,,Female,9.0,KAZ,,,,,
2011.0,Percent,Almaty,,Female,11.7,KAZ,,,,,
2011.0,Percent,Atyrau,,Female,6.3,KAZ,,,,,
2011.0,Percent,Batys Kazakhstan,,Female,4.3,KAZ,,,,,
2011.0,Percent,Zhambyl,,Female,12.7,KAZ,,,,,
2011.0,Percent,Karagandy,,Female,14.7,KAZ,,,,,
2011.0,Percent,Kostanay,,Female,5.3,KAZ,,,,,
2011.0,Percent,Kyzylorda,,Female,15.6,KAZ,,,,,
2011.0,Percent,Mangistau,,Female,13.4,KAZ,,,,,
2011.0,Percent,Ontustik Kazakhstan,,Female,8.3,KAZ,,,,,
2011.0,Percent,Pavlodar,,Female,5.8,KAZ,,,,,
2011.0,Percent,Soltustik Kazakhstan,,Female,8.8,KAZ,,,,,
2011.0,Percent,Shygys Kazakhstan,,Female,10.4,KAZ,,,,,
2011.0,Percent,Nur-Sultan city,,Female,7.8,KAZ,,,,,
2011.0,Percent,Almaty city,,Female,6.7,KAZ,,,,,
2011.0,Percent,,urban,,6.8,KAZ,,,,,
2011.0,Percent,Akmola,urban,,5.0,KAZ,,,,,
2011.0,Percent,Aktobe,urban,,7.4,KAZ,,,,,
2011.0,Percent,Almaty,urban,,10.7,KAZ,,,,,
2011.0,Percent,Atyrau,urban,,3.8,KAZ,,,,,
2011.0,Percent,Batys Kazakhstan,urban,,2.2,KAZ,,,,,
2011.0,Percent,Zhambyl,urban,,7.1,KAZ,,,,,
2011.0,Percent,Karagandy,urban,,10.2,KAZ,,,,,
2011.0,Percent,Kostanay,urban,,5.3,KAZ,,,,,
2011.0,Percent,Kyzylorda,urban,,13.6,KAZ,,,,,
2011.0,Percent,Mangistau,urban,,10.0,KAZ,,,,,
2011.0,Percent,Ontustik Kazakhstan,urban,,5.6,KAZ,,,,,
2011.0,Percent,Pavlodar,urban,,5.2,KAZ,,,,,
2011.0,Percent,Soltustik Kazakhstan,urban,,7.8,KAZ,,,,,
2011.0,Percent,Shygys Kazakhstan,urban,,7.4,KAZ,,,,,
2011.0,Percent,Nur-Sultan city,urban,,6.6,KAZ,,,,,
2011.0,Percent,Almaty city,urban,,4.9,KAZ,,,,,
2011.0,Percent,,rural,,8.1,KAZ,,,,,
2011.0,Percent,Akmola,rural,,5.1,KAZ,,,,,
2011.0,Percent,Aktobe,rural,,4.9,KAZ,,,,,
2011.0,Percent,Almaty,rural,,8.6,KAZ,,,,,
2011.0,Percent,Atyrau,rural,,4.3,KAZ,,,,,
2011.0,Percent,Batys Kazakhstan,rural,,5.3,KAZ,,,,,
2011.0,Percent,Zhambyl,rural,,10.6,KAZ,,,,,
2011.0,Percent,Karagandy,rural,,10.3,KAZ,,,,,
2011.0,Percent,Kostanay,rural,,4.7,KAZ,,,,,
2011.0,Percent,Kyzylorda,rural,,12.0,KAZ,,,,,
2011.0,Percent,Mangistau,rural,,16.9,KAZ,,,,,
2011.0,Percent,Ontustik Kazakhstan,rural,,8.0,KAZ,,,,,
2011.0,Percent,Pavlodar,rural,,2.6,KAZ,,,,,
2011.0,Percent,Soltustik Kazakhstan,rural,,6.1,KAZ,,,,,
2011.0,Percent,Turkistan,rural,,8.6,KAZ,,,,,
2012.0,Percent,,,,5.9,KAZ,,,,,
2012.0,Percent,Akmola,,,5.4,KAZ,,,,,
2012.0,Percent,Aktobe,,,1.2,KAZ,,,,,
2012.0,Percent,Almaty,,,9.0,KAZ,,,,,
2012.0,Percent,Atyrau,,,4.0,KAZ,,,,,
2012.0,Percent,Batys Kazakhstan,,,3.9,KAZ,,,,,
2012.0,Percent,Zhambyl,,,7.4,KAZ,,,,,
2012.0,Percent,Karagandy,,,8.0,KAZ,,,,,
2012.0,Percent,Kostanay,,,4.5,KAZ,,,,,
2012.0,Percent,Kyzylorda,,,10.1,KAZ,,,,,
2012.0,Percent,Mangistau,,,9.8,KAZ,,,,,
2012.0,Percent,Ontustik Kazakhstan,,,3.8,KAZ,,,,,
2012.0,Percent,Pavlodar,,,2.8,KAZ,,,,,
2012.0,Percent,Soltustik Kazakhstan,,,6.4,KAZ,,,,,
2012.0,Percent,Shygys Kazakhstan,,,5.1,KAZ,,,,,
2012.0,Percent,Nur-Sultan city,,,13.5,KAZ,,,,,
2012.0,Percent,Almaty city,,,3.3,KAZ,,,,,
2012.0,Percent,,,Male,4.9,KAZ,,,,,
2012.0,Percent,Akmola,,Male,5.4,KAZ,,,,,
2012.0,Percent,Aktobe,,Male,0.4,KAZ,,,,,
2012.0,Percent,Almaty,,Male,6.8,KAZ,,,,,
2012.0,Percent,Atyrau,,Male,2.0,KAZ,,,,,
2012.0,Percent,Batys Kazakhstan,,Male,3.5,KAZ,,,,,
2012.0,Percent,Zhambyl,,Male,6.3,KAZ,,,,,
2012.0,Percent,Karagandy,,Male,5.7,KAZ,,,,,
2012.0,Percent,Kostanay,,Male,3.3,KAZ,,,,,
2012.0,Percent,Kyzylorda,,Male,9.9,KAZ,,,,,
2012.0,Percent,Mangistau,,Male,12.3,KAZ,,,,,
2012.0,Percent,Ontustik Kazakhstan,,Male,2.3,KAZ,,,,,
2012.0,Percent,Pavlodar,,Male,2.0,KAZ,,,,,
2012.0,Percent,Soltustik Kazakhstan,,Male,5.0,KAZ,,,,,
2012.0,Percent,Shygys Kazakhstan,,Male,4.3,KAZ,,,,,
2012.0,Percent,Nur-Sultan city,,Male,12.7,KAZ,,,,,
2012.0,Percent,Almaty city,,Male,3.8,KAZ,,,,,
2012.0,Percent,,,Female,6.9,KAZ,,,,,
2012.0,Percent,Akmola,,Female,5.4,KAZ,,,,,
2012.0,Percent,Aktobe,,Female,2.0,KAZ,,,,,
2012.0,Percent,Almaty,,Female,11.1,KAZ,,,,,
2012.0,Percent,Atyrau,,Female,5.9,KAZ,,,,,
2012.0,Percent,Batys Kazakhstan,,Female,4.4,KAZ,,,,,
2012.0,Percent,Zhambyl,,Female,8.5,KAZ,,,,,
2012.0,Percent,Karagandy,,Female,10.4,KAZ,,,,,
2012.0,Percent,Kostanay,,Female,5.8,KAZ,,,,,
2012.0,Percent,Kyzylorda,,Female,10.3,KAZ,,,,,
2012.0,Percent,Mangistau,,Female,6.7,KAZ,,,,,
2012.0,Percent,Ontustik Kazakhstan,,Female,5.3,KAZ,,,,,
2012.0,Percent,Pavlodar,,Female,3.6,KAZ,,,,,
2012.0,Percent,Soltustik Kazakhstan,,Female,8.0,KAZ,,,,,
2012.0,Percent,Shygys Kazakhstan,,Female,6.1,KAZ,,,,,
2012.0,Percent,Nur-Sultan city,,Female,14.3,KAZ,,,,,
2012.0,Percent,Almaty city,,Female,3.0,KAZ,,,,,
2012.0,Percent,,urban,,5.9,KAZ,,,,,
2012.0,Percent,Akmola,urban,,6.7,KAZ,,,,,
2012.0,Percent,Aktobe,urban,,2.0,KAZ,,,,,
2012.0,Percent,Almaty,urban,,10.0,KAZ,,,,,
2012.0,Percent,Atyrau,urban,,3.8,KAZ,,,,,
2012.0,Percent,Batys Kazakhstan,urban,,3.0,KAZ,,,,,
2012.0,Percent,Zhambyl,urban,,9.4,KAZ,,,,,
2012.0,Percent,Karagandy,urban,,7.6,KAZ,,,,,
2012.0,Percent,Kostanay,urban,,4.9,KAZ,,,,,
2012.0,Percent,Kyzylorda,urban,,10.9,KAZ,,,,,
2012.0,Percent,Mangistau,urban,,3.6,KAZ,,,,,
2012.0,Percent,Ontustik Kazakhstan,urban,,5.1,KAZ,,,,,
2012.0,Percent,Pavlodar,urban,,3.1,KAZ,,,,,
2012.0,Percent,Soltustik Kazakhstan,urban,,7.6,KAZ,,,,,
2012.0,Percent,Shygys Kazakhstan,urban,,3.2,KAZ,,,,,
2012.0,Percent,Nur-Sultan city,urban,,13.5,KAZ,,,,,
2012.0,Percent,Almaty city,urban,,3.3,KAZ,,,,,
2012.0,Percent,,rural,,5.9,KAZ,,,,,
2012.0,Percent,Akmola,rural,,4.2,KAZ,,,,,
2012.0,Percent,Aktobe,rural,,0.2,KAZ,,,,,
2012.0,Percent,Almaty,rural,,8.7,KAZ,,,,,
2012.0,Percent,Atyrau,rural,,4.1,KAZ,,,,,
2012.0,Percent,Batys Kazakhstan,rural,,4.7,KAZ,,,,,
2012.0,Percent,Zhambyl,rural,,6.1,KAZ,,,,,
2012.0,Percent,Karagandy,rural,,9.3,KAZ,,,,,
2012.0,Percent,Kostanay,rural,,4.2,KAZ,,,,,
2012.0,Percent,Kyzylorda,rural,,9.6,KAZ,,,,,
2012.0,Percent,Mangistau,rural,,18.5,KAZ,,,,,
2012.0,Percent,Ontustik Kazakhstan,rural,,3.0,KAZ,,,,,
2012.0,Percent,Pavlodar,rural,,2.2,KAZ,,,,,
2012.0,Percent,Soltustik Kazakhstan,rural,,5.6,KAZ,,,,,
2012.0,Percent,Turkistan,rural,,8.2,KAZ,,,,,
2013.0,Percent,,,,5.8,KAZ,,,,,
2013.0,Percent,Akmola,,,5.1,KAZ,,,,,
2013.0,Percent,Aktobe,,,1.9,KAZ,,,,,
2013.0,Percent,Almaty,,,7.9,KAZ,,,,,
2013.0,Percent,Atyrau,,,4.3,KAZ,,,,,
2013.0,Percent,Batys Kazakhstan,,,3.2,KAZ,,,,,
2013.0,Percent,Zhambyl,,,4.8,KAZ,,,,,
2013.0,Percent,Karagandy,,,5.3,KAZ,,,,,
2013.0,Percent,Kostanay,,,5.2,KAZ,,,,,
2013.0,Percent,Kyzylorda,,,9.88,KAZ,,,,,
2013.0,Percent,Mangistau,,,8.4,KAZ,,,,,
2013.0,Percent,Ontustik Kazakhstan,,,3.3,KAZ,,,,,
2013.0,Percent,Pavlodar,,,1.8,KAZ,,,,,
2013.0,Percent,Soltustik Kazakhstan,,,6.3,KAZ,,,,,
2013.0,Percent,Shygys Kazakhstan,,,7.3,KAZ,,,,,
2013.0,Percent,Nur-Sultan city,,,19.3,KAZ,,,,,
2013.0,Percent,Almaty city,,,3.2,KAZ,,,,,
2013.0,Percent,,,Male,5.0,KAZ,,,,,
2013.0,Percent,Akmola,,Male,4.5,KAZ,,,,,
2013.0,Percent,Aktobe,,Male,1.4,KAZ,,,,,
2013.0,Percent,Almaty,,Male,5.7,KAZ,,,,,
2013.0,Percent,Atyrau,,Male,3.8,KAZ,,,,,
2013.0,Percent,Batys Kazakhstan,,Male,3.1,KAZ,,,,,
2013.0,Percent,Zhambyl,,Male,4.3,KAZ,,,,,
2013.0,Percent,Karagandy,,Male,4.8,KAZ,,,,,
2013.0,Percent,Kostanay,,Male,5.2,KAZ,,,,,
2013.0,Percent,Kyzylorda,,Male,9.8,KAZ,,,,,
2013.0,Percent,Mangistau,,Male,7.6,KAZ,,,,,
2013.0,Percent,Ontustik Kazakhstan,,Male,1.6,KAZ,,,,,
2013.0,Percent,Pavlodar,,Male,1.1,KAZ,,,,,
2013.0,Percent,Soltustik Kazakhstan,,Male,6.4,KAZ,,,,,
2013.0,Percent,Shygys Kazakhstan,,Male,6.5,KAZ,,,,,
2013.0,Percent,Nur-Sultan city,,Male,17.8,KAZ,,,,,
2013.0,Percent,Almaty city,,Male,3.4,KAZ,,,,,
2013.0,Percent,,,Female,6.5,KAZ,,,,,
2013.0,Percent,Akmola,,Female,5.7,KAZ,,,,,
2013.0,Percent,Aktobe,,Female,2.4,KAZ,,,,,
2013.0,Percent,Almaty,,Female,10.0,KAZ,,,,,
2013.0,Percent,Atyrau,,Female,4.8,KAZ,,,,,
2013.0,Percent,Batys Kazakhstan,,Female,3.2,KAZ,,,,,
2013.0,Percent,Zhambyl,,Female,5.4,KAZ,,,,,
2013.0,Percent,Karagandy,,Female,5.9,KAZ,,,,,
2013.0,Percent,Kostanay,,Female,5.1,KAZ,,,,,
2013.0,Percent,Kyzylorda,,Female,9.8,KAZ,,,,,
2013.0,Percent,Mangistau,,Female,9.3,KAZ,,,,,
2013.0,Percent,Ontustik Kazakhstan,,Female,5.1,KAZ,,,,,
2013.0,Percent,Pavlodar,,Female,2.5,KAZ,,,,,
2013.0,Percent,Soltustik Kazakhstan,,Female,6.3,KAZ,,,,,
2013.0,Percent,Shygys Kazakhstan,,Female,8.1,KAZ,,,,,
2013.0,Percent,Nur-Sultan city,,Female,21.1,KAZ,,,,,
2013.0,Percent,Almaty city,,Female,3.0,KAZ,,,,,
2013.0,Percent,,urban,,5.8,KAZ,,,,,
2013.0,Percent,Akmola,urban,,5.0,KAZ,,,,,
2013.0,Percent,Aktobe,urban,,1.7,KAZ,,,,,
2013.0,Percent,Almaty,urban,,5.8,KAZ,,,,,
2013.0,Percent,Atyrau,urban,,5.6,KAZ,,,,,
2013.0,Percent,Batys Kazakhstan,urban,,2.6,KAZ,,,,,
2013.0,Percent,Zhambyl,urban,,4.3,KAZ,,,,,
2013.0,Percent,Karagandy,urban,,5.5,KAZ,,,,,
2013.0,Percent,Kostanay,urban,,6.6,KAZ,,,,,
2013.0,Percent,Kyzylorda,urban,,9.5,KAZ,,,,,
2013.0,Percent,Mangistau,urban,,7.2,KAZ,,,,,
2013.0,Percent,Ontustik Kazakhstan,urban,,5.6,KAZ,,,,,
2013.0,Percent,Pavlodar,urban,,1.6,KAZ,,,,,
2013.0,Percent,Soltustik Kazakhstan,urban,,4.5,KAZ,,,,,
2013.0,Percent,Shygys Kazakhstan,urban,,4.3,KAZ,,,,,
2013.0,Percent,Nur-Sultan city,urban,,19.3,KAZ,,,,,
2013.0,Percent,Almaty city,urban,,3.2,KAZ,,,,,
2013.0,Percent,,rural,,5.7,KAZ,,,,,
2013.0,Percent,Akmola,rural,,5.1,KAZ,,,,,
2013.0,Percent,Aktobe,rural,,2.3,KAZ,,,,,
2013.0,Percent,Almaty,rural,,8.5,KAZ,,,,,
2013.0,Percent,Atyrau,rural,,3.2,KAZ,,,,,
2013.0,Percent,Batys Kazakhstan,rural,,3.7,KAZ,,,,,
2013.0,Percent,Zhambyl,rural,,5.2,KAZ,,,,,
2013.0,Percent,Karagandy,rural,,4.8,KAZ,,,,,
2013.0,Percent,Kostanay,rural,,3.8,KAZ,,,,,
2013.0,Percent,Kyzylorda,rural,,10.1,KAZ,,,,,
2013.0,Percent,Mangistau,rural,,9.5,KAZ,,,,,
2013.0,Percent,Ontustik Kazakhstan,rural,,1.9,KAZ,,,,,
2013.0,Percent,Pavlodar,rural,,2.1,KAZ,,,,,
2013.0,Percent,Soltustik Kazakhstan,rural,,7.6,KAZ,,,,,
2013.0,Percent,Turkistan,rural,,11.5,KAZ,,,,,
2014.0,Percent,,,,7.0,KAZ,,,,,
2014.0,Percent,Akmola,,,4.5,KAZ,,,,,
2014.0,Percent,Aktobe,,,6.8,KAZ,,,,,
2014.0,Percent,Almaty,,,7.6,KAZ,,,,,
2014.0,Percent,Atyrau,,,4.7,KAZ,,,,,
2014.0,Percent,Batys Kazakhstan,,,3.1,KAZ,,,,,
2014.0,Percent,Zhambyl,,,9.6,KAZ,,,,,
2014.0,Percent,Karagandy,,,10.5,KAZ,,,,,
2014.0,Percent,Kostanay,,,4.5,KAZ,,,,,
2014.0,Percent,Kyzylorda,,,12.4,KAZ,,,,,
2014.0,Percent,Mangistau,,,14.5,KAZ,,,,,
2014.0,Percent,Ontustik Kazakhstan,,,6.8,KAZ,,,,,
2014.0,Percent,Pavlodar,,,3.4,KAZ,,,,,
2014.0,Percent,Soltustik Kazakhstan,,,6.6,KAZ,,,,,
2014.0,Percent,Shygys Kazakhstan,,,5.7,KAZ,,,,,
2014.0,Percent,Nur-Sultan city,,,6.5,KAZ,,,,,
2014.0,Percent,Almaty city,,,4.8,KAZ,,,,,
2014.0,Percent,,,Male,5.0,KAZ,,,,,
2014.0,Percent,Akmola,,Male,3.3,KAZ,,,,,
2014.0,Percent,Aktobe,,Male,3.7,KAZ,,,,,
2014.0,Percent,Almaty,,Male,5.4,KAZ,,,,,
2014.0,Percent,Atyrau,,Male,2.2,KAZ,,,,,
2014.0,Percent,Batys Kazakhstan,,Male,2.8,KAZ,,,,,
2014.0,Percent,Zhambyl,,Male,5.4,KAZ,,,,,
2014.0,Percent,Karagandy,,Male,5.3,KAZ,,,,,
2014.0,Percent,Kostanay,,Male,4.6,KAZ,,,,,
2014.0,Percent,Kyzylorda,,Male,9.1,KAZ,,,,,
2014.0,Percent,Mangistau,,Male,13.8,KAZ,,,,,
2014.0,Percent,Ontustik Kazakhstan,,Male,5.3,KAZ,,,,,
2014.0,Percent,Pavlodar,,Male,2.2,KAZ,,,,,
2014.0,Percent,Soltustik Kazakhstan,,Male,4.6,KAZ,,,,,
2014.0,Percent,Shygys Kazakhstan,,Male,3.4,KAZ,,,,,
2014.0,Percent,Nur-Sultan city,,Male,4.7,KAZ,,,,,
2014.0,Percent,Almaty city,,Male,3.9,KAZ,,,,,
2014.0,Percent,,,Female,9.0,KAZ,,,,,
2014.0,Percent,Akmola,,Female,5.8,KAZ,,,,,
2014.0,Percent,Aktobe,,Female,9.8,KAZ,,,,,
2014.0,Percent,Almaty,,Female,9.9,KAZ,,,,,
2014.0,Percent,Atyrau,,Female,7.3,KAZ,,,,,
2014.0,Percent,Batys Kazakhstan,,Female,3.4,KAZ,,,,,
2014.0,Percent,Zhambyl,,Female,14.0,KAZ,,,,,
2014.0,Percent,Karagandy,,Female,15.9,KAZ,,,,,
2014.0,Percent,Kostanay,,Female,4.4,KAZ,,,,,
2014.0,Percent,Kyzylorda,,Female,16.0,KAZ,,,,,
2014.0,Percent,Mangistau,,Female,15.1,KAZ,,,,,
2014.0,Percent,Ontustik Kazakhstan,,Female,8.4,KAZ,,,,,
2014.0,Percent,Pavlodar,,Female,4.6,KAZ,,,,,
2014.0,Percent,Soltustik Kazakhstan,,Female,8.8,KAZ,,,,,
2014.0,Percent,Shygys Kazakhstan,,Female,8.1,KAZ,,,,,
2014.0,Percent,Nur-Sultan city,,Female,8.1,KAZ,,,,,
2014.0,Percent,Almaty city,,Female,5.6,KAZ,,,,,
2014.0,Percent,,urban,,6.3,KAZ,,,,,
2014.0,Percent,Akmola,urban,,4.0,KAZ,,,,,
2014.0,Percent,Aktobe,urban,,8.0,KAZ,,,,,
2014.0,Percent,Almaty,urban,,7.6,KAZ,,,,,
2014.0,Percent,Atyrau,urban,,4.3,KAZ,,,,,
2014.0,Percent,Batys Kazakhstan,urban,,2.2,KAZ,,,,,
2014.0,Percent,Zhambyl,urban,,6.9,KAZ,,,,,
2014.0,Percent,Karagandy,urban,,10.5,KAZ,,,,,
2014.0,Percent,Kostanay,urban,,4.6,KAZ,,,,,
2014.0,Percent,Kyzylorda,urban,,14.4,KAZ,,,,,
2014.0,Percent,Mangistau,urban,,9.9,KAZ,,,,,
2014.0,Percent,Ontustik Kazakhstan,urban,,5.3,KAZ,,,,,
2014.0,Percent,Pavlodar,urban,,4.1,KAZ,,,,,
2014.0,Percent,Soltustik Kazakhstan,urban,,7.3,KAZ,,,,,
2014.0,Percent,Shygys Kazakhstan,urban,,4.8,KAZ,,,,,
2014.0,Percent,Nur-Sultan city,urban,,6.5,KAZ,,,,,
2014.0,Percent,Almaty city,urban,,4.8,KAZ,,,,,
2014.0,Percent,,rural,,7.8,KAZ,,,,,
2014.0,Percent,Akmola,rural,,4.9,KAZ,,,,,
2014.0,Percent,Aktobe,rural,,4.7,KAZ,,,,,
2014.0,Percent,Almaty,rural,,7.6,KAZ,,,,,
2014.0,Percent,Atyrau,rural,,4.9,KAZ,,,,,
2014.0,Percent,Batys Kazakhstan,rural,,4.2,KAZ,,,,,
2014.0,Percent,Zhambyl,rural,,11.2,KAZ,,,,,
