Year,UNIT_MEASURE,Mother's education,Area,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,secondary (high school),,Zhambyl,1.0,KAZ,,,,,
2010.0,Percent,secondary (high school),,Karagandy,1.0,KAZ,,,,,
2010.0,Percent,secondary (high school),,Kostanay,1.0,KAZ,,,,,
2010.0,Percent,secondary (high school),,Kyzylorda,1.01,KAZ,,,,,
2010.0,Percent,secondary (high school),,Mangistau,0.99,KAZ,,,,,
2010.0,Percent,secondary (high school),,Ontustik Kazakhstan,0.99,KAZ,,,,,
2010.0,Percent,secondary (high school),,Pavlodar,1.0,KAZ,,,,,
2010.0,Percent,secondary (high school),,Soltustik Kazakhstan,0.98,KAZ,,,,,
2010.0,Percent,secondary (high school),,Shygys Kazakhstan,0.97,KAZ,,,,,
2010.0,Percent,secondary (high school),,Nur-Sultan city,1.01,KAZ,,,,,
2010.0,Percent,secondary (high school),,Almaty city,0.99,KAZ,,,,,
2015.0,,Elementary education/ High education (incomplete),,,1.0,KAZ,,,,,
2015.0,,secondary (high school),,,1.0,KAZ,,,,,
2015.0,,High Education (Incomplete),,,1.0,KAZ,,,,,
2015.0,,High Education (General),,,1.01,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,,1.0,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),urban,,0.99,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),rural,,1.0,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,Akmola,0.99,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,Aktobe,1.01,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,Almaty,1.0,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,Atyrau,0.94,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,Batys Kazakhstan,0.99,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,Zhambyl,1.0,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,Karagandy,1.01,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,Kostanay,1.01,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,Kyzylorda,0.99,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,Mangistau,1.01,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,Ontustik Kazakhstan,1.0,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,Pavlodar,1.01,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,Soltustik Kazakhstan,1.01,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,Shygys Kazakhstan,1.0,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,Nur-Sultan city,1.02,KAZ,,,,,
2015.0,Percent,Elementary education/ High education (incomplete),,Almaty city,0.98,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,,1.0,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),urban,,1.0,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),rural,,1.0,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,Akmola,1.0,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,Aktobe,1.0,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,Almaty,1.02,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,Atyrau,1.0,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,Batys Kazakhstan,1.01,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,Zhambyl,0.99,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,Karagandy,1.01,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,Kostanay,1.0,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,Kyzylorda,1.0,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,Mangistau,1.0,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,Ontustik Kazakhstan,0.99,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,Pavlodar,0.99,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,Soltustik Kazakhstan,1.01,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,Shygys Kazakhstan,1.0,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,Nur-Sultan city,1.01,KAZ,,,,,
2015.0,Percent,High Education (Incomplete),,Almaty city,1.02,KAZ,,,,,
2015.0,Percent,secondary (high school),,,1.01,KAZ,,,,,
2015.0,Percent,secondary (high school),urban,,1.03,KAZ,,,,,
2015.0,Percent,secondary (high school),rural,,0.98,KAZ,,,,,
2015.0,Percent,secondary (high school),,Akmola,1.12,KAZ,,,,,
2015.0,Percent,secondary (high school),,Aktobe,1.02,KAZ,,,,,
2015.0,Percent,secondary (high school),,Almaty,1.01,KAZ,,,,,
2015.0,Percent,secondary (high school),,Atyrau,0.98,KAZ,,,,,
2015.0,Percent,secondary (high school),,Zhambyl,0.94,KAZ,,,,,
2015.0,Percent,secondary (high school),,Kostanay,1.0,KAZ,,,,,
2015.0,Percent,secondary (high school),,Kyzylorda,0.99,KAZ,,,,,
2015.0,Percent,secondary (high school),,Mangistau,1.03,KAZ,,,,,
2015.0,Percent,secondary (high school),,Ontustik Kazakhstan,0.98,KAZ,,,,,
2015.0,Percent,secondary (high school),,Soltustik Kazakhstan,1.0,KAZ,,,,,
2015.0,Percent,secondary (high school),,Nur-Sultan city,1.18,KAZ,,,,,
2015.0,Percent,secondary (high school),,Almaty city,1.0,KAZ,,,,,
,,,,,,UZB,10_101_,Total,True,2000.0,0.0
,,,,,,UZB,10_101_,Total,True,2001.0,0.0
,,,,,,UZB,10_101_,Total,True,2002.0,0.0
,,,,,,UZB,10_101_,Total,True,2003.0,0.0
,,,,,,UZB,10_101_,Total,True,2004.0,0.0
,,,,,,UZB,10_101_,Total,True,2005.0,0.0
,,,,,,UZB,10_101_,Total,True,2006.0,0.0
,,,,,,UZB,10_101_,Total,True,2007.0,0.0
,,,,,,UZB,10_101_,Total,True,2008.0,0.0
,,,,,,UZB,10_101_,Total,True,2009.0,0.0
,,,,,,UZB,10_101_,Total,True,2010.0,0.0
,,,,,,UZB,10_101_,Total,True,2011.0,0.0
,,,,,,UZB,10_101_,Total,True,2012.0,0.0
,,,,,,UZB,10_101_,Total,True,2013.0,0.0
,,,,,,UZB,10_101_,Total,True,2014.0,0.0
,,,,,,UZB,10_101_,Total,True,2015.0,0.0
,,,,,,UZB,10_101_,Total,True,2016.0,0.0
,,,,,,UZB,10_101_,Total,True,2017.0,0.9
,,,,,,UZB,10_101_,Total,True,2018.0,0.9
,,,,,,UZB,10_101_,Total,True,2019.0,0.9
,,,,,,UZB,10_101_,Total,True,2020.0,0.9
,,,,,,UZB,10_101_,Total,True,2021.0,0.9
,,,,,,UZB,10_102_,city,True,2000.0,0.0
,,,,,,UZB,10_102_,city,True,2001.0,0.0
,,,,,,UZB,10_102_,city,True,2002.0,0.0
,,,,,,UZB,10_102_,city,True,2003.0,0.0
,,,,,,UZB,10_102_,city,True,2004.0,0.0
,,,,,,UZB,10_102_,city,True,2005.0,0.0
,,,,,,UZB,10_102_,city,True,2006.0,0.0
,,,,,,UZB,10_102_,city,True,2007.0,0.0
,,,,,,UZB,10_102_,city,True,2008.0,0.0
,,,,,,UZB,10_102_,city,True,2009.0,0.0
,,,,,,UZB,10_102_,city,True,2010.0,0.0
,,,,,,UZB,10_102_,city,True,2011.0,0.0
,,,,,,UZB,10_102_,city,True,2012.0,0.0
,,,,,,UZB,10_102_,city,True,2013.0,0.0
,,,,,,UZB,10_102_,city,True,2014.0,0.0
,,,,,,UZB,10_102_,city,True,2015.0,0.0
,,,,,,UZB,10_102_,city,True,2016.0,0.0
,,,,,,UZB,10_102_,city,True,2017.0,0.9
,,,,,,UZB,10_102_,city,True,2018.0,0.9
,,,,,,UZB,10_102_,city,True,2019.0,0.9
,,,,,,UZB,10_102_,city,True,2020.0,0.9
,,,,,,UZB,10_102_,city,True,2021.0,0.9
,,,,,,UZB,10_103_,village,True,2000.0,0.0
,,,,,,UZB,10_103_,village,True,2001.0,0.0
,,,,,,UZB,10_103_,village,True,2002.0,0.0
,,,,,,UZB,10_103_,village,True,2003.0,0.0
,,,,,,UZB,10_103_,village,True,2004.0,0.0
,,,,,,UZB,10_103_,village,True,2005.0,0.0
,,,,,,UZB,10_103_,village,True,2006.0,0.0
,,,,,,UZB,10_103_,village,True,2007.0,0.0
,,,,,,UZB,10_103_,village,True,2008.0,0.0
,,,,,,UZB,10_103_,village,True,2009.0,0.0
,,,,,,UZB,10_103_,village,True,2010.0,0.0
,,,,,,UZB,10_103_,village,True,2011.0,0.0
,,,,,,UZB,10_103_,village,True,2012.0,0.0
,,,,,,UZB,10_103_,village,True,2013.0,0.0
,,,,,,UZB,10_103_,village,True,2014.0,0.0
,,,,,,UZB,10_103_,village,True,2015.0,0.0
,,,,,,UZB,10_103_,village,True,2016.0,0.0
,,,,,,UZB,10_103_,village,True,2017.0,0.9
,,,,,,UZB,10_103_,village,True,2018.0,0.9
,,,,,,UZB,10_103_,village,True,2019.0,0.9
,,,,,,UZB,10_103_,village,True,2020.0,0.9
,,,,,,UZB,10_103_,village,True,2021.0,0.9
,,,,,,UZB,10_161_,quintile 1,True,2000.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2001.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2002.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2003.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2004.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2005.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2006.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2007.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2008.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2009.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2010.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2011.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2012.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2013.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2014.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2015.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2016.0,0.0
,,,,,,UZB,10_161_,quintile 1,True,2017.0,0.9
,,,,,,UZB,10_161_,quintile 1,True,2018.0,0.9
,,,,,,UZB,10_161_,quintile 1,True,2019.0,0.9
,,,,,,UZB,10_161_,quintile 1,True,2020.0,1.1
,,,,,,UZB,10_161_,quintile 1,True,2021.0,1.0
,,,,,,UZB,10_162_,quintile 2,True,2000.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2001.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2002.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2003.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2004.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2005.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2006.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2007.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2008.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2009.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2010.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2011.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2012.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2013.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2014.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2015.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2016.0,0.0
,,,,,,UZB,10_162_,quintile 2,True,2017.0,1.0
,,,,,,UZB,10_162_,quintile 2,True,2018.0,1.0
,,,,,,UZB,10_162_,quintile 2,True,2019.0,1.0
,,,,,,UZB,10_162_,quintile 2,True,2020.0,0.9
,,,,,,UZB,10_162_,quintile 2,True,2021.0,1.0
,,,,,,UZB,10_163_,quintile 3,True,2000.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2001.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2002.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2003.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2004.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2005.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2006.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2007.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2008.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2009.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2010.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2011.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2012.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2013.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2014.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2015.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2016.0,0.0
,,,,,,UZB,10_163_,quintile 3,True,2017.0,0.9
,,,,,,UZB,10_163_,quintile 3,True,2018.0,0.9
,,,,,,UZB,10_163_,quintile 3,True,2019.0,0.9
,,,,,,UZB,10_163_,quintile 3,True,2020.0,0.9
,,,,,,UZB,10_163_,quintile 3,True,2021.0,0.9
,,,,,,UZB,10_164_,quintile 4,True,2000.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2001.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2002.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2003.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2004.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2005.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2006.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2007.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2008.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2009.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2010.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2011.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2012.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2013.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2014.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2015.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2016.0,0.0
,,,,,,UZB,10_164_,quintile 4,True,2017.0,0.9
,,,,,,UZB,10_164_,quintile 4,True,2018.0,0.9
,,,,,,UZB,10_164_,quintile 4,True,2019.0,0.9
,,,,,,UZB,10_164_,quintile 4,True,2020.0,0.9
,,,,,,UZB,10_164_,quintile 4,True,2021.0,0.9
,,,,,,UZB,10_165_,quintile 5,True,2000.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2001.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2002.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2003.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2004.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2005.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2006.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2007.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2008.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2009.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2010.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2011.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2012.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2013.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2014.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2015.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2016.0,0.0
,,,,,,UZB,10_165_,quintile 5,True,2017.0,0.8
,,,,,,UZB,10_165_,quintile 5,True,2018.0,0.8
,,,,,,UZB,10_165_,quintile 5,True,2019.0,0.8
,,,,,,UZB,10_165_,quintile 5,True,2020.0,0.8
,,,,,,UZB,10_165_,quintile 5,True,2021.0,0.8
