Year,UNIT_MEASURE,Sex,Area,SERIES,Regions,Value,M49_country_code,Reference area,GeoCode
2011,Percent,,rural,3.2 US dollars per day (based on PPP),Akmola,3.4,KAZ,,
2011,Percent,,rural,3.2 US dollars per day (based on PPP),Aktobe,2.0,KAZ,,
2011,Percent,,rural,3.2 US dollars per day (based on PPP),Almaty,0.1,KAZ,,
2011,Percent,,rural,3.2 US dollars per day (based on PPP),Atyrau,0.2,KAZ,,
2011,Percent,,rural,3.2 US dollars per day (based on PPP),Batys Kazakhstan,1.5,KAZ,,
2011,Percent,,rural,3.2 US dollars per day (based on PPP),Zhambyl,0.4,KAZ,,
2011,Percent,,rural,3.2 US dollars per day (based on PPP),Karagandy,3.1,KAZ,,
2011,Percent,,rural,3.2 US dollars per day (based on PPP),Kostanay,2.3,KAZ,,
2011,Percent,,rural,3.2 US dollars per day (based on PPP),Kyzylorda,1.0,KAZ,,
2011,Percent,,rural,3.2 US dollars per day (based on PPP),Mangistau,0.2,KAZ,,
2011,Percent,,rural,3.2 US dollars per day (based on PPP),Ontustik Kazakhstan,3.5,KAZ,,
2011,Percent,,rural,3.2 US dollars per day (based on PPP),Pavlodar,3.7,KAZ,,
2011,Percent,,rural,3.2 US dollars per day (based on PPP),Soltustik Kazakhstan,5.0,KAZ,,
2011,Percent,,rural,3.2 US dollars per day (based on PPP),Shygys Kazakhstan,4.2,KAZ,,
2011,Percent,,rural,5.5 US dollars per day (based on PPP),Akmola,16.2,KAZ,,
2011,Percent,,rural,5.5 US dollars per day (based on PPP),Aktobe,20.9,KAZ,,
2011,Percent,,rural,5.5 US dollars per day (based on PPP),Almaty,6.4,KAZ,,
2011,Percent,,rural,5.5 US dollars per day (based on PPP),Atyrau,10.7,KAZ,,
2011,Percent,,rural,5.5 US dollars per day (based on PPP),Batys Kazakhstan,28.8,KAZ,,
2011,Percent,,rural,5.5 US dollars per day (based on PPP),Zhambyl,27.1,KAZ,,
2011,Percent,,rural,5.5 US dollars per day (based on PPP),Karagandy,22.9,KAZ,,
2011,Percent,,rural,5.5 US dollars per day (based on PPP),Kostanay,21.4,KAZ,,
2011,Percent,,rural,5.5 US dollars per day (based on PPP),Kyzylorda,16.6,KAZ,,
2011,Percent,,rural,5.5 US dollars per day (based on PPP),Mangistau,7.3,KAZ,,
2011,Percent,,rural,5.5 US dollars per day (based on PPP),Ontustik Kazakhstan,40.4,KAZ,,
2011,Percent,,rural,5.5 US dollars per day (based on PPP),Pavlodar,26.3,KAZ,,
2011,Percent,,rural,5.5 US dollars per day (based on PPP),Soltustik Kazakhstan,27.5,KAZ,,
2011,Percent,,rural,5.5 US dollars per day (based on PPP),Shygys Kazakhstan,26.5,KAZ,,
2012,Percent,,,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2012,Percent,,,3.2 US dollars per day (based on PPP),,1.0,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),,17.7,KAZ,,
2012,Percent,Male,,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2012,Percent,Male,,3.2 US dollars per day (based on PPP),,1.1,KAZ,,
2012,Percent,Male,,5.5 US dollars per day (based on PPP),,18.4,KAZ,,
2012,Percent,Female,,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2012,Percent,Female,,3.2 US dollars per day (based on PPP),,1.0,KAZ,,
2012,Percent,Female,,5.5 US dollars per day (based on PPP),,17.1,KAZ,,
2012,Percent,,urban,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2012,Percent,,urban,3.2 US dollars per day (based on PPP),,0.5,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),,11.6,KAZ,,
2012,Percent,,rural,1.9 US dollars per day (based on PPP),,0.1,KAZ,,
2012,Percent,,rural,3.2 US dollars per day (based on PPP),,1.7,KAZ,,
2012,Percent,,rural,5.5 US dollars per day (based on PPP),,25.1,KAZ,,
2012,Percent,,,1.9 US dollars per day (based on PPP),Akmola,0.3,KAZ,,
2012,Percent,,,1.9 US dollars per day (based on PPP),Almaty,0.1,KAZ,,
2012,Percent,,,1.9 US dollars per day (based on PPP),Zhambyl,0.1,KAZ,,
2012,Percent,,,1.9 US dollars per day (based on PPP),Kostanay,0.1,KAZ,,
2012,Percent,,,1.9 US dollars per day (based on PPP),Ontustik Kazakhstan,0.0,KAZ,,
2012,Percent,,,1.9 US dollars per day (based on PPP),Pavlodar,0.0,KAZ,,
2012,Percent,,,1.9 US dollars per day (based on PPP),Soltustik Kazakhstan,0.1,KAZ,,
2012,Percent,,,1.9 US dollars per day (based on PPP),Shygys Kazakhstan,0.0,KAZ,,
2012,Percent,,,3.2 US dollars per day (based on PPP),Akmola,1.5,KAZ,,
2012,Percent,,,3.2 US dollars per day (based on PPP),Aktobe,0.7,KAZ,,
2012,Percent,,,3.2 US dollars per day (based on PPP),Almaty,0.4,KAZ,,
2012,Percent,,,3.2 US dollars per day (based on PPP),Batys Kazakhstan,0.4,KAZ,,
2012,Percent,,,3.2 US dollars per day (based on PPP),Zhambyl,2.3,KAZ,,
2012,Percent,,,3.2 US dollars per day (based on PPP),Karagandy,0.7,KAZ,,
2012,Percent,,,3.2 US dollars per day (based on PPP),Kostanay,0.9,KAZ,,
2012,Percent,,,3.2 US dollars per day (based on PPP),Kyzylorda,0.5,KAZ,,
2012,Percent,,,3.2 US dollars per day (based on PPP),Mangistau,0.0,KAZ,,
2012,Percent,,,3.2 US dollars per day (based on PPP),Ontustik Kazakhstan,2.2,KAZ,,
2012,Percent,,,3.2 US dollars per day (based on PPP),Pavlodar,1.3,KAZ,,
2012,Percent,,,3.2 US dollars per day (based on PPP),Soltustik Kazakhstan,2.9,KAZ,,
2012,Percent,,,3.2 US dollars per day (based on PPP),Shygys Kazakhstan,1.0,KAZ,,
2012,Percent,,,3.2 US dollars per day (based on PPP),Nur-Sultan city,0.1,KAZ,,
2012,Percent,,,3.2 US dollars per day (based on PPP),Almaty city,0.1,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),Akmola,17.0,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),Aktobe,15.2,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),Almaty,8.8,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),Atyrau,6.3,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),Batys Kazakhstan,27.4,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),Zhambyl,36.4,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),Karagandy,11.6,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),Kostanay,17.0,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),Kyzylorda,12.2,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),Mangistau,4.0,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),Ontustik Kazakhstan,40.9,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),Pavlodar,15.4,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),Soltustik Kazakhstan,20.1,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),Shygys Kazakhstan,15.0,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),Nur-Sultan city,1.3,KAZ,,
2012,Percent,,,5.5 US dollars per day (based on PPP),Almaty city,1.1,KAZ,,
2012,Percent,,urban,1.9 US dollars per day (based on PPP),Akmola,0.3,KAZ,,
2012,Percent,,urban,1.9 US dollars per day (based on PPP),Kostanay,0.1,KAZ,,
2012,Percent,,urban,1.9 US dollars per day (based on PPP),Ontustik Kazakhstan,0.1,KAZ,,
2012,Percent,,urban,3.2 US dollars per day (based on PPP),Akmola,1.4,KAZ,,
2012,Percent,,urban,3.2 US dollars per day (based on PPP),Aktobe,0.3,KAZ,,
2012,Percent,,urban,3.2 US dollars per day (based on PPP),Zhambyl,2.6,KAZ,,
2012,Percent,,urban,3.2 US dollars per day (based on PPP),Karagandy,0.2,KAZ,,
2012,Percent,,urban,3.2 US dollars per day (based on PPP),Kostanay,0.3,KAZ,,
2012,Percent,,urban,3.2 US dollars per day (based on PPP),Kyzylorda,0.3,KAZ,,
2012,Percent,,urban,3.2 US dollars per day (based on PPP),Mangistau,0.1,KAZ,,
2012,Percent,,urban,3.2 US dollars per day (based on PPP),Ontustik Kazakhstan,1.2,KAZ,,
2012,Percent,,urban,3.2 US dollars per day (based on PPP),Pavlodar,0.4,KAZ,,
2012,Percent,,urban,3.2 US dollars per day (based on PPP),Soltustik Kazakhstan,1.4,KAZ,,
2012,Percent,,urban,3.2 US dollars per day (based on PPP),Shygys Kazakhstan,0.7,KAZ,,
2012,Percent,,urban,3.2 US dollars per day (based on PPP),Nur-Sultan city,0.1,KAZ,,
2012,Percent,,urban,3.2 US dollars per day (based on PPP),Almaty city,0.1,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),Akmola,16.7,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),Aktobe,15.0,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),Almaty,10.1,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),Atyrau,3.9,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),Batys Kazakhstan,19.7,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),Zhambyl,28.7,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),Karagandy,7.7,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),Kostanay,15.1,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),Kyzylorda,11.2,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),Mangistau,1.3,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),Ontustik Kazakhstan,28.2,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),Pavlodar,11.7,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),Soltustik Kazakhstan,15.4,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),Shygys Kazakhstan,12.2,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),Nur-Sultan city,1.3,KAZ,,
2012,Percent,,urban,5.5 US dollars per day (based on PPP),Almaty city,1.1,KAZ,,
2012,Percent,,rural,1.9 US dollars per day (based on PPP),Akmola,0.3,KAZ,,
2012,Percent,,rural,1.9 US dollars per day (based on PPP),Almaty,0.1,KAZ,,
2012,Percent,,rural,1.9 US dollars per day (based on PPP),Zhambyl,0.2,KAZ,,
2012,Percent,,rural,1.9 US dollars per day (based on PPP),Kostanay,0.2,KAZ,,
2012,Percent,,rural,1.9 US dollars per day (based on PPP),Pavlodar,0.1,KAZ,,
2012,Percent,,rural,1.9 US dollars per day (based on PPP),Soltustik Kazakhstan,0.1,KAZ,,
2012,Percent,,rural,1.9 US dollars per day (based on PPP),Shygys Kazakhstan,0.1,KAZ,,
2012,Percent,,rural,3.2 US dollars per day (based on PPP),Akmola,1.7,KAZ,,
2012,Percent,,rural,3.2 US dollars per day (based on PPP),Aktobe,1.4,KAZ,,
2012,Percent,,rural,3.2 US dollars per day (based on PPP),Almaty,0.6,KAZ,,
2012,Percent,,rural,3.2 US dollars per day (based on PPP),Batys Kazakhstan,0.8,KAZ,,
2012,Percent,,rural,3.2 US dollars per day (based on PPP),Zhambyl,2.1,KAZ,,
2012,Percent,,rural,3.2 US dollars per day (based on PPP),Karagandy,2.8,KAZ,,
2012,Percent,,rural,3.2 US dollars per day (based on PPP),Kostanay,1.4,KAZ,,
2012,Percent,,rural,3.2 US dollars per day (based on PPP),Kyzylorda,0.5,KAZ,,
2012,Percent,,rural,3.2 US dollars per day (based on PPP),Ontustik Kazakhstan,2.9,KAZ,,
2012,Percent,,rural,3.2 US dollars per day (based on PPP),Pavlodar,3.2,KAZ,,
2012,Percent,,rural,3.2 US dollars per day (based on PPP),Soltustik Kazakhstan,3.9,KAZ,,
2012,Percent,,rural,3.2 US dollars per day (based on PPP),Shygys Kazakhstan,1.4,KAZ,,
2012,Percent,,rural,5.5 US dollars per day (based on PPP),Akmola,17.3,KAZ,,
2012,Percent,,rural,5.5 US dollars per day (based on PPP),Aktobe,15.6,KAZ,,
2012,Percent,,rural,5.5 US dollars per day (based on PPP),Almaty,8.4,KAZ,,
2012,Percent,,rural,5.5 US dollars per day (based on PPP),Atyrau,8.6,KAZ,,
2012,Percent,,rural,5.5 US dollars per day (based on PPP),Batys Kazakhstan,34.8,KAZ,,
2012,Percent,,rural,5.5 US dollars per day (based on PPP),Zhambyl,41.3,KAZ,,
2012,Percent,,rural,5.5 US dollars per day (based on PPP),Karagandy,25.6,KAZ,,
2012,Percent,,rural,5.5 US dollars per day (based on PPP),Kostanay,19.0,KAZ,,
2012,Percent,,rural,5.5 US dollars per day (based on PPP),Kyzylorda,13.0,KAZ,,
2012,Percent,,rural,5.5 US dollars per day (based on PPP),Mangistau,6.7,KAZ,,
2012,Percent,,rural,5.5 US dollars per day (based on PPP),Ontustik Kazakhstan,49.0,KAZ,,
2012,Percent,,rural,5.5 US dollars per day (based on PPP),Pavlodar,23.7,KAZ,,
2012,Percent,,rural,5.5 US dollars per day (based on PPP),Soltustik Kazakhstan,23.4,KAZ,,
2012,Percent,,rural,5.5 US dollars per day (based on PPP),Shygys Kazakhstan,18.9,KAZ,,
2013,Percent,,,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2013,Percent,,,3.2 US dollars per day (based on PPP),,0.7,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),,13.6,KAZ,,
2013,Percent,Male,,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2013,Percent,Male,,3.2 US dollars per day (based on PPP),,0.7,KAZ,,
2013,Percent,Male,,5.5 US dollars per day (based on PPP),,14.2,KAZ,,
2013,Percent,Female,,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2013,Percent,Female,,3.2 US dollars per day (based on PPP),,0.6,KAZ,,
2013,Percent,Female,,5.5 US dollars per day (based on PPP),,13.1,KAZ,,
2013,Percent,,urban,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2013,Percent,,urban,3.2 US dollars per day (based on PPP),,0.3,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),,8.4,KAZ,,
2013,Percent,,rural,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2013,Percent,,rural,3.2 US dollars per day (based on PPP),,1.1,KAZ,,
2013,Percent,,rural,5.5 US dollars per day (based on PPP),,20.0,KAZ,,
2013,Percent,,,1.9 US dollars per day (based on PPP),Akmola,0.1,KAZ,,
2013,Percent,,,1.9 US dollars per day (based on PPP),Karagandy,0.2,KAZ,,
2013,Percent,,,1.9 US dollars per day (based on PPP),Soltustik Kazakhstan,0.4,KAZ,,
2013,Percent,,,3.2 US dollars per day (based on PPP),Akmola,1.5,KAZ,,
2013,Percent,,,3.2 US dollars per day (based on PPP),Aktobe,0.5,KAZ,,
2013,Percent,,,3.2 US dollars per day (based on PPP),Almaty,0.6,KAZ,,
2013,Percent,,,3.2 US dollars per day (based on PPP),Batys Kazakhstan,0.4,KAZ,,
2013,Percent,,,3.2 US dollars per day (based on PPP),Zhambyl,0.4,KAZ,,
2013,Percent,,,3.2 US dollars per day (based on PPP),Karagandy,0.9,KAZ,,
2013,Percent,,,3.2 US dollars per day (based on PPP),Kostanay,1.3,KAZ,,
2013,Percent,,,3.2 US dollars per day (based on PPP),Kyzylorda,0.3,KAZ,,
2013,Percent,,,3.2 US dollars per day (based on PPP),Pavlodar,0.3,KAZ,,
2013,Percent,,,3.2 US dollars per day (based on PPP),Soltustik Kazakhstan,2.2,KAZ,,
2013,Percent,,,3.2 US dollars per day (based on PPP),Turkistan,1.6,KAZ,,
2013,Percent,,,3.2 US dollars per day (based on PPP),Shygys Kazakhstan,0.1,KAZ,,
2013,Percent,,,3.2 US dollars per day (based on PPP),Nur-Sultan city,0.0,KAZ,,
2013,Percent,,,3.2 US dollars per day (based on PPP),Almaty city,0.0,KAZ,,
2013,Percent,,,3.2 US dollars per day (based on PPP),Shymkent city,0.6,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Akmola,16.3,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Aktobe,12.8,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Almaty,4.3,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Atyrau,6.8,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Batys Kazakhstan,23.2,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Zhambyl,15.1,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Karagandy,11.2,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Kostanay,15.0,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Kyzylorda,11.3,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Mangistau,3.1,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Pavlodar,7.8,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Soltustik Kazakhstan,20.0,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Turkistan,38.4,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Shygys Kazakhstan,11.9,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Nur-Sultan city,0.9,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Almaty city,1.2,KAZ,,
2013,Percent,,,5.5 US dollars per day (based on PPP),Shymkent city,17.3,KAZ,,
2013,Percent,,urban,1.9 US dollars per day (based on PPP),Soltustik Kazakhstan,1.0,KAZ,,
2013,Percent,,urban,3.2 US dollars per day (based on PPP),Akmola,1.3,KAZ,,
2013,Percent,,urban,3.2 US dollars per day (based on PPP),Aktobe,0.4,KAZ,,
2013,Percent,,urban,3.2 US dollars per day (based on PPP),Almaty,0.1,KAZ,,
2013,Percent,,urban,3.2 US dollars per day (based on PPP),Zhambyl,0.2,KAZ,,
2013,Percent,,urban,3.2 US dollars per day (based on PPP),Karagandy,0.2,KAZ,,
2013,Percent,,urban,3.2 US dollars per day (based on PPP),Kostanay,1.4,KAZ,,
2013,Percent,,urban,3.2 US dollars per day (based on PPP),Kyzylorda,0.8,KAZ,,
2013,Percent,,urban,3.2 US dollars per day (based on PPP),Soltustik Kazakhstan,1.9,KAZ,,
2013,Percent,,urban,3.2 US dollars per day (based on PPP),Shygys Kazakhstan,0.2,KAZ,,
2013,Percent,,urban,3.2 US dollars per day (based on PPP),Nur-Sultan city,0.0,KAZ,,
2013,Percent,,urban,3.2 US dollars per day (based on PPP),Almaty city,0.0,KAZ,,
2013,Percent,,urban,3.2 US dollars per day (based on PPP),Shymkent city,0.6,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Akmola,16.5,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Aktobe,9.3,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Almaty,5.8,KAZ,,
