Year,UNIT_MEASURE,Sex,Value,M49_country_code,Reference area,COMPOSITE_BREAKDOWN,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2015.0,,Female,290.6625,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2016.0,,Female,274.958443,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2017.0,,Female,267.728625,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2018.0,,Female,257.796323,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2019.0,,Female,256.878478,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2020.0,,Female,299.2,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2021.0,,Female,283.3,KGZ,,Non-communicable disease: Cardiovascular disease,,,,,,
2007.0,,,278.463649,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2008.0,,,281.861092,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2009.0,,,286.249449,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2010.0,,,285.093736,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2011.0,,,305.686671,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2012.0,,,338.2,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2013.0,,,289.468016,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2014.0,,,283.038721,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2015.0,,,284.833539,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2016.0,,,292.310781,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2017.0,,,267.453294,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2018.0,,,257.219869,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2019.0,,,251.694277,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2020.0,,,318.0,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2021.0,,,281.7,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2007.0,,Male,290.598291,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2008.0,,Male,295.837024,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2009.0,,Male,296.006944,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2010.0,,Male,292.847503,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2011.0,,Male,319.751993,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2012.0,,Male,359.375,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2013.0,,Male,321.322594,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2014.0,,Male,298.84106,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2015.0,,Male,308.282828,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2016.0,,Male,309.786898,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2017.0,,Male,302.936631,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2018.0,,Male,282.041588,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2019.0,,Male,266.444937,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2020.0,,Male,351.9,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2021.0,,Male,299.5,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2007.0,,Female,265.922827,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2008.0,,Female,267.457782,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2009.0,,Female,276.186213,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2010.0,,Female,277.080428,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2011.0,,Female,291.191237,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2012.0,,Female,316.472695,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2013.0,,Female,256.567426,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2014.0,,Female,266.695205,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2015.0,,Female,260.560435,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2016.0,,Female,274.213322,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2017.0,,Female,230.676812,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2018.0,,Female,231.463319,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2019.0,,Female,236.37759,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2020.0,,Female,282.8,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2021.0,,Female,263.3,KGZ,Batken,Non-communicable disease: Cardiovascular disease,KG05,,,,,
2007.0,,,272.842023,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2008.0,,,285.249665,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2009.0,,,265.321445,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2010.0,,,266.239441,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2011.0,,,289.841209,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2012.0,,,286.2,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2013.0,,,264.613971,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2014.0,,,264.584084,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2015.0,,,268.3,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2016.0,,,248.963372,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2017.0,,,244.045096,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2018.0,,,237.837838,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2019.0,,,243.111039,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2020.0,,,292.4,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2021.0,,,287.1,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2007.0,,Male,285.354025,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2008.0,,Male,281.620176,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2009.0,,Male,271.688214,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2010.0,,Male,270.223084,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2011.0,,Male,295.758502,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2012.0,,Male,285.553682,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2013.0,,Male,275.261324,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2014.0,,Male,278.047029,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2015.0,,Male,279.719052,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2016.0,,Male,256.189821,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2017.0,,Male,252.234025,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2018.0,,Male,247.974872,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2019.0,,Male,243.033052,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2020.0,,Male,311.4,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2021.0,,Male,313.7,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2007.0,,Female,260.303266,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2008.0,,Female,288.888889,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2009.0,,Female,258.931929,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2010.0,,Female,262.247278,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2011.0,,Female,283.908046,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2012.0,,Female,286.949981,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2013.0,,Female,253.915607,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2014.0,,Female,251.038468,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2015.0,,Female,256.682599,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2016.0,,Female,241.666667,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2017.0,,Female,235.765428,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2018.0,,Female,227.576975,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2019.0,,Female,243.190023,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2020.0,,Female,273.1,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2021.0,,Female,260.1,KGZ,Jalal-Abad,Non-communicable disease: Cardiovascular disease,KG03,,,,,
2007.0,,,417.024159,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2008.0,,,391.888864,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2009.0,,,369.425338,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2010.0,,,391.05893,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2011.0,,,360.51983,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2012.0,,,394.941203,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2013.0,,,385.8,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2014.0,,,362.966175,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2015.0,,,361.027837,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2016.0,,,328.686101,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2017.0,,,325.901229,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2018.0,,,302.014803,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2019.0,,,302.901197,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2020.0,,,377.0,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2021.0,,,358.2,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2007.0,,Male,406.934307,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2008.0,,Male,382.007233,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2009.0,,Male,366.89038,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2010.0,,Male,388.229927,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2011.0,,Male,353.526221,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2012.0,,Male,391.051454,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2013.0,,Male,395.050817,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2014.0,,Male,379.475983,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2015.0,,Male,370.689655,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2016.0,,Male,334.324554,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2017.0,,Male,334.589615,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2018.0,,Male,309.661437,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2019.0,,Male,303.05499,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2020.0,,Male,400.0,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2021.0,,Male,360.7,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2007.0,,Female,426.911042,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2008.0,,Female,401.599289,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2009.0,,Female,371.919014,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2010.0,,Female,393.831024,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2011.0,,Female,367.39227,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2012.0,,Female,398.767606,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2013.0,,Female,376.578145,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2014.0,,Female,346.683893,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2015.0,,Female,351.489362,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2016.0,,Female,323.109244,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2017.0,,Female,317.295728,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2018.0,,Female,294.430794,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2019.0,,Female,302.748585,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2020.0,,Female,354.1,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2021.0,,Female,355.7,KGZ,Issyk-Kul,Non-communicable disease: Cardiovascular disease,KG02,,,,,
2007.0,,,333.333333,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2008.0,,,306.525038,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2009.0,,,280.675422,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2010.0,,,301.11239,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2011.0,,,326.251897,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2012.0,,,318.198874,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2013.0,,,327.400816,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2014.0,,,317.582418,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2015.0,,,310.032597,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2016.0,,,312.813171,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2017.0,,,302.654867,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2018.0,,,307.988788,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2019.0,,,317.030871,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2020.0,,,340.7,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2021.0,,,332.2,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2007.0,,Male,351.515152,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2008.0,,Male,322.60479,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2009.0,,Male,278.846154,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2010.0,,Male,300.757576,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2011.0,,Male,346.556886,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2012.0,,Male,338.757396,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2013.0,,Male,347.69905,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2014.0,,Male,366.064982,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2015.0,,Male,327.623126,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2016.0,,Male,334.273625,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2017.0,,Male,311.977716,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2018.0,,Male,334.710744,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2019.0,,Male,344.239945,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2020.0,,Male,388.9,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2021.0,,Male,377.1,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2007.0,,Female,314.685315,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2008.0,,Female,290.0,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2009.0,,Female,282.559025,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2010.0,,Female,301.476301,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2011.0,,Female,305.384615,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2012.0,,Female,297.029703,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2013.0,,Female,306.475904,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2014.0,,Female,267.657993,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2015.0,,Female,291.911765,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2016.0,,Female,290.697674,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2017.0,,Female,293.016559,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2018.0,,Female,280.313837,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2019.0,,Female,288.841808,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2020.0,,Female,290.6,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2021.0,,Female,285.6,KGZ,Naryn,Non-communicable disease: Cardiovascular disease,KG04,,,,,
2007.0,,,246.353611,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2008.0,,,252.523479,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2009.0,,,266.436881,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2010.0,,,285.129847,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2011.0,,,275.168963,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2012.0,,,281.602757,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2013.0,,,264.368785,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2014.0,,,273.041759,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2015.0,,,265.675241,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2016.0,,,239.007538,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2017.0,,,240.774908,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2018.0,,,229.292169,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2019.0,,,230.9,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2020.0,,,304.8,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2021.0,,,248.1,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2007.0,,Male,253.001412,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2008.0,,Male,260.983264,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2009.0,,Male,272.245038,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2010.0,,Male,301.200565,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2011.0,,Male,294.630404,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2012.0,,Male,299.110198,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2013.0,,Male,280.361325,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2014.0,,Male,291.224056,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2015.0,,Male,269.292092,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2016.0,,Male,243.075008,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2017.0,,Male,251.674787,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2018.0,,Male,243.702489,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
2019.0,,Male,248.613139,KGZ,Osh,Non-communicable disease: Cardiovascular disease,KG06,,,,,
