Year,UNIT_MEASURE,Area,Sex,Regions,Age,Mother's education,Wealth index quintile,Value,M49_country_code,Observation-level footnotes,Reference area,Income or wealth quantile,Education level,GeoCode
2015,Percent,,,Nur-Sultan city,,,,84.5,KAZ,,,,,
2015,Percent,,,Almaty city,,,,90.8,KAZ,,,,,
2015,Percent,,,,36-47 months,,,81.4,KAZ,,,,,
2015,Percent,,,,48-59 months,,,90.0,KAZ,,,,,
2015,Percent,,,,,basic secondary (middle-school),,85.9,KAZ,,,,,
2015,Percent,,,,,High Education (General),,82.0,KAZ,,,,,
2015,Percent,,,,,Community College and Vocational type of Education,,85.2,KAZ,,,,,
2015,Percent,,,,,Higher education,,87.9,KAZ,,,,,
2015,Percent,,,,,,extreme poverty,87.2,KAZ,,,,,
2015,Percent,,,,,,second,82.4,KAZ,,,,,
2015,Percent,,,,,,third,83.2,KAZ,,,,,
2015,Percent,,,,,,fourth,87.3,KAZ,,,,,
2015,Percent,,,,,,wealthy,87.9,KAZ,,,,,
2014,,,,,,,,78.3,KGZ,"According to Multiple Indicator Cluster Survey, 2014",,,,
2018,,,,,,,,71.7,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,
2014,,,,,,,,81.2,KGZ,"According to Multiple Indicator Cluster Survey, 2014",Batken,,,KG05
2018,,,,,,,,83.3,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Batken,,,KG05
2014,,,,,,,,87.1,KGZ,"According to Multiple Indicator Cluster Survey, 2014",Jalal-Abad,,,KG03
2018,,,,,,,,63.9,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Jalal-Abad,,,KG03
2014,,,,,,,,81.6,KGZ,"According to Multiple Indicator Cluster Survey, 2014",Issyk-Kul,,,KG02
2018,,,,,,,,79.8,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Issyk-Kul,,,KG02
2014,,,,,,,,80.6,KGZ,"According to Multiple Indicator Cluster Survey, 2014",Naryn,,,KG04
2018,,,,,,,,72.4,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Naryn,,,KG04
2014,,,,,,,,69.6,KGZ,"According to Multiple Indicator Cluster Survey, 2014",Osh,,,KG06
2018,,,,,,,,65.8,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Osh,,,KG06
2014,,,,,,,,84.9,KGZ,"According to Multiple Indicator Cluster Survey, 2014",Talas,,,KG07
2018,,,,,,,,65.1,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Talas,,,KG07
2014,,,,,,,,73.5,KGZ,"According to Multiple Indicator Cluster Survey, 2014",Chui,,,KG08
2018,,,,,,,,72.0,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Chui,,,KG08
2014,,,,,,,,87.4,KGZ,"According to Multiple Indicator Cluster Survey, 2014",Bishkek (city),,,KG11
2018,,,,,,,,81.3,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Bishkek (city),,,KG11
2014,,,,,,,,52.0,KGZ,"According to Multiple Indicator Cluster Survey, 2014",Osh (city),,,KG21
2018,,,,,,,,71.5,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Osh (city),,,KG21
2014,,,Male,,,,,76.1,KGZ,"According to Multiple Indicator Cluster Survey, 2014",,,,
2018,,,Male,,,,,68.2,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,
2014,,,Female,,,,,80.6,KGZ,"According to Multiple Indicator Cluster Survey, 2014",,,,
2018,,,Female,,,,,75.0,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,
2014,,,,,,,,70.1,KGZ,education of mother,,,Lower secondary education,
2018,,,,,,,,71.0,KGZ,education of mother,,,Lower secondary education,
2014,,,,,,,,77.2,KGZ,education of mother,,,Upper secondary education,
2018,,,,,,,,73.8,KGZ,education of mother,,,Upper secondary education,
2014,,,,,,,,80.8,KGZ,education of mother,,,Post-secondary non-tertiary education,
2018,,,,,,,,70.6,KGZ,education of mother,,,Post-secondary non-tertiary education,
2014,,,,,,,,81.8,KGZ,education of mother,,,Short-cycle tertiary education,
2018,,,,,,,,69.6,KGZ,education of mother,,,Short-cycle tertiary education,
2014,,,,,,,,76.5,KGZ,"According to Multiple Indicator Cluster Survey, 2014",,Quintile 1 (poorest),,
2018,,,,,,,,72.5,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,Quintile 1 (poorest),,
2014,,,,,,,,80.3,KGZ,"According to Multiple Indicator Cluster Survey, 2014",,Quintile 2,,
2018,,,,,,,,70.6,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,Quintile 2,,
2014,,,,,,,,73.0,KGZ,"According to Multiple Indicator Cluster Survey, 2014",,Quintile 3,,
2018,,,,,,,,67.2,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,Quintile 3,,
2014,,,,,,,,79.3,KGZ,"According to Multiple Indicator Cluster Survey, 2014",,Quintile 4,,
2018,,,,,,,,71.0,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,Quintile 4,,
2014,,,,,,,,84.3,KGZ,"According to Multiple Indicator Cluster Survey, 2014",,Quintile 5 (richest),,
2018,,,,,,,,78.0,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,Quintile 5 (richest),,
