Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2014.0,Percent,Value added tax,3.0198984616974736,KAZ,,,,,
2014.0,Percent,Royalties related to use of resources,0.7008874983068597,KAZ,,,,,
2014.0,Percent,Registration fees,0.043315888746396,KAZ,,,,,
2014.0,Percent,Gambling tax,0.0224026105094065,KAZ,,,,,
2014.0,Percent,Taxes related to international trade and foreign operations,2.656666899350512,KAZ,,,,,
2014.0,Percent,Excise taxes,0.3701643199362804,KAZ,,,,,
2014.0,Percent,Government tariffs,0.0887108583546837,KAZ,,,,,
2015.0,Percent,,11.9,KAZ,,,,,
2015.0,Percent,Corporate Income Tax,2.9954046287367824,KAZ,,,,,
2015.0,Percent,Individual Income Tax,1.4646434635791328,KAZ,,,,,
2015.0,Percent,Social Security Taxes,1.136562009871184,KAZ,,,,,
2015.0,Percent,Property Taxes,0.5111622194416761,KAZ,,,,,
2015.0,Percent,Land Taxes,0.0365302878450138,KAZ,,,,,
2015.0,Percent,Vehicle Tax,0.1034088818533505,KAZ,,,,,
2015.0,Percent,Consolidated Land Tax,0.0020369100983223,KAZ,,,,,
2015.0,Percent,Value added tax,2.31003557405262,KAZ,,,,,
2015.0,Percent,Royalties related to use of resources,0.6520654853715917,KAZ,,,,,
2015.0,Percent,Registration fees,0.0549034337468753,KAZ,,,,,
2015.0,Percent,Gambling tax,0.0258546740186026,KAZ,,,,,
2015.0,Percent,Taxes related to international trade and foreign operations,2.152578790909513,KAZ,,,,,
2015.0,Percent,Excise taxes,0.3939627865128344,KAZ,,,,,
2015.0,Percent,Government tariffs,0.1065921807226459,KAZ,,,,,
2016.0,Percent,,12.8,KAZ,,,,,
2016.0,Percent,Corporate Income Tax,3.060100751852957,KAZ,,,,,
2016.0,Percent,Individual Income Tax,1.4727723929161625,KAZ,,,,,
2016.0,Percent,Social Security Taxes,1.129288814262606,KAZ,,,,,
2016.0,Percent,Property Taxes,0.448395359704393,KAZ,,,,,
2016.0,Percent,Land Taxes,0.0324776699822337,KAZ,,,,,
2016.0,Percent,Vehicle Tax,0.0998044587740772,KAZ,,,,,
2016.0,Percent,Consolidated Land Tax,0.0020090439631773,KAZ,,,,,
2016.0,Percent,Value added tax,3.184256630908696,KAZ,,,,,
2016.0,Percent,Royalties related to use of resources,0.7663100369556631,KAZ,,,,,
2016.0,Percent,Registration fees,0.0572745312091571,KAZ,,,,,
2016.0,Percent,Gambling tax,0.0252842072586044,KAZ,,,,,
2016.0,Percent,Taxes related to international trade and foreign operations,2.0263644995162777,KAZ,,,,,
2016.0,Percent,Excise taxes,0.436929807878304,KAZ,,,,,
2016.0,Percent,Government tariffs,0.0820557997364978,KAZ,,,,,
2017.0,Percent,,12.8,KAZ,,,,,
2017.0,Percent,Corporate Income Tax,2.89783108702546,KAZ,,,,,
2017.0,Percent,Individual Income Tax,1.4127941749077353,KAZ,,,,,
2017.0,Percent,Social Security Taxes,1.0858619184762712,KAZ,,,,,
2017.0,Percent,Property Taxes,0.4510463800108314,KAZ,,,,,
2017.0,Percent,Land Taxes,0.0289133093580238,KAZ,,,,,
2017.0,Percent,Vehicle Tax,0.1129554633481184,KAZ,,,,,
2017.0,Percent,Consolidated Land Tax,0.0018901133109558,KAZ,,,,,
2017.0,Percent,Value added tax,3.1349511983308904,KAZ,,,,,
2017.0,Percent,Royalties related to use of resources,0.7814243726672542,KAZ,,,,,
2017.0,Percent,Registration fees,0.0500593893551361,KAZ,,,,,
2017.0,Percent,Gambling tax,0.025136793132666,KAZ,,,,,
2017.0,Percent,Taxes related to international trade and foreign operations,2.2540294008270103,KAZ,,,,,
2017.0,Percent,Excise taxes,0.4820866659776195,KAZ,,,,,
2017.0,Percent,Government tariffs,0.0879676891252182,KAZ,,,,,
2018.0,Percent,,13.4,KAZ,,,,,
2018.0,Percent,Corporate Income Tax,2.8974801987727234,KAZ,,,,,
2018.0,Percent,Individual Income Tax,1.4394788698445034,KAZ,,,,,
2018.0,Percent,Social Security Taxes,1.061941118008234,KAZ,,,,,
2018.0,Percent,Property Taxes,0.4816782596705393,KAZ,,,,,
2018.0,Percent,Land Taxes,0.0289749300476978,KAZ,,,,,
2018.0,Percent,Vehicle Tax,0.1153639146304789,KAZ,,,,,
2018.0,Percent,Consolidated Land Tax,0.0017789335610972,KAZ,,,,,
2018.0,Percent,Value added tax,3.49280917001048,KAZ,,,,,
2018.0,Percent,Royalties related to use of resources,0.8475687919457615,KAZ,,,,,
2018.0,Percent,Registration fees,0.0508608580206448,KAZ,,,,,
2018.0,Percent,Gambling tax,0.0495578325605358,KAZ,,,,,
2018.0,Percent,Taxes related to international trade and foreign operations,2.442730956520576,KAZ,,,,,
2018.0,Percent,Excise taxes,0.5354400695874856,KAZ,,,,,
2018.0,Percent,Government tariffs,0.09,KAZ,,,,,
2019.0,Percent,,13.4,KAZ,,,,,
2019.0,Percent,Corporate Income Tax,2.9,KAZ,,,,,
2019.0,Percent,Individual Income Tax,1.3,KAZ,,,,,
2019.0,Percent,Social Security Taxes,1.0,KAZ,,,,,
2019.0,Percent,Property Taxes,0.4,KAZ,,,,,
2019.0,Percent,Land Taxes,0.0,KAZ,,,,,
2019.0,Percent,Vehicle Tax,0.1,KAZ,,,,,
2019.0,Percent,Consolidated Land Tax,0.0,KAZ,,,,,
2019.0,Percent,Value added tax,3.9,KAZ,,,,,
2019.0,Percent,Royalties related to use of resources,0.8,KAZ,,,,,
2019.0,Percent,Registration fees,0.0,KAZ,,,,,
2019.0,Percent,Gambling tax,0.0,KAZ,,,,,
2019.0,Percent,Taxes related to international trade and foreign operations,2.2,KAZ,,,,,
2019.0,Percent,Excise taxes,0.5,KAZ,,,,,
2019.0,Percent,Government tariffs,0.1,KAZ,,,,,
2020.0,Percent,,12.2,KAZ,,,,,
2020.0,Percent,Corporate Income Tax,2.9,KAZ,,,,,
2020.0,Percent,Individual Income Tax,1.3,KAZ,,,,,
2020.0,Percent,Social Security Taxes,1.0,KAZ,,,,,
2020.0,Percent,Property Taxes,0.4,KAZ,,,,,
2020.0,Percent,Land Taxes,0.0,KAZ,,,,,
2020.0,Percent,Vehicle Tax,0.1,KAZ,,,,,
2020.0,Percent,Consolidated Land Tax,0.0,KAZ,,,,,
2020.0,Percent,Value added tax,3.6,KAZ,,,,,
2020.0,Percent,Royalties related to use of resources,0.7,KAZ,,,,,
2020.0,Percent,Registration fees,0.0,KAZ,,,,,
2020.0,Percent,Gambling tax,0.0,KAZ,,,,,
2020.0,Percent,Taxes related to international trade and foreign operations,1.3,KAZ,,,,,
2020.0,Percent,Excise taxes,0.6,KAZ,,,,,
2020.0,Percent,Government tariffs,0.1,KAZ,,,,,
2021.0,Percent,,13.4,KAZ,,,,,
2021.0,Percent,Corporate Income Tax,3.5,KAZ,,,,,
2021.0,Percent,Individual Income Tax,1.4,KAZ,,,,,
2021.0,Percent,Social Security Taxes,1.0,KAZ,,,,,
2021.0,Percent,Property Taxes,0.4,KAZ,,,,,
2021.0,Percent,Land Taxes,0.0,KAZ,,,,,
2021.0,Percent,Vehicle Tax,0.1,KAZ,,,,,
2021.0,Percent,Consolidated Land Tax,0.0,KAZ,,,,,
2021.0,Percent,Value added tax,3.5,KAZ,,,,,
2021.0,Percent,Royalties related to use of resources,0.8,KAZ,,,,,
2021.0,Percent,Registration fees,0.0,KAZ,,,,,
2021.0,Percent,Gambling tax,0.0,KAZ,,,,,
2021.0,Percent,Taxes related to international trade and foreign operations,1.8,KAZ,,,,,
2021.0,Percent,Excise taxes,0.6,KAZ,,,,,
2021.0,Percent,Government tariffs,0.1,KAZ,,,,,
2007.0,,,25.4,KGZ,,,,,
2008.0,,,24.8,KGZ,,,,,
2009.0,,,27.6,KGZ,,,,,
2010.0,,,26.3,KGZ,,,,,
2011.0,,,27.2,KGZ,,,,,
2012.0,,,28.0,KGZ,,,,,
2013.0,,,28.7,KGZ,,,,,
2014.0,,,29.8,KGZ,,,,,
2015.0,,,29.8,KGZ,,,,,
2016.0,,,27.4,KGZ,,,,,
2017.0,,,28.2,KGZ,,,,,
2018.0,,,26.6,KGZ,,,,,
2019.0,,,27.0,KGZ,,,,,
2020.0,,,25.3,KGZ,,,,,
2007.0,,Income: Tax revenues,18.7,KGZ,,,,,
2008.0,,Income: Tax revenues,19.1,KGZ,,,,,
2009.0,,Income: Tax revenues,17.9,KGZ,,,,,
2010.0,,Income: Tax revenues,17.9,KGZ,,,,,
2011.0,,Income: Tax revenues,18.5,KGZ,,,,,
2012.0,,Income: Tax revenues,20.6,KGZ,,,,,
2013.0,,Income: Tax revenues,20.5,KGZ,,,,,
2014.0,,Income: Tax revenues,20.6,KGZ,,,,,
2015.0,,Income: Tax revenues,19.7,KGZ,,,,,
2016.0,,Income: Tax revenues,19.7,KGZ,,,,,
2017.0,,Income: Tax revenues,19.5,KGZ,,,,,
2018.0,,Income: Tax revenues,20.5,KGZ,,,,,
2019.0,,Income: Tax revenues,19.6,KGZ,,,,,
2020.0,,Income: Tax revenues,17.8,KGZ,,,,,
2016.0,,Income: Contributions / deductions for social needs,0.0,KGZ,,,,,
2017.0,,Income: Contributions / deductions for social needs,0.5,KGZ,,,,,
2007.0,,Income: Received official transfers,1.3,KGZ,,,,,
2008.0,,Income: Received official transfers,0.7,KGZ,,,,,
2009.0,,Income: Received official transfers,5.1,KGZ,,,,,
2010.0,,Income: Received official transfers,3.2,KGZ,,,,,
2011.0,,Income: Received official transfers,3.1,KGZ,,,,,
2012.0,,Income: Received official transfers,1.8,KGZ,,,,,
2013.0,,Income: Received official transfers,2.6,KGZ,,,,,
2014.0,,Income: Received official transfers,2.5,KGZ,,,,,
2015.0,,Income: Received official transfers,2.2,KGZ,,,,,
2016.0,,Income: Received official transfers,2.1,KGZ,,,,,
2017.0,,Income: Received official transfers,2.5,KGZ,,,,,
2018.0,,Income: Received official transfers,1.6,KGZ,,,,,
2019.0,,Income: Received official transfers,2.2,KGZ,,,,,
2020.0,,Income: Received official transfers,2.0,KGZ,,,,,
2007.0,,Income: Non-tax revenues,5.1,KGZ,,,,,
2008.0,,Income: Non-tax revenues,4.4,KGZ,,,,,
2009.0,,Income: Non-tax revenues,4.5,KGZ,,,,,
2010.0,,Income: Non-tax revenues,5.0,KGZ,,,,,
2011.0,,Income: Non-tax revenues,5.5,KGZ,,,,,
2012.0,,Income: Non-tax revenues,5.6,KGZ,,,,,
2013.0,,Income: Non-tax revenues,5.6,KGZ,,,,,
2014.0,,Income: Non-tax revenues,6.7,KGZ,,,,,
2015.0,,Income: Non-tax revenues,8.0,KGZ,,,,,
2016.0,,Income: Non-tax revenues,5.6,KGZ,,,,,
2017.0,,Income: Non-tax revenues,5.7,KGZ,,,,,
2018.0,,Income: Non-tax revenues,4.5,KGZ,,,,,
2019.0,,Income: Non-tax revenues,5.2,KGZ,,,,,
2020.0,,Income: Non-tax revenues,5.5,KGZ,,,,,
2007.0,,Income: Income from sale of non-financial assets,0.3,KGZ,,,,,
2008.0,,Income: Income from sale of non-financial assets,0.6,KGZ,,,,,
2009.0,,Income: Income from sale of non-financial assets,0.1,KGZ,,,,,
2010.0,,Income: Income from sale of non-financial assets,0.3,KGZ,,,,,
2011.0,,Income: Income from sale of non-financial assets,0.2,KGZ,,,,,
2012.0,,Income: Income from sale of non-financial assets,0.1,KGZ,,,,,
2013.0,,Income: Income from sale of non-financial assets,0.0,KGZ,,,,,
2014.0,,Income: Income from sale of non-financial assets,0.0,KGZ,,,,,
2015.0,,Income: Income from sale of non-financial assets,0.0,KGZ,,,,,
2016.0,,Income: Income from sale of non-financial assets,0.0,KGZ,,,,,
2017.0,,Income: Income from sale of non-financial assets,0.0,KGZ,,,,,
2018.0,,Income: Income from sale of non-financial assets,0.0,KGZ,,,,,
2019.0,,Income: Income from sale of non-financial assets,0.0,KGZ,,,,,
2020.0,,Income: Income from sale of non-financial assets,0.0,KGZ,,,,,
,,,,UZB,01_101_,Total,True,2000.0,27.9
,,,,UZB,01_101_,Total,True,2001.0,25.7
,,,,UZB,01_101_,Total,True,2002.0,25.0
,,,,UZB,01_101_,Total,True,2003.0,23.8
,,,,UZB,01_101_,Total,True,2004.0,22.4
,,,,UZB,01_101_,Total,True,2005.0,21.6
,,,,UZB,01_101_,Total,True,2006.0,20.7
,,,,UZB,01_101_,Total,True,2007.0,18.0
,,,,UZB,01_101_,Total,True,2008.0,15.2
,,,,UZB,01_101_,Total,True,2009.0,14.0
,,,,UZB,01_101_,Total,True,2010.0,17.2
,,,,UZB,01_101_,Total,True,2011.0,16.5
,,,,UZB,01_101_,Total,True,2012.0,16.7
,,,,UZB,01_101_,Total,True,2013.0,17.1
,,,,UZB,01_101_,Total,True,2014.0,17.0
,,,,UZB,01_101_,Total,True,2015.0,16.5
,,,,UZB,01_101_,Total,True,2016.0,16.1
,,,,UZB,01_101_,Total,True,2017.0,15.6
,,,,UZB,01_101_,Total,True,2018.0,18.6
,,,,UZB,01_101_,Total,True,2019.0,21.2
,,,,UZB,01_101_,Total,True,2020.0,22.1
,,,,UZB,01_101_,Total,True,2021.0,22.4
