Year,UNIT_MEASURE,Area,Sex,Regions,Value,M49_country_code,Reference area,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2016.0,Percent,urban,Female,Pavlodar,91.4,KAZ,,,,,,,,,,,
2016.0,Percent,rural,,Pavlodar,83.7,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Male,Pavlodar,87.6,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Female,Pavlodar,79.8,KAZ,,,,,,,,,,,
2016.0,Percent,,,Soltustik Kazakhstan,81.5,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Soltustik Kazakhstan,84.0,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Soltustik Kazakhstan,79.3,KAZ,,,,,,,,,,,
2016.0,Percent,urban,,Soltustik Kazakhstan,83.1,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Male,Soltustik Kazakhstan,85.0,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Female,Soltustik Kazakhstan,81.5,KAZ,,,,,,,,,,,
2016.0,Percent,rural,,Soltustik Kazakhstan,80.4,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Male,Soltustik Kazakhstan,83.3,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Female,Soltustik Kazakhstan,77.5,KAZ,,,,,,,,,,,
2016.0,Percent,,,Turkistan,78.1,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Turkistan,78.4,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Turkistan,77.8,KAZ,,,,,,,,,,,
2016.0,Percent,urban,,Turkistan,77.5,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Male,Turkistan,77.6,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Female,Turkistan,77.4,KAZ,,,,,,,,,,,
2016.0,Percent,rural,,Turkistan,78.3,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Male,Turkistan,78.6,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Female,Turkistan,77.9,KAZ,,,,,,,,,,,
2016.0,Percent,,,Shygys Kazakhstan,89.5,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Shygys Kazakhstan,91.3,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Shygys Kazakhstan,87.9,KAZ,,,,,,,,,,,
2016.0,Percent,urban,,Shygys Kazakhstan,92.4,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Male,Shygys Kazakhstan,92.6,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Female,Shygys Kazakhstan,92.1,KAZ,,,,,,,,,,,
2016.0,Percent,rural,,Shygys Kazakhstan,85.2,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Male,Shygys Kazakhstan,89.5,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Female,Shygys Kazakhstan,81.0,KAZ,,,,,,,,,,,
2016.0,Percent,,,Nur-Sultan city,99.6,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Nur-Sultan city,99.4,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Nur-Sultan city,99.8,KAZ,,,,,,,,,,,
2016.0,Percent,,,Almaty city,85.4,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Almaty city,84.6,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Almaty city,86.1,KAZ,,,,,,,,,,,
2016.0,Percent,,,Shymkent city,81.0,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Shymkent city,81.3,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Shymkent city,80.7,KAZ,,,,,,,,,,,
2017.0,Percent,,,,86.8,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,,87.1,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,,86.5,KAZ,,,,,,,,,,,
2017.0,Percent,urban,,,89.7,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Male,,89.7,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Female,,89.6,KAZ,,,,,,,,,,,
2017.0,Percent,rural,,,83.0,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Male,,83.9,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Female,,82.1,KAZ,,,,,,,,,,,
2017.0,Percent,,,Akmola,84.7,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Akmola,84.8,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Akmola,84.6,KAZ,,,,,,,,,,,
2017.0,Percent,urban,,Akmola,87.8,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Male,Akmola,88.3,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Female,Akmola,87.3,KAZ,,,,,,,,,,,
2017.0,Percent,rural,,Akmola,82.0,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Male,Akmola,82.0,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Female,Akmola,82.1,KAZ,,,,,,,,,,,
2017.0,Percent,,,Aktobe,89.5,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Aktobe,89.8,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Aktobe,89.2,KAZ,,,,,,,,,,,
2017.0,Percent,urban,,Aktobe,91.9,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Male,Aktobe,91.8,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Female,Aktobe,92.0,KAZ,,,,,,,,,,,
2017.0,Percent,rural,,Aktobe,85.3,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Male,Aktobe,86.5,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Female,Aktobe,84.1,KAZ,,,,,,,,,,,
2017.0,Percent,,,Almaty,89.3,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Almaty,89.8,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Almaty,88.8,KAZ,,,,,,,,,,,
2017.0,Percent,urban,,Almaty,86.3,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Male,Almaty,85.2,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Female,Almaty,87.4,KAZ,,,,,,,,,,,
2017.0,Percent,rural,,Almaty,90.2,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Male,Almaty,91.1,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Female,Almaty,89.2,KAZ,,,,,,,,,,,
2017.0,Percent,,,Atyrau,87.7,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Atyrau,86.9,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Atyrau,88.4,KAZ,,,,,,,,,,,
2017.0,Percent,urban,,Atyrau,93.5,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Male,Atyrau,94.5,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Female,Atyrau,92.7,KAZ,,,,,,,,,,,
2017.0,Percent,rural,,Atyrau,82.4,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Male,Atyrau,80.5,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Female,Atyrau,84.3,KAZ,,,,,,,,,,,
2017.0,Percent,,,Batys Kazakhstan,90.7,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Batys Kazakhstan,91.0,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Batys Kazakhstan,90.4,KAZ,,,,,,,,,,,
2017.0,Percent,urban,,Batys Kazakhstan,97.3,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Male,Batys Kazakhstan,97.2,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Female,Batys Kazakhstan,97.3,KAZ,,,,,,,,,,,
2017.0,Percent,rural,,Batys Kazakhstan,83.9,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Male,Batys Kazakhstan,85.3,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Female,Batys Kazakhstan,82.5,KAZ,,,,,,,,,,,
2017.0,Percent,,,Zhambyl,81.8,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Zhambyl,81.9,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Zhambyl,81.7,KAZ,,,,,,,,,,,
2017.0,Percent,urban,,Zhambyl,84.2,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Male,Zhambyl,83.5,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Female,Zhambyl,84.8,KAZ,,,,,,,,,,,
2017.0,Percent,rural,,Zhambyl,80.2,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Male,Zhambyl,81.0,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Female,Zhambyl,79.5,KAZ,,,,,,,,,,,
2017.0,Percent,,,Karagandy,86.2,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Karagandy,86.7,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Karagandy,85.7,KAZ,,,,,,,,,,,
2017.0,Percent,urban,,Karagandy,87.7,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Male,Karagandy,88.3,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Female,Karagandy,87.2,KAZ,,,,,,,,,,,
2017.0,Percent,rural,,Karagandy,80.1,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Male,Karagandy,80.9,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Female,Karagandy,79.3,KAZ,,,,,,,,,,,
2017.0,Percent,,,Kostanay,93.1,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Kostanay,93.9,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Kostanay,92.3,KAZ,,,,,,,,,,,
2017.0,Percent,urban,,Kostanay,95.4,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Male,Kostanay,95.9,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Female,Kostanay,94.9,KAZ,,,,,,,,,,,
2017.0,Percent,rural,,Kostanay,90.4,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Male,Kostanay,91.7,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Female,Kostanay,89.1,KAZ,,,,,,,,,,,
2017.0,Percent,,,Kyzylorda,83.0,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Kyzylorda,82.8,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Kyzylorda,83.2,KAZ,,,,,,,,,,,
2017.0,Percent,urban,,Kyzylorda,88.6,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Male,Kyzylorda,89.0,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Female,Kyzylorda,88.3,KAZ,,,,,,,,,,,
2017.0,Percent,rural,,Kyzylorda,78.7,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Male,Kyzylorda,78.2,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Female,Kyzylorda,79.2,KAZ,,,,,,,,,,,
2017.0,Percent,,,Mangistau,89.3,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Mangistau,90.9,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Mangistau,87.8,KAZ,,,,,,,,,,,
2017.0,Percent,urban,,Mangistau,92.9,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Male,Mangistau,93.4,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Female,Mangistau,92.4,KAZ,,,,,,,,,,,
2017.0,Percent,rural,,Mangistau,86.7,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Male,Mangistau,89.1,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Female,Mangistau,84.5,KAZ,,,,,,,,,,,
2017.0,Percent,,,Pavlodar,86.5,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Pavlodar,87.0,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Pavlodar,86.1,KAZ,,,,,,,,,,,
2017.0,Percent,urban,,Pavlodar,89.3,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Male,Pavlodar,90.3,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Female,Pavlodar,88.4,KAZ,,,,,,,,,,,
2017.0,Percent,rural,,Pavlodar,79.9,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Male,Pavlodar,79.7,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Female,Pavlodar,80.2,KAZ,,,,,,,,,,,
2017.0,Percent,,,Soltustik Kazakhstan,83.5,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Soltustik Kazakhstan,85.5,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Soltustik Kazakhstan,81.7,KAZ,,,,,,,,,,,
2017.0,Percent,urban,,Soltustik Kazakhstan,86.5,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Male,Soltustik Kazakhstan,87.7,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Female,Soltustik Kazakhstan,85.5,KAZ,,,,,,,,,,,
2017.0,Percent,rural,,Soltustik Kazakhstan,81.2,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Male,Soltustik Kazakhstan,83.9,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Female,Soltustik Kazakhstan,78.5,KAZ,,,,,,,,,,,
2017.0,Percent,,,Turkistan,78.8,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Turkistan,79.7,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Turkistan,77.8,KAZ,,,,,,,,,,,
2017.0,Percent,urban,,Turkistan,76.6,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Male,Turkistan,75.8,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Female,Turkistan,77.4,KAZ,,,,,,,,,,,
2017.0,Percent,rural,,Turkistan,79.3,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Male,Turkistan,80.6,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Female,Turkistan,77.9,KAZ,,,,,,,,,,,
2017.0,Percent,,,Shygys Kazakhstan,85.3,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Shygys Kazakhstan,85.1,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Shygys Kazakhstan,85.5,KAZ,,,,,,,,,,,
2017.0,Percent,urban,,Shygys Kazakhstan,92.2,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Male,Shygys Kazakhstan,91.4,KAZ,,,,,,,,,,,
2017.0,Percent,urban,Female,Shygys Kazakhstan,92.9,KAZ,,,,,,,,,,,
2017.0,Percent,rural,,Shygys Kazakhstan,74.8,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Male,Shygys Kazakhstan,76.2,KAZ,,,,,,,,,,,
2017.0,Percent,rural,Female,Shygys Kazakhstan,73.3,KAZ,,,,,,,,,,,
2017.0,Percent,,,Nur-Sultan city,96.3,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Nur-Sultan city,96.1,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Nur-Sultan city,96.5,KAZ,,,,,,,,,,,
2017.0,Percent,,,Almaty city,86.5,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Almaty city,86.3,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Almaty city,86.6,KAZ,,,,,,,,,,,
2017.0,Percent,,,Shymkent city,91.2,KAZ,,,,,,,,,,,
2017.0,Percent,,Male,Shymkent city,92.1,KAZ,,,,,,,,,,,
2017.0,Percent,,Female,Shymkent city,90.3,KAZ,,,,,,,,,,,
2018.0,Percent,,,,87.9,KAZ,,,,,,,,,,,
2018.0,Percent,,Male,,88.8,KAZ,,,,,,,,,,,
2018.0,Percent,,Female,,87.1,KAZ,,,,,,,,,,,
2018.0,Percent,urban,,,90.2,KAZ,,,,,,,,,,,
2018.0,Percent,urban,Male,,91.1,KAZ,,,,,,,,,,,
2018.0,Percent,urban,Female,,89.5,KAZ,,,,,,,,,,,
2018.0,Percent,rural,,,84.8,KAZ,,,,,,,,,,,
2018.0,Percent,rural,Male,,85.8,KAZ,,,,,,,,,,,
2018.0,Percent,rural,Female,,83.7,KAZ,,,,,,,,,,,
2018.0,Percent,,,Akmola,88.9,KAZ,,,,,,,,,,,
2018.0,Percent,,Male,Akmola,90.2,KAZ,,,,,,,,,,,
2018.0,Percent,,Female,Akmola,87.6,KAZ,,,,,,,,,,,
2018.0,Percent,urban,,Akmola,90.6,KAZ,,,,,,,,,,,
2018.0,Percent,urban,Male,Akmola,91.9,KAZ,,,,,,,,,,,
2018.0,Percent,urban,Female,Akmola,89.5,KAZ,,,,,,,,,,,
2018.0,Percent,rural,,Akmola,87.3,KAZ,,,,,,,,,,,
2018.0,Percent,rural,Male,Akmola,88.8,KAZ,,,,,,,,,,,
2018.0,Percent,rural,Female,Akmola,85.8,KAZ,,,,,,,,,,,
2018.0,Percent,,,Aktobe,88.1,KAZ,,,,,,,,,,,
2018.0,Percent,,Male,Aktobe,87.7,KAZ,,,,,,,,,,,
2018.0,Percent,,Female,Aktobe,88.5,KAZ,,,,,,,,,,,
2018.0,Percent,urban,,Aktobe,90.4,KAZ,,,,,,,,,,,
2018.0,Percent,urban,Male,Aktobe,89.3,KAZ,,,,,,,,,,,
2018.0,Percent,urban,Female,Aktobe,91.4,KAZ,,,,,,,,,,,
2018.0,Percent,rural,,Aktobe,82.8,KAZ,,,,,,,,,,,
2018.0,Percent,rural,Male,Aktobe,84.2,KAZ,,,,,,,,,,,
2018.0,Percent,rural,Female,Aktobe,81.4,KAZ,,,,,,,,,,,
2018.0,Percent,,,Almaty,92.0,KAZ,,,,,,,,,,,
2018.0,Percent,,Male,Almaty,92.9,KAZ,,,,,,,,,,,
2018.0,Percent,,Female,Almaty,91.0,KAZ,,,,,,,,,,,
2018.0,Percent,urban,,Almaty,90.1,KAZ,,,,,,,,,,,
2018.0,Percent,urban,Male,Almaty,90.7,KAZ,,,,,,,,,,,
2018.0,Percent,urban,Female,Almaty,89.7,KAZ,,,,,,,,,,,
2018.0,Percent,rural,,Almaty,92.5,KAZ,,,,,,,,,,,
2018.0,Percent,rural,Male,Almaty,93.5,KAZ,,,,,,,,,,,
2018.0,Percent,rural,Female,Almaty,91.4,KAZ,,,,,,,,,,,
2018.0,Percent,,,Atyrau,86.1,KAZ,,,,,,,,,,,
2018.0,Percent,,Male,Atyrau,86.0,KAZ,,,,,,,,,,,
2018.0,Percent,,Female,Atyrau,86.2,KAZ,,,,,,,,,,,
2018.0,Percent,urban,,Atyrau,89.1,KAZ,,,,,,,,,,,
2018.0,Percent,urban,Male,Atyrau,90.4,KAZ,,,,,,,,,,,
2018.0,Percent,urban,Female,Atyrau,87.9,KAZ,,,,,,,,,,,
2018.0,Percent,rural,,Atyrau,83.0,KAZ,,,,,,,,,,,
2018.0,Percent,rural,Male,Atyrau,81.6,KAZ,,,,,,,,,,,
2018.0,Percent,rural,Female,Atyrau,84.3,KAZ,,,,,,,,,,,
2018.0,Percent,,,Batys Kazakhstan,90.2,KAZ,,,,,,,,,,,
2018.0,Percent,,Male,Batys Kazakhstan,91.2,KAZ,,,,,,,,,,,
2018.0,Percent,,Female,Batys Kazakhstan,89.2,KAZ,,,,,,,,,,,
2018.0,Percent,urban,,Batys Kazakhstan,95.7,KAZ,,,,,,,,,,,
2018.0,Percent,urban,Male,Batys Kazakhstan,96.7,KAZ,,,,,,,,,,,
2018.0,Percent,urban,Female,Batys Kazakhstan,94.8,KAZ,,,,,,,,,,,
2018.0,Percent,rural,,Batys Kazakhstan,84.4,KAZ,,,,,,,,,,,
2018.0,Percent,rural,Male,Batys Kazakhstan,85.9,KAZ,,,,,,,,,,,
