Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,GeoCode,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2017.0,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,KG04,30.8,KGZ,,,,,
2018.0,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,KG04,31.7,KGZ,,,,,
2019.0,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,KG04,29.020992,KGZ,,,,,
2020.0,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,KG04,27.855975,KGZ,,,,,
2021.0,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,KG04,25.042809,KGZ,,,,,
2015.0,Proportion of people living below 50 percent of median income,Osh,,,,Bottom 50%,KG06,10.295311,KGZ,,,,,
2016.0,Proportion of people living below 50 percent of median income,Osh,,,,Bottom 50%,KG06,6.259579,KGZ,,,,,
2017.0,Proportion of people living below 50 percent of median income,Osh,,,,Bottom 50%,KG06,4.2,KGZ,,,,,
2018.0,Proportion of people living below 50 percent of median income,Osh,,,,Bottom 50%,KG06,8.8,KGZ,,,,,
2019.0,Proportion of people living below 50 percent of median income,Osh,,,,Bottom 50%,KG06,7.362662,KGZ,,,,,
2020.0,Proportion of people living below 50 percent of median income,Osh,,,,Bottom 50%,KG06,3.856705,KGZ,,,,,
2021.0,Proportion of people living below 50 percent of median income,Osh,,,,Bottom 50%,KG06,3.201116,KGZ,,,,,
2015.0,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,KG07,17.628776,KGZ,,,,,
2016.0,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,KG07,16.289548,KGZ,,,,,
2017.0,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,KG07,17.0,KGZ,,,,,
2018.0,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,KG07,17.6,KGZ,,,,,
2019.0,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,KG07,15.083486,KGZ,,,,,
2020.0,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,KG07,12.700277,KGZ,,,,,
2021.0,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,KG07,13.523575,KGZ,,,,,
2015.0,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,KG08,8.324989,KGZ,,,,,
2016.0,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,KG08,9.54309,KGZ,,,,,
2017.0,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,KG08,6.0,KGZ,,,,,
2018.0,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,KG08,5.5,KGZ,,,,,
2019.0,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,KG08,4.972738,KGZ,,,,,
2020.0,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,KG08,6.543626,KGZ,,,,,
2021.0,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,KG08,6.1197,KGZ,,,,,
2015.0,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,KG11,6.300161,KGZ,,,,,
2016.0,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,KG11,5.9524,KGZ,,,,,
2017.0,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,KG11,5.3,KGZ,,,,,
2018.0,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,KG11,6.8,KGZ,,,,,
2019.0,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,KG11,6.252085,KGZ,,,,,
2020.0,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,KG11,7.921875,KGZ,,,,,
2021.0,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,KG11,5.948814,KGZ,,,,,
2015.0,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,KG21,4.356925,KGZ,,,,,
2016.0,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,KG21,8.77669,KGZ,,,,,
2017.0,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,KG21,8.8,KGZ,,,,,
2018.0,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,KG21,10.2,KGZ,,,,,
2019.0,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,KG21,8.254219,KGZ,,,,,
2020.0,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,KG21,6.255189,KGZ,,,,,
2021.0,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,KG21,5.245198,KGZ,,,,,
,,,,,,,,,UZB,11_101_,Total,True,2000.0,25.8
,,,,,,,,,UZB,11_101_,Total,True,2001.0,21.9
,,,,,,,,,UZB,11_101_,Total,True,2002.0,21.0
,,,,,,,,,UZB,11_101_,Total,True,2003.0,22.0
,,,,,,,,,UZB,11_101_,Total,True,2004.0,22.2
,,,,,,,,,UZB,11_101_,Total,True,2005.0,22.3
,,,,,,,,,UZB,11_101_,Total,True,2006.0,21.4
,,,,,,,,,UZB,11_101_,Total,True,2007.0,14.9
,,,,,,,,,UZB,11_101_,Total,True,2008.0,16.5
,,,,,,,,,UZB,11_101_,Total,True,2009.0,15.9
,,,,,,,,,UZB,11_101_,Total,True,2010.0,12.7
,,,,,,,,,UZB,11_101_,Total,True,2011.0,11.5
,,,,,,,,,UZB,11_101_,Total,True,2012.0,11.6
,,,,,,,,,UZB,11_101_,Total,True,2013.0,11.0
,,,,,,,,,UZB,11_101_,Total,True,2014.0,8.8
,,,,,,,,,UZB,11_101_,Total,True,2015.0,8.6
,,,,,,,,,UZB,11_101_,Total,True,2016.0,8.2
,,,,,,,,,UZB,11_101_,Total,True,2017.0,8.1
,,,,,,,,,UZB,11_101_,Total,True,2018.0,7.8
,,,,,,,,,UZB,11_101_,Total,True,2019.0,9.1
,,,,,,,,,UZB,11_101_,Total,True,2020.0,10.0
,,,,,,,,,UZB,11_101_,Total,True,2021.0,10.7
