Year,UNIT_MEASURE,Sex,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2015.0,Percent,Male,Mangistau,100.0,KAZ,,,,,
2015.0,Percent,Female,Mangistau,100.0,KAZ,,,,,
2015.0,Percent,Male,Ontustik Kazakhstan,99.03708400854882,KAZ,,,,,
2015.0,Percent,Female,Ontustik Kazakhstan,100.0,KAZ,,,,,
2015.0,Percent,Male,Pavlodar,100.0,KAZ,,,,,
2015.0,Percent,Female,Pavlodar,100.0,KAZ,,,,,
2015.0,Percent,Male,Soltustik Kazakhstan,100.0,KAZ,,,,,
2015.0,Percent,Female,Soltustik Kazakhstan,100.0,KAZ,,,,,
2015.0,Percent,Male,Shygys Kazakhstan,100.0,KAZ,,,,,
2015.0,Percent,Female,Shygys Kazakhstan,100.0,KAZ,,,,,
2015.0,Percent,Male,Nur-Sultan city,100.0,KAZ,,,,,
2015.0,Percent,Female,Nur-Sultan city,82.83477036776351,KAZ,,,,,
2015.0,Percent,Male,Almaty city,100.0,KAZ,,,,,
2015.0,Percent,Female,Almaty city,93.84175167952226,KAZ,,,,,
2016.0,Percent,,,95.85777639042873,KAZ,,,,,
2016.0,Percent,Male,,98.77800407331976,KAZ,,,,,
2016.0,Percent,Female,,92.88182559087204,KAZ,,,,,
2016.0,Percent,,Akmola,100.0,KAZ,,,,,
2016.0,Percent,,Aktobe,100.0,KAZ,,,,,
2016.0,Percent,,Almaty,100.0,KAZ,,,,,
2016.0,Percent,,Atyrau,100.0,KAZ,,,,,
2016.0,Percent,,Batys Kazakhstan,100.0,KAZ,,,,,
2016.0,Percent,,Zhambyl,100.0,KAZ,,,,,
2016.0,Percent,,Karagandy,96.8,KAZ,,,,,
2016.0,Percent,,Kostanay,100.0,KAZ,,,,,
2016.0,Percent,,Kyzylorda,100.0,KAZ,,,,,
2016.0,Percent,,Mangistau,100.0,KAZ,,,,,
2016.0,Percent,,Ontustik Kazakhstan,88.1,KAZ,,,,,
2016.0,Percent,,Pavlodar,100.0,KAZ,,,,,
2016.0,Percent,,Soltustik Kazakhstan,100.0,KAZ,,,,,
2016.0,Percent,,Shygys Kazakhstan,100.0,KAZ,,,,,
2016.0,Percent,,Nur-Sultan city,84.9,KAZ,,,,,
2016.0,Percent,,Almaty city,89.5,KAZ,,,,,
2016.0,Percent,Male,Akmola,100.0,KAZ,,,,,
2016.0,Percent,Female,Akmola,100.0,KAZ,,,,,
2016.0,Percent,Male,Aktobe,100.0,KAZ,,,,,
2016.0,Percent,Female,Aktobe,100.0,KAZ,,,,,
2016.0,Percent,Male,Almaty,100.0,KAZ,,,,,
2016.0,Percent,Female,Almaty,100.0,KAZ,,,,,
2016.0,Percent,Male,Atyrau,100.0,KAZ,,,,,
2016.0,Percent,Female,Atyrau,100.0,KAZ,,,,,
2016.0,Percent,Male,Batys Kazakhstan,100.0,KAZ,,,,,
2016.0,Percent,Female,Batys Kazakhstan,100.0,KAZ,,,,,
2016.0,Percent,Male,Zhambyl,100.0,KAZ,,,,,
2016.0,Percent,Female,Zhambyl,100.0,KAZ,,,,,
2016.0,Percent,Male,Karagandy,97.24794020215748,KAZ,,,,,
2016.0,Percent,Female,Karagandy,96.27645560727144,KAZ,,,,,
2016.0,Percent,Male,Kostanay,100.0,KAZ,,,,,
2016.0,Percent,Female,Kostanay,100.0,KAZ,,,,,
2016.0,Percent,Male,Kyzylorda,100.0,KAZ,,,,,
2016.0,Percent,Female,Kyzylorda,100.0,KAZ,,,,,
2016.0,Percent,Male,Mangistau,100.0,KAZ,,,,,
2016.0,Percent,Female,Mangistau,100.0,KAZ,,,,,
2016.0,Percent,Male,Ontustik Kazakhstan,85.98361780991168,KAZ,,,,,
2016.0,Percent,Female,Ontustik Kazakhstan,90.45462462985545,KAZ,,,,,
2016.0,Percent,Male,Pavlodar,100.0,KAZ,,,,,
2016.0,Percent,Female,Pavlodar,100.0,KAZ,,,,,
2016.0,Percent,Male,Soltustik Kazakhstan,100.0,KAZ,,,,,
2016.0,Percent,Female,Soltustik Kazakhstan,100.0,KAZ,,,,,
2016.0,Percent,Male,Shygys Kazakhstan,100.0,KAZ,,,,,
2016.0,Percent,Female,Shygys Kazakhstan,100.0,KAZ,,,,,
2016.0,Percent,Male,Nur-Sultan city,92.793014389374,KAZ,,,,,
2016.0,Percent,Female,Nur-Sultan city,77.94717629375134,KAZ,,,,,
2016.0,Percent,Male,Almaty city,97.80531260123097,KAZ,,,,,
2016.0,Percent,Female,Almaty city,81.96733372572102,KAZ,,,,,
2017.0,Percent,,,99.19755003760682,KAZ,,,,,
2017.0,Percent,Male,,99.77661051741832,KAZ,,,,,
2017.0,Percent,Female,,98.59434698979564,KAZ,,,,,
2017.0,Percent,,Akmola,100.0,KAZ,,,,,
2017.0,Percent,,Aktobe,100.0,KAZ,,,,,
2017.0,Percent,,Almaty,100.0,KAZ,,,,,
2017.0,Percent,,Atyrau,100.0,KAZ,,,,,
2017.0,Percent,,Batys Kazakhstan,100.0,KAZ,,,,,
2017.0,Percent,,Zhambyl,100.0,KAZ,,,,,
2017.0,Percent,,Karagandy,100.0,KAZ,,,,,
2017.0,Percent,,Kostanay,100.0,KAZ,,,,,
2017.0,Percent,,Kyzylorda,100.0,KAZ,,,,,
2017.0,Percent,,Mangistau,100.0,KAZ,,,,,
2017.0,Percent,,Ontustik Kazakhstan,100.0,KAZ,,,,,
2017.0,Percent,,Pavlodar,100.0,KAZ,,,,,
2017.0,Percent,,Soltustik Kazakhstan,96.1,KAZ,,,,,
2017.0,Percent,,Shygys Kazakhstan,100.0,KAZ,,,,,
2017.0,Percent,,Nur-Sultan city,89.3,KAZ,,,,,
2017.0,Percent,,Almaty city,95.4,KAZ,,,,,
2017.0,Percent,Male,Akmola,100.0,KAZ,,,,,
2017.0,Percent,Female,Akmola,100.0,KAZ,,,,,
2017.0,Percent,Male,Aktobe,100.0,KAZ,,,,,
2017.0,Percent,Female,Aktobe,100.0,KAZ,,,,,
2017.0,Percent,Male,Almaty,100.0,KAZ,,,,,
2017.0,Percent,Female,Almaty,100.0,KAZ,,,,,
2017.0,Percent,Male,Atyrau,100.0,KAZ,,,,,
2017.0,Percent,Female,Atyrau,100.0,KAZ,,,,,
2017.0,Percent,Male,Batys Kazakhstan,100.0,KAZ,,,,,
2017.0,Percent,Female,Batys Kazakhstan,100.0,KAZ,,,,,
2017.0,Percent,Male,Zhambyl,100.0,KAZ,,,,,
2017.0,Percent,Female,Zhambyl,100.0,KAZ,,,,,
2017.0,Percent,Male,Karagandy,100.0,KAZ,,,,,
2017.0,Percent,Female,Karagandy,100.0,KAZ,,,,,
2017.0,Percent,Male,Kostanay,100.0,KAZ,,,,,
2017.0,Percent,Female,Kostanay,100.0,KAZ,,,,,
2017.0,Percent,Male,Kyzylorda,100.0,KAZ,,,,,
2017.0,Percent,Female,Kyzylorda,100.0,KAZ,,,,,
2017.0,Percent,Male,Mangistau,100.0,KAZ,,,,,
2017.0,Percent,Female,Mangistau,100.0,KAZ,,,,,
2017.0,Percent,Male,Ontustik Kazakhstan,100.0,KAZ,,,,,
2017.0,Percent,Female,Ontustik Kazakhstan,100.0,KAZ,,,,,
2017.0,Percent,Male,Pavlodar,100.0,KAZ,,,,,
2017.0,Percent,Female,Pavlodar,100.0,KAZ,,,,,
2017.0,Percent,Male,Soltustik Kazakhstan,93.96976090014064,KAZ,,,,,
2017.0,Percent,Female,Soltustik Kazakhstan,98.47939175670268,KAZ,,,,,
2017.0,Percent,Male,Shygys Kazakhstan,100.0,KAZ,,,,,
2017.0,Percent,Female,Shygys Kazakhstan,100.0,KAZ,,,,,
2017.0,Percent,Male,Nur-Sultan city,88.93717182690567,KAZ,,,,,
2017.0,Percent,Female,Nur-Sultan city,89.72860538827258,KAZ,,,,,
2017.0,Percent,Male,Almaty city,100.0,KAZ,,,,,
2017.0,Percent,Female,Almaty city,86.6578415662231,KAZ,,,,,
2018.0,Percent,,,93.83096929119436,KAZ,,,,,
2018.0,Percent,Male,,91.65236639043032,KAZ,,,,,
2018.0,Percent,Female,,96.26536706438978,KAZ,,,,,
2018.0,Percent,,Akmola,100.0,KAZ,,,,,
2018.0,Percent,,Aktobe,100.0,KAZ,,,,,
2018.0,Percent,,Almaty,100.0,KAZ,,,,,
2018.0,Percent,,Atyrau,100.0,KAZ,,,,,
2018.0,Percent,,Batys Kazakhstan,100.0,KAZ,,,,,
2018.0,Percent,,Zhambyl,91.3,KAZ,,,,,
2018.0,Percent,,Karagandy,100.0,KAZ,,,,,
2018.0,Percent,,Kostanay,100.0,KAZ,,,,,
2018.0,Percent,,Kyzylorda,100.0,KAZ,,,,,
2018.0,Percent,,Mangistau,100.0,KAZ,,,,,
2018.0,Percent,,Pavlodar,100.0,KAZ,,,,,
2018.0,Percent,,Soltustik Kazakhstan,100.0,KAZ,,,,,
2018.0,Percent,,Turkistan,90.2,KAZ,,,,,
2018.0,Percent,,Shygys Kazakhstan,100.0,KAZ,,,,,
2018.0,Percent,,Nur-Sultan city,66.7,KAZ,,,,,
2018.0,Percent,,Almaty city,80.2,KAZ,,,,,
2018.0,Percent,,Shymkent city,89.4,KAZ,,,,,
2018.0,Percent,Male,Akmola,100.0,KAZ,,,,,
2018.0,Percent,Female,Akmola,100.0,KAZ,,,,,
2018.0,Percent,Male,Aktobe,100.0,KAZ,,,,,
2018.0,Percent,Female,Aktobe,100.0,KAZ,,,,,
2018.0,Percent,Male,Almaty,100.0,KAZ,,,,,
2018.0,Percent,Female,Almaty,100.0,KAZ,,,,,
2018.0,Percent,Male,Atyrau,100.0,KAZ,,,,,
2018.0,Percent,Female,Atyrau,100.0,KAZ,,,,,
2018.0,Percent,Male,Batys Kazakhstan,100.0,KAZ,,,,,
2018.0,Percent,Female,Batys Kazakhstan,100.0,KAZ,,,,,
2018.0,Percent,Male,Zhambyl,100.0,KAZ,,,,,
2018.0,Percent,Female,Zhambyl,82.15533623490468,KAZ,,,,,
2018.0,Percent,Male,Karagandy,100.0,KAZ,,,,,
2018.0,Percent,Female,Karagandy,100.0,KAZ,,,,,
2018.0,Percent,Male,Kostanay,100.0,KAZ,,,,,
2018.0,Percent,Female,Kostanay,100.0,KAZ,,,,,
2018.0,Percent,Male,Kyzylorda,100.0,KAZ,,,,,
2018.0,Percent,Female,Kyzylorda,100.0,KAZ,,,,,
2018.0,Percent,Male,Mangistau,100.0,KAZ,,,,,
2018.0,Percent,Female,Mangistau,100.0,KAZ,,,,,
2018.0,Percent,Male,Turkistan,88.08910636106103,KAZ,,,,,
2018.0,Percent,Female,Turkistan,92.53446387960804,KAZ,,,,,
2018.0,Percent,Male,Pavlodar,100.0,KAZ,,,,,
2018.0,Percent,Female,Pavlodar,100.0,KAZ,,,,,
2018.0,Percent,Male,Soltustik Kazakhstan,100.0,KAZ,,,,,
2018.0,Percent,Female,Soltustik Kazakhstan,100.0,KAZ,,,,,
2018.0,Percent,Male,Shygys Kazakhstan,100.0,KAZ,,,,,
2018.0,Percent,Female,Shygys Kazakhstan,100.0,KAZ,,,,,
2018.0,Percent,Male,Nur-Sultan city,67.87322480083131,KAZ,,,,,
2018.0,Percent,Female,Nur-Sultan city,65.53822521564457,KAZ,,,,,
2018.0,Percent,Male,Almaty city,78.37239759743485,KAZ,,,,,
2018.0,Percent,Female,Almaty city,82.22153273347813,KAZ,,,,,
2018.0,Percent,Male,Shymkent city,88.21177032350484,KAZ,,,,,
2018.0,Percent,Female,Shymkent city,90.7781358942314,KAZ,,,,,
2019.0,Percent,,,98.3,KAZ,,,,,
2019.0,Percent,Male,,98.3,KAZ,,,,,
2019.0,Percent,Female,,98.7,KAZ,,,,,
2019.0,Percent,,Akmola,100.0,KAZ,,,,,
2019.0,Percent,,Aktobe,100.0,KAZ,,,,,
2019.0,Percent,,Almaty,100.0,KAZ,,,,,
2019.0,Percent,,Atyrau,100.0,KAZ,,,,,
2019.0,Percent,,Batys Kazakhstan,100.0,KAZ,,,,,
2019.0,Percent,,Zhambyl,100.0,KAZ,,,,,
2019.0,Percent,,Karagandy,100.0,KAZ,,,,,
2019.0,Percent,,Kostanay,100.0,KAZ,,,,,
2019.0,Percent,,Kyzylorda,100.0,KAZ,,,,,
2019.0,Percent,,Mangistau,100.0,KAZ,,,,,
2019.0,Percent,,Pavlodar,100.0,KAZ,,,,,
2019.0,Percent,,Soltustik Kazakhstan,100.0,KAZ,,,,,
2019.0,Percent,,Turkistan,100.0,KAZ,,,,,
2019.0,Percent,,Shygys Kazakhstan,100.0,KAZ,,,,,
2019.0,Percent,,Nur-Sultan city,98.6,KAZ,,,,,
2019.0,Percent,,Almaty city,81.4,KAZ,,,,,
2019.0,Percent,,Shymkent city,100.0,KAZ,,,,,
2019.0,Percent,Male,Akmola,100.0,KAZ,,,,,
2019.0,Percent,Female,Akmola,100.0,KAZ,,,,,
2019.0,Percent,Male,Aktobe,100.0,KAZ,,,,,
2019.0,Percent,Female,Aktobe,100.0,KAZ,,,,,
2019.0,Percent,Male,Almaty,100.0,KAZ,,,,,
2019.0,Percent,Female,Almaty,100.0,KAZ,,,,,
2019.0,Percent,Male,Atyrau,100.0,KAZ,,,,,
2019.0,Percent,Female,Atyrau,100.0,KAZ,,,,,
2019.0,Percent,Male,Batys Kazakhstan,100.0,KAZ,,,,,
2019.0,Percent,Female,Batys Kazakhstan,100.0,KAZ,,,,,
2019.0,Percent,Male,Zhambyl,100.0,KAZ,,,,,
2019.0,Percent,Female,Zhambyl,100.0,KAZ,,,,,
2019.0,Percent,Male,Karagandy,100.0,KAZ,,,,,
2019.0,Percent,Female,Karagandy,100.0,KAZ,,,,,
2019.0,Percent,Male,Kostanay,100.0,KAZ,,,,,
2019.0,Percent,Female,Kostanay,100.0,KAZ,,,,,
2019.0,Percent,Male,Kyzylorda,100.0,KAZ,,,,,
2019.0,Percent,Female,Kyzylorda,100.0,KAZ,,,,,
2019.0,Percent,Male,Mangistau,100.0,KAZ,,,,,
2019.0,Percent,Female,Mangistau,100.0,KAZ,,,,,
2019.0,Percent,Male,Turkistan,100.0,KAZ,,,,,
2019.0,Percent,Female,Turkistan,100.0,KAZ,,,,,
2019.0,Percent,Male,Pavlodar,100.0,KAZ,,,,,
2019.0,Percent,Female,Pavlodar,100.0,KAZ,,,,,
2019.0,Percent,Male,Soltustik Kazakhstan,100.0,KAZ,,,,,
2019.0,Percent,Female,Soltustik Kazakhstan,100.0,KAZ,,,,,
2019.0,Percent,Male,Shygys Kazakhstan,100.0,KAZ,,,,,
2019.0,Percent,Female,Shygys Kazakhstan,100.0,KAZ,,,,,
2019.0,Percent,Male,Nur-Sultan city,97.3,KAZ,,,,,
2019.0,Percent,Female,Nur-Sultan city,98.5,KAZ,,,,,
2019.0,Percent,Male,Almaty city,79.4,KAZ,,,,,
2019.0,Percent,Female,Almaty city,83.6,KAZ,,,,,
2019.0,Percent,Male,Shymkent city,100.0,KAZ,,,,,
2019.0,Percent,Female,Shymkent city,100.0,KAZ,,,,,
2009.0,,,,8.1,KGZ,,,,,
2010.0,,,,10.0,KGZ,,,,,
2011.0,,,,24.6,KGZ,,,,,
2012.0,,,,11.2,KGZ,,,,,
2013.0,,,,12.2,KGZ,,,,,
2014.0,,,,51.1,KGZ,,,,,
2015.0,,,,55.0,KGZ,,,,,
2016.0,,,,74.4,KGZ,,,,,
2017.0,,,,75.9,KGZ,,,,,
2018.0,,,,84.9,KGZ,,,,,
2019.0,,,,77.6,KGZ,,,,,
2020.0,,,,83.3,KGZ,,,,,
2021.0,,,,80.9,KGZ,,,,,
,,,,,UZB,12_101_,Total,True,2000.0,13.8
,,,,,UZB,12_101_,Total,True,2001.0,14.2
,,,,,UZB,12_101_,Total,True,2002.0,14.8
,,,,,UZB,12_101_,Total,True,2003.0,15.1
,,,,,UZB,12_101_,Total,True,2004.0,15.7
,,,,,UZB,12_101_,Total,True,2005.0,15.5
,,,,,UZB,12_101_,Total,True,2006.0,16.5
,,,,,UZB,12_101_,Total,True,2007.0,20.8
,,,,,UZB,12_101_,Total,True,2008.0,18.9
,,,,,UZB,12_101_,Total,True,2009.0,19.7
,,,,,UZB,12_101_,Total,True,2010.0,18.0
,,,,,UZB,12_101_,Total,True,2011.0,18.6
,,,,,UZB,12_101_,Total,True,2012.0,22.4
,,,,,UZB,12_101_,Total,True,2013.0,20.5
,,,,,UZB,12_101_,Total,True,2014.0,21.8
,,,,,UZB,12_101_,Total,True,2015.0,21.9
,,,,,UZB,12_101_,Total,True,2016.0,29.7
,,,,,UZB,12_101_,Total,True,2017.0,30.8
,,,,,UZB,12_101_,Total,True,2018.0,40.6
,,,,,UZB,12_101_,Total,True,2019.0,62.7
,,,,,UZB,12_101_,Total,True,2020.0,68.0
,,,,,UZB,12_101_,Total,True,2021.0,75.1
,,,,,UZB,12_124_,Girls,True,2000.0,0.0
,,,,,UZB,12_124_,Girls,True,2001.0,0.0
,,,,,UZB,12_124_,Girls,True,2002.0,0.0
,,,,,UZB,12_124_,Girls,True,2003.0,0.0
,,,,,UZB,12_124_,Girls,True,2004.0,0.0
,,,,,UZB,12_124_,Girls,True,2005.0,0.0
,,,,,UZB,12_124_,Girls,True,2006.0,0.0
,,,,,UZB,12_124_,Girls,True,2007.0,20.9
,,,,,UZB,12_124_,Girls,True,2008.0,18.9
,,,,,UZB,12_124_,Girls,True,2009.0,19.7
,,,,,UZB,12_124_,Girls,True,2010.0,17.8
,,,,,UZB,12_124_,Girls,True,2011.0,18.4
,,,,,UZB,12_124_,Girls,True,2012.0,22.6
,,,,,UZB,12_124_,Girls,True,2013.0,19.8
,,,,,UZB,12_124_,Girls,True,2014.0,20.1
,,,,,UZB,12_124_,Girls,True,2015.0,21.6
,,,,,UZB,12_124_,Girls,True,2016.0,28.8
,,,,,UZB,12_124_,Girls,True,2017.0,30.6
,,,,,UZB,12_124_,Girls,True,2018.0,39.8
,,,,,UZB,12_124_,Girls,True,2019.0,62.6
,,,,,UZB,12_124_,Girls,True,2020.0,68.5
,,,,,UZB,12_124_,Girls,True,2021.0,76.4
,,,,,UZB,12_125_,Boys,True,2000.0,0.0
,,,,,UZB,12_125_,Boys,True,2001.0,0.0
,,,,,UZB,12_125_,Boys,True,2002.0,0.0
,,,,,UZB,12_125_,Boys,True,2003.0,0.0
,,,,,UZB,12_125_,Boys,True,2004.0,0.0
,,,,,UZB,12_125_,Boys,True,2005.0,0.0
,,,,,UZB,12_125_,Boys,True,2006.0,0.0
,,,,,UZB,12_125_,Boys,True,2007.0,20.6
,,,,,UZB,12_125_,Boys,True,2008.0,18.8
,,,,,UZB,12_125_,Boys,True,2009.0,19.7
,,,,,UZB,12_125_,Boys,True,2010.0,18.2
,,,,,UZB,12_125_,Boys,True,2011.0,18.7
,,,,,UZB,12_125_,Boys,True,2012.0,19.5
,,,,,UZB,12_125_,Boys,True,2013.0,21.2
,,,,,UZB,12_125_,Boys,True,2014.0,21.5
,,,,,UZB,12_125_,Boys,True,2015.0,22.6
,,,,,UZB,12_125_,Boys,True,2016.0,30.5
,,,,,UZB,12_125_,Boys,True,2017.0,31.0
,,,,,UZB,12_125_,Boys,True,2018.0,41.2
,,,,,UZB,12_125_,Boys,True,2019.0,62.8
,,,,,UZB,12_125_,Boys,True,2020.0,67.5
,,,,,UZB,12_125_,Boys,True,2021.0,73.9
