Year,UNIT_MEASURE,SERIES,Age,Area,Sex,Regions,Value,M49_country_code,Observation-level footnotes,Reference area,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2018.0,,,under 5 years old,,,,10.1,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",Chui,,,,KG08,,,,,
2014.0,,,under 5 years old,,,,7.6,KGZ,"According to Multiple Indicator Cluster Survey,2014",Bishkek (city),,,,KG11,,,,,
2018.0,,,under 5 years old,,,,5.9,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",Bishkek (city),,,,KG11,,,,,
2014.0,,,under 5 years old,,,,12.1,KGZ,"According to Multiple Indicator Cluster Survey,2014",Osh (city),,,,KG21,,,,,
2018.0,,,under 5 years old,,,,10.9,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",Osh (city),,,,KG21,,,,,
2014.0,,,under 5 years old,,Male,,13.8,KGZ,"According to Multiple Indicator Cluster Survey,2014",,,,,,,,,,
2018.0,,,under 5 years old,,Male,,12.5,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",,,,,,,,,,
2014.0,,,under 5 years old,,Female,,12.0,KGZ,"According to Multiple Indicator Cluster Survey,2014",,,,,,,,,,
2018.0,,,under 5 years old,,Female,,10.9,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",,,,,,,,,,
2014.0,,,under 5 years old,,,,11.8,KGZ,"According to Multiple Indicator Cluster Survey,2014",,Urban,,,,,,,,
2018.0,,,under 5 years old,,,,8.8,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",,Urban,,,,,,,,
2014.0,,,under 5 years old,,,,13.4,KGZ,"According to Multiple Indicator Cluster Survey,2014",,Rural,,,,,,,,
2018.0,,,under 5 years old,,,,13.1,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",,Rural,,,,,,,,
2014.0,,,0 to 5 months old,,,,5.3,KGZ,"According to Multiple Indicator Cluster Survey,2014",,,,,,,,,,
2018.0,,,0 to 5 months old,,,,5.4,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",,,,,,,,,,
2014.0,,,6 to 11 months old,,,,7.2,KGZ,"According to Multiple Indicator Cluster Survey,2014",,,,,,,,,,
2018.0,,,6 to 11 months old,,,,9.3,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",,,,,,,,,,
2014.0,,,12 to 17 months old,,,,11.2,KGZ,"According to Multiple Indicator Cluster Survey,2014",,,,,,,,,,
2018.0,,,12 to 17 months old,,,,12.1,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",,,,,,,,,,
2014.0,,,18 to 23 months old,,,,18.2,KGZ,"According to Multiple Indicator Cluster Survey,2014",,,,,,,,,,
2018.0,,,18 to 23 months old,,,,17.2,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",,,,,,,,,,
2014.0,,,24 to 35 months old,,,,18.6,KGZ,"According to Multiple Indicator Cluster Survey,2014",,,,,,,,,,
2018.0,,,24 to 35 months old,,,,13.2,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",,,,,,,,,,
2014.0,,,36 to 47 months old,,,,14.6,KGZ,"According to Multiple Indicator Cluster Survey,2014",,,,,,,,,,
2018.0,,,36 to 47 months old,,,,11.2,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",,,,,,,,,,
2014.0,,,48 to 59 months old,,,,10.5,KGZ,"According to Multiple Indicator Cluster Survey,2014",,,,,,,,,,
2018.0,,,48 to 59 months old,,,,12.7,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",,,,,,,,,,
2014.0,,,under 5 years old,,,,26.5,KGZ,Education of mother,,,,Primary education,,,,,,
2014.0,,,under 5 years old,,,,17.1,KGZ,Education of mother,,,,Lower secondary education,,,,,,
2018.0,,,under 5 years old,,,,14.8,KGZ,Education of mother,,,,Lower secondary education,,,,,,
2014.0,,,under 5 years old,,,,13.5,KGZ,Education of mother,,,,Upper secondary education,,,,,,
2018.0,,,under 5 years old,,,,12.0,KGZ,Education of mother,,,,Upper secondary education,,,,,,
2014.0,,,under 5 years old,,,,11.8,KGZ,Education of mother,,,,Post-secondary non-tertiary education,,,,,,
2018.0,,,under 5 years old,,,,12.2,KGZ,Education of mother,,,,Post-secondary non-tertiary education,,,,,,
2014.0,,,under 5 years old,,,,9.8,KGZ,Education of mother,,,,Short-cycle tertiary education,,,,,,
2018.0,,,under 5 years old,,,,10.0,KGZ,Education of mother,,,,Short-cycle tertiary education,,,,,,
2014.0,,,under 5 years old,,,,17.7,KGZ,"According to Multiple Indicator Cluster Survey,2014",,,Quintile 1 (poorest),,,,,,,
2018.0,,,under 5 years old,,,,14.0,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",,,Quintile 1 (poorest),,,,,,,
2014.0,,,under 5 years old,,,,14.2,KGZ,"According to Multiple Indicator Cluster Survey,2014",,,Quintile 2,,,,,,,
2018.0,,,under 5 years old,,,,13.8,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",,,Quintile 2,,,,,,,
2014.0,,,under 5 years old,,,,10.1,KGZ,"According to Multiple Indicator Cluster Survey,2014",,,Quintile 3,,,,,,,
2018.0,,,under 5 years old,,,,12.0,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",,,Quintile 3,,,,,,,
2014.0,,,under 5 years old,,,,10.7,KGZ,"According to Multiple Indicator Cluster Survey,2014",,,Quintile 4,,,,,,,
2018.0,,,under 5 years old,,,,8.2,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",,,Quintile 4,,,,,,,
2014.0,,,under 5 years old,,,,10.7,KGZ,"According to Multiple Indicator Cluster Survey,2014",,,Quintile 5 (richest),,,,,,,
2018.0,,,under 5 years old,,,,9.2,KGZ,"According to Multiple Indicator Cluster Survey, 2018.",,,Quintile 5 (richest),,,,,,,
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2000.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2001.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2002.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2003.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2004.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2005.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2006.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2007.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2008.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2009.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2010.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2011.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2012.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2013.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2014.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2015.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2016.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2017.0,8.7
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2018.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2019.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2020.0,0.0
,,,,,,,,UZB,,,,,,,01_101_,Total,True,2021.0,0.0
