Year,UNIT_MEASURE,SERIES,Value,M49_country_code,Reference area,Sex,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2012.0,,Non-fatal occupational injuries among employees (rate),27.025061,KGZ,,,,,,,,
2013.0,,Non-fatal occupational injuries among employees (rate),38.431743,KGZ,,,,,,,,
2014.0,,Non-fatal occupational injuries among employees (rate),29.216361,KGZ,,,,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),22.079153,KGZ,,,,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),24.463597,KGZ,,,,,,,,
2017.0,,Non-fatal occupational injuries among employees (rate),17.014573,KGZ,,,,,,,,
2018.0,,Non-fatal occupational injuries among employees (rate),25.028299,KGZ,,,,,,,,
2019.0,,Non-fatal occupational injuries among employees (rate),21.813169,KGZ,,,,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),31.006658,KGZ,,,,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),38.017017,KGZ,,,,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),15.549077,KGZ,,Female,,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),13.157949,KGZ,,Female,,,,,,
2009.0,,Non-fatal occupational injuries among employees (rate),10.590847,KGZ,,Female,,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),19.815059,KGZ,,Female,,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),10.078654,KGZ,,Female,,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),12.820667,KGZ,,Female,,,,,,
2013.0,,Non-fatal occupational injuries among employees (rate),16.056764,KGZ,,Female,,,,,,
2014.0,,Non-fatal occupational injuries among employees (rate),15.507042,KGZ,,Female,,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),8.391925,KGZ,,Female,,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),16.384907,KGZ,,Female,,,,,,
2017.0,,Non-fatal occupational injuries among employees (rate),13.60476,KGZ,,Female,,,,,,
2018.0,,Non-fatal occupational injuries among employees (rate),14.914402,KGZ,,Female,,,,,,
2019.0,,Non-fatal occupational injuries among employees (rate),12.801351,KGZ,,Female,,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),12.36107,KGZ,,Female,,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),8.197773,KGZ,,Female,,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),41.775785,KGZ,,Male,,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),52.283772,KGZ,,Male,,,,,,
2009.0,,Non-fatal occupational injuries among employees (rate),38.855636,KGZ,,Male,,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),164.348209,KGZ,,Male,,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),46.448956,KGZ,,Male,,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),42.343954,KGZ,,Male,,,,,,
2013.0,,Non-fatal occupational injuries among employees (rate),63.293021,KGZ,,Male,,,,,,
2014.0,,Non-fatal occupational injuries among employees (rate),44.619333,KGZ,,Male,,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),37.859348,KGZ,,Male,,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),33.692722,KGZ,,Male,,,,,,
2017.0,,Non-fatal occupational injuries among employees (rate),20.921618,KGZ,,Male,,,,,,
2018.0,,Non-fatal occupational injuries among employees (rate),36.61573,KGZ,,Male,,,,,,
2019.0,,Non-fatal occupational injuries among employees (rate),31.967565,KGZ,,Male,,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),51.674124,KGZ,,Male,,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),71.378157,KGZ,,Male,,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),11.184431,KGZ,Batken,,KG05,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),52.931596,KGZ,Batken,,KG05,,,,,
2009.0,,Non-fatal occupational injuries among employees (rate),25.97515,KGZ,Batken,,KG05,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),66.960769,KGZ,Batken,,KG05,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),44.998269,KGZ,Batken,,KG05,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),44.855428,KGZ,Batken,,KG05,,,,,
2013.0,,Non-fatal occupational injuries among employees (rate),40.545177,KGZ,Batken,,KG05,,,,,
2014.0,,Non-fatal occupational injuries among employees (rate),60.180542,KGZ,Batken,,KG05,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),5.901968,KGZ,Batken,,KG05,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),11.837822,KGZ,Batken,,KG05,,,,,
2017.0,,Non-fatal occupational injuries among employees (rate),16.899028,KGZ,Batken,,KG05,,,,,
2018.0,,Non-fatal occupational injuries among employees (rate),14.249886,KGZ,Batken,,KG05,,,,,
2019.0,,Non-fatal occupational injuries among employees (rate),16.981773,KGZ,Batken,,KG05,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),57.671711,KGZ,Batken,,KG05,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),69.179257,KGZ,Batken,,KG05,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),8.934954,KGZ,Batken,Female,KG05,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),14.155283,KGZ,Batken,Female,KG05,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),5.608525,KGZ,Batken,Female,KG05,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),0.0,KGZ,Batken,Female,KG05,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),21.335609,KGZ,Batken,Male,KG05,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),93.471383,KGZ,Batken,Male,KG05,,,,,
2009.0,,Non-fatal occupational injuries among employees (rate),49.829748,KGZ,Batken,Male,KG05,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),112.707805,KGZ,Batken,Male,KG05,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),86.672445,KGZ,Batken,Male,KG05,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),74.059113,KGZ,Batken,Male,KG05,,,,,
2013.0,,Non-fatal occupational injuries among employees (rate),76.587722,KGZ,Batken,Male,KG05,,,,,
2014.0,,Non-fatal occupational injuries among employees (rate),131.373162,KGZ,Batken,Male,KG05,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),12.854297,KGZ,Batken,Male,KG05,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),18.796992,KGZ,Batken,Male,KG05,,,,,
2017.0,,Non-fatal occupational injuries among employees (rate),37.225462,KGZ,Batken,Male,KG05,,,,,
2018.0,,Non-fatal occupational injuries among employees (rate),32.427524,KGZ,Batken,Male,KG05,,,,,
2019.0,,Non-fatal occupational injuries among employees (rate),38.444288,KGZ,Batken,Male,KG05,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),126.849894,KGZ,Batken,Male,KG05,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),153.092468,KGZ,Batken,Male,KG05,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),57.34356,KGZ,Jalal-Abad,,KG03,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),34.763683,KGZ,Jalal-Abad,,KG03,,,,,
2009.0,,Non-fatal occupational injuries among employees (rate),46.934978,KGZ,Jalal-Abad,,KG03,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),41.29774,KGZ,Jalal-Abad,,KG03,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),34.63367,KGZ,Jalal-Abad,,KG03,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),32.200193,KGZ,Jalal-Abad,,KG03,,,,,
2013.0,,Non-fatal occupational injuries among employees (rate),35.998247,KGZ,Jalal-Abad,,KG03,,,,,
2014.0,,Non-fatal occupational injuries among employees (rate),22.677108,KGZ,Jalal-Abad,,KG03,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),20.82061,KGZ,Jalal-Abad,,KG03,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),26.515574,KGZ,Jalal-Abad,,KG03,,,,,
2017.0,,Non-fatal occupational injuries among employees (rate),14.554885,KGZ,Jalal-Abad,,KG03,,,,,
2018.0,,Non-fatal occupational injuries among employees (rate),46.09873,KGZ,Jalal-Abad,,KG03,,,,,
2019.0,,Non-fatal occupational injuries among employees (rate),14.31397,KGZ,Jalal-Abad,,KG03,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),17.213983,KGZ,Jalal-Abad,,KG03,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),6.194789,KGZ,Jalal-Abad,,KG03,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),13.387777,KGZ,Jalal-Abad,Female,KG03,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),2.896032,KGZ,Jalal-Abad,Female,KG03,,,,,
2009.0,,Non-fatal occupational injuries among employees (rate),6.402868,KGZ,Jalal-Abad,Female,KG03,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),3.165859,KGZ,Jalal-Abad,Female,KG03,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),5.598477,KGZ,Jalal-Abad,Female,KG03,,,,,
2013.0,,Non-fatal occupational injuries among employees (rate),2.833263,KGZ,Jalal-Abad,Female,KG03,,,,,
2014.0,,Non-fatal occupational injuries among employees (rate),5.61782,KGZ,Jalal-Abad,Female,KG03,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),2.531197,KGZ,Jalal-Abad,Female,KG03,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),10.194459,KGZ,Jalal-Abad,Female,KG03,,,,,
2017.0,,Non-fatal occupational injuries among employees (rate),2.431907,KGZ,Jalal-Abad,Female,KG03,,,,,
2018.0,,Non-fatal occupational injuries among employees (rate),10.021295,KGZ,Jalal-Abad,Female,KG03,,,,,
2019.0,,Non-fatal occupational injuries among employees (rate),12.497813,KGZ,Jalal-Abad,Female,KG03,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),2.419433,KGZ,Jalal-Abad,Female,KG03,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),0.0,KGZ,Jalal-Abad,Female,KG03,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),107.999691,KGZ,Jalal-Abad,Male,KG03,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),69.552022,KGZ,Jalal-Abad,Male,KG03,,,,,
2009.0,,Non-fatal occupational injuries among employees (rate),91.481651,KGZ,Jalal-Abad,Male,KG03,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),82.904418,KGZ,Jalal-Abad,Male,KG03,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),75.539074,KGZ,Jalal-Abad,Male,KG03,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),64.422066,KGZ,Jalal-Abad,Male,KG03,,,,,
2013.0,,Non-fatal occupational injuries among employees (rate),76.931147,KGZ,Jalal-Abad,Male,KG03,,,,,
2014.0,,Non-fatal occupational injuries among employees (rate),42.560157,KGZ,Jalal-Abad,Male,KG03,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),43.027937,KGZ,Jalal-Abad,Male,KG03,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),46.269163,KGZ,Jalal-Abad,Male,KG03,,,,,
2017.0,,Non-fatal occupational injuries among employees (rate),29.022521,KGZ,Jalal-Abad,Male,KG03,,,,,
2018.0,,Non-fatal occupational injuries among employees (rate),86.089589,KGZ,Jalal-Abad,Male,KG03,,,,,
2019.0,,Non-fatal occupational injuries among employees (rate),16.286203,KGZ,Jalal-Abad,Male,KG03,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),35.100035,KGZ,Jalal-Abad,Male,KG03,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),14.04889,KGZ,Jalal-Abad,Male,KG03,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),21.018891,KGZ,Issyk-Kul,,KG02,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),31.755273,KGZ,Issyk-Kul,,KG02,,,,,
2009.0,,Non-fatal occupational injuries among employees (rate),19.005213,KGZ,Issyk-Kul,,KG02,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),67.94721,KGZ,Issyk-Kul,,KG02,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),31.154266,KGZ,Issyk-Kul,,KG02,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),24.58479,KGZ,Issyk-Kul,,KG02,,,,,
2013.0,,Non-fatal occupational injuries among employees (rate),44.681578,KGZ,Issyk-Kul,,KG02,,,,,
2014.0,,Non-fatal occupational injuries among employees (rate),29.214916,KGZ,Issyk-Kul,,KG02,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),51.98586,KGZ,Issyk-Kul,,KG02,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),44.752152,KGZ,Issyk-Kul,,KG02,,,,,
2017.0,,Non-fatal occupational injuries among employees (rate),18.566162,KGZ,Issyk-Kul,,KG02,,,,,
2018.0,,Non-fatal occupational injuries among employees (rate),10.143788,KGZ,Issyk-Kul,,KG02,,,,,
2019.0,,Non-fatal occupational injuries among employees (rate),7.904722,KGZ,Issyk-Kul,,KG02,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),12.597949,KGZ,Issyk-Kul,,KG02,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),2.536719,KGZ,Issyk-Kul,,KG02,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),15.759613,KGZ,Issyk-Kul,Female,KG02,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),5.282341,KGZ,Issyk-Kul,Female,KG02,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),10.077598,KGZ,Issyk-Kul,Female,KG02,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),5.041339,KGZ,Issyk-Kul,Female,KG02,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),10.163635,KGZ,Issyk-Kul,Female,KG02,,,,,
2013.0,,Non-fatal occupational injuries among employees (rate),10.07709,KGZ,Issyk-Kul,Female,KG02,,,,,
2014.0,,Non-fatal occupational injuries among employees (rate),5.059449,KGZ,Issyk-Kul,Female,KG02,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),9.607071,KGZ,Issyk-Kul,Female,KG02,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),19.536974,KGZ,Issyk-Kul,Female,KG02,,,,,
2017.0,,Non-fatal occupational injuries among employees (rate),14.912019,KGZ,Issyk-Kul,Female,KG02,,,,,
2019.0,,Non-fatal occupational injuries among employees (rate),4.837695,KGZ,Issyk-Kul,Female,KG02,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),26.281209,KGZ,Issyk-Kul,Male,KG02,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),58.330682,KGZ,Issyk-Kul,Male,KG02,,,,,
2009.0,,Non-fatal occupational injuries among employees (rate),36.972482,KGZ,Issyk-Kul,Male,KG02,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),130.300233,KGZ,Issyk-Kul,Male,KG02,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),58.880206,KGZ,Issyk-Kul,Male,KG02,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),41.346722,KGZ,Issyk-Kul,Male,KG02,,,,,
2013.0,,Non-fatal occupational injuries among employees (rate),82.417582,KGZ,Issyk-Kul,Male,KG02,,,,,
2014.0,,Non-fatal occupational injuries among employees (rate),55.906524,KGZ,Issyk-Kul,Male,KG02,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),101.959896,KGZ,Issyk-Kul,Male,KG02,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),74.230572,KGZ,Issyk-Kul,Male,KG02,,,,,
2017.0,,Non-fatal occupational injuries among employees (rate),22.746659,KGZ,Issyk-Kul,Male,KG02,,,,,
2018.0,,Non-fatal occupational injuries among employees (rate),22.373867,KGZ,Issyk-Kul,Male,KG02,,,,,
2019.0,,Non-fatal occupational injuries among employees (rate),11.573404,KGZ,Issyk-Kul,Male,KG02,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),27.592296,KGZ,Issyk-Kul,Male,KG02,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),5.611043,KGZ,Issyk-Kul,Male,KG02,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),17.955739,KGZ,Naryn,,KG04,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),26.688017,KGZ,Naryn,,KG04,,,,,
2009.0,,Non-fatal occupational injuries among employees (rate),4.326569,KGZ,Naryn,,KG04,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),30.101054,KGZ,Naryn,,KG04,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),12.66464,KGZ,Naryn,,KG04,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),24.857072,KGZ,Naryn,,KG04,,,,,
2013.0,,Non-fatal occupational injuries among employees (rate),8.224022,KGZ,Naryn,,KG04,,,,,
2014.0,,Non-fatal occupational injuries among employees (rate),12.259409,KGZ,Naryn,,KG04,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),3.700278,KGZ,Naryn,,KG04,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),35.364847,KGZ,Naryn,,KG04,,,,,
2019.0,,Non-fatal occupational injuries among employees (rate),7.69586,KGZ,Naryn,,KG04,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),34.258308,KGZ,Naryn,,KG04,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),22.848439,KGZ,Naryn,,KG04,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),8.371003,KGZ,Naryn,Female,KG04,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),7.789375,KGZ,Naryn,Female,KG04,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),14.91758,KGZ,Naryn,Female,KG04,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),6.793478,KGZ,Naryn,Female,KG04,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),26.98327,KGZ,Naryn,Female,KG04,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),29.038815,KGZ,Naryn,Male,KG04,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),59.565174,KGZ,Naryn,Male,KG04,,,,,
2009.0,,Non-fatal occupational injuries among employees (rate),9.553836,KGZ,Naryn,Male,KG04,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),57.598157,KGZ,Naryn,Male,KG04,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),28.055737,KGZ,Naryn,Male,KG04,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),37.275184,KGZ,Naryn,Male,KG04,,,,,
2013.0,,Non-fatal occupational injuries among employees (rate),18.883958,KGZ,Naryn,Male,KG04,,,,,
2014.0,,Non-fatal occupational injuries among employees (rate),28.277877,KGZ,Naryn,Male,KG04,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),8.688097,KGZ,Naryn,Male,KG04,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),81.352255,KGZ,Naryn,Male,KG04,,,,,
2019.0,,Non-fatal occupational injuries among employees (rate),17.711654,KGZ,Naryn,Male,KG04,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),69.258073,KGZ,Naryn,Male,KG04,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),17.488632,KGZ,Naryn,Male,KG04,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),2.148043,KGZ,Osh,,KG06,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),2.416918,KGZ,Osh,,KG06,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),5.181481,KGZ,Osh,,KG06,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),2.346151,KGZ,Osh,,KG06,,,,,
2017.0,,Non-fatal occupational injuries among employees (rate),4.517834,KGZ,Osh,,KG06,,,,,
2018.0,,Non-fatal occupational injuries among employees (rate),4.578335,KGZ,Osh,,KG06,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),6.416014,KGZ,Osh,,KG06,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),0.0,KGZ,Osh,,KG06,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),3.779289,KGZ,Osh,Female,KG06,,,,,
2018.0,,Non-fatal occupational injuries among employees (rate),3.897268,KGZ,Osh,Female,KG06,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),3.713882,KGZ,Osh,Female,KG06,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),0.0,KGZ,Osh,Female,KG06,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),4.880906,KGZ,Osh,Male,KG06,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),5.961607,KGZ,Osh,Male,KG06,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),13.020833,KGZ,Osh,Male,KG06,,,,,
2017.0,,Non-fatal occupational injuries among employees (rate),11.112963,KGZ,Osh,Male,KG06,,,,,
2018.0,,Non-fatal occupational injuries among employees (rate),5.54785,KGZ,Osh,Male,KG06,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),10.084712,KGZ,Osh,Male,KG06,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),0.0,KGZ,Osh,Male,KG06,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),11.511454,KGZ,Talas,,KG07,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),5.701579,KGZ,Talas,,KG07,,,,,
2009.0,,Non-fatal occupational injuries among employees (rate),16.051364,KGZ,Talas,,KG07,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),38.385611,KGZ,Talas,,KG07,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),21.165141,KGZ,Talas,,KG07,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),10.518012,KGZ,Talas,,KG07,,,,,
2013.0,,Non-fatal occupational injuries among employees (rate),25.514109,KGZ,Talas,,KG07,,,,,
2014.0,,Non-fatal occupational injuries among employees (rate),26.011861,KGZ,Talas,,KG07,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),15.061753,KGZ,Talas,,KG07,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),10.722711,KGZ,Talas,,KG07,,,,,
2018.0,,Non-fatal occupational injuries among employees (rate),14.769594,KGZ,Talas,,KG07,,,,,
2019.0,,Non-fatal occupational injuries among employees (rate),9.282465,KGZ,Talas,,KG07,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),14.186409,KGZ,Talas,,KG07,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),4.645113,KGZ,Talas,,KG07,,,,,
2009.0,,Non-fatal occupational injuries among employees (rate),9.474183,KGZ,Talas,Female,KG07,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),10.188487,KGZ,Talas,Female,KG07,,,,,
2014.0,,Non-fatal occupational injuries among employees (rate),19.277108,KGZ,Talas,Female,KG07,,,,,
2018.0,,Non-fatal occupational injuries among employees (rate),9.250694,KGZ,Talas,Female,KG07,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),8.855827,KGZ,Talas,Female,KG07,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),0.0,KGZ,Talas,Female,KG07,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),26.588673,KGZ,Talas,Male,KG07,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),13.486177,KGZ,Talas,Male,KG07,,,,,
2009.0,,Non-fatal occupational injuries among employees (rate),24.585126,KGZ,Talas,Male,KG07,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),71.250445,KGZ,Talas,Male,KG07,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),46.838407,KGZ,Talas,Male,KG07,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),23.092022,KGZ,Talas,Male,KG07,,,,,
2013.0,,Non-fatal occupational injuries among employees (rate),55.463117,KGZ,Talas,Male,KG07,,,,,
2014.0,,Non-fatal occupational injuries among employees (rate),33.9098,KGZ,Talas,Male,KG07,,,,,
2015.0,,Non-fatal occupational injuries among employees (rate),32.619332,KGZ,Talas,Male,KG07,,,,,
2016.0,,Non-fatal occupational injuries among employees (rate),23.523877,KGZ,Talas,Male,KG07,,,,,
2018.0,,Non-fatal occupational injuries among employees (rate),21.0482,KGZ,Talas,Male,KG07,,,,,
2019.0,,Non-fatal occupational injuries among employees (rate),20.620683,KGZ,Talas,Male,KG07,,,,,
2020.0,,Non-fatal occupational injuries among employees (rate),20.294267,KGZ,Talas,Male,KG07,,,,,
2021.0,,Non-fatal occupational injuries among employees (rate),9.596929,KGZ,Talas,Male,KG07,,,,,
2007.0,,Non-fatal occupational injuries among employees (rate),54.795253,KGZ,Chui,,KG08,,,,,
2008.0,,Non-fatal occupational injuries among employees (rate),51.255766,KGZ,Chui,,KG08,,,,,
2009.0,,Non-fatal occupational injuries among employees (rate),30.489664,KGZ,Chui,,KG08,,,,,
2010.0,,Non-fatal occupational injuries among employees (rate),39.786743,KGZ,Chui,,KG08,,,,,
2011.0,,Non-fatal occupational injuries among employees (rate),28.308799,KGZ,Chui,,KG08,,,,,
2012.0,,Non-fatal occupational injuries among employees (rate),61.47541,KGZ,Chui,,KG08,,,,,
2013.0,,Non-fatal occupational injuries among employees (rate),50.052399,KGZ,Chui,,KG08,,,,,
