Year,UNIT_MEASURE,Regions,Value,M49_country_code,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2011.0,Percent,Karagandy,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,Kostanay,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,Kyzylorda,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,Mangistau,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,Pavlodar,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,Soltustik Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,Turkistan,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,Shygys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,Almaty city,100.0,KAZ,,,,,,,,,,,,
2011.0,Percent,Shymkent city,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Akmola,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Aktobe,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Almaty,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Atyrau,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Batys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Zhambyl,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Karagandy,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Kostanay,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Kyzylorda,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Mangistau,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Pavlodar,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Soltustik Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Turkistan,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Shygys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Almaty city,100.0,KAZ,,,,,,,,,,,,
2012.0,Percent,Shymkent city,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Akmola,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Aktobe,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Almaty,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Atyrau,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Batys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Zhambyl,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Karagandy,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Kostanay,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Kyzylorda,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Mangistau,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Pavlodar,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Soltustik Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Turkistan,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Shygys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Almaty city,100.0,KAZ,,,,,,,,,,,,
2013.0,Percent,Shymkent city,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Akmola,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Aktobe,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Almaty,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Atyrau,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Batys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Zhambyl,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Karagandy,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Kostanay,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Kyzylorda,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Mangistau,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Pavlodar,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Soltustik Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Turkistan,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Shygys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Almaty city,100.0,KAZ,,,,,,,,,,,,
2014.0,Percent,Shymkent city,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Akmola,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Aktobe,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Almaty,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Atyrau,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Batys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Zhambyl,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Karagandy,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Kostanay,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Kyzylorda,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Mangistau,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Pavlodar,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Soltustik Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Turkistan,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Shygys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Almaty city,100.0,KAZ,,,,,,,,,,,,
2015.0,Percent,Shymkent city,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Akmola,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Aktobe,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Almaty,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Atyrau,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Batys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Zhambyl,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Karagandy,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Kostanay,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Kyzylorda,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Mangistau,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Pavlodar,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Soltustik Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Turkistan,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Shygys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Almaty city,100.0,KAZ,,,,,,,,,,,,
2016.0,Percent,Shymkent city,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Akmola,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Aktobe,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Almaty,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Atyrau,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Batys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Zhambyl,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Karagandy,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Kostanay,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Kyzylorda,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Mangistau,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Pavlodar,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Soltustik Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Turkistan,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Shygys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Almaty city,100.0,KAZ,,,,,,,,,,,,
2017.0,Percent,Shymkent city,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Akmola,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Aktobe,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Almaty,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Atyrau,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Batys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Zhambyl,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Karagandy,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Kostanay,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Kyzylorda,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Mangistau,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Pavlodar,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Soltustik Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Turkistan,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Shygys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Almaty city,100.0,KAZ,,,,,,,,,,,,
2018.0,Percent,Shymkent city,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Akmola,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Aktobe,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Almaty,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Atyrau,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Batys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Zhambyl,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Karagandy,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Kostanay,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Kyzylorda,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Mangistau,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Pavlodar,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Soltustik Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Turkistan,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Shygys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Almaty city,100.0,KAZ,,,,,,,,,,,,
2019.0,Percent,Shymkent city,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Akmola,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Aktobe,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Almaty,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Atyrau,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Batys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Zhambyl,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Karagandy,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Kostanay,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Kyzylorda,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Mangistau,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Pavlodar,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Soltustik Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Turkistan,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Shygys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Almaty city,100.0,KAZ,,,,,,,,,,,,
2020.0,Percent,Shymkent city,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Akmola,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Aktobe,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Almaty,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Atyrau,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Batys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Zhambyl,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Karagandy,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Kostanay,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Kyzylorda,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Mangistau,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Pavlodar,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Soltustik Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Turkistan,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Shygys Kazakhstan,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Almaty city,100.0,KAZ,,,,,,,,,,,,
2021.0,Percent,Shymkent city,100.0,KAZ,,,,,,,,,,,,
2016.0,,,76.65949,KGZ,,,,,,,,,,,,
2017.0,,,79.591408,KGZ,,,,,,,,,,,,
2018.0,,,75.693466,KGZ,,,,,,,,,,,,
2019.0,,,76.1,KGZ,,,,,,,,,,,,
2020.0,,,72.8,KGZ,,,,,,,,,,,,
2021.0,,,70.820997,KGZ,,,,,,,,,,,,
2016.0,,,86.923359,KGZ,,,,Urban,,,,,,,,
2017.0,,,88.370239,KGZ,,,,Urban,,,,,,,,
2018.0,,,88.614312,KGZ,,,,Urban,,,,,,,,
2019.0,,,90.5,KGZ,,,,Urban,,,,,,,,
2020.0,,,88.5,KGZ,,,,Urban,,,,,,,,
2021.0,,,85.966681,KGZ,,,,Urban,,,,,,,,
2016.0,,,71.082283,KGZ,,,,Rural,,,,,,,,
2017.0,,,74.829362,KGZ,,,,Rural,,,,,,,,
2018.0,,,68.679954,KGZ,,,,Rural,,,,,,,,
2019.0,,,68.0,KGZ,,,,Rural,,,,,,,,
2020.0,,,64.0,KGZ,,,,Rural,,,,,,,,
2021.0,,,61.842863,KGZ,,,,Rural,,,,,,,,
2016.0,,,76.070682,KGZ,,Male,,,,,,,,,,
2017.0,,,79.163385,KGZ,,Male,,,,,,,,,,
2018.0,,,74.691389,KGZ,,Male,,,,,,,,,,
2019.0,,,75.1,KGZ,,Male,,,,,,,,,,
2020.0,,,71.8,KGZ,,Male,,,,,,,,,,
2021.0,,,69.966769,KGZ,,Male,,,,,,,,,,
2016.0,,,77.193586,KGZ,,Female,,,,,,,,,,
2017.0,,,79.979372,KGZ,,Female,,,,,,,,,,
2018.0,,,76.58919,KGZ,,Female,,,,,,,,,,
2019.0,,,76.9,KGZ,,Female,,,,,,,,,,
2020.0,,,73.7,KGZ,,Female,,,,,,,,,,
2021.0,,,71.587519,KGZ,,Female,,,,,,,,,,
2016.0,,,75.839901,KGZ,Batken,,,,,,KG05,,,,,
2017.0,,,70.826955,KGZ,Batken,,,,,,KG05,,,,,
2018.0,,,71.771366,KGZ,Batken,,,,,,KG05,,,,,
2019.0,,,71.6,KGZ,Batken,,,,,,KG05,,,,,
2020.0,,,71.0,KGZ,Batken,,,,,,KG05,,,,,
2021.0,,,53.549862,KGZ,Batken,,,,,,KG05,,,,,
2016.0,,,76.702406,KGZ,Jalal-Abad,,,,,,KG03,,,,,
2017.0,,,74.372043,KGZ,Jalal-Abad,,,,,,KG03,,,,,
2018.0,,,64.443145,KGZ,Jalal-Abad,,,,,,KG03,,,,,
2019.0,,,66.6,KGZ,Jalal-Abad,,,,,,KG03,,,,,
2020.0,,,52.6,KGZ,Jalal-Abad,,,,,,KG03,,,,,
2021.0,,,54.307261,KGZ,Jalal-Abad,,,,,,KG03,,,,,
2016.0,,,47.347626,KGZ,Issyk-Kul,,,,,,KG02,,,,,
2017.0,,,57.4837,KGZ,Issyk-Kul,,,,,,KG02,,,,,
2018.0,,,67.008718,KGZ,Issyk-Kul,,,,,,KG02,,,,,
2019.0,,,66.5,KGZ,Issyk-Kul,,,,,,KG02,,,,,
2020.0,,,48.6,KGZ,Issyk-Kul,,,,,,KG02,,,,,
2021.0,,,53.808777,KGZ,Issyk-Kul,,,,,,KG02,,,,,
2016.0,,,77.440012,KGZ,Naryn,,,,,,KG04,,,,,
2017.0,,,79.315292,KGZ,Naryn,,,,,,KG04,,,,,
2018.0,,,79.01207,KGZ,Naryn,,,,,,KG04,,,,,
2019.0,,,67.0,KGZ,Naryn,,,,,,KG04,,,,,
2020.0,,,77.4,KGZ,Naryn,,,,,,KG04,,,,,
2021.0,,,77.926565,KGZ,Naryn,,,,,,KG04,,,,,
2016.0,,,74.642534,KGZ,Osh,,,,,,KG06,,,,,
2017.0,,,79.01967,KGZ,Osh,,,,,,KG06,,,,,
2018.0,,,66.576206,KGZ,Osh,,,,,,KG06,,,,,
2019.0,,,68.3,KGZ,Osh,,,,,,KG06,,,,,
2020.0,,,66.9,KGZ,Osh,,,,,,KG06,,,,,
2021.0,,,63.504823,KGZ,Osh,,,,,,KG06,,,,,
2016.0,,,73.7187,KGZ,Talas,,,,,,KG07,,,,,
2017.0,,,74.070232,KGZ,Talas,,,,,,KG07,,,,,
2018.0,,,53.969782,KGZ,Talas,,,,,,KG07,,,,,
2019.0,,,52.5,KGZ,Talas,,,,,,KG07,,,,,
2020.0,,,53.6,KGZ,Talas,,,,,,KG07,,,,,
2021.0,,,54.390585,KGZ,Talas,,,,,,KG07,,,,,
2016.0,,,72.259617,KGZ,Chui,,,,,,KG08,,,,,
2017.0,,,82.936082,KGZ,Chui,,,,,,KG08,,,,,
2018.0,,,88.432638,KGZ,Chui,,,,,,KG08,,,,,
2019.0,,,84.9,KGZ,Chui,,,,,,KG08,,,,,
2020.0,,,87.3,KGZ,Chui,,,,,,KG08,,,,,
2021.0,,,82.345362,KGZ,Chui,,,,,,KG08,,,,,
2016.0,,,91.985988,KGZ,Bishkek (city),,,,,,KG11,,,,,
2017.0,,,95.050715,KGZ,Bishkek (city),,,,,,KG11,,,,,
2018.0,,,93.868046,KGZ,Bishkek (city),,,,,,KG11,,,,,
2019.0,,,98.2,KGZ,Bishkek (city),,,,,,KG11,,,,,
2020.0,,,99.6,KGZ,Bishkek (city),,,,,,KG11,,,,,
2021.0,,,99.353343,KGZ,Bishkek (city),,,,,,KG11,,,,,
2016.0,,,100.0,KGZ,Osh (city),,,,,,KG21,,,,,
2017.0,,,99.418328,KGZ,Osh (city),,,,,,KG21,,,,,
2018.0,,,100.0,KGZ,Osh (city),,,,,,KG21,,,,,
2019.0,,,99.8,KGZ,Osh (city),,,,,,KG21,,,,,
2020.0,,,100.0,KGZ,Osh (city),,,,,,KG21,,,,,
2021.0,,,100.0,KGZ,Osh (city),,,,,,KG21,,,,,
2016.0,,,75.934458,KGZ,,,under 6 years old,,,,,,,,,
2017.0,,,77.895976,KGZ,,,under 6 years old,,,,,,,,,
2018.0,,,75.284861,KGZ,,,under 6 years old,,,,,,,,,
2019.0,,,75.1,KGZ,,,under 6 years old,,,,,,,,,
2020.0,,,71.8,KGZ,,,under 6 years old,,,,,,,,,
2021.0,,,69.019712,KGZ,,,under 6 years old,,,,,,,,,
2016.0,,,76.34227,KGZ,,,7 to 14 years old,,,,,,,,,
2017.0,,,78.403908,KGZ,,,7 to 14 years old,,,,,,,,,
2018.0,,,75.798122,KGZ,,,7 to 14 years old,,,,,,,,,
2019.0,,,75.1,KGZ,,,7 to 14 years old,,,,,,,,,
2020.0,,,71.2,KGZ,,,7 to 14 years old,,,,,,,,,
2021.0,,,70.100725,KGZ,,,7 to 14 years old,,,,,,,,,
2016.0,,,77.131081,KGZ,,,15 to 28 years old,,,,,,,,,
2017.0,,,81.295318,KGZ,,,15 to 28 years old,,,,,,,,,
2018.0,,,74.302741,KGZ,,,15 to 28 years old,,,,,,,,,
2019.0,,,75.9,KGZ,,,15 to 28 years old,,,,,,,,,
2020.0,,,73.0,KGZ,,,15 to 28 years old,,,,,,,,,
2021.0,,,71.228883,KGZ,,,15 to 28 years old,,,,,,,,,
2016.0,,,76.831249,KGZ,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,,,,,
2017.0,,,79.634405,KGZ,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,,,,,
2018.0,,,76.521211,KGZ,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,,,,,
2019.0,,,77.4,KGZ,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,,,,,
2020.0,,,74.2,KGZ,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,,,,,
2021.0,,,71.560363,KGZ,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,,,,,
2016.0,,,76.794901,KGZ,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,,,,
2017.0,,,80.93039,KGZ,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,,,,
2018.0,,,75.760086,KGZ,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,,,,
2019.0,,,74.9,KGZ,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,,,,
2020.0,,,72.1,KGZ,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,,,,
2021.0,,,71.2198,KGZ,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,,,,
2016.0,,,75.216542,KGZ,,,,,,Primary education,,,,,,
2017.0,,,78.30484,KGZ,,,,,,Primary education,,,,,,
2018.0,,,75.141999,KGZ,,,,,,Primary education,,,,,,
2019.0,,,75.1,KGZ,,,,,,Primary education,,,,,,
2020.0,,,71.7,KGZ,,,,,,Primary education,,,,,,
2021.0,,,70.310206,KGZ,,,,,,Primary education,,,,,,
2016.0,,,80.225607,KGZ,,,,,,Lower secondary education,,,,,,
2017.0,,,79.020964,KGZ,,,,,,Lower secondary education,,,,,,
2018.0,,,76.53136,KGZ,,,,,,Lower secondary education,,,,,,
2019.0,,,77.3,KGZ,,,,,,Lower secondary education,,,,,,
2020.0,,,73.8,KGZ,,,,,,Lower secondary education,,,,,,
2021.0,,,70.746152,KGZ,,,,,,Lower secondary education,,,,,,
2016.0,,,75.037157,KGZ,,,,,,Upper secondary education,,,,,,
2017.0,,,78.352825,KGZ,,,,,,Upper secondary education,,,,,,
2018.0,,,72.09416,KGZ,,,,,,Upper secondary education,,,,,,
2019.0,,,74.1,KGZ,,,,,,Upper secondary education,,,,,,
2020.0,,,69.5,KGZ,,,,,,Upper secondary education,,,,,,
2021.0,,,67.352567,KGZ,,,,,,Upper secondary education,,,,,,
2016.0,,,78.366259,KGZ,,,,,,Post-secondary non-tertiary education,,,,,,
2017.0,,,83.853085,KGZ,,,,,,Post-secondary non-tertiary education,,,,,,
2018.0,,,80.180024,KGZ,,,,,,Post-secondary non-tertiary education,,,,,,
2019.0,,,79.0,KGZ,,,,,,Post-secondary non-tertiary education,,,,,,
2020.0,,,77.1,KGZ,,,,,,Post-secondary non-tertiary education,,,,,,
2021.0,,,74.17407,KGZ,,,,,,Post-secondary non-tertiary education,,,,,,
2016.0,,,79.940306,KGZ,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,,,,
2017.0,,,83.947666,KGZ,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,,,,
2018.0,,,82.067382,KGZ,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,,,,
2019.0,,,81.4,KGZ,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,,,,
2020.0,,,80.4,KGZ,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,,,,
2021.0,,,78.97639,KGZ,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,,,,
2016.0,,,72.459521,KGZ,,,,,Quintile 1 (poorest),,,,,,,
2017.0,,,79.324082,KGZ,,,,,Quintile 1 (poorest),,,,,,,
2018.0,,,74.701544,KGZ,,,,,Quintile 1 (poorest),,,,,,,
2019.0,,,71.6,KGZ,,,,,Quintile 1 (poorest),,,,,,,
2020.0,,,66.873388,KGZ,,,,,Quintile 1 (poorest),,,,,,,
2021.0,,,64.367694,KGZ,,,,,Quintile 1 (poorest),,,,,,,
2016.0,,,77.314517,KGZ,,,,,Quintile 2,,,,,,,
2017.0,,,81.925162,KGZ,,,,,Quintile 2,,,,,,,
2018.0,,,74.760832,KGZ,,,,,Quintile 2,,,,,,,
