Year,Reference area,GeoCode,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2012.0,Naryn,KG04,1.562362,KGZ,,,,,
2013.0,Naryn,KG04,0.741692,KGZ,,,,,
2014.0,Naryn,KG04,0.037976,KGZ,,,,,
2015.0,Naryn,KG04,0.214395,KGZ,,,,,
2016.0,Naryn,KG04,0.157299,KGZ,,,,,
2017.0,Naryn,KG04,0.091702,KGZ,,,,,
2018.0,Naryn,KG04,0.01,KGZ,,,,,
2020.0,Naryn,KG04,0.086033,KGZ,,,,,
2007.0,Osh,KG06,0.042933,KGZ,,,,,
2008.0,Osh,KG06,5.639406,KGZ,,,,,
2009.0,Osh,KG06,0.057255,KGZ,,,,,
2010.0,Osh,KG06,0.198522,KGZ,,,,,
2011.0,Osh,KG06,0.369869,KGZ,,,,,
2012.0,Osh,KG06,0.17834,KGZ,,,,,
2013.0,Osh,KG06,0.010609,KGZ,,,,,
2014.0,Osh,KG06,0.00357,KGZ,,,,,
2015.0,Osh,KG06,4.302561,KGZ,,,,,
2016.0,Osh,KG06,0.049422,KGZ,,,,,
2017.0,Osh,KG06,0.702855,KGZ,,,,,
2018.0,Osh,KG06,0.03,KGZ,,,,,
2019.0,Osh,KG06,0.005898,KGZ,,,,,
2007.0,Talas,KG07,0.210978,KGZ,,,,,
2008.0,Talas,KG07,0.051951,KGZ,,,,,
2009.0,Talas,KG07,0.405354,KGZ,,,,,
2010.0,Talas,KG07,0.29974,KGZ,,,,,
2011.0,Talas,KG07,0.045177,KGZ,,,,,
2012.0,Talas,KG07,0.518047,KGZ,,,,,
2013.0,Talas,KG07,0.05949,KGZ,,,,,
2014.0,Talas,KG07,0.008098,KGZ,,,,,
2015.0,Talas,KG07,0.061365,KGZ,,,,,
2016.0,Talas,KG07,0.517318,KGZ,,,,,
2017.0,Talas,KG07,0.092032,KGZ,,,,,
2018.0,Talas,KG07,0.0,KGZ,,,,,
2007.0,Chui,KG08,0.035582,KGZ,,,,,
2010.0,Chui,KG08,0.005701,KGZ,,,,,
2011.0,Chui,KG08,0.01326,KGZ,,,,,
2012.0,Chui,KG08,0.004035,KGZ,,,,,
2013.0,Chui,KG08,0.029168,KGZ,,,,,
2014.0,Chui,KG08,0.033948,KGZ,,,,,
2015.0,Chui,KG08,0.033197,KGZ,,,,,
2016.0,Chui,KG08,0.118862,KGZ,,,,,
2017.0,Chui,KG08,0.234678,KGZ,,,,,
2018.0,Chui,KG08,0.01,KGZ,,,,,
2019.0,Chui,KG08,0.00233,KGZ,,,,,
2020.0,Chui,KG08,1.2e-05,KGZ,,,,,
2007.0,Bishkek (city),KG11,0.063779,KGZ,,,,,
2008.0,Bishkek (city),KG11,0.060758,KGZ,,,,,
2013.0,Bishkek (city),KG11,0.00051,KGZ,,,,,
2015.0,Bishkek (city),KG11,0.028178,KGZ,,,,,
2016.0,Bishkek (city),KG11,0.047988,KGZ,,,,,
2017.0,Bishkek (city),KG11,0.006461,KGZ,,,,,
2018.0,Bishkek (city),KG11,0.37,KGZ,,,,,
2019.0,Bishkek (city),KG11,0.046929,KGZ,,,,,
2007.0,Osh (city),KG21,0.01574,KGZ,,,,,
2008.0,Osh (city),KG21,0.003371,KGZ,,,,,
2012.0,Osh (city),KG21,0.006958,KGZ,,,,,
2013.0,Osh (city),KG21,0.034602,KGZ,,,,,
2015.0,Osh (city),KG21,0.61872,KGZ,,,,,
2016.0,Osh (city),KG21,0.001192,KGZ,,,,,
2017.0,Osh (city),KG21,0.202023,KGZ,,,,,
2019.0,Osh (city),KG21,0.001168,KGZ,,,,,
,,,,UZB,01_101_,Total,True,2000.0,0.5
,,,,UZB,01_101_,Total,True,2001.0,0.3
,,,,UZB,01_101_,Total,True,2002.0,0.0
,,,,UZB,01_101_,Total,True,2003.0,0.0
,,,,UZB,01_101_,Total,True,2004.0,0.0
,,,,UZB,01_101_,Total,True,2005.0,0.0
,,,,UZB,01_101_,Total,True,2006.0,0.0
,,,,UZB,01_101_,Total,True,2007.0,0.0
,,,,UZB,01_101_,Total,True,2008.0,0.0
,,,,UZB,01_101_,Total,True,2009.0,0.0
,,,,UZB,01_101_,Total,True,2010.0,0.0
,,,,UZB,01_101_,Total,True,2011.0,0.0
,,,,UZB,01_101_,Total,True,2012.0,0.0
,,,,UZB,01_101_,Total,True,2013.0,0.0
,,,,UZB,01_101_,Total,True,2014.0,0.0
,,,,UZB,01_101_,Total,True,2015.0,0.0
,,,,UZB,01_101_,Total,True,2016.0,0.0
,,,,UZB,01_101_,Total,True,2017.0,0.0
,,,,UZB,01_101_,Total,True,2018.0,0.0
,,,,UZB,01_101_,Total,True,2019.0,0.0
,,,,UZB,01_101_,Total,True,2020.0,0.0
,,,,UZB,01_101_,Total,True,2021.0,0.0
