Year,UNIT_MEASURE,SERIES,COMPOSITE_BREAKDOWN,Value,M49_country_code
2020,Percent,_L_KZ_16030302_1H,_L_TRST_STRAGG,35.9,KAZ
2020,Percent,_L_KZ_16030302_1H,_L_TRST_PARTAGG,31.0,KAZ
2020,Percent,_L_KZ_16030302_1H,_L_TRST_PARTDIS,4.6,KAZ
2020,Percent,_L_KZ_16030302_1H,_L_TRST_STRDIS,1.6,KAZ
2020,Percent,_L_KZ_16030302_1H,_L_TRST_NEV,26.8,KAZ
2020,Percent,_L_KZ_16030302_1G,_L_TRST_STRAGG,37.0,KAZ
2020,Percent,_L_KZ_16030302_1G,_L_TRST_PARTAGG,38.4,KAZ
2020,Percent,_L_KZ_16030302_1G,_L_TRST_PARTDIS,6.3,KAZ
2020,Percent,_L_KZ_16030302_1G,_L_TRST_STRDIS,2.7,KAZ
2020,Percent,_L_KZ_16030302_1G,_L_TRST_NEV,15.6,KAZ
2020,Percent,_L_KZ_16030302_1A,_L_TRST_STRAGG,24.5,KAZ
2020,Percent,_L_KZ_16030302_1A,_L_TRST_PARTAGG,27.1,KAZ
2020,Percent,_L_KZ_16030302_1A,_L_TRST_PARTDIS,4.4,KAZ
2020,Percent,_L_KZ_16030302_1A,_L_TRST_STRDIS,1.8,KAZ
2020,Percent,_L_KZ_16030302_1A,_L_TRST_NEV,42.1,KAZ
2020,Percent,_L_KZ_16030302_1I,_L_TRST_STRAGG,20.5,KAZ
2020,Percent,_L_KZ_16030302_1I,_L_TRST_PARTAGG,25.3,KAZ
2020,Percent,_L_KZ_16030302_1I,_L_TRST_PARTDIS,3.0,KAZ
2020,Percent,_L_KZ_16030302_1I,_L_TRST_STRDIS,1.3,KAZ
2020,Percent,_L_KZ_16030302_1I,_L_TRST_NEV,49.9,KAZ
2021,Percent,_L_KZ_16030302_1H,_L_TRST_STRAGG,37.7,KAZ
2021,Percent,_L_KZ_16030302_1H,_L_TRST_PARTAGG,27.3,KAZ
2021,Percent,_L_KZ_16030302_1H,_L_TRST_PARTDIS,3.0,KAZ
2021,Percent,_L_KZ_16030302_1H,_L_TRST_STRDIS,1.7,KAZ
2021,Percent,_L_KZ_16030302_1H,_L_TRST_NEV,30.3,KAZ
2021,Percent,_L_KZ_16030302_1G,_L_TRST_STRAGG,41.0,KAZ
2021,Percent,_L_KZ_16030302_1G,_L_TRST_PARTAGG,33.6,KAZ
2021,Percent,_L_KZ_16030302_1G,_L_TRST_PARTDIS,4.3,KAZ
2021,Percent,_L_KZ_16030302_1G,_L_TRST_STRDIS,2.2,KAZ
2021,Percent,_L_KZ_16030302_1G,_L_TRST_NEV,18.9,KAZ
2021,Percent,_L_KZ_16030302_1A,_L_TRST_STRAGG,25.1,KAZ
2021,Percent,_L_KZ_16030302_1A,_L_TRST_PARTAGG,26.3,KAZ
2021,Percent,_L_KZ_16030302_1A,_L_TRST_PARTDIS,2.8,KAZ
2021,Percent,_L_KZ_16030302_1A,_L_TRST_STRDIS,1.8,KAZ
2021,Percent,_L_KZ_16030302_1A,_L_TRST_NEV,44.0,KAZ
2021,Percent,_L_KZ_16030302_1I,_L_TRST_STRAGG,21.6,KAZ
2021,Percent,_L_KZ_16030302_1I,_L_TRST_PARTAGG,23.3,KAZ
2021,Percent,_L_KZ_16030302_1I,_L_TRST_PARTDIS,2.2,KAZ
2021,Percent,_L_KZ_16030302_1I,_L_TRST_STRDIS,1.1,KAZ
2021,Percent,_L_KZ_16030302_1I,_L_TRST_NEV,51.7,KAZ
