Year,UNIT_MEASURE,SERIES,Value,M49_country_code,Территория,Пол,unique_id,col_caption_name,col_caption_name1_empty,year,value
2021.0,,,35.0,KGZ,,Женщины,,,,,
2007.0,,,8.0,KGZ,Баткенская область,,,,,,
2008.0,,,9.0,KGZ,Баткенская область,,,,,,
2009.0,,,0.0,KGZ,Баткенская область,,,,,,
2010.0,,,15.0,KGZ,Баткенская область,,,,,,
2011.0,,,7.0,KGZ,Баткенская область,,,,,,
2012.0,,,9.0,KGZ,Баткенская область,,,,,,
2013.0,,,3.0,KGZ,Баткенская область,,,,,,
2014.0,,,3.0,KGZ,Баткенская область,,,,,,
2015.0,,,1.0,KGZ,Баткенская область,,,,,,
2016.0,,,9.0,KGZ,Баткенская область,,,,,,
2017.0,,,0.0,KGZ,Баткенская область,,,,,,
2018.0,,,0.0,KGZ,Баткенская область,,,,,,
2019.0,,,6.0,KGZ,Баткенская область,,,,,,
2020.0,,,5.0,KGZ,Баткенская область,,,,,,
2021.0,,,36.0,KGZ,Баткенская область,,,,,,
2007.0,,,6.0,KGZ,Баткенская область,Мужчины,,,,,
2008.0,,,9.0,KGZ,Баткенская область,Мужчины,,,,,
2009.0,,,0.0,KGZ,Баткенская область,Мужчины,,,,,
2010.0,,,11.0,KGZ,Баткенская область,Мужчины,,,,,
2011.0,,,4.0,KGZ,Баткенская область,Мужчины,,,,,
2012.0,,,7.0,KGZ,Баткенская область,Мужчины,,,,,
2013.0,,,3.0,KGZ,Баткенская область,Мужчины,,,,,
2014.0,,,3.0,KGZ,Баткенская область,Мужчины,,,,,
2015.0,,,1.0,KGZ,Баткенская область,Мужчины,,,,,
2016.0,,,7.0,KGZ,Баткенская область,Мужчины,,,,,
2017.0,,,0.0,KGZ,Баткенская область,Мужчины,,,,,
2018.0,,,0.0,KGZ,Баткенская область,Мужчины,,,,,
2019.0,,,4.0,KGZ,Баткенская область,Мужчины,,,,,
2020.0,,,3.0,KGZ,Баткенская область,Мужчины,,,,,
2021.0,,,35.0,KGZ,Баткенская область,Мужчины,,,,,
2007.0,,,2.0,KGZ,Баткенская область,Женщины,,,,,
2008.0,,,0.0,KGZ,Баткенская область,Женщины,,,,,
2009.0,,,0.0,KGZ,Баткенская область,Женщины,,,,,
2010.0,,,4.0,KGZ,Баткенская область,Женщины,,,,,
2011.0,,,3.0,KGZ,Баткенская область,Женщины,,,,,
2012.0,,,2.0,KGZ,Баткенская область,Женщины,,,,,
2013.0,,,0.0,KGZ,Баткенская область,Женщины,,,,,
2014.0,,,0.0,KGZ,Баткенская область,Женщины,,,,,
2015.0,,,0.0,KGZ,Баткенская область,Женщины,,,,,
2016.0,,,2.0,KGZ,Баткенская область,Женщины,,,,,
2017.0,,,0.0,KGZ,Баткенская область,Женщины,,,,,
2018.0,,,0.0,KGZ,Баткенская область,Женщины,,,,,
2019.0,,,2.0,KGZ,Баткенская область,Женщины,,,,,
2020.0,,,2.0,KGZ,Баткенская область,Женщины,,,,,
2021.0,,,1.0,KGZ,Баткенская область,Женщины,,,,,
2007.0,,,5.0,KGZ,Джалал-Абадская область,,,,,,
2008.0,,,25.0,KGZ,Джалал-Абадская область,,,,,,
2009.0,,,39.0,KGZ,Джалал-Абадская область,,,,,,
2010.0,,,32.0,KGZ,Джалал-Абадская область,,,,,,
2011.0,,,35.0,KGZ,Джалал-Абадская область,,,,,,
2012.0,,,33.0,KGZ,Джалал-Абадская область,,,,,,
2013.0,,,31.0,KGZ,Джалал-Абадская область,,,,,,
2014.0,,,17.0,KGZ,Джалал-Абадская область,,,,,,
2015.0,,,11.0,KGZ,Джалал-Абадская область,,,,,,
2016.0,,,13.0,KGZ,Джалал-Абадская область,,,,,,
2017.0,,,43.0,KGZ,Джалал-Абадская область,,,,,,
2018.0,,,4.0,KGZ,Джалал-Абадская область,,,,,,
2019.0,,,0.0,KGZ,Джалал-Абадская область,,,,,,
2020.0,,,15.0,KGZ,Джалал-Абадская область,,,,,,
2021.0,,,15.0,KGZ,Джалал-Абадская область,,,,,,
2007.0,,,5.0,KGZ,Джалал-Абадская область,Мужчины,,,,,
2008.0,,,18.0,KGZ,Джалал-Абадская область,Мужчины,,,,,
2009.0,,,27.0,KGZ,Джалал-Абадская область,Мужчины,,,,,
2010.0,,,21.0,KGZ,Джалал-Абадская область,Мужчины,,,,,
2011.0,,,27.0,KGZ,Джалал-Абадская область,Мужчины,,,,,
2012.0,,,17.0,KGZ,Джалал-Абадская область,Мужчины,,,,,
2013.0,,,22.0,KGZ,Джалал-Абадская область,Мужчины,,,,,
2014.0,,,11.0,KGZ,Джалал-Абадская область,Мужчины,,,,,
2015.0,,,5.0,KGZ,Джалал-Абадская область,Мужчины,,,,,
2016.0,,,9.0,KGZ,Джалал-Абадская область,Мужчины,,,,,
2017.0,,,29.0,KGZ,Джалал-Абадская область,Мужчины,,,,,
2018.0,,,4.0,KGZ,Джалал-Абадская область,Мужчины,,,,,
2019.0,,,0.0,KGZ,Джалал-Абадская область,Мужчины,,,,,
2020.0,,,9.0,KGZ,Джалал-Абадская область,Мужчины,,,,,
2021.0,,,8.0,KGZ,Джалал-Абадская область,Мужчины,,,,,
2007.0,,,0.0,KGZ,Джалал-Абадская область,Женщины,,,,,
2008.0,,,7.0,KGZ,Джалал-Абадская область,Женщины,,,,,
2009.0,,,12.0,KGZ,Джалал-Абадская область,Женщины,,,,,
2010.0,,,11.0,KGZ,Джалал-Абадская область,Женщины,,,,,
2011.0,,,8.0,KGZ,Джалал-Абадская область,Женщины,,,,,
2012.0,,,16.0,KGZ,Джалал-Абадская область,Женщины,,,,,
2013.0,,,9.0,KGZ,Джалал-Абадская область,Женщины,,,,,
2014.0,,,6.0,KGZ,Джалал-Абадская область,Женщины,,,,,
2015.0,,,6.0,KGZ,Джалал-Абадская область,Женщины,,,,,
2016.0,,,4.0,KGZ,Джалал-Абадская область,Женщины,,,,,
2017.0,,,14.0,KGZ,Джалал-Абадская область,Женщины,,,,,
2018.0,,,0.0,KGZ,Джалал-Абадская область,Женщины,,,,,
2019.0,,,0.0,KGZ,Джалал-Абадская область,Женщины,,,,,
2020.0,,,6.0,KGZ,Джалал-Абадская область,Женщины,,,,,
2021.0,,,7.0,KGZ,Джалал-Абадская область,Женщины,,,,,
2007.0,,,14.0,KGZ,Иссык-Кульская область,,,,,,
2008.0,,,42.0,KGZ,Иссык-Кульская область,,,,,,
2009.0,,,11.0,KGZ,Иссык-Кульская область,,,,,,
2010.0,,,15.0,KGZ,Иссык-Кульская область,,,,,,
2011.0,,,17.0,KGZ,Иссык-Кульская область,,,,,,
2012.0,,,4.0,KGZ,Иссык-Кульская область,,,,,,
2013.0,,,21.0,KGZ,Иссык-Кульская область,,,,,,
2014.0,,,25.0,KGZ,Иссык-Кульская область,,,,,,
2015.0,,,6.0,KGZ,Иссык-Кульская область,,,,,,
2016.0,,,2.0,KGZ,Иссык-Кульская область,,,,,,
2017.0,,,6.0,KGZ,Иссык-Кульская область,,,,,,
2018.0,,,2.0,KGZ,Иссык-Кульская область,,,,,,
2019.0,,,5.0,KGZ,Иссык-Кульская область,,,,,,
2020.0,,,0.0,KGZ,Иссык-Кульская область,,,,,,
2021.0,,,12.0,KGZ,Иссык-Кульская область,,,,,,
2007.0,,,10.0,KGZ,Иссык-Кульская область,Мужчины,,,,,
2008.0,,,26.0,KGZ,Иссык-Кульская область,Мужчины,,,,,
2009.0,,,7.0,KGZ,Иссык-Кульская область,Мужчины,,,,,
2010.0,,,10.0,KGZ,Иссык-Кульская область,Мужчины,,,,,
2011.0,,,9.0,KGZ,Иссык-Кульская область,Мужчины,,,,,
2012.0,,,4.0,KGZ,Иссык-Кульская область,Мужчины,,,,,
2013.0,,,13.0,KGZ,Иссык-Кульская область,Мужчины,,,,,
2014.0,,,16.0,KGZ,Иссык-Кульская область,Мужчины,,,,,
2015.0,,,5.0,KGZ,Иссык-Кульская область,Мужчины,,,,,
2016.0,,,1.0,KGZ,Иссык-Кульская область,Мужчины,,,,,
2017.0,,,6.0,KGZ,Иссык-Кульская область,Мужчины,,,,,
2018.0,,,1.0,KGZ,Иссык-Кульская область,Мужчины,,,,,
2019.0,,,2.0,KGZ,Иссык-Кульская область,Мужчины,,,,,
2020.0,,,0.0,KGZ,Иссык-Кульская область,Мужчины,,,,,
2021.0,,,7.0,KGZ,Иссык-Кульская область,Мужчины,,,,,
2007.0,,,4.0,KGZ,Иссык-Кульская область,Женщины,,,,,
2008.0,,,16.0,KGZ,Иссык-Кульская область,Женщины,,,,,
2009.0,,,4.0,KGZ,Иссык-Кульская область,Женщины,,,,,
2010.0,,,5.0,KGZ,Иссык-Кульская область,Женщины,,,,,
2011.0,,,8.0,KGZ,Иссык-Кульская область,Женщины,,,,,
2012.0,,,,KGZ,Иссык-Кульская область,Женщины,,,,,
2013.0,,,8.0,KGZ,Иссык-Кульская область,Женщины,,,,,
2014.0,,,9.0,KGZ,Иссык-Кульская область,Женщины,,,,,
2015.0,,,1.0,KGZ,Иссык-Кульская область,Женщины,,,,,
2016.0,,,1.0,KGZ,Иссык-Кульская область,Женщины,,,,,
2017.0,,,,KGZ,Иссык-Кульская область,Женщины,,,,,
2018.0,,,1.0,KGZ,Иссык-Кульская область,Женщины,,,,,
2019.0,,,3.0,KGZ,Иссык-Кульская область,Женщины,,,,,
2020.0,,,0.0,KGZ,Иссык-Кульская область,Женщины,,,,,
2021.0,,,5.0,KGZ,Иссык-Кульская область,Женщины,,,,,
2007.0,,,5.0,KGZ,Нарынская область,,,,,,
2008.0,,,6.0,KGZ,Нарынская область,,,,,,
2009.0,,,0.0,KGZ,Нарынская область,,,,,,
2010.0,,,7.0,KGZ,Нарынская область,,,,,,
2011.0,,,0.0,KGZ,Нарынская область,,,,,,
2012.0,,,5.0,KGZ,Нарынская область,,,,,,
2013.0,,,8.0,KGZ,Нарынская область,,,,,,
2014.0,,,2.0,KGZ,Нарынская область,,,,,,
2015.0,,,9.0,KGZ,Нарынская область,,,,,,
2016.0,,,1.0,KGZ,Нарынская область,,,,,,
2017.0,,,2.0,KGZ,Нарынская область,,,,,,
2018.0,,,0.0,KGZ,Нарынская область,,,,,,
2019.0,,,0.0,KGZ,Нарынская область,,,,,,
2020.0,,,0.0,KGZ,Нарынская область,,,,,,
2021.0,,,0.0,KGZ,Нарынская область,,,,,,
2007.0,,,4.0,KGZ,Нарынская область,Мужчины,,,,,
2008.0,,,4.0,KGZ,Нарынская область,Мужчины,,,,,
2009.0,,,0.0,KGZ,Нарынская область,Мужчины,,,,,
2010.0,,,4.0,KGZ,Нарынская область,Мужчины,,,,,
2011.0,,,0.0,KGZ,Нарынская область,Мужчины,,,,,
2012.0,,,4.0,KGZ,Нарынская область,Мужчины,,,,,
2013.0,,,5.0,KGZ,Нарынская область,Мужчины,,,,,
2014.0,,,2.0,KGZ,Нарынская область,Мужчины,,,,,
2015.0,,,6.0,KGZ,Нарынская область,Мужчины,,,,,
2016.0,,,1.0,KGZ,Нарынская область,Мужчины,,,,,
2017.0,,,2.0,KGZ,Нарынская область,Мужчины,,,,,
2018.0,,,0.0,KGZ,Нарынская область,Мужчины,,,,,
2019.0,,,0.0,KGZ,Нарынская область,Мужчины,,,,,
2020.0,,,0.0,KGZ,Нарынская область,Мужчины,,,,,
2021.0,,,0.0,KGZ,Нарынская область,Мужчины,,,,,
2007.0,,,1.0,KGZ,Нарынская область,Женщины,,,,,
2008.0,,,2.0,KGZ,Нарынская область,Женщины,,,,,
2009.0,,,0.0,KGZ,Нарынская область,Женщины,,,,,
2010.0,,,3.0,KGZ,Нарынская область,Женщины,,,,,
2011.0,,,0.0,KGZ,Нарынская область,Женщины,,,,,
2012.0,,,1.0,KGZ,Нарынская область,Женщины,,,,,
2013.0,,,3.0,KGZ,Нарынская область,Женщины,,,,,
2014.0,,,0.0,KGZ,Нарынская область,Женщины,,,,,
2015.0,,,3.0,KGZ,Нарынская область,Женщины,,,,,
2016.0,,,0.0,KGZ,Нарынская область,Женщины,,,,,
2017.0,,,0.0,KGZ,Нарынская область,Женщины,,,,,
2018.0,,,0.0,KGZ,Нарынская область,Женщины,,,,,
2019.0,,,0.0,KGZ,Нарынская область,Женщины,,,,,
2020.0,,,0.0,KGZ,Нарынская область,Женщины,,,,,
2021.0,,,0.0,KGZ,Нарынская область,Женщины,,,,,
2007.0,,,6.0,KGZ,Ошская область,,,,,,
2008.0,,,96.0,KGZ,Ошская область,,,,,,
2009.0,,,2.0,KGZ,Ошская область,,,,,,
2010.0,,,19.0,KGZ,Ошская область,,,,,,
2011.0,,,11.0,KGZ,Ошская область,,,,,,
2012.0,,,22.0,KGZ,Ошская область,,,,,,
2013.0,,,5.0,KGZ,Ошская область,,,,,,
2014.0,,,0.0,KGZ,Ошская область,,,,,,
2015.0,,,10.0,KGZ,Ошская область,,,,,,
2016.0,,,1.0,KGZ,Ошская область,,,,,,
2017.0,,,35.0,KGZ,Ошская область,,,,,,
2018.0,,,1.0,KGZ,Ошская область,,,,,,
2019.0,,,0.0,KGZ,Ошская область,,,,,,
2020.0,,,7.0,KGZ,Ошская область,,,,,,
2021.0,,,17.0,KGZ,Ошская область,,,,,,
2007.0,,,6.0,KGZ,Ошская область,Мужчины,,,,,
2008.0,,,50.0,KGZ,Ошская область,Мужчины,,,,,
2009.0,,,2.0,KGZ,Ошская область,Мужчины,,,,,
2010.0,,,12.0,KGZ,Ошская область,Мужчины,,,,,
2011.0,,,6.0,KGZ,Ошская область,Мужчины,,,,,
2012.0,,,16.0,KGZ,Ошская область,Мужчины,,,,,
2013.0,,,3.0,KGZ,Ошская область,Мужчины,,,,,
2014.0,,,0.0,KGZ,Ошская область,Мужчины,,,,,
2015.0,,,7.0,KGZ,Ошская область,Мужчины,,,,,
2016.0,,,1.0,KGZ,Ошская область,Мужчины,,,,,
2017.0,,,17.0,KGZ,Ошская область,Мужчины,,,,,
2018.0,,,1.0,KGZ,Ошская область,Мужчины,,,,,
2019.0,,,0.0,KGZ,Ошская область,Мужчины,,,,,
2020.0,,,7.0,KGZ,Ошская область,Мужчины,,,,,
2021.0,,,8.0,KGZ,Ошская область,Мужчины,,,,,
2007.0,,,0.0,KGZ,Ошская область,Женщины,,,,,
2008.0,,,46.0,KGZ,Ошская область,Женщины,,,,,
2009.0,,,0.0,KGZ,Ошская область,Женщины,,,,,
2010.0,,,7.0,KGZ,Ошская область,Женщины,,,,,
2011.0,,,5.0,KGZ,Ошская область,Женщины,,,,,
2012.0,,,6.0,KGZ,Ошская область,Женщины,,,,,
2013.0,,,2.0,KGZ,Ошская область,Женщины,,,,,
2014.0,,,0.0,KGZ,Ошская область,Женщины,,,,,
2015.0,,,3.0,KGZ,Ошская область,Женщины,,,,,
2016.0,,,0.0,KGZ,Ошская область,Женщины,,,,,
2017.0,,,18.0,KGZ,Ошская область,Женщины,,,,,
2018.0,,,0.0,KGZ,Ошская область,Женщины,,,,,
2019.0,,,0.0,KGZ,Ошская область,Женщины,,,,,
2020.0,,,0.0,KGZ,Ошская область,Женщины,,,,,
2021.0,,,9.0,KGZ,Ошская область,Женщины,,,,,
2007.0,,,1.0,KGZ,Таласская область,,,,,,
2008.0,,,0.0,KGZ,Таласская область,,,,,,
2009.0,,,0.0,KGZ,Таласская область,,,,,,
2010.0,,,4.0,KGZ,Таласская область,,,,,,
2011.0,,,6.0,KGZ,Таласская область,,,,,,
2012.0,,,0.0,KGZ,Таласская область,,,,,,
2013.0,,,5.0,KGZ,Таласская область,,,,,,
2014.0,,,0.0,KGZ,Таласская область,,,,,,
2015.0,,,0.0,KGZ,Таласская область,,,,,,
2016.0,,,0.0,KGZ,Таласская область,,,,,,
2017.0,,,0.0,KGZ,Таласская область,,,,,,
2018.0,,,0.0,KGZ,Таласская область,,,,,,
2019.0,,,0.0,KGZ,Таласская область,,,,,,
2020.0,,,0.0,KGZ,Таласская область,,,,,,
2021.0,,,9.0,KGZ,Таласская область,,,,,,
2007.0,,,1.0,KGZ,Таласская область,Мужчины,,,,,
2008.0,,,0.0,KGZ,Таласская область,Мужчины,,,,,
2009.0,,,0.0,KGZ,Таласская область,Мужчины,,,,,
2010.0,,,3.0,KGZ,Таласская область,Мужчины,,,,,
2011.0,,,4.0,KGZ,Таласская область,Мужчины,,,,,
2012.0,,,0.0,KGZ,Таласская область,Мужчины,,,,,
2013.0,,,4.0,KGZ,Таласская область,Мужчины,,,,,
2014.0,,,0.0,KGZ,Таласская область,Мужчины,,,,,
2015.0,,,0.0,KGZ,Таласская область,Мужчины,,,,,
2016.0,,,0.0,KGZ,Таласская область,Мужчины,,,,,
2017.0,,,0.0,KGZ,Таласская область,Мужчины,,,,,
2018.0,,,0.0,KGZ,Таласская область,Мужчины,,,,,
2019.0,,,0.0,KGZ,Таласская область,Мужчины,,,,,
2020.0,,,0.0,KGZ,Таласская область,Мужчины,,,,,
2021.0,,,7.0,KGZ,Таласская область,Мужчины,,,,,
2007.0,,,0.0,KGZ,Таласская область,Женщины,,,,,
2008.0,,,0.0,KGZ,Таласская область,Женщины,,,,,
2009.0,,,0.0,KGZ,Таласская область,Женщины,,,,,
2010.0,,,1.0,KGZ,Таласская область,Женщины,,,,,
2011.0,,,2.0,KGZ,Таласская область,Женщины,,,,,
2012.0,,,0.0,KGZ,Таласская область,Женщины,,,,,
2013.0,,,1.0,KGZ,Таласская область,Женщины,,,,,
2014.0,,,0.0,KGZ,Таласская область,Женщины,,,,,
2015.0,,,0.0,KGZ,Таласская область,Женщины,,,,,
2016.0,,,0.0,KGZ,Таласская область,Женщины,,,,,
2017.0,,,0.0,KGZ,Таласская область,Женщины,,,,,
2018.0,,,0.0,KGZ,Таласская область,Женщины,,,,,
2019.0,,,0.0,KGZ,Таласская область,Женщины,,,,,
2020.0,,,0.0,KGZ,Таласская область,Женщины,,,,,
2021.0,,,2.0,KGZ,Таласская область,Женщины,,,,,
2007.0,,,35.0,KGZ,Чуйская область,,,,,,
2008.0,,,102.0,KGZ,Чуйская область,,,,,,
2009.0,,,19.0,KGZ,Чуйская область,,,,,,
2010.0,,,46.0,KGZ,Чуйская область,,,,,,
2011.0,,,41.0,KGZ,Чуйская область,,,,,,
2012.0,,,23.0,KGZ,Чуйская область,,,,,,
2013.0,,,22.0,KGZ,Чуйская область,,,,,,
2014.0,,,13.0,KGZ,Чуйская область,,,,,,
2015.0,,,15.0,KGZ,Чуйская область,,,,,,
2016.0,,,14.0,KGZ,Чуйская область,,,,,,
2017.0,,,55.0,KGZ,Чуйская область,,,,,,
2018.0,,,10.0,KGZ,Чуйская область,,,,,,
2019.0,,,6.0,KGZ,Чуйская область,,,,,,
2020.0,,,24.0,KGZ,Чуйская область,,,,,,
2021.0,,,20.0,KGZ,Чуйская область,,,,,,
2007.0,,,28.0,KGZ,Чуйская область,Мужчины,,,,,
2008.0,,,76.0,KGZ,Чуйская область,Мужчины,,,,,
2009.0,,,12.0,KGZ,Чуйская область,Мужчины,,,,,
2010.0,,,32.0,KGZ,Чуйская область,Мужчины,,,,,
2011.0,,,30.0,KGZ,Чуйская область,Мужчины,,,,,
2012.0,,,15.0,KGZ,Чуйская область,Мужчины,,,,,
