Year,Sex,Age,Degree of urbanisation,Economic activity,Value,M49_country_code
2016,,40 to 44 years old,,,20.070139,KGZ
2017,,40 to 44 years old,,,21.848723,KGZ
2018,,40 to 44 years old,,,18.519254,KGZ
2019,,40 to 44 years old,,,16.1,KGZ
2020,,40 to 44 years old,,,25.2,KGZ
2021,,40 to 44 years old,,,33.4,KGZ
2015,,45 to 49 years old,,,20.291457,KGZ
2016,,45 to 49 years old,,,15.102517,KGZ
2017,,45 to 49 years old,,,15.28059,KGZ
2018,,45 to 49 years old,,,13.51728,KGZ
2019,,45 to 49 years old,,,11.1,KGZ
2020,,45 to 49 years old,,,16.1,KGZ
2021,,45 to 49 years old,,,26.4,KGZ
2015,,50 to 54 years old,,,12.36359,KGZ
2016,,50 to 54 years old,,,11.302524,KGZ
2017,,50 to 54 years old,,,10.786084,KGZ
2018,,50 to 54 years old,,,12.477862,KGZ
2019,,50 to 54 years old,,,8.6,KGZ
2020,,50 to 54 years old,,,12.3,KGZ
2021,,50 to 54 years old,,,20.1,KGZ
2015,,55 to 59 years old,,,11.393416,KGZ
2016,,55 to 59 years old,,,8.398371,KGZ
2017,,55 to 59 years old,,,10.344861,KGZ
2018,,55 to 59 years old,,,9.489257,KGZ
2019,,55 to 59 years old,,,7.9,KGZ
2020,,55 to 59 years old,,,8.9,KGZ
2021,,55 to 59 years old,,,13.0,KGZ
2015,,60 to 64 years old,,,9.437077,KGZ
2016,,60 to 64 years old,,,14.236349,KGZ
2017,,60 to 64 years old,,,14.339166,KGZ
2018,,60 to 64 years old,,,11.956667,KGZ
2019,,60 to 64 years old,,,8.8,KGZ
2020,,60 to 64 years old,,,10.2,KGZ
2021,,60 to 64 years old,,,14.3,KGZ
2015,,65 to 69 years old,,,5.348356,KGZ
2016,,65 to 69 years old,,,7.617625,KGZ
2017,,65 to 69 years old,,,6.152168,KGZ
2018,,65 to 69 years old,,,4.775939,KGZ
2019,,65 to 69 years old,,,4.2,KGZ
2020,,65 to 69 years old,,,9.4,KGZ
2021,,65 to 69 years old,,,17.1,KGZ
2015,,70 years old and over,,,4.324812,KGZ
2016,,70 years old and over,,,13.929941,KGZ
2017,,70 years old and over,,,10.576621,KGZ
2018,,70 years old and over,,,3.717472,KGZ
2019,,70 years old and over,,,7.3,KGZ
2020,,70 years old and over,,,5.1,KGZ
2021,,70 years old and over,,,13.6,KGZ
2015,,,Urban,,18.096777,KGZ
2016,,,Urban,,11.846667,KGZ
2017,,,Urban,,13.174611,KGZ
2018,,,Urban,,13.0,KGZ
2019,,,Urban,,9.7,KGZ
2020,,,Urban,,12.4,KGZ
2021,,,Urban,,24.8,KGZ
2015,,,Rural,,25.484816,KGZ
2016,,,Rural,,21.760369,KGZ
2017,,,Rural,,20.740757,KGZ
2018,,,Rural,,16.9,KGZ
2019,,,Rural,,15.2,KGZ
2020,,,Rural,,20.1,KGZ
2021,,,Rural,,24.6,KGZ
2015,,,,"Agriculture, forestry and fishing",29.143908,KGZ
2016,,,,"Agriculture, forestry and fishing",24.458297,KGZ
2017,,,,"Agriculture, forestry and fishing",22.569518,KGZ
2018,,,,"Agriculture, forestry and fishing",21.91768,KGZ
2019,,,,"Agriculture, forestry and fishing",14.2,KGZ
2020,,,,"Agriculture, forestry and fishing",21.1,KGZ
2021,,,,"Agriculture, forestry and fishing",24.3,KGZ
2015,,,,Mining and quarrying,25.706733,KGZ
2016,,,,Mining and quarrying,17.407081,KGZ
2017,,,,Mining and quarrying,43.485033,KGZ
2018,,,,Mining and quarrying,46.524661,KGZ
2019,,,,Mining and quarrying,40.4,KGZ
2020,,,,Mining and quarrying,40.1,KGZ
2021,,,,Mining and quarrying,47.1,KGZ
2015,,,,Manufacturing,20.686606,KGZ
2016,,,,Manufacturing,16.804167,KGZ
2017,,,,Manufacturing,19.252255,KGZ
2018,,,,Manufacturing,12.973926,KGZ
2019,,,,Manufacturing,14.3,KGZ
2020,,,,Manufacturing,13.5,KGZ
2021,,,,Manufacturing,23.6,KGZ
2015,,,,"Electricity, gas, steam and air conditioning supply",10.380818,KGZ
2016,,,,"Electricity, gas, steam and air conditioning supply",6.694579,KGZ
2017,,,,"Electricity, gas, steam and air conditioning supply",16.766198,KGZ
2018,,,,"Electricity, gas, steam and air conditioning supply",9.870001,KGZ
2019,,,,"Electricity, gas, steam and air conditioning supply",10.0,KGZ
2020,,,,"Electricity, gas, steam and air conditioning supply",18.7,KGZ
2021,,,,"Electricity, gas, steam and air conditioning supply",28.8,KGZ
2015,,,,"Water supply; sewerage, waste management and remediation activities",8.763458,KGZ
2016,,,,"Water supply; sewerage, waste management and remediation activities",11.046115,KGZ
2017,,,,"Water supply; sewerage, waste management and remediation activities",16.935338,KGZ
2018,,,,"Water supply; sewerage, waste management and remediation activities",14.440148,KGZ
2019,,,,"Water supply; sewerage, waste management and remediation activities",16.3,KGZ
2020,,,,"Water supply; sewerage, waste management and remediation activities",24.4,KGZ
2021,,,,"Water supply; sewerage, waste management and remediation activities",27.8,KGZ
2015,,,,Construction,30.479759,KGZ
2016,,,,Construction,21.910701,KGZ
2017,,,,Construction,25.189653,KGZ
2018,,,,Construction,18.342748,KGZ
2019,,,,Construction,16.1,KGZ
2020,,,,Construction,21.6,KGZ
2021,,,,Construction,29.9,KGZ
2015,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,17.048203,KGZ
2016,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,13.904379,KGZ
2017,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,12.664883,KGZ
2018,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,12.403591,KGZ
2019,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,11.6,KGZ
2020,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,10.1,KGZ
2021,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,20.7,KGZ
2015,,,,Transportation and storage,22.27405,KGZ
2016,,,,Transportation and storage,20.940255,KGZ
2017,,,,Transportation and storage,17.99169,KGZ
2018,,,,Transportation and storage,14.190519,KGZ
2019,,,,Transportation and storage,15.2,KGZ
2020,,,,Transportation and storage,19.4,KGZ
2021,,,,Transportation and storage,26.2,KGZ
2015,,,,Accommodation and food service activities,18.21034,KGZ
2016,,,,Accommodation and food service activities,13.950839,KGZ
2017,,,,Accommodation and food service activities,10.454912,KGZ
2018,,,,Accommodation and food service activities,10.100327,KGZ
2019,,,,Accommodation and food service activities,8.9,KGZ
2020,,,,Accommodation and food service activities,11.6,KGZ
2021,,,,Accommodation and food service activities,19.1,KGZ
2015,,,,Information and communication,23.378289,KGZ
2016,,,,Information and communication,12.552141,KGZ
2017,,,,Information and communication,7.21763,KGZ
2018,,,,Information and communication,7.39829,KGZ
2019,,,,Information and communication,2.1,KGZ
2020,,,,Information and communication,5.3,KGZ
2021,,,,Information and communication,10.7,KGZ
2015,,,,Financial and insurance activities,10.489031,KGZ
2016,,,,Financial and insurance activities,6.973096,KGZ
2017,,,,Financial and insurance activities,11.910368,KGZ
2018,,,,Financial and insurance activities,10.729115,KGZ
2019,,,,Financial and insurance activities,15.6,KGZ
2020,,,,Financial and insurance activities,20.5,KGZ
2021,,,,Financial and insurance activities,28.9,KGZ
2015,,,,Real estate activities,3.934555,KGZ
2016,,,,Real estate activities,1.56104,KGZ
2017,,,,Real estate activities,1.876997,KGZ
2020,,,,Real estate activities,9.0,KGZ
2021,,,,Real estate activities,22.7,KGZ
2015,,,,"Professional, scientific and technical activities",18.961063,KGZ
2016,,,,"Professional, scientific and technical activities",6.415037,KGZ
2017,,,,"Professional, scientific and technical activities",10.733285,KGZ
2018,,,,"Professional, scientific and technical activities",6.187182,KGZ
2019,,,,"Professional, scientific and technical activities",12.6,KGZ
2020,,,,"Professional, scientific and technical activities",21.0,KGZ
2021,,,,"Professional, scientific and technical activities",17.9,KGZ
2015,,,,Administrative and support service activities,13.647895,KGZ
2016,,,,Administrative and support service activities,9.73944,KGZ
2017,,,,Administrative and support service activities,17.445705,KGZ
2018,,,,Administrative and support service activities,10.903917,KGZ
2019,,,,Administrative and support service activities,10.8,KGZ
2020,,,,Administrative and support service activities,12.0,KGZ
2021,,,,Administrative and support service activities,24.9,KGZ
2015,,,,Public administration and defence; compulsory social security,16.876779,KGZ
2016,,,,Public administration and defence; compulsory social security,9.94822,KGZ
2017,,,,Public administration and defence; compulsory social security,10.126909,KGZ
2018,,,,Public administration and defence; compulsory social security,6.64676,KGZ
2019,,,,Public administration and defence; compulsory social security,6.7,KGZ
2020,,,,Public administration and defence; compulsory social security,13.1,KGZ
2021,,,,Public administration and defence; compulsory social security,19.9,KGZ
2015,,,,Education,20.413164,KGZ
2016,,,,Education,16.145522,KGZ
2017,,,,Education,18.57928,KGZ
2018,,,,Education,18.915135,KGZ
2019,,,,Education,13.2,KGZ
2020,,,,Education,22.0,KGZ
2021,,,,Education,30.7,KGZ
2015,,,,Human health and social work activities,13.310295,KGZ
2016,,,,Human health and social work activities,11.612557,KGZ
2017,,,,Human health and social work activities,15.172329,KGZ
2018,,,,Human health and social work activities,12.026034,KGZ
2019,,,,Human health and social work activities,10.9,KGZ
2020,,,,Human health and social work activities,22.9,KGZ
2021,,,,Human health and social work activities,25.1,KGZ
2015,,,,"Arts, entertainment and recreation",24.880928,KGZ
2016,,,,"Arts, entertainment and recreation",22.865184,KGZ
2017,,,,"Arts, entertainment and recreation",13.457395,KGZ
2018,,,,"Arts, entertainment and recreation",9.968181,KGZ
2019,,,,"Arts, entertainment and recreation",13.3,KGZ
2020,,,,"Arts, entertainment and recreation",12.6,KGZ
2021,,,,"Arts, entertainment and recreation",16.3,KGZ
2015,,,,Other service activities,14.316551,KGZ
2016,,,,Other service activities,10.525974,KGZ
2017,,,,Other service activities,9.650244,KGZ
2018,,,,Other service activities,9.121616,KGZ
2019,,,,Other service activities,6.8,KGZ
2020,,,,Other service activities,12.5,KGZ
2021,,,,Other service activities,24.3,KGZ
2015,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,23.958709,KGZ
2016,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,46.915523,KGZ
2017,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,31.481607,KGZ
2018,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,23.380874,KGZ
2019,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,18.3,KGZ
2020,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,36.0,KGZ
2021,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,20.6,KGZ
2017,,,,Activities of extraterritorial organisations and bodies,15.599786,KGZ
2020,,,,Activities of extraterritorial organisations and bodies,10.7,KGZ
