Year,Unit multiplier,SERIES,Economic activity,UNIT_MEASURE,Value,M49_country_code
2015,Thousands,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,16.1,KGZ
2016,Thousands,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,15.8,KGZ
2017,Thousands,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,16.3,KGZ
2018,Thousands,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,15.8,KGZ
2019,Thousands,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,14.32,KGZ
2020,Thousands,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,13.073527,KGZ
2007,Thousands,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,71.8,KGZ
2008,Thousands,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,46.0,KGZ
2009,Thousands,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,40.1,KGZ
2010,Thousands,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,33.1,KGZ
2011,Thousands,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,30.0,KGZ
2012,Thousands,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,41.2,KGZ
2013,Thousands,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,35.0,KGZ
2014,Thousands,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,43.0,KGZ
2015,Thousands,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,31.8,KGZ
2016,Thousands,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,26.3,KGZ
2017,Thousands,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,25.0,KGZ
2018,Thousands,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,25.5,KGZ
2019,Thousands,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,23.61,KGZ
2020,Thousands,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,21.941291,KGZ
2007,Millions,Power generation at small hydroelecric plant,,Kilowatt-hours,158.9,KGZ
2008,Millions,Power generation at small hydroelecric plant,,Kilowatt-hours,146.9,KGZ
2009,Millions,Power generation at small hydroelecric plant,,Kilowatt-hours,168.8,KGZ
2010,Millions,Power generation at small hydroelecric plant,,Kilowatt-hours,180.5,KGZ
2011,Millions,Power generation at small hydroelecric plant,,Kilowatt-hours,174.7,KGZ
2012,Millions,Power generation at small hydroelecric plant,,Kilowatt-hours,155.2,KGZ
2013,Millions,Power generation at small hydroelecric plant,,Kilowatt-hours,160.3,KGZ
2014,Millions,Power generation at small hydroelecric plant,,Kilowatt-hours,130.9,KGZ
2015,Millions,Power generation at small hydroelecric plant,,Kilowatt-hours,207.6,KGZ
2016,Millions,Power generation at small hydroelecric plant,,Kilowatt-hours,248.3,KGZ
2017,Millions,Power generation at small hydroelecric plant,,Kilowatt-hours,260.3,KGZ
2018,Millions,Power generation at small hydroelecric plant,,Kilowatt-hours,202.9,KGZ
2019,Millions,Power generation at small hydroelecric plant,,Kilowatt-hours,200.5,KGZ
2020,Millions,Power generation at small hydroelecric plant,,Kilowatt-hours,196.6,KGZ
