Year,UNIT_MEASURE,Value,M49_country_code,Sex,Age,Education level
2013,,26.7,KGZ,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2014,,26.5,KGZ,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2015,,24.6,KGZ,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2016,,22.2,KGZ,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2017,,20.6,KGZ,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2018,,21.3,KGZ,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2019,,24.0,KGZ,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2020,,28.4,KGZ,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2021,,29.7,KGZ,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2010,,22.4,KGZ,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2013,,21.8,KGZ,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2014,,21.2,KGZ,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2015,,20.6,KGZ,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2016,,18.3,KGZ,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2017,,17.4,KGZ,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2018,,18.3,KGZ,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2019,,21.2,KGZ,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2020,,25.0,KGZ,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
2021,,27.5,KGZ,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent)
