Year,UNIT_MEASURE,SERIES,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2017.0,Percent,DTP Coverage (3 doses),100.0,KAZ,,,,,,,
2017.0,Percent,Measles vaccine coverage (2 doses),98.7,KAZ,,,,,,,
2017.0,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),98.3,KAZ,,,,,,,
2018.0,Percent,,97.8,KAZ,,,,,,,
2018.0,Percent,DTP Coverage (3 doses),98.3,KAZ,,,,,,,
2018.0,Percent,Measles vaccine coverage (2 doses),98.4,KAZ,,,,,,,
2018.0,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),95.5,KAZ,,,,,,,
2019.0,Percent,,96.7,KAZ,,,,,,,
2019.0,Percent,DTP Coverage (3 doses),97.4,KAZ,,,,,,,
2019.0,Percent,Measles vaccine coverage (2 doses),97.8,KAZ,,,,,,,
2019.0,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),89.4,KAZ,,,,,,,
2020.0,Percent,,90.2,KAZ,,,,,,,
2020.0,Percent,DTP Coverage (3 doses),88.3,KAZ,,,,,,,
2020.0,Percent,Measles vaccine coverage (2 doses),90.7,KAZ,,,,,,,
2020.0,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),88.7,KAZ,,,,,,,
2007.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.1,KGZ,,,,,,,
2008.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.3,KGZ,,,,,,,
2009.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.4,KGZ,,,,,,,
2010.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.5,KGZ,,,,,,,
2011.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.1,KGZ,,,,,,,
2012.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.2,KGZ,,,,,,,
2013.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.9,KGZ,,,,,,,
2014.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.8,KGZ,,,,,,,
2015.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.6,KGZ,,,,,,,
2016.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.1,KGZ,,,,,,,
2017.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),93.4,KGZ,,,,,,,
2018.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.5,KGZ,,,,,,,
2019.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.351083,KGZ,,,,,,,
2020.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),88.157251,KGZ,,,,,,,
2021.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),88.796593,KGZ,,,,,,,
2007.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),93.4,KGZ,Batken,KG05,,,,,
2008.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.8,KGZ,Batken,KG05,,,,,
2009.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.4,KGZ,Batken,KG05,,,,,
2010.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.8,KGZ,Batken,KG05,,,,,
2011.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.7,KGZ,Batken,KG05,,,,,
2012.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),98.3,KGZ,Batken,KG05,,,,,
2013.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),97.7,KGZ,Batken,KG05,,,,,
2014.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),98.9,KGZ,Batken,KG05,,,,,
2015.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),98.6,KGZ,Batken,KG05,,,,,
2016.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),98.1,KGZ,Batken,KG05,,,,,
2017.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.7,KGZ,Batken,KG05,,,,,
2018.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.6,KGZ,Batken,KG05,,,,,
2019.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),98.322619,KGZ,Batken,KG05,,,,,
2020.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),91.684706,KGZ,Batken,KG05,,,,,
2021.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),86.908583,KGZ,Batken,KG05,,,,,
2007.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),93.6,KGZ,Jalal-Abad,KG03,,,,,
2008.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.6,KGZ,Jalal-Abad,KG03,,,,,
2009.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.9,KGZ,Jalal-Abad,KG03,,,,,
2010.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.9,KGZ,Jalal-Abad,KG03,,,,,
2011.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.2,KGZ,Jalal-Abad,KG03,,,,,
2012.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.9,KGZ,Jalal-Abad,KG03,,,,,
2013.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),97.8,KGZ,Jalal-Abad,KG03,,,,,
2014.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.8,KGZ,Jalal-Abad,KG03,,,,,
2015.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.1,KGZ,Jalal-Abad,KG03,,,,,
2016.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.8,KGZ,Jalal-Abad,KG03,,,,,
2017.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),93.8,KGZ,Jalal-Abad,KG03,,,,,
2018.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.1,KGZ,Jalal-Abad,KG03,,,,,
2019.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),90.174029,KGZ,Jalal-Abad,KG03,,,,,
2020.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),87.415504,KGZ,Jalal-Abad,KG03,,,,,
2021.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),89.680107,KGZ,Jalal-Abad,KG03,,,,,
2007.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),93.9,KGZ,Issyk-Kul,KG02,,,,,
2008.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.2,KGZ,Issyk-Kul,KG02,,,,,
2009.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.3,KGZ,Issyk-Kul,KG02,,,,,
2010.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),97.2,KGZ,Issyk-Kul,KG02,,,,,
2011.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),93.6,KGZ,Issyk-Kul,KG02,,,,,
2012.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.9,KGZ,Issyk-Kul,KG02,,,,,
2013.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),97.3,KGZ,Issyk-Kul,KG02,,,,,
2014.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),91.3,KGZ,Issyk-Kul,KG02,,,,,
2015.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),98.0,KGZ,Issyk-Kul,KG02,,,,,
2016.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.9,KGZ,Issyk-Kul,KG02,,,,,
2017.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.1,KGZ,Issyk-Kul,KG02,,,,,
2018.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.0,KGZ,Issyk-Kul,KG02,,,,,
2019.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.575714,KGZ,Issyk-Kul,KG02,,,,,
2020.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),87.604354,KGZ,Issyk-Kul,KG02,,,,,
2021.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.77591,KGZ,Issyk-Kul,KG02,,,,,
2007.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.4,KGZ,Naryn,KG04,,,,,
2008.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.2,KGZ,Naryn,KG04,,,,,
2009.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.3,KGZ,Naryn,KG04,,,,,
2010.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.8,KGZ,Naryn,KG04,,,,,
2011.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.5,KGZ,Naryn,KG04,,,,,
2012.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),97.4,KGZ,Naryn,KG04,,,,,
2013.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),98.0,KGZ,Naryn,KG04,,,,,
2014.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),97.6,KGZ,Naryn,KG04,,,,,
2015.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),97.2,KGZ,Naryn,KG04,,,,,
2016.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.8,KGZ,Naryn,KG04,,,,,
2017.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),97.0,KGZ,Naryn,KG04,,,,,
2018.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.8,KGZ,Naryn,KG04,,,,,
2019.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),97.59292,KGZ,Naryn,KG04,,,,,
2020.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),90.958705,KGZ,Naryn,KG04,,,,,
2021.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.517042,KGZ,Naryn,KG04,,,,,
2007.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.4,KGZ,Osh,KG06,,,,,
2008.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.5,KGZ,Osh,KG06,,,,,
2009.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.1,KGZ,Osh,KG06,,,,,
2010.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.5,KGZ,Osh,KG06,,,,,
2011.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),93.6,KGZ,Osh,KG06,,,,,
2012.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),93.0,KGZ,Osh,KG06,,,,,
2013.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.2,KGZ,Osh,KG06,,,,,
2014.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),98.3,KGZ,Osh,KG06,,,,,
2015.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),97.1,KGZ,Osh,KG06,,,,,
2016.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),98.5,KGZ,Osh,KG06,,,,,
2017.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.6,KGZ,Osh,KG06,,,,,
2018.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.8,KGZ,Osh,KG06,,,,,
2019.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),99.33564,KGZ,Osh,KG06,,,,,
2020.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.543628,KGZ,Osh,KG06,,,,,
2021.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),90.31153,KGZ,Osh,KG06,,,,,
2007.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.0,KGZ,Talas,KG07,,,,,
2008.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.8,KGZ,Talas,KG07,,,,,
2009.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.6,KGZ,Talas,KG07,,,,,
2010.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.8,KGZ,Talas,KG07,,,,,
2011.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.3,KGZ,Talas,KG07,,,,,
2012.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.0,KGZ,Talas,KG07,,,,,
2013.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.2,KGZ,Talas,KG07,,,,,
2014.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),93.4,KGZ,Talas,KG07,,,,,
2015.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.8,KGZ,Talas,KG07,,,,,
2016.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.2,KGZ,Talas,KG07,,,,,
2017.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),93.1,KGZ,Talas,KG07,,,,,
2018.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.3,KGZ,Talas,KG07,,,,,
2019.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),92.698706,KGZ,Talas,KG07,,,,,
2020.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.171956,KGZ,Talas,KG07,,,,,
2021.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),90.746325,KGZ,Talas,KG07,,,,,
2007.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.0,KGZ,Chui,KG08,,,,,
2008.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.5,KGZ,Chui,KG08,,,,,
2009.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.5,KGZ,Chui,KG08,,,,,
2010.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.3,KGZ,Chui,KG08,,,,,
2011.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.8,KGZ,Chui,KG08,,,,,
2012.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),97.6,KGZ,Chui,KG08,,,,,
2013.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.3,KGZ,Chui,KG08,,,,,
2014.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.0,KGZ,Chui,KG08,,,,,
2015.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),97.0,KGZ,Chui,KG08,,,,,
2016.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),97.5,KGZ,Chui,KG08,,,,,
2017.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),91.8,KGZ,Chui,KG08,,,,,
2018.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),92.5,KGZ,Chui,KG08,,,,,
2019.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),91.652622,KGZ,Chui,KG08,,,,,
2020.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),89.92219,KGZ,Chui,KG08,,,,,
2021.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),90.894108,KGZ,Chui,KG08,,,,,
2007.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.0,KGZ,Bishkek (city),KG11,,,,,
2008.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.9,KGZ,Bishkek (city),KG11,,,,,
2009.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.5,KGZ,Bishkek (city),KG11,,,,,
2010.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.8,KGZ,Bishkek (city),KG11,,,,,
2011.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.4,KGZ,Bishkek (city),KG11,,,,,
2012.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),97.2,KGZ,Bishkek (city),KG11,,,,,
2013.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.6,KGZ,Bishkek (city),KG11,,,,,
2014.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),93.7,KGZ,Bishkek (city),KG11,,,,,
2015.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.0,KGZ,Bishkek (city),KG11,,,,,
2016.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),90.5,KGZ,Bishkek (city),KG11,,,,,
2017.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),86.5,KGZ,Bishkek (city),KG11,,,,,
2018.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),90.3,KGZ,Bishkek (city),KG11,,,,,
2019.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),92.018905,KGZ,Bishkek (city),KG11,,,,,
2020.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),73.377391,KGZ,Bishkek (city),KG11,,,,,
2021.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),81.065681,KGZ,Bishkek (city),KG11,,,,,
2007.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.2,KGZ,Osh (city),KG21,,,,,
2008.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.7,KGZ,Osh (city),KG21,,,,,
2009.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.4,KGZ,Osh (city),KG21,,,,,
2010.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.7,KGZ,Osh (city),KG21,,,,,
2011.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.2,KGZ,Osh (city),KG21,,,,,
2012.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),98.5,KGZ,Osh (city),KG21,,,,,
2013.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),99.2,KGZ,Osh (city),KG21,,,,,
2014.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.0,KGZ,Osh (city),KG21,,,,,
2015.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),97.6,KGZ,Osh (city),KG21,,,,,
2016.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.7,KGZ,Osh (city),KG21,,,,,
2017.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),98.0,KGZ,Osh (city),KG21,,,,,
2018.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.2,KGZ,Osh (city),KG21,,,,,
2019.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.586032,KGZ,Osh (city),KG21,,,,,
2020.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),87.340379,KGZ,Osh (city),KG21,,,,,
2021.0,,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),85.088889,KGZ,Osh (city),KG21,,,,,
2007.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.8,KGZ,,,,,,,
2008.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.1,KGZ,,,,,,,
2009.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.9,KGZ,,,,,,,
2010.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.3,KGZ,,,,,,,
2011.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.2,KGZ,,,,,,,
2012.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.7,KGZ,,,,,,,
2013.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.666102,KGZ,,,,,,,
2014.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),95.6,KGZ,,,,,,,
2015.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.1,KGZ,,,,,,,
2016.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.0,KGZ,,,,,,,
2017.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),94.7,KGZ,,,,,,,
2018.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.244215,KGZ,,,,,,,
2019.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.245414,KGZ,,,,,,,
2020.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),93.789319,KGZ,,,,,,,
2021.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),93.378399,KGZ,,,,,,,
2007.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.2,KGZ,Batken,KG05,,,,,
2008.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.0,KGZ,Batken,KG05,,,,,
2009.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.9,KGZ,Batken,KG05,,,,,
2010.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.2,KGZ,Batken,KG05,,,,,
2011.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),95.7,KGZ,Batken,KG05,,,,,
2012.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),100.0,KGZ,Batken,KG05,,,,,
2013.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.9,KGZ,Batken,KG05,,,,,
2014.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.9,KGZ,Batken,KG05,,,,,
2015.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.6,KGZ,Batken,KG05,,,,,
2016.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.9,KGZ,Batken,KG05,,,,,
2017.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.7,KGZ,Batken,KG05,,,,,
2018.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),92.454654,KGZ,Batken,KG05,,,,,
2019.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.254513,KGZ,Batken,KG05,,,,,
2020.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.728939,KGZ,Batken,KG05,,,,,
2021.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),93.091417,KGZ,Batken,KG05,,,,,
2007.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.8,KGZ,Jalal-Abad,KG03,,,,,
2008.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.2,KGZ,Jalal-Abad,KG03,,,,,
2009.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.3,KGZ,Jalal-Abad,KG03,,,,,
2010.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.3,KGZ,Jalal-Abad,KG03,,,,,
2011.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),100.0,KGZ,Jalal-Abad,KG03,,,,,
2012.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.0,KGZ,Jalal-Abad,KG03,,,,,
2013.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.6,KGZ,Jalal-Abad,KG03,,,,,
