Year,UNIT_MEASURE,Regions,Value,M49_country_code,unique_id,col_caption_name,year,value
2012.0,thousand of tenge,Batys Kazakhstan,528.9,KAZ,,,,
2012.0,thousand of tenge,Zhambyl,348.1,KAZ,,,,
2012.0,thousand of tenge,Karagandy,827.7,KAZ,,,,
2012.0,thousand of tenge,Kostanay,615.7,KAZ,,,,
2012.0,thousand of tenge,Kyzylorda,1007.7,KAZ,,,,
2012.0,thousand of tenge,Mangistau,3586.9,KAZ,,,,
2012.0,thousand of tenge,Ontustik Kazakhstan,379.2,KAZ,,,,
2012.0,thousand of tenge,Pavlodar,594.6,KAZ,,,,
2012.0,thousand of tenge,Soltustik Kazakhstan,1200.6,KAZ,,,,
2012.0,thousand of tenge,Shygys Kazakhstan,903.5,KAZ,,,,
2012.0,thousand of tenge,Nur-Sultan city,1044.9,KAZ,,,,
2012.0,thousand of tenge,Almaty city,147.7,KAZ,,,,
2013.0,thousand of tenge,,781.9,KAZ,,,,
2013.0,thousand of tenge,Akmola,1018.0,KAZ,,,,
2013.0,thousand of tenge,Aktobe,1465.2,KAZ,,,,
2013.0,thousand of tenge,Almaty,612.3,KAZ,,,,
2013.0,thousand of tenge,Atyrau,4017.8,KAZ,,,,
2013.0,thousand of tenge,Batys Kazakhstan,633.0,KAZ,,,,
2013.0,thousand of tenge,Zhambyl,421.3,KAZ,,,,
2013.0,thousand of tenge,Karagandy,1147.9,KAZ,,,,
2013.0,thousand of tenge,Kostanay,784.5,KAZ,,,,
2013.0,thousand of tenge,Kyzylorda,1047.8,KAZ,,,,
2013.0,thousand of tenge,Mangistau,2633.0,KAZ,,,,
2013.0,thousand of tenge,Ontustik Kazakhstan,481.6,KAZ,,,,
2013.0,thousand of tenge,Pavlodar,840.7,KAZ,,,,
2013.0,thousand of tenge,Soltustik Kazakhstan,1254.4,KAZ,,,,
2013.0,thousand of tenge,Shygys Kazakhstan,1078.9,KAZ,,,,
2013.0,thousand of tenge,Nur-Sultan city,762.8,KAZ,,,,
2013.0,thousand of tenge,Almaty city,194.3,KAZ,,,,
2014.0,thousand of tenge,,1070.2,KAZ,,,,
2014.0,thousand of tenge,Akmola,1075.3,KAZ,,,,
2014.0,thousand of tenge,Aktobe,1910.7,KAZ,,,,
2014.0,thousand of tenge,Almaty,893.4,KAZ,,,,
2014.0,thousand of tenge,Atyrau,4021.6,KAZ,,,,
2014.0,thousand of tenge,Batys Kazakhstan,768.5,KAZ,,,,
2014.0,thousand of tenge,Zhambyl,799.6,KAZ,,,,
2014.0,thousand of tenge,Karagandy,1569.7,KAZ,,,,
2014.0,thousand of tenge,Kostanay,886.7,KAZ,,,,
2014.0,thousand of tenge,Kyzylorda,1106.9,KAZ,,,,
2014.0,thousand of tenge,Mangistau,2917.5,KAZ,,,,
2014.0,thousand of tenge,Ontustik Kazakhstan,932.7,KAZ,,,,
2014.0,thousand of tenge,Pavlodar,753.0,KAZ,,,,
2014.0,thousand of tenge,Soltustik Kazakhstan,1567.0,KAZ,,,,
2014.0,thousand of tenge,Shygys Kazakhstan,1317.7,KAZ,,,,
2014.0,thousand of tenge,Nur-Sultan city,648.8,KAZ,,,,
2014.0,thousand of tenge,Almaty city,2416.8,KAZ,,,,
2015.0,thousand of tenge,,1242.3,KAZ,,,,
2015.0,thousand of tenge,Akmola,1216.0,KAZ,,,,
2015.0,thousand of tenge,Aktobe,1732.3,KAZ,,,,
2015.0,thousand of tenge,Almaty,1088.2,KAZ,,,,
2015.0,thousand of tenge,Atyrau,5158.1,KAZ,,,,
2015.0,thousand of tenge,Batys Kazakhstan,831.9,KAZ,,,,
2015.0,thousand of tenge,Zhambyl,824.5,KAZ,,,,
2015.0,thousand of tenge,Karagandy,1949.0,KAZ,,,,
2015.0,thousand of tenge,Kostanay,979.5,KAZ,,,,
2015.0,thousand of tenge,Kyzylorda,1394.6,KAZ,,,,
2015.0,thousand of tenge,Mangistau,3033.3,KAZ,,,,
2015.0,thousand of tenge,Ontustik Kazakhstan,2608.5,KAZ,,,,
2015.0,thousand of tenge,Pavlodar,884.5,KAZ,,,,
2015.0,thousand of tenge,Soltustik Kazakhstan,1709.7,KAZ,,,,
2015.0,thousand of tenge,Shygys Kazakhstan,1733.9,KAZ,,,,
2015.0,thousand of tenge,Nur-Sultan city,1533.5,KAZ,,,,
2015.0,thousand of tenge,Almaty city,2051.0,KAZ,,,,
2016.0,thousand of tenge,,1401.9,KAZ,,,,
2016.0,thousand of tenge,Akmola,1365.9,KAZ,,,,
2016.0,thousand of tenge,Aktobe,1964.8,KAZ,,,,
2016.0,thousand of tenge,Almaty,1135.9,KAZ,,,,
2016.0,thousand of tenge,Atyrau,5338.7,KAZ,,,,
2016.0,thousand of tenge,Batys Kazakhstan,993.5,KAZ,,,,
2016.0,thousand of tenge,Zhambyl,925.6,KAZ,,,,
2016.0,thousand of tenge,Karagandy,2176.8,KAZ,,,,
2016.0,thousand of tenge,Kostanay,1080.3,KAZ,,,,
2016.0,thousand of tenge,Kyzylorda,1174.7,KAZ,,,,
2016.0,thousand of tenge,Mangistau,3547.7,KAZ,,,,
2016.0,thousand of tenge,Ontustik Kazakhstan,1429.5,KAZ,,,,
2016.0,thousand of tenge,Pavlodar,1153.4,KAZ,,,,
2016.0,thousand of tenge,Soltustik Kazakhstan,1939.5,KAZ,,,,
2016.0,thousand of tenge,Shygys Kazakhstan,2032.7,KAZ,,,,
2016.0,thousand of tenge,Nur-Sultan city,1002.9,KAZ,,,,
2016.0,thousand of tenge,Almaty city,2231.0,KAZ,,,,
2017.0,thousand of tenge,,1735.9,KAZ,,,,
2017.0,thousand of tenge,Akmola,1657.0,KAZ,,,,
2017.0,thousand of tenge,Aktobe,2680.5,KAZ,,,,
2017.0,thousand of tenge,Almaty,1449.9,KAZ,,,,
2017.0,thousand of tenge,Atyrau,6407.0,KAZ,,,,
2017.0,thousand of tenge,Batys Kazakhstan,1106.0,KAZ,,,,
2017.0,thousand of tenge,Zhambyl,957.4,KAZ,,,,
2017.0,thousand of tenge,Karagandy,3118.7,KAZ,,,,
2017.0,thousand of tenge,Kostanay,1446.5,KAZ,,,,
2017.0,thousand of tenge,Kyzylorda,1649.7,KAZ,,,,
2017.0,thousand of tenge,Mangistau,6516.1,KAZ,,,,
2017.0,thousand of tenge,Ontustik Kazakhstan,1551.7,KAZ,,,,
2017.0,thousand of tenge,Pavlodar,1487.7,KAZ,,,,
2017.0,thousand of tenge,Soltustik Kazakhstan,2615.7,KAZ,,,,
2017.0,thousand of tenge,Shygys Kazakhstan,2550.6,KAZ,,,,
2017.0,thousand of tenge,Nur-Sultan city,3141.7,KAZ,,,,
2017.0,thousand of tenge,Almaty city,2276.6,KAZ,,,,
2018.0,thousand of tenge,,2076.6,KAZ,,,,
2018.0,thousand of tenge,Akmola,1921.8,KAZ,,,,
2018.0,thousand of tenge,Aktobe,4239.8,KAZ,,,,
2018.0,thousand of tenge,Almaty,2069.4,KAZ,,,,
2018.0,thousand of tenge,Atyrau,7037.0,KAZ,,,,
2018.0,thousand of tenge,Batys Kazakhstan,1105.7,KAZ,,,,
2018.0,thousand of tenge,Zhambyl,1024.7,KAZ,,,,
2018.0,thousand of tenge,Karagandy,3347.5,KAZ,,,,
2018.0,thousand of tenge,Kostanay,1780.1,KAZ,,,,
2018.0,thousand of tenge,Kyzylorda,2291.8,KAZ,,,,
2018.0,thousand of tenge,Mangistau,11807.3,KAZ,,,,
2018.0,thousand of tenge,Pavlodar,1757.4,KAZ,,,,
2018.0,thousand of tenge,Soltustik Kazakhstan,2781.3,KAZ,,,,
2018.0,thousand of tenge,Turkistan,1725.6,KAZ,,,,
2018.0,thousand of tenge,Shygys Kazakhstan,3077.7,KAZ,,,,
2018.0,thousand of tenge,Nur-Sultan city,2134.8,KAZ,,,,
2018.0,thousand of tenge,Almaty city,2245.8,KAZ,,,,
2018.0,thousand of tenge,Shymkent city,2034.2,KAZ,,,,
2019.0,thousand of tenge,,2466.0,KAZ,,,,
2019.0,thousand of tenge,Akmola,2323.2,KAZ,,,,
2019.0,thousand of tenge,Aktobe,4777.2,KAZ,,,,
2019.0,thousand of tenge,Almaty,2413.2,KAZ,,,,
2019.0,thousand of tenge,Atyrau,8201.8,KAZ,,,,
2019.0,thousand of tenge,Batys Kazakhstan,1892.5,KAZ,,,,
2019.0,thousand of tenge,Zhambyl,1219.8,KAZ,,,,
2019.0,thousand of tenge,Karagandy,3303.9,KAZ,,,,
2019.0,thousand of tenge,Kostanay,1890.4,KAZ,,,,
2019.0,thousand of tenge,Kyzylorda,3185.8,KAZ,,,,
2019.0,thousand of tenge,Mangistau,12231.8,KAZ,,,,
2019.0,thousand of tenge,Pavlodar,1926.5,KAZ,,,,
2019.0,thousand of tenge,Soltustik Kazakhstan,3546.2,KAZ,,,,
2019.0,thousand of tenge,Turkistan,2077.8,KAZ,,,,
2019.0,thousand of tenge,Shygys Kazakhstan,3487.2,KAZ,,,,
2019.0,thousand of tenge,Nur-Sultan city,1907.5,KAZ,,,,
2019.0,thousand of tenge,Almaty city,2354.1,KAZ,,,,
2019.0,thousand of tenge,Shymkent city,2786.8,KAZ,,,,
2020.0,thousand of tenge,,3004.8,KAZ,,,,
2020.0,thousand of tenge,Akmola,3186.1,KAZ,,,,
2020.0,thousand of tenge,Aktobe,4741.8,KAZ,,,,
2020.0,thousand of tenge,Almaty,2668.2,KAZ,,,,
2020.0,thousand of tenge,Atyrau,9633.3,KAZ,,,,
2020.0,thousand of tenge,Batys Kazakhstan,2368.2,KAZ,,,,
2020.0,thousand of tenge,Zhambyl,1542.6,KAZ,,,,
2020.0,thousand of tenge,Karagandy,3563.1,KAZ,,,,
2020.0,thousand of tenge,Kostanay,2571.1,KAZ,,,,
2020.0,thousand of tenge,Kyzylorda,3636.7,KAZ,,,,
2020.0,thousand of tenge,Mangistau,7302.7,KAZ,,,,
2020.0,thousand of tenge,Pavlodar,2513.3,KAZ,,,,
2020.0,thousand of tenge,Soltustik Kazakhstan,4583.6,KAZ,,,,
2020.0,thousand of tenge,Turkistan,2515.2,KAZ,,,,
2020.0,thousand of tenge,Shygys Kazakhstan,4246.1,KAZ,,,,
2020.0,thousand of tenge,Nur-Sultan city,1423.9,KAZ,,,,
2020.0,thousand of tenge,Almaty city,2659.1,KAZ,,,,
2020.0,thousand of tenge,Shymkent city,3496.3,KAZ,,,,
,,,,UZB,02_126_1000,Wheat: Total,2000.0,27.6
,,,,UZB,02_126_1000,Wheat: Total,2001.0,30.8
,,,,UZB,02_126_1000,Wheat: Total,2002.0,39.0
,,,,UZB,02_126_1000,Wheat: Total,2003.0,36.4
,,,,UZB,02_126_1000,Wheat: Total,2004.0,37.0
,,,,UZB,02_126_1000,Wheat: Total,2005.0,41.5
,,,,UZB,02_126_1000,Wheat: Total,2006.0,43.5
,,,,UZB,02_126_1000,Wheat: Total,2007.0,44.9
,,,,UZB,02_126_1000,Wheat: Total,2008.0,45.2
,,,,UZB,02_126_1000,Wheat: Total,2009.0,48.9
,,,,UZB,02_126_1000,Wheat: Total,2010.0,46.5
,,,,UZB,02_126_1000,Wheat: Total,2011.0,47.8
,,,,UZB,02_126_1000,Wheat: Total,2012.0,47.3
,,,,UZB,02_126_1000,Wheat: Total,2013.0,47.4
,,,,UZB,02_126_1000,Wheat: Total,2014.0,47.9
,,,,UZB,02_126_1000,Wheat: Total,2015.0,48.2
,,,,UZB,02_126_1000,Wheat: Total,2016.0,47.9
,,,,UZB,02_126_1000,Wheat: Total,2017.0,42.2
,,,,UZB,02_126_1000,Wheat: Total,2018.0,41.0
,,,,UZB,02_126_1000,Wheat: Total,2019.0,46.3
,,,,UZB,02_126_1000,Wheat: Total,2020.0,45.4
,,,,UZB,02_126_1000,Wheat: Total,2021.0,46.1
,,,,UZB,02_126_1001,Wheat: in farms,2000.0,25.8
,,,,UZB,02_126_1001,Wheat: in farms,2001.0,28.0
,,,,UZB,02_126_1001,Wheat: in farms,2002.0,37.1
,,,,UZB,02_126_1001,Wheat: in farms,2003.0,34.2
,,,,UZB,02_126_1001,Wheat: in farms,2004.0,35.8
,,,,UZB,02_126_1001,Wheat: in farms,2005.0,39.7
,,,,UZB,02_126_1001,Wheat: in farms,2006.0,42.4
,,,,UZB,02_126_1001,Wheat: in farms,2007.0,43.6
,,,,UZB,02_126_1001,Wheat: in farms,2008.0,43.5
,,,,UZB,02_126_1001,Wheat: in farms,2009.0,48.0
,,,,UZB,02_126_1001,Wheat: in farms,2010.0,45.4
,,,,UZB,02_126_1001,Wheat: in farms,2011.0,46.1
,,,,UZB,02_126_1001,Wheat: in farms,2012.0,46.0
,,,,UZB,02_126_1001,Wheat: in farms,2013.0,45.9
,,,,UZB,02_126_1001,Wheat: in farms,2014.0,46.6
,,,,UZB,02_126_1001,Wheat: in farms,2015.0,47.0
,,,,UZB,02_126_1001,Wheat: in farms,2016.0,46.6
,,,,UZB,02_126_1001,Wheat: in farms,2017.0,40.4
,,,,UZB,02_126_1001,Wheat: in farms,2018.0,40.0
,,,,UZB,02_126_1001,Wheat: in farms,2019.0,47.3
,,,,UZB,02_126_1001,Wheat: in farms,2020.0,47.3
,,,,UZB,02_126_1001,Wheat: in farms,2021.0,48.9
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2000.0,41.1
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2001.0,43.0
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2002.0,46.8
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2003.0,49.1
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2004.0,51.4
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2005.0,54.5
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2006.0,55.5
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2007.0,56.7
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2008.0,58.1
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2009.0,56.2
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2010.0,56.7
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2011.0,61.7
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2012.0,57.8
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2013.0,59.0
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2014.0,59.3
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2015.0,59.2
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2016.0,59.8
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2017.0,57.9
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2018.0,53.7
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2019.0,38.8
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2020.0,38.1
,,,,UZB,02_126_1002,Wheat: in dekhkan (personal) farms,2021.0,39.8
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2000.0,25.8
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2001.0,29.4
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2002.0,38.5
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2003.0,35.3
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2004.0,34.9
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2005.0,39.6
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2006.0,38.4
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2007.0,27.9
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2008.0,30.1
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2009.0,35.0
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2010.0,28.7
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2011.0,31.2
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2012.0,33.1
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2013.0,35.6
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2014.0,31.1
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2015.0,30.6
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2016.0,29.8
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2017.0,30.0
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2018.0,27.8
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2019.0,41.3
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2020.0,35.6
,,,,UZB,02_126_1003,Wheat: in organizations engaged in agricultural activities,2021.0,33.0
,,,,UZB,02_127_1000,Grain maize: Total,2000.0,31.5
,,,,UZB,02_127_1000,Grain maize: Total,2001.0,35.9
,,,,UZB,02_127_1000,Grain maize: Total,2002.0,38.6
,,,,UZB,02_127_1000,Grain maize: Total,2003.0,40.3
,,,,UZB,02_127_1000,Grain maize: Total,2004.0,42.1
,,,,UZB,02_127_1000,Grain maize: Total,2005.0,44.5
,,,,UZB,02_127_1000,Grain maize: Total,2006.0,46.6
,,,,UZB,02_127_1000,Grain maize: Total,2007.0,47.2
,,,,UZB,02_127_1000,Grain maize: Total,2008.0,51.6
,,,,UZB,02_127_1000,Grain maize: Total,2009.0,53.8
,,,,UZB,02_127_1000,Grain maize: Total,2010.0,51.1
,,,,UZB,02_127_1000,Grain maize: Total,2011.0,49.4
,,,,UZB,02_127_1000,Grain maize: Total,2012.0,43.6
,,,,UZB,02_127_1000,Grain maize: Total,2013.0,50.0
,,,,UZB,02_127_1000,Grain maize: Total,2014.0,50.2
,,,,UZB,02_127_1000,Grain maize: Total,2015.0,50.5
,,,,UZB,02_127_1000,Grain maize: Total,2016.0,54.2
,,,,UZB,02_127_1000,Grain maize: Total,2017.0,48.1
,,,,UZB,02_127_1000,Grain maize: Total,2018.0,49.0
,,,,UZB,02_127_1000,Grain maize: Total,2019.0,47.2
,,,,UZB,02_127_1000,Grain maize: Total,2020.0,46.3
,,,,UZB,02_127_1000,Grain maize: Total,2021.0,44.7
,,,,UZB,02_127_1001,Grain maize: in farms,2000.0,27.3
,,,,UZB,02_127_1001,Grain maize: in farms,2001.0,31.7
,,,,UZB,02_127_1001,Grain maize: in farms,2002.0,33.0
,,,,UZB,02_127_1001,Grain maize: in farms,2003.0,33.1
,,,,UZB,02_127_1001,Grain maize: in farms,2004.0,35.1
,,,,UZB,02_127_1001,Grain maize: in farms,2005.0,39.9
,,,,UZB,02_127_1001,Grain maize: in farms,2006.0,41.0
,,,,UZB,02_127_1001,Grain maize: in farms,2007.0,39.3
,,,,UZB,02_127_1001,Grain maize: in farms,2008.0,40.7
,,,,UZB,02_127_1001,Grain maize: in farms,2009.0,45.8
,,,,UZB,02_127_1001,Grain maize: in farms,2010.0,41.7
,,,,UZB,02_127_1001,Grain maize: in farms,2011.0,37.8
,,,,UZB,02_127_1001,Grain maize: in farms,2012.0,32.6
,,,,UZB,02_127_1001,Grain maize: in farms,2013.0,41.2
,,,,UZB,02_127_1001,Grain maize: in farms,2014.0,42.4
,,,,UZB,02_127_1001,Grain maize: in farms,2015.0,43.8
,,,,UZB,02_127_1001,Grain maize: in farms,2016.0,47.3
,,,,UZB,02_127_1001,Grain maize: in farms,2017.0,39.9
,,,,UZB,02_127_1001,Grain maize: in farms,2018.0,40.1
,,,,UZB,02_127_1001,Grain maize: in farms,2019.0,41.3
,,,,UZB,02_127_1001,Grain maize: in farms,2020.0,45.9
,,,,UZB,02_127_1001,Grain maize: in farms,2021.0,43.8
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2000.0,40.1
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2001.0,45.4
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2002.0,46.5
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2003.0,49.4
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2004.0,49.6
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2005.0,50.8
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2006.0,51.5
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2007.0,54.2
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2008.0,60.6
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2009.0,59.4
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2010.0,58.7
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2011.0,58.2
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2012.0,60.4
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2013.0,59.3
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2014.0,59.5
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2015.0,59.6
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2016.0,64.6
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2017.0,61.1
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2018.0,62.7
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2019.0,56.5
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2020.0,48.0
,,,,UZB,02_127_1002,Grain maize: in dekhkan (personal) farms,2021.0,54.2
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2000.0,0.0
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2001.0,0.0
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2002.0,23.1
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2003.0,20.4
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2004.0,23.8
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2005.0,29.4
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2006.0,31.5
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2007.0,31.0
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2008.0,31.1
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2009.0,40.2
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2010.0,36.2
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2011.0,35.2
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2012.0,40.9
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2013.0,47.9
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2014.0,42.9
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2015.0,40.6
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2016.0,39.6
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2017.0,34.3
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2018.0,36.9
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2019.0,37.9
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2020.0,43.8
,,,,UZB,02_127_1003,Grain maize: in organizations engaged in agricultural activities,2021.0,30.2
,,,,UZB,02_128_1000,Rice: Total,2000.0,24.3
,,,,UZB,02_128_1000,Rice: Total,2001.0,26.8
,,,,UZB,02_128_1000,Rice: Total,2002.0,28.3
,,,,UZB,02_128_1000,Rice: Total,2003.0,27.9
,,,,UZB,02_128_1000,Rice: Total,2004.0,27.7
,,,,UZB,02_128_1000,Rice: Total,2005.0,31.8
,,,,UZB,02_128_1000,Rice: Total,2006.0,33.7
,,,,UZB,02_128_1000,Rice: Total,2007.0,35.7
,,,,UZB,02_128_1000,Rice: Total,2008.0,33.9
,,,,UZB,02_128_1000,Rice: Total,2009.0,36.6
,,,,UZB,02_128_1000,Rice: Total,2010.0,31.9
,,,,UZB,02_128_1000,Rice: Total,2011.0,36.0
,,,,UZB,02_128_1000,Rice: Total,2012.0,32.4
,,,,UZB,02_128_1000,Rice: Total,2013.0,41.1
,,,,UZB,02_128_1000,Rice: Total,2014.0,38.1
,,,,UZB,02_128_1000,Rice: Total,2015.0,32.8
,,,,UZB,02_128_1000,Rice: Total,2016.0,34.4
,,,,UZB,02_128_1000,Rice: Total,2017.0,30.9
,,,,UZB,02_128_1000,Rice: Total,2018.0,27.6
,,,,UZB,02_128_1000,Rice: Total,2019.0,27.5
,,,,UZB,02_128_1000,Rice: Total,2020.0,31.6
,,,,UZB,02_128_1000,Rice: Total,2021.0,33.6
