Year,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2014.0,Soltustik Kazakhstan,214.0,KAZ,,,,,
2014.0,Shygys Kazakhstan,560.0,KAZ,,,,,
2014.0,Nur-Sultan city,2557.0,KAZ,,,,,
2014.0,Almaty city,4556.0,KAZ,,,,,
2015.0,,778.0,KAZ,,,,,
2015.0,Akmola,522.0,KAZ,,,,,
2015.0,Aktobe,213.0,KAZ,,,,,
2015.0,Almaty,333.0,KAZ,,,,,
2015.0,Atyrau,530.0,KAZ,,,,,
2015.0,Batys Kazakhstan,370.0,KAZ,,,,,
2015.0,Zhambyl,195.0,KAZ,,,,,
2015.0,Karagandy,616.0,KAZ,,,,,
2015.0,Kostanay,225.0,KAZ,,,,,
2015.0,Kyzylorda,111.0,KAZ,,,,,
2015.0,Mangistau,850.0,KAZ,,,,,
2015.0,Ontustik Kazakhstan,232.0,KAZ,,,,,
2015.0,Pavlodar,337.0,KAZ,,,,,
2015.0,Soltustik Kazakhstan,158.0,KAZ,,,,,
2015.0,Shygys Kazakhstan,612.0,KAZ,,,,,
2015.0,Nur-Sultan city,2475.0,KAZ,,,,,
2015.0,Almaty city,3823.0,KAZ,,,,,
2016.0,,695.0,KAZ,,,,,
2016.0,Akmola,514.0,KAZ,,,,,
2016.0,Aktobe,200.0,KAZ,,,,,
2016.0,Almaty,261.0,KAZ,,,,,
2016.0,Atyrau,442.0,KAZ,,,,,
2016.0,Batys Kazakhstan,614.0,KAZ,,,,,
2016.0,Zhambyl,180.0,KAZ,,,,,
2016.0,Karagandy,386.0,KAZ,,,,,
2016.0,Kostanay,205.0,KAZ,,,,,
2016.0,Kyzylorda,118.0,KAZ,,,,,
2016.0,Mangistau,892.0,KAZ,,,,,
2016.0,Ontustik Kazakhstan,185.0,KAZ,,,,,
2016.0,Pavlodar,421.0,KAZ,,,,,
2016.0,Soltustik Kazakhstan,116.0,KAZ,,,,,
2016.0,Shygys Kazakhstan,604.0,KAZ,,,,,
2016.0,Nur-Sultan city,2191.0,KAZ,,,,,
2016.0,Almaty city,3275.0,KAZ,,,,,
2017.0,,668.0,KAZ,,,,,
2017.0,Akmola,562.0,KAZ,,,,,
2017.0,Aktobe,201.0,KAZ,,,,,
2017.0,Almaty,220.0,KAZ,,,,,
2017.0,Atyrau,504.0,KAZ,,,,,
2017.0,Batys Kazakhstan,324.0,KAZ,,,,,
2017.0,Zhambyl,181.0,KAZ,,,,,
2017.0,Karagandy,490.0,KAZ,,,,,
2017.0,Kostanay,197.0,KAZ,,,,,
2017.0,Kyzylorda,114.0,KAZ,,,,,
2017.0,Mangistau,880.0,KAZ,,,,,
2017.0,Ontustik Kazakhstan,178.0,KAZ,,,,,
2017.0,Pavlodar,337.0,KAZ,,,,,
2017.0,Soltustik Kazakhstan,76.0,KAZ,,,,,
2017.0,Shygys Kazakhstan,604.0,KAZ,,,,,
2017.0,Nur-Sultan city,2007.0,KAZ,,,,,
2017.0,Almaty city,3099.0,KAZ,,,,,
2018.0,,668.0,KAZ,,,,,
2018.0,Akmola,507.0,KAZ,,,,,
2018.0,Aktobe,191.0,KAZ,,,,,
2018.0,Almaty,254.0,KAZ,,,,,
2018.0,Atyrau,605.0,KAZ,,,,,
2018.0,Batys Kazakhstan,429.0,KAZ,,,,,
2018.0,Zhambyl,191.0,KAZ,,,,,
2018.0,Karagandy,475.0,KAZ,,,,,
2018.0,Kostanay,214.0,KAZ,,,,,
2018.0,Kyzylorda,101.0,KAZ,,,,,
2018.0,Mangistau,854.0,KAZ,,,,,
2018.0,Pavlodar,330.0,KAZ,,,,,
2018.0,Soltustik Kazakhstan,70.0,KAZ,,,,,
2018.0,Turkistan,42.0,KAZ,,,,,
2018.0,Shygys Kazakhstan,642.0,KAZ,,,,,
2018.0,Nur-Sultan city,1777.0,KAZ,,,,,
2018.0,Almaty city,3235.0,KAZ,,,,,
2018.0,Shymkent city,229.0,KAZ,,,,,
2019.0,,638.0,KAZ,,,,,
2019.0,Akmola,537.0,KAZ,,,,,
2019.0,Aktobe,222.0,KAZ,,,,,
2019.0,Almaty,229.0,KAZ,,,,,
2019.0,Atyrau,594.0,KAZ,,,,,
2019.0,Batys Kazakhstan,388.0,KAZ,,,,,
2019.0,Zhambyl,220.0,KAZ,,,,,
2019.0,Karagandy,487.0,KAZ,,,,,
2019.0,Kostanay,205.0,KAZ,,,,,
2019.0,Kyzylorda,76.0,KAZ,,,,,
2019.0,Mangistau,857.0,KAZ,,,,,
2019.0,Pavlodar,458.0,KAZ,,,,,
2019.0,Soltustik Kazakhstan,71.0,KAZ,,,,,
2019.0,Turkistan,38.0,KAZ,,,,,
2019.0,Shygys Kazakhstan,581.0,KAZ,,,,,
2019.0,Nur-Sultan city,1688.0,KAZ,,,,,
2019.0,Almaty city,2843.0,KAZ,,,,,
2019.0,Shymkent city,236.0,KAZ,,,,,
2020.0,,690.0,KAZ,,,,,
2020.0,Akmola,531.0,KAZ,,,,,
2020.0,Aktobe,216.0,KAZ,,,,,
2020.0,Almaty,200.0,KAZ,,,,,
2020.0,Atyrau,683.0,KAZ,,,,,
2020.0,Batys Kazakhstan,402.0,KAZ,,,,,
2020.0,Zhambyl,252.0,KAZ,,,,,
2020.0,Karagandy,494.0,KAZ,,,,,
2020.0,Kostanay,226.0,KAZ,,,,,
2020.0,Kyzylorda,133.0,KAZ,,,,,
2020.0,Mangistau,867.0,KAZ,,,,,
2020.0,Pavlodar,341.0,KAZ,,,,,
2020.0,Soltustik Kazakhstan,101.0,KAZ,,,,,
2020.0,Turkistan,51.0,KAZ,,,,,
2020.0,Shygys Kazakhstan,560.0,KAZ,,,,,
2020.0,Nur-Sultan city,2005.0,KAZ,,,,,
2020.0,Almaty city,3082.0,KAZ,,,,,
2020.0,Shymkent city,229.0,KAZ,,,,,
2010.0,,360.0,KGZ,,,,,
2011.0,,401.0,KGZ,,,,,
2012.0,,415.0,KGZ,,,,,
2013.0,,530.0,KGZ,,,,,
2014.0,,511.0,KGZ,,,,,
2015.0,,572.0,KGZ,,,,,
2016.0,,563.0,KGZ,,,,,
2017.0,,524.0,KGZ,,,,,
2018.0,,555.0,KGZ,,,,,
2019.0,,527.0,KGZ,,,,,
2020.0,,534.0,KGZ,,,,,
2021.0,,515.0,KGZ,,,,,
,,,UZB,01_101_,Total,True,2000.0,0.0
,,,UZB,01_101_,Total,True,2001.0,0.0
,,,UZB,01_101_,Total,True,2002.0,0.0
,,,UZB,01_101_,Total,True,2003.0,565.9
,,,UZB,01_101_,Total,True,2004.0,546.1
,,,UZB,01_101_,Total,True,2005.0,569.3
,,,UZB,01_101_,Total,True,2006.0,493.5
,,,UZB,01_101_,Total,True,2007.0,470.1
,,,UZB,01_101_,Total,True,2008.0,489.7
,,,UZB,01_101_,Total,True,2009.0,517.3
,,,UZB,01_101_,Total,True,2010.0,533.6
,,,UZB,01_101_,Total,True,2011.0,563.5
,,,UZB,01_101_,Total,True,2012.0,503.8
,,,UZB,01_101_,Total,True,2013.0,497.5
,,,UZB,01_101_,Total,True,2014.0,491.6
,,,UZB,01_101_,Total,True,2015.0,487.3
,,,UZB,01_101_,Total,True,2016.0,495.4
,,,UZB,01_101_,Total,True,2017.0,485.0
,,,UZB,01_101_,Total,True,2018.0,470.3
,,,UZB,01_101_,Total,True,2019.0,407.0
,,,UZB,01_101_,Total,True,2020.0,411.0
,,,UZB,01_101_,Total,True,2021.0,504.0
