Year,UNIT_MEASURE,Area,Regions,Age,Mother's education,Wealth index quintile,Value,M49_country_code,Observation-level footnotes,Reference area,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2015.0,Percent,,Nur-Sultan city,,,,48.8,KAZ,,,,,,,,,,,,
2015.0,Percent,,Almaty city,,,,63.0,KAZ,,,,,,,,,,,,
2015.0,Percent,,,15-19,,,28.6,KAZ,,,,,,,,,,,,
2015.0,Percent,,,20-24,,,44.3,KAZ,,,,,,,,,,,,
2015.0,Percent,,,25-29,,,56.3,KAZ,,,,,,,,,,,,
2015.0,Percent,,,30-34,,,60.8,KAZ,,,,,,,,,,,,
2015.0,Percent,,,35-39,,,65.6,KAZ,,,,,,,,,,,,
2015.0,Percent,,,40-44,,,61.9,KAZ,,,,,,,,,,,,
2015.0,Percent,,,45-49,,,39.8,KAZ,,,,,,,,,,,,
2015.0,Percent,,,,basic secondary (middle-school),,55.6,KAZ,,,,,,,,,,,,
2015.0,Percent,,,,High Education (General),,55.5,KAZ,,,,,,,,,,,,
2015.0,Percent,,,,Community College and Vocational type of Education,,53.6,KAZ,,,,,,,,,,,,
2015.0,Percent,,,,Higher education,,57.7,KAZ,,,,,,,,,,,,
2015.0,Percent,,,,,extreme poverty,54.8,KAZ,,,,,,,,,,,,
2015.0,Percent,,,,,second,56.1,KAZ,,,,,,,,,,,,
2015.0,Percent,,,,,third,55.4,KAZ,,,,,,,,,,,,
2015.0,Percent,,,,,fourth,56.2,KAZ,,,,,,,,,,,,
2015.0,Percent,,,,,wealthy,56.2,KAZ,,,,,,,,,,,,
2014.0,,,,,,,42.0,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,,,,,,,,,
2018.0,,,,,,,67.4,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,,,,,,,,
2014.0,,,,,,,45.0,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",Batken,,,,,KG05,,,,,
2018.0,,,,,,,48.6,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Batken,,,,,KG05,,,,,
2014.0,,,,,,,31.4,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",Jalal-Abad,,,,,KG03,,,,,
2018.0,,,,,,,56.2,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Jalal-Abad,,,,,KG03,,,,,
2014.0,,,,,,,46.0,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",Issyk-Kul,,,,,KG02,,,,,
2018.0,,,,,,,65.1,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Issyk-Kul,,,,,KG02,,,,,
2014.0,,,,,,,58.9,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",Naryn,,,,,KG04,,,,,
2018.0,,,,,,,79.8,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Naryn,,,,,KG04,,,,,
2014.0,,,,,,,38.4,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",Osh,,,,,KG06,,,,,
2018.0,,,,,,,71.1,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Osh,,,,,KG06,,,,,
2014.0,,,,,,,43.4,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",Talas,,,,,KG07,,,,,
2018.0,,,,,,,79.1,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Talas,,,,,KG07,,,,,
2014.0,,,,,,,47.8,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",Chui,,,,,KG08,,,,,
2018.0,,,,,,,70.7,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Chui,,,,,KG08,,,,,
2014.0,,,,,,,47.0,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",Bishkek (city),,,,,KG11,,,,,
2018.0,,,,,,,69.6,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Bishkek (city),,,,,KG11,,,,,
2014.0,,,,,,,38.3,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",Osh (city),,,,,KG21,,,,,
2018.0,,,,,,,71.3,KGZ,"According to Multiple Indicator Cluster Survey, 2018",Osh (city),,,,,KG21,,,,,
2014.0,,,,,,,43.1,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,Urban,,,,,,,,,
2018.0,,,,,,,68.6,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,Urban,,,,,,,,,
2014.0,,,,,,,41.4,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,Rural,,,,,,,,,
2018.0,,,,,,,66.7,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,Rural,,,,,,,,,
2014.0,,,,15 to 19 years old,,,17.4,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,,,,,,,,,
2018.0,,,,15 to 19 years old,,,31.7,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,,,,,,,,
2014.0,,,,20 to 24 years old,,,28.9,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,,,,,,,,,
2018.0,,,,20 to 24 years old,,,53.8,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,,,,,,,,
2014.0,,,,25 to 29 years old,,,39.2,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,,,,,,,,,
2018.0,,,,25 to 29 years old,,,59.9,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,,,,,,,,
2014.0,,,,30 to 34 years old,,,50.4,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,,,,,,,,,
2018.0,,,,30 to 34 years old,,,76.2,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,,,,,,,,
2014.0,,,,35 to 39 years old,,,57.2,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,,,,,,,,,
2018.0,,,,35 to 39 years old,,,74.5,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,,,,,,,,
2014.0,,,,40 to 44 years old,,,52.2,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,,,,,,,,,
2018.0,,,,40 to 44 years old,,,68.7,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,,,,,,,,
2014.0,,,,45 to 49 years old,,,29.3,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,,,,,,,,,
2018.0,,,,45 to 49 years old,,,66.0,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,,,,,,,,
2014.0,,,,,,,20.4,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,,Primary education,,,,,,,
2014.0,,,,,,,36.5,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,,Lower secondary education,,,,,,,
2018.0,,,,,,,67.8,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,Lower secondary education,,,,,,,
2014.0,,,,,,,42.1,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,,Upper secondary education,,,,,,,
2018.0,,,,,,,62.9,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,Upper secondary education,,,,,,,
2014.0,,,,,,,43.3,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,,Post-secondary non-tertiary education,,,,,,,
2018.0,,,,,,,66.2,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,Post-secondary non-tertiary education,,,,,,,
2014.0,,,,,,,43.7,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,,Short-cycle tertiary education,,,,,,,
2018.0,,,,,,,74.3,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,Short-cycle tertiary education,,,,,,,
2018.0,,,,,,,81.6,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,,Persons with disability,,,,,,
2018.0,,,,,,,67.1,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,,,Persons without disability,,,,,,
2014.0,,,,,,,42.5,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,Quintile 1 (poorest),,,,,,,,
2018.0,,,,,,,66.5,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,Quintile 1 (poorest),,,,,,,,
2014.0,,,,,,,37.8,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,Quintile 2,,,,,,,,
2018.0,,,,,,,60.7,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,Quintile 2,,,,,,,,
2014.0,,,,,,,39.1,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,Quintile 3,,,,,,,,
2018.0,,,,,,,69.2,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,Quintile 3,,,,,,,,
2014.0,,,,,,,45.1,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,Quintile 4,,,,,,,,
2018.0,,,,,,,69.3,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,Quintile 4,,,,,,,,
2014.0,,,,,,,45.3,KGZ,"According to Multiple Indicator Cluster Survey, 2014.",,,Quintile 5 (richest),,,,,,,,
2018.0,,,,,,,71.4,KGZ,"According to Multiple Indicator Cluster Survey, 2018",,,Quintile 5 (richest),,,,,,,,
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2000.0,0.0
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2001.0,0.0
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2002.0,0.0
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2003.0,60.6
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2004.0,64.2
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2005.0,61.1
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2006.0,59.8
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2007.0,59.9
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2008.0,56.3
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2009.0,55.2
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2010.0,52.2
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2011.0,56.6
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2012.0,57.4
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2013.0,57.6
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2014.0,47.7
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2015.0,49.5
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2016.0,52.9
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2017.0,52.3
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2018.0,51.0
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2019.0,48.1
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2020.0,49.6
,,,,,,,,UZB,,,,,,,,01_101_,Total,True,2021.0,46.9
