Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2021.0,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,55.237569,KGZ,,,,,
2018.0,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,48.1,KGZ,,,,,
2019.0,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,49.028951,KGZ,,,,,
2020.0,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,47.9,KGZ,,,,,
2021.0,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,49.397071,KGZ,,,,,
2018.0,,,,,,Primary education,,48.2,KGZ,,,,,
2019.0,,,,,,Primary education,,51.492251,KGZ,,,,,
2020.0,,,,,,Primary education,,49.3,KGZ,,,,,
2021.0,,,,,,Primary education,,42.707453,KGZ,,,,,
2018.0,,,,,,Lower secondary education,,51.2,KGZ,,,,,
2019.0,,,,,,Lower secondary education,,52.713048,KGZ,,,,,
2020.0,,,,,,Lower secondary education,,52.4,KGZ,,,,,
2021.0,,,,,,Lower secondary education,,55.661173,KGZ,,,,,
2018.0,,,,,,Upper secondary education,,42.7,KGZ,,,,,
2019.0,,,,,,Upper secondary education,,48.72395,KGZ,,,,,
2020.0,,,,,,Upper secondary education,,46.6,KGZ,,,,,
2021.0,,,,,,Upper secondary education,,49.484244,KGZ,,,,,
2018.0,,,,,,Post-secondary non-tertiary education,,55.4,KGZ,,,,,
2019.0,,,,,,Post-secondary non-tertiary education,,55.333195,KGZ,,,,,
2020.0,,,,,,Post-secondary non-tertiary education,,55.2,KGZ,,,,,
2021.0,,,,,,Post-secondary non-tertiary education,,58.921695,KGZ,,,,,
2018.0,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,56.0,KGZ,,,,,
2019.0,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,58.324491,KGZ,,,,,
2020.0,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,56.6,KGZ,,,,,
2021.0,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,60.257648,KGZ,,,,,
2018.0,,,,,Quintile 1 (poorest),,,37.439764,KGZ,,,,,
2019.0,,,,,Quintile 1 (poorest),,,40.12009,KGZ,,,,,
2020.0,,,,,Quintile 1 (poorest),,,44.527351,KGZ,,,,,
2021.0,,,,,Quintile 1 (poorest),,,44.684196,KGZ,,,,,
2018.0,,,,,Quintile 2,,,46.499747,KGZ,,,,,
2019.0,,,,,Quintile 2,,,50.779258,KGZ,,,,,
2020.0,,,,,Quintile 2,,,49.788536,KGZ,,,,,
2021.0,,,,,Quintile 2,,,52.230183,KGZ,,,,,
2018.0,,,,,Quintile 3,,,48.377566,KGZ,,,,,
2019.0,,,,,Quintile 3,,,52.031241,KGZ,,,,,
2020.0,,,,,Quintile 3,,,52.16559,KGZ,,,,,
2021.0,,,,,Quintile 3,,,56.391142,KGZ,,,,,
2018.0,,,,,Quintile 4,,,51.090005,KGZ,,,,,
2019.0,,,,,Quintile 4,,,55.909722,KGZ,,,,,
2020.0,,,,,Quintile 4,,,54.891441,KGZ,,,,,
2021.0,,,,,Quintile 4,,,56.392025,KGZ,,,,,
2018.0,,,,,Quintile 5 (richest),,,55.275396,KGZ,,,,,
2019.0,,,,,Quintile 5 (richest),,,58.214146,KGZ,,,,,
2020.0,,,,,Quintile 5 (richest),,,54.537504,KGZ,,,,,
2021.0,,,,,Quintile 5 (richest),,,59.842886,KGZ,,,,,
,,,,,,,,,UZB,12_101_,Total,True,2000.0,65.3
,,,,,,,,,UZB,12_101_,Total,True,2001.0,68.7
,,,,,,,,,UZB,12_101_,Total,True,2002.0,69.5
,,,,,,,,,UZB,12_101_,Total,True,2003.0,70.6
,,,,,,,,,UZB,12_101_,Total,True,2004.0,73.8
,,,,,,,,,UZB,12_101_,Total,True,2005.0,73.4
,,,,,,,,,UZB,12_101_,Total,True,2006.0,77.3
,,,,,,,,,UZB,12_101_,Total,True,2007.0,76.6
,,,,,,,,,UZB,12_101_,Total,True,2008.0,77.6
,,,,,,,,,UZB,12_101_,Total,True,2009.0,77.6
,,,,,,,,,UZB,12_101_,Total,True,2010.0,78.3
,,,,,,,,,UZB,12_101_,Total,True,2011.0,79.8
,,,,,,,,,UZB,12_101_,Total,True,2012.0,83.4
,,,,,,,,,UZB,12_101_,Total,True,2013.0,84.8
,,,,,,,,,UZB,12_101_,Total,True,2014.0,82.5
,,,,,,,,,UZB,12_101_,Total,True,2015.0,82.9
,,,,,,,,,UZB,12_101_,Total,True,2016.0,83.9
,,,,,,,,,UZB,12_101_,Total,True,2017.0,84.9
,,,,,,,,,UZB,12_101_,Total,True,2018.0,84.2
,,,,,,,,,UZB,12_101_,Total,True,2019.0,87.1
,,,,,,,,,UZB,12_101_,Total,True,2020.0,86.4
,,,,,,,,,UZB,12_101_,Total,True,2021.0,0.0
,,,,,,,,,UZB,12_135_,Men,True,2000.0,65.1
,,,,,,,,,UZB,12_135_,Men,True,2001.0,68.4
,,,,,,,,,UZB,12_135_,Men,True,2002.0,69.1
,,,,,,,,,UZB,12_135_,Men,True,2003.0,70.4
,,,,,,,,,UZB,12_135_,Men,True,2004.0,73.3
,,,,,,,,,UZB,12_135_,Men,True,2005.0,72.8
,,,,,,,,,UZB,12_135_,Men,True,2006.0,77.0
,,,,,,,,,UZB,12_135_,Men,True,2007.0,76.2
,,,,,,,,,UZB,12_135_,Men,True,2008.0,77.4
,,,,,,,,,UZB,12_135_,Men,True,2009.0,77.6
,,,,,,,,,UZB,12_135_,Men,True,2010.0,77.9
,,,,,,,,,UZB,12_135_,Men,True,2011.0,79.5
,,,,,,,,,UZB,12_135_,Men,True,2012.0,83.6
,,,,,,,,,UZB,12_135_,Men,True,2013.0,84.5
,,,,,,,,,UZB,12_135_,Men,True,2014.0,82.4
,,,,,,,,,UZB,12_135_,Men,True,2015.0,82.8
,,,,,,,,,UZB,12_135_,Men,True,2016.0,83.7
,,,,,,,,,UZB,12_135_,Men,True,2017.0,84.8
,,,,,,,,,UZB,12_135_,Men,True,2018.0,83.2
,,,,,,,,,UZB,12_135_,Men,True,2019.0,86.8
,,,,,,,,,UZB,12_135_,Men,True,2020.0,86.0
,,,,,,,,,UZB,12_135_,Men,True,2021.0,0.0
,,,,,,,,,UZB,12_136_,Women,True,2000.0,65.5
,,,,,,,,,UZB,12_136_,Women,True,2001.0,69.0
,,,,,,,,,UZB,12_136_,Women,True,2002.0,70.0
,,,,,,,,,UZB,12_136_,Women,True,2003.0,70.9
,,,,,,,,,UZB,12_136_,Women,True,2004.0,74.4
,,,,,,,,,UZB,12_136_,Women,True,2005.0,74.0
,,,,,,,,,UZB,12_136_,Women,True,2006.0,77.7
,,,,,,,,,UZB,12_136_,Women,True,2007.0,77.1
,,,,,,,,,UZB,12_136_,Women,True,2008.0,77.7
,,,,,,,,,UZB,12_136_,Women,True,2009.0,77.7
,,,,,,,,,UZB,12_136_,Women,True,2010.0,78.7
,,,,,,,,,UZB,12_136_,Women,True,2011.0,80.1
,,,,,,,,,UZB,12_136_,Women,True,2012.0,83.3
,,,,,,,,,UZB,12_136_,Women,True,2013.0,85.1
,,,,,,,,,UZB,12_136_,Women,True,2014.0,82.6
,,,,,,,,,UZB,12_136_,Women,True,2015.0,83.1
,,,,,,,,,UZB,12_136_,Women,True,2016.0,84.2
,,,,,,,,,UZB,12_136_,Women,True,2017.0,85.0
,,,,,,,,,UZB,12_136_,Women,True,2018.0,88.8
,,,,,,,,,UZB,12_136_,Women,True,2019.0,87.3
,,,,,,,,,UZB,12_136_,Women,True,2020.0,86.9
,,,,,,,,,UZB,12_136_,Women,True,2021.0,0.0
