Year,Sex,COMPOSITE_BREAKDOWN,Value,M49_country_code
2013,Female,Cause: material difficulty,44,KGZ
2014,Female,Cause: material difficulty,106,KGZ
2015,Female,Cause: material difficulty,49,KGZ
2016,Female,Cause: material difficulty,90,KGZ
2017,Female,Cause: material difficulty,147,KGZ
2018,Female,Cause: material difficulty,118,KGZ
2019,Female,Cause: material difficulty,110,KGZ
2020,Female,Cause: material difficulty,93,KGZ
2021,Female,Cause: material difficulty,51,KGZ
2005,Female,Cause: unwillingness of parents,41,KGZ
2006,Female,Cause: unwillingness of parents,86,KGZ
2007,Female,Cause: unwillingness of parents,64,KGZ
2008,Female,Cause: unwillingness of parents,65,KGZ
2009,Female,Cause: unwillingness of parents,46,KGZ
2010,Female,Cause: unwillingness of parents,114,KGZ
2011,Female,Cause: unwillingness of parents,77,KGZ
2012,Female,Cause: unwillingness of parents,24,KGZ
2013,Female,Cause: unwillingness of parents,32,KGZ
2014,Female,Cause: unwillingness of parents,7,KGZ
2015,Female,Cause: unwillingness of parents,19,KGZ
2016,Female,Cause: unwillingness of parents,18,KGZ
2017,Female,Cause: unwillingness of parents,22,KGZ
2018,Female,Cause: unwillingness of parents,30,KGZ
2019,Female,Cause: unwillingness of parents,8,KGZ
2020,Female,Cause: unwillingness of parents,14,KGZ
2021,Female,Cause: unwillingness of parents,4,KGZ
2013,Female,"Cause: lack of the necessary documents ( birth certificates, registration)",5,KGZ
2015,Female,"Cause: lack of the necessary documents ( birth certificates, registration)",3,KGZ
2016,Female,"Cause: lack of the necessary documents ( birth certificates, registration)",6,KGZ
2005,Female,Cause: for domestic reasons,116,KGZ
2006,Female,Cause: for domestic reasons,94,KGZ
2007,Female,Cause: for domestic reasons,83,KGZ
2008,Female,Cause: for domestic reasons,317,KGZ
2009,Female,Cause: for domestic reasons,215,KGZ
2010,Female,Cause: for domestic reasons,237,KGZ
2011,Female,Cause: for domestic reasons,286,KGZ
2012,Female,Cause: for domestic reasons,230,KGZ
2013,Female,Cause: for domestic reasons,89,KGZ
2014,Female,Cause: for domestic reasons,299,KGZ
2015,Female,Cause: for domestic reasons,132,KGZ
2016,Female,Cause: for domestic reasons,194,KGZ
2017,Female,Cause: for domestic reasons,220,KGZ
2018,Female,Cause: for domestic reasons,272,KGZ
2019,Female,Cause: for domestic reasons,260,KGZ
2020,Female,Cause: for domestic reasons,139,KGZ
2021,Female,Cause: for domestic reasons,127,KGZ
2005,Female,Cause: no wishes to learn,64,KGZ
2006,Female,Cause: no wishes to learn,75,KGZ
2007,Female,Cause: no wishes to learn,55,KGZ
2008,Female,Cause: no wishes to learn,64,KGZ
2009,Female,Cause: no wishes to learn,78,KGZ
2010,Female,Cause: no wishes to learn,127,KGZ
2011,Female,Cause: no wishes to learn,46,KGZ
2012,Female,Cause: no wishes to learn,31,KGZ
2013,Female,Cause: no wishes to learn,46,KGZ
2014,Female,Cause: no wishes to learn,49,KGZ
2015,Female,Cause: no wishes to learn,41,KGZ
2016,Female,Cause: no wishes to learn,12,KGZ
2017,Female,Cause: no wishes to learn,10,KGZ
2018,Female,Cause: no wishes to learn,73,KGZ
2019,Female,Cause: no wishes to learn,33,KGZ
2020,Female,Cause: no wishes to learn,23,KGZ
2021,Female,Cause: no wishes to learn,14,KGZ
2005,Female,Cause: troubled families,31,KGZ
2006,Female,Cause: troubled families,22,KGZ
2007,Female,Cause: troubled families,39,KGZ
2008,Female,Cause: troubled families,24,KGZ
2009,Female,Cause: troubled families,7,KGZ
2010,Female,Cause: troubled families,13,KGZ
2011,Female,Cause: troubled families,36,KGZ
2012,Female,Cause: troubled families,13,KGZ
2013,Female,Cause: troubled families,10,KGZ
2014,Female,Cause: troubled families,5,KGZ
2015,Female,Cause: troubled families,9,KGZ
2016,Female,Cause: troubled families,5,KGZ
2017,Female,Cause: troubled families,11,KGZ
2018,Female,Cause: troubled families,10,KGZ
2019,Female,Cause: troubled families,17,KGZ
2020,Female,Cause: troubled families,14,KGZ
2021,Female,Cause: troubled families,12,KGZ
2005,Female,Cause: lack knowledge of language,14,KGZ
2006,Female,Cause: lack knowledge of language,1,KGZ
2007,Female,Cause: lack knowledge of language,2,KGZ
2008,Female,Cause: lack knowledge of language,6,KGZ
2009,Female,Cause: lack knowledge of language,20,KGZ
2010,Female,Cause: lack knowledge of language,21,KGZ
2011,Female,Cause: lack knowledge of language,1,KGZ
2012,Female,Cause: lack knowledge of language,1,KGZ
2013,Female,Cause: lack knowledge of language,3,KGZ
2014,Female,Cause: lack knowledge of language,1,KGZ
2017,Female,Cause: lack knowledge of language,1,KGZ
2018,Female,Cause: lack knowledge of language,0,KGZ
2013,Female,"Cause: married, pregnant, they became parents ( mother, father )",4,KGZ
2014,Female,"Cause: married, pregnant, they became parents ( mother, father )",3,KGZ
2018,Female,"Cause: married, pregnant, they became parents ( mother, father )",0,KGZ
2005,Female,Cause: working,39,KGZ
2006,Female,Cause: working,144,KGZ
2007,Female,Cause: working,94,KGZ
2008,Female,Cause: working,40,KGZ
2009,Female,Cause: working,66,KGZ
2010,Female,Cause: working,74,KGZ
2011,Female,Cause: working,115,KGZ
2012,Female,Cause: working,88,KGZ
2013,Female,Cause: working,380,KGZ
2014,Female,Cause: working,75,KGZ
2015,Female,Cause: working,60,KGZ
2016,Female,Cause: working,204,KGZ
2017,Female,Cause: working,199,KGZ
2018,Female,Cause: working,121,KGZ
2019,Female,Cause: working,91,KGZ
2020,Female,Cause: working,75,KGZ
2021,Female,Cause: working,70,KGZ
2018,Female,Cause: lack of transportation (school too far from home),2,KGZ
2013,Female,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",4,KGZ
2014,Female,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",7,KGZ
2015,Female,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",79,KGZ
2017,Female,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",1,KGZ
2018,Female,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",4,KGZ
2019,Female,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",8,KGZ
2021,Female,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",3,KGZ
2014,Female,Cause: does not match the age of the given class,4,KGZ
2015,Female,Cause: does not match the age of the given class,2,KGZ
2017,Female,Cause: does not match the age of the given class,1,KGZ
2018,Female,Cause: does not match the age of the given class,18,KGZ
2019,Female,Cause: does not match the age of the given class,3,KGZ
2020,Female,Cause: does not match the age of the given class,3,KGZ
2005,Female,Cause: because of sickness,196,KGZ
2006,Female,Cause: because of sickness,213,KGZ
2007,Female,Cause: because of sickness,219,KGZ
2008,Female,Cause: because of sickness,99,KGZ
2009,Female,Cause: because of sickness,195,KGZ
2010,Female,Cause: because of sickness,260,KGZ
2011,Female,Cause: because of sickness,233,KGZ
2012,Female,Cause: because of sickness,213,KGZ
2013,Female,Cause: because of sickness,45,KGZ
2014,Female,Cause: because of sickness,60,KGZ
2015,Female,Cause: because of sickness,14,KGZ
2016,Female,Cause: because of sickness,36,KGZ
2017,Female,Cause: because of sickness,20,KGZ
2018,Female,Cause: because of sickness,31,KGZ
2019,Female,Cause: because of sickness,27,KGZ
2020,Female,Cause: because of sickness,9,KGZ
2021,Female,Cause: because of sickness,16,KGZ
2005,Female,Cause: Children with disabilities,658,KGZ
2006,Female,Cause: Children with disabilities,585,KGZ
2007,Female,Cause: Children with disabilities,535,KGZ
2008,Female,Cause: Children with disabilities,349,KGZ
2009,Female,Cause: Children with disabilities,391,KGZ
2010,Female,Cause: Children with disabilities,393,KGZ
2011,Female,Cause: Children with disabilities,515,KGZ
2012,Female,Cause: Children with disabilities,410,KGZ
2013,Female,Cause: Children with disabilities,531,KGZ
2014,Female,Cause: Children with disabilities,554,KGZ
2015,Female,Cause: Children with disabilities,564,KGZ
2016,Female,Cause: Children with disabilities,542,KGZ
2017,Female,Cause: Children with disabilities,517,KGZ
2018,Female,Cause: Children with disabilities,525,KGZ
2019,Female,Cause: Children with disabilities,615,KGZ
2020,Female,Cause: Children with disabilities,705,KGZ
2021,Female,Cause: Children with disabilities,732,KGZ
2005,Female,Cause: other reasons,64,KGZ
2006,Female,Cause: other reasons,108,KGZ
2007,Female,Cause: other reasons,111,KGZ
2008,Female,Cause: other reasons,67,KGZ
2009,Female,Cause: other reasons,111,KGZ
2010,Female,Cause: other reasons,154,KGZ
2011,Female,Cause: other reasons,133,KGZ
2012,Female,Cause: other reasons,158,KGZ
