Year,SERIES,Sex,Value,M49_country_code
2012,Proportion of positions in public institutions: in administrative positions,Female,96.4,KGZ
2013,Proportion of positions in public institutions: in administrative positions,Female,96.013194,KGZ
2014,Proportion of positions in public institutions: in administrative positions,Female,95.745284,KGZ
2015,Proportion of positions in public institutions: in administrative positions,Female,95.838467,KGZ
2016,Proportion of positions in public institutions: in administrative positions,Female,95.1,KGZ
2017,Proportion of positions in public institutions: in administrative positions,Female,97.094864,KGZ
2018,Proportion of positions in public institutions: in administrative positions,Female,97.155208,KGZ
2019,Proportion of positions in public institutions: in administrative positions,Female,97.155208,KGZ
2020,Proportion of positions in public institutions: in administrative positions,Female,97.2,KGZ
2021,Proportion of positions in public institutions: in administrative positions,Female,96.2,KGZ
