Year,UNIT_MEASURE,SERIES,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
,,,,UZB,16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2008.0,14.1
,,,,UZB,16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2009.0,16.6
,,,,UZB,16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2010.0,16.6
,,,,UZB,16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2011.0,16.6
,,,,UZB,16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2012.0,16.6
,,,,UZB,16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2013.0,16.6
,,,,UZB,16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2014.0,23.0
,,,,UZB,16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2015.0,23.0
,,,,UZB,16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2016.0,23.0
,,,,UZB,16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2017.0,23.0
,,,,UZB,16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2018.0,23.0
,,,,UZB,16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2019.0,24.9
,,,,UZB,16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2020.0,24.9
,,,,UZB,16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2021.0,0.0
