Year,UNIT_MEASURE,Regions,Sex,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2013.0,Percent,Aktobe,Male,8.57,KAZ,,,,,
2013.0,Percent,Almaty,Male,16.68,KAZ,,,,,
2013.0,Percent,Atyrau,Male,4.68,KAZ,,,,,
2013.0,Percent,Batys Kazakhstan,Male,14.7,KAZ,,,,,
2013.0,Percent,Zhambyl,Male,5.36,KAZ,,,,,
2013.0,Percent,Karagandy,Male,9.55,KAZ,,,,,
2013.0,Percent,Kostanay,Male,12.08,KAZ,,,,,
2013.0,Percent,Kyzylorda,Male,5.84,KAZ,,,,,
2013.0,Percent,Mangistau,Male,2.53,KAZ,,,,,
2013.0,Percent,Ontustik Kazakhstan,Male,11.79,KAZ,,,,,
2013.0,Percent,Pavlodar,Male,15.88,KAZ,,,,,
2013.0,Percent,Soltustik Kazakhstan,Male,11.03,KAZ,,,,,
2013.0,Percent,Shygys Kazakhstan,Male,9.09,KAZ,,,,,
2013.0,Percent,,Female,3.69,KAZ,,,,,
2013.0,Percent,Akmola,Female,4.93,KAZ,,,,,
2013.0,Percent,Aktobe,Female,5.94,KAZ,,,,,
2013.0,Percent,Almaty,Female,6.18,KAZ,,,,,
2013.0,Percent,Atyrau,Female,1.63,KAZ,,,,,
2013.0,Percent,Batys Kazakhstan,Female,6.18,KAZ,,,,,
2013.0,Percent,Zhambyl,Female,1.63,KAZ,,,,,
2013.0,Percent,Karagandy,Female,4.31,KAZ,,,,,
2013.0,Percent,Kostanay,Female,12.09,KAZ,,,,,
2013.0,Percent,Kyzylorda,Female,0.2,KAZ,,,,,
2013.0,Percent,Mangistau,Female,0.03,KAZ,,,,,
2013.0,Percent,Ontustik Kazakhstan,Female,0.87,KAZ,,,,,
2013.0,Percent,Pavlodar,Female,5.94,KAZ,,,,,
2013.0,Percent,Soltustik Kazakhstan,Female,5.61,KAZ,,,,,
2013.0,Percent,Shygys Kazakhstan,Female,4.75,KAZ,,,,,
2014.0,Percent,,,6.38,KAZ,,,,,
2014.0,Percent,Akmola,,7.24,KAZ,,,,,
2014.0,Percent,Aktobe,,7.09,KAZ,,,,,
2014.0,Percent,Almaty,,10.61,KAZ,,,,,
2014.0,Percent,Atyrau,,3.09,KAZ,,,,,
2014.0,Percent,Batys Kazakhstan,,10.13,KAZ,,,,,
2014.0,Percent,Zhambyl,,4.47,KAZ,,,,,
2014.0,Percent,Karagandy,,6.75,KAZ,,,,,
2014.0,Percent,Kostanay,,12.09,KAZ,,,,,
2014.0,Percent,Kyzylorda,,2.98,KAZ,,,,,
2014.0,Percent,Mangistau,,1.23,KAZ,,,,,
2014.0,Percent,Ontustik Kazakhstan,,6.53,KAZ,,,,,
2014.0,Percent,Pavlodar,,10.31,KAZ,,,,,
2014.0,Percent,Soltustik Kazakhstan,,8.19,KAZ,,,,,
2014.0,Percent,Shygys Kazakhstan,,8.25,KAZ,,,,,
2014.0,Percent,,Male,9.71,KAZ,,,,,
2014.0,Percent,Akmola,Male,9.84,KAZ,,,,,
2014.0,Percent,Aktobe,Male,8.46,KAZ,,,,,
2014.0,Percent,Almaty,Male,15.16,KAZ,,,,,
2014.0,Percent,Atyrau,Male,4.71,KAZ,,,,,
2014.0,Percent,Batys Kazakhstan,Male,14.58,KAZ,,,,,
2014.0,Percent,Zhambyl,Male,7.72,KAZ,,,,,
2014.0,Percent,Karagandy,Male,9.83,KAZ,,,,,
2014.0,Percent,Kostanay,Male,12.08,KAZ,,,,,
2014.0,Percent,Kyzylorda,Male,5.85,KAZ,,,,,
2014.0,Percent,Mangistau,Male,2.51,KAZ,,,,,
2014.0,Percent,Ontustik Kazakhstan,Male,12.2,KAZ,,,,,
2014.0,Percent,Pavlodar,Male,22.25,KAZ,,,,,
2014.0,Percent,Soltustik Kazakhstan,Male,11.12,KAZ,,,,,
2014.0,Percent,Shygys Kazakhstan,Male,11.93,KAZ,,,,,
2014.0,Percent,,Female,3.43,KAZ,,,,,
2014.0,Percent,Akmola,Female,4.92,KAZ,,,,,
2014.0,Percent,Aktobe,Female,5.87,KAZ,,,,,
2014.0,Percent,Almaty,Female,6.38,KAZ,,,,,
2014.0,Percent,Atyrau,Female,1.61,KAZ,,,,,
2014.0,Percent,Batys Kazakhstan,Female,6.16,KAZ,,,,,
2014.0,Percent,Zhambyl,Female,1.5,KAZ,,,,,
2014.0,Percent,Karagandy,Female,4.14,KAZ,,,,,
2014.0,Percent,Kostanay,Female,12.1,KAZ,,,,,
2014.0,Percent,Kyzylorda,Female,0.2,KAZ,,,,,
2014.0,Percent,Mangistau,Female,0.01,KAZ,,,,,
2014.0,Percent,Ontustik Kazakhstan,Female,1.16,KAZ,,,,,
2014.0,Percent,Pavlodar,Female,0.23,KAZ,,,,,
2014.0,Percent,Soltustik Kazakhstan,Female,5.65,KAZ,,,,,
2014.0,Percent,Shygys Kazakhstan,Female,5.07,KAZ,,,,,
2015.0,Percent,,,6.17,KAZ,,,,,
2015.0,Percent,Akmola,,7.22,KAZ,,,,,
2015.0,Percent,Aktobe,,7.03,KAZ,,,,,
2015.0,Percent,Almaty,,10.83,KAZ,,,,,
2015.0,Percent,Atyrau,,3.08,KAZ,,,,,
2015.0,Percent,Batys Kazakhstan,,10.11,KAZ,,,,,
2015.0,Percent,Zhambyl,,3.46,KAZ,,,,,
2015.0,Percent,Karagandy,,6.75,KAZ,,,,,
2015.0,Percent,Kostanay,,12.05,KAZ,,,,,
2015.0,Percent,Kyzylorda,,2.99,KAZ,,,,,
2015.0,Percent,Mangistau,,1.24,KAZ,,,,,
2015.0,Percent,Ontustik Kazakhstan,,6.47,KAZ,,,,,
2015.0,Percent,Pavlodar,,10.34,KAZ,,,,,
2015.0,Percent,Soltustik Kazakhstan,,8.32,KAZ,,,,,
2015.0,Percent,Shygys Kazakhstan,,6.92,KAZ,,,,,
2015.0,Percent,,Male,9.29,KAZ,,,,,
2015.0,Percent,Akmola,Male,9.8,KAZ,,,,,
2015.0,Percent,Aktobe,Male,8.38,KAZ,,,,,
2015.0,Percent,Almaty,Male,15.45,KAZ,,,,,
2015.0,Percent,Atyrau,Male,4.44,KAZ,,,,,
2015.0,Percent,Batys Kazakhstan,Male,14.56,KAZ,,,,,
2015.0,Percent,Zhambyl,Male,5.48,KAZ,,,,,
2015.0,Percent,Karagandy,Male,9.82,KAZ,,,,,
2015.0,Percent,Kostanay,Male,11.98,KAZ,,,,,
2015.0,Percent,Kyzylorda,Male,5.87,KAZ,,,,,
2015.0,Percent,Mangistau,Male,2.52,KAZ,,,,,
2015.0,Percent,Ontustik Kazakhstan,Male,12.38,KAZ,,,,,
2015.0,Percent,Pavlodar,Male,22.3,KAZ,,,,,
2015.0,Percent,Soltustik Kazakhstan,Male,11.08,KAZ,,,,,
2015.0,Percent,Shygys Kazakhstan,Male,8.92,KAZ,,,,,
2015.0,Percent,,Female,3.4,KAZ,,,,,
2015.0,Percent,Akmola,Female,4.9,KAZ,,,,,
2015.0,Percent,Aktobe,Female,5.83,KAZ,,,,,
2015.0,Percent,Almaty,Female,6.52,KAZ,,,,,
2015.0,Percent,Atyrau,Female,1.82,KAZ,,,,,
2015.0,Percent,Batys Kazakhstan,Female,6.15,KAZ,,,,,
2015.0,Percent,Zhambyl,Female,1.61,KAZ,,,,,
2015.0,Percent,Karagandy,Female,4.15,KAZ,,,,,
2015.0,Percent,Kostanay,Female,12.1,KAZ,,,,,
2015.0,Percent,Kyzylorda,Female,0.19,KAZ,,,,,
2015.0,Percent,Mangistau,Female,0.02,KAZ,,,,,
2015.0,Percent,Ontustik Kazakhstan,Female,0.88,KAZ,,,,,
2015.0,Percent,Pavlodar,Female,0.24,KAZ,,,,,
2015.0,Percent,Soltustik Kazakhstan,Female,5.93,KAZ,,,,,
2015.0,Percent,Shygys Kazakhstan,Female,5.18,KAZ,,,,,
2016.0,Percent,,,5.95,KAZ,,,,,
2016.0,Percent,Akmola,,7.3,KAZ,,,,,
2016.0,Percent,Aktobe,,7.01,KAZ,,,,,
2016.0,Percent,Almaty,,10.96,KAZ,,,,,
2016.0,Percent,Atyrau,,3.07,KAZ,,,,,
2016.0,Percent,Batys Kazakhstan,,10.17,KAZ,,,,,
2016.0,Percent,Zhambyl,,3.53,KAZ,,,,,
2016.0,Percent,Karagandy,,6.77,KAZ,,,,,
2016.0,Percent,Kostanay,,12.08,KAZ,,,,,
2016.0,Percent,Kyzylorda,,3.03,KAZ,,,,,
2016.0,Percent,Mangistau,,1.25,KAZ,,,,,
2016.0,Percent,Ontustik Kazakhstan,,6.22,KAZ,,,,,
2016.0,Percent,Pavlodar,,10.27,KAZ,,,,,
2016.0,Percent,Soltustik Kazakhstan,,3.41,KAZ,,,,,
2016.0,Percent,Shygys Kazakhstan,,6.91,KAZ,,,,,
2016.0,Percent,,Male,9.22,KAZ,,,,,
2016.0,Percent,Akmola,Male,9.96,KAZ,,,,,
2016.0,Percent,Aktobe,Male,8.37,KAZ,,,,,
2016.0,Percent,Almaty,Male,16.84,KAZ,,,,,
2016.0,Percent,Atyrau,Male,4.48,KAZ,,,,,
2016.0,Percent,Batys Kazakhstan,Male,14.67,KAZ,,,,,
2016.0,Percent,Zhambyl,Male,5.63,KAZ,,,,,
2016.0,Percent,Karagandy,Male,9.84,KAZ,,,,,
2016.0,Percent,Kostanay,Male,12.0,KAZ,,,,,
2016.0,Percent,Kyzylorda,Male,5.96,KAZ,,,,,
2016.0,Percent,Mangistau,Male,2.55,KAZ,,,,,
2016.0,Percent,Ontustik Kazakhstan,Male,11.77,KAZ,,,,,
2016.0,Percent,Pavlodar,Male,22.35,KAZ,,,,,
2016.0,Percent,Soltustik Kazakhstan,Male,7.11,KAZ,,,,,
2016.0,Percent,Shygys Kazakhstan,Male,9.28,KAZ,,,,,
2016.0,Percent,,Female,3.04,KAZ,,,,,
2016.0,Percent,Akmola,Female,4.92,KAZ,,,,,
2016.0,Percent,Aktobe,Female,5.8,KAZ,,,,,
2016.0,Percent,Almaty,Female,5.48,KAZ,,,,,
2016.0,Percent,Atyrau,Female,1.78,KAZ,,,,,
2016.0,Percent,Batys Kazakhstan,Female,6.17,KAZ,,,,,
2016.0,Percent,Zhambyl,Female,1.6,KAZ,,,,,
2016.0,Percent,Karagandy,Female,4.16,KAZ,,,,,
2016.0,Percent,Kostanay,Female,12.16,KAZ,,,,,
2016.0,Percent,Kyzylorda,Female,0.19,KAZ,,,,,
2016.0,Percent,Mangistau,Female,0.01,KAZ,,,,,
2016.0,Percent,Ontustik Kazakhstan,Female,0.97,KAZ,,,,,
2016.0,Percent,Pavlodar,Female,0.05,KAZ,,,,,
2016.0,Percent,Soltustik Kazakhstan,Female,0.2,KAZ,,,,,
2016.0,Percent,Shygys Kazakhstan,Female,4.88,KAZ,,,,,
2017.0,Percent,,,6.1,KAZ,,,,,
2017.0,Percent,Akmola,,7.6,KAZ,,,,,
2017.0,Percent,Aktobe,,6.33,KAZ,,,,,
2017.0,Percent,Almaty,,10.93,KAZ,,,,,
2017.0,Percent,Atyrau,,3.06,KAZ,,,,,
2017.0,Percent,Batys Kazakhstan,,10.24,KAZ,,,,,
2017.0,Percent,Zhambyl,,4.01,KAZ,,,,,
2017.0,Percent,Karagandy,,6.81,KAZ,,,,,
2017.0,Percent,Kostanay,,12.11,KAZ,,,,,
2017.0,Percent,Kyzylorda,,3.19,KAZ,,,,,
2017.0,Percent,Mangistau,,0.83,KAZ,,,,,
2017.0,Percent,Ontustik Kazakhstan,,6.19,KAZ,,,,,
2017.0,Percent,Pavlodar,,10.34,KAZ,,,,,
2017.0,Percent,Soltustik Kazakhstan,,8.35,KAZ,,,,,
2017.0,Percent,Shygys Kazakhstan,,7.2,KAZ,,,,,
2017.0,Percent,,Male,10.44,KAZ,,,,,
2017.0,Percent,Akmola,Male,12.39,KAZ,,,,,
2017.0,Percent,Aktobe,Male,6.97,KAZ,,,,,
2017.0,Percent,Almaty,Male,20.6,KAZ,,,,,
2017.0,Percent,Atyrau,Male,4.45,KAZ,,,,,
2017.0,Percent,Batys Kazakhstan,Male,15.77,KAZ,,,,,
2017.0,Percent,Zhambyl,Male,6.71,KAZ,,,,,
2017.0,Percent,Karagandy,Male,10.02,KAZ,,,,,
2017.0,Percent,Kostanay,Male,11.95,KAZ,,,,,
2017.0,Percent,Kyzylorda,Male,6.27,KAZ,,,,,
2017.0,Percent,Mangistau,Male,1.68,KAZ,,,,,
2017.0,Percent,Ontustik Kazakhstan,Male,11.62,KAZ,,,,,
2017.0,Percent,Pavlodar,Male,22.34,KAZ,,,,,
2017.0,Percent,Soltustik Kazakhstan,Male,14.88,KAZ,,,,,
2017.0,Percent,Shygys Kazakhstan,Male,15.04,KAZ,,,,,
2017.0,Percent,,Female,2.63,KAZ,,,,,
2017.0,Percent,Akmola,Female,3.29,KAZ,,,,,
2017.0,Percent,Aktobe,Female,5.77,KAZ,,,,,
2017.0,Percent,Almaty,Female,1.87,KAZ,,,,,
2017.0,Percent,Atyrau,Female,1.78,KAZ,,,,,
2017.0,Percent,Batys Kazakhstan,Female,5.31,KAZ,,,,,
2017.0,Percent,Zhambyl,Female,1.53,KAZ,,,,,
2017.0,Percent,Karagandy,Female,4.08,KAZ,,,,,
2017.0,Percent,Kostanay,Female,12.25,KAZ,,,,,
2017.0,Percent,Kyzylorda,Female,0.19,KAZ,,,,,
2017.0,Percent,Mangistau,Female,0.02,KAZ,,,,,
2017.0,Percent,Ontustik Kazakhstan,Female,1.03,KAZ,,,,,
2017.0,Percent,Pavlodar,Female,0.16,KAZ,,,,,
2017.0,Percent,Soltustik Kazakhstan,Female,2.66,KAZ,,,,,
2017.0,Percent,Shygys Kazakhstan,Female,4.88,KAZ,,,,,
2018.0,Percent,,,5.95,KAZ,,,,,
2018.0,Percent,Akmola,,7.41,KAZ,,,,,
2018.0,Percent,Aktobe,,6.33,KAZ,,,,,
2018.0,Percent,Almaty,,10.44,KAZ,,,,,
2018.0,Percent,Atyrau,,3.06,KAZ,,,,,
2018.0,Percent,Batys Kazakhstan,,10.28,KAZ,,,,,
2018.0,Percent,Zhambyl,,4.05,KAZ,,,,,
2018.0,Percent,Karagandy,,6.87,KAZ,,,,,
2018.0,Percent,Kostanay,,11.7,KAZ,,,,,
2018.0,Percent,Kyzylorda,,3.22,KAZ,,,,,
2018.0,Percent,Mangistau,,0.81,KAZ,,,,,
2018.0,Percent,Pavlodar,,10.41,KAZ,,,,,
2018.0,Percent,Soltustik Kazakhstan,,8.48,KAZ,,,,,
2018.0,Percent,Turkistan,,7.53,KAZ,,,,,
2018.0,Percent,Shygys Kazakhstan,,8.76,KAZ,,,,,
2018.0,Percent,,Male,9.7,KAZ,,,,,
2018.0,Percent,Akmola,Male,12.43,KAZ,,,,,
2018.0,Percent,Aktobe,Male,6.99,KAZ,,,,,
2018.0,Percent,Almaty,Male,19.32,KAZ,,,,,
2018.0,Percent,Atyrau,Male,4.48,KAZ,,,,,
2018.0,Percent,Batys Kazakhstan,Male,14.86,KAZ,,,,,
2018.0,Percent,Zhambyl,Male,7.02,KAZ,,,,,
2018.0,Percent,Karagandy,Male,10.1,KAZ,,,,,
2018.0,Percent,Kostanay,Male,11.32,KAZ,,,,,
2018.0,Percent,Kyzylorda,Male,6.33,KAZ,,,,,
2018.0,Percent,Mangistau,Male,1.65,KAZ,,,,,
2018.0,Percent,Pavlodar,Male,22.42,KAZ,,,,,
2018.0,Percent,Soltustik Kazakhstan,Male,15.02,KAZ,,,,,
2018.0,Percent,Turkistan,Male,13.59,KAZ,,,,,
2018.0,Percent,Shygys Kazakhstan,Male,13.19,KAZ,,,,,
2018.0,Percent,,Female,2.61,KAZ,,,,,
2018.0,Percent,Akmola,Female,2.88,KAZ,,,,,
2018.0,Percent,Aktobe,Female,5.74,KAZ,,,,,
2018.0,Percent,Almaty,Female,2.08,KAZ,,,,,
2018.0,Percent,Atyrau,Female,1.76,KAZ,,,,,
2018.0,Percent,Batys Kazakhstan,Female,6.19,KAZ,,,,,
2018.0,Percent,Zhambyl,Female,1.32,KAZ,,,,,
2018.0,Percent,Karagandy,Female,4.12,KAZ,,,,,
2018.0,Percent,Kostanay,Female,12.04,KAZ,,,,,
2018.0,Percent,Kyzylorda,Female,0.19,KAZ,,,,,
2018.0,Percent,Mangistau,Female,0.01,KAZ,,,,,
2018.0,Percent,Pavlodar,Female,0.23,KAZ,,,,,
2018.0,Percent,Soltustik Kazakhstan,Female,2.77,KAZ,,,,,
2018.0,Percent,Turkistan,Female,1.44,KAZ,,,,,
2018.0,Percent,Shygys Kazakhstan,Female,4.93,KAZ,,,,,
2019.0,Percent,,,6.61,KAZ,,,,,
2019.0,Percent,Akmola,,7.42,KAZ,,,,,
2019.0,Percent,Aktobe,,0.81,KAZ,,,,,
2019.0,Percent,Almaty,,11.56,KAZ,,,,,
2019.0,Percent,Atyrau,,3.11,KAZ,,,,,
2019.0,Percent,Batys Kazakhstan,,10.23,KAZ,,,,,
2019.0,Percent,Zhambyl,,2.67,KAZ,,,,,
2019.0,Percent,Karagandy,,6.86,KAZ,,,,,
2019.0,Percent,Kostanay,,1.82,KAZ,,,,,
2019.0,Percent,Kyzylorda,,1.3,KAZ,,,,,
2019.0,Percent,Mangistau,,0.68,KAZ,,,,,
2019.0,Percent,Pavlodar,,10.52,KAZ,,,,,
2019.0,Percent,Soltustik Kazakhstan,,8.59,KAZ,,,,,
2019.0,Percent,Turkistan,,7.71,KAZ,,,,,
2019.0,Percent,Shygys Kazakhstan,,8.85,KAZ,,,,,
2019.0,Percent,,Male,11.42,KAZ,,,,,
2019.0,Percent,Akmola,Male,12.41,KAZ,,,,,
2019.0,Percent,Aktobe,Male,1.55,KAZ,,,,,
2019.0,Percent,Almaty,Male,21.64,KAZ,,,,,
2019.0,Percent,Atyrau,Male,3.92,KAZ,,,,,
2019.0,Percent,Batys Kazakhstan,Male,14.75,KAZ,,,,,
2019.0,Percent,Zhambyl,Male,4.28,KAZ,,,,,
2019.0,Percent,Karagandy,Male,10.03,KAZ,,,,,
2019.0,Percent,Kostanay,Male,3.59,KAZ,,,,,
2019.0,Percent,Kyzylorda,Male,2.57,KAZ,,,,,
2019.0,Percent,Mangistau,Male,1.39,KAZ,,,,,
2019.0,Percent,Pavlodar,Male,22.63,KAZ,,,,,
2019.0,Percent,Soltustik Kazakhstan,Male,15.23,KAZ,,,,,
2019.0,Percent,Turkistan,Male,13.91,KAZ,,,,,
2019.0,Percent,Shygys Kazakhstan,Male,13.32,KAZ,,,,,
2019.0,Percent,,Female,2.25,KAZ,,,,,
2019.0,Percent,Akmola,Female,3.17,KAZ,,,,,
2019.0,Percent,Aktobe,Female,0.15,KAZ,,,,,
2019.0,Percent,Almaty,Female,2.08,KAZ,,,,,
2019.0,Percent,Atyrau,Female,2.36,KAZ,,,,,
2019.0,Percent,Batys Kazakhstan,Female,6.2,KAZ,,,,,
2019.0,Percent,Zhambyl,Female,1.19,KAZ,,,,,
2019.0,Percent,Karagandy,Female,4.15,KAZ,,,,,
2019.0,Percent,Kostanay,Female,0.28,KAZ,,,,,
2019.0,Percent,Kyzylorda,Female,0.1,KAZ,,,,,
2019.0,Percent,Mangistau,Female,0.01,KAZ,,,,,
2019.0,Percent,Pavlodar,Female,0.24,KAZ,,,,,
2019.0,Percent,Soltustik Kazakhstan,Female,2.8,KAZ,,,,,
2019.0,Percent,Turkistan,Female,1.43,KAZ,,,,,
2019.0,Percent,Shygys Kazakhstan,Female,4.98,KAZ,,,,,
2020.0,Percent,,,4.88,KAZ,,,,,
2020.0,Percent,Akmola,,3.79,KAZ,,,,,
2020.0,Percent,Aktobe,,0.83,KAZ,,,,,
2020.0,Percent,Almaty,,11.12,KAZ,,,,,
2020.0,Percent,Atyrau,,1.43,KAZ,,,,,
2020.0,Percent,Batys Kazakhstan,,10.11,KAZ,,,,,
2020.0,Percent,Zhambyl,,2.67,KAZ,,,,,
2020.0,Percent,Karagandy,,1.4,KAZ,,,,,
2020.0,Percent,Kostanay,,1.76,KAZ,,,,,
2020.0,Percent,Kyzylorda,,1.09,KAZ,,,,,
2020.0,Percent,Mangistau,,0.79,KAZ,,,,,
2020.0,Percent,Pavlodar,,3.13,KAZ,,,,,
2020.0,Percent,Soltustik Kazakhstan,,0.96,KAZ,,,,,
2020.0,Percent,Turkistan,,7.58,KAZ,,,,,
2020.0,Percent,Shygys Kazakhstan,,8.74,KAZ,,,,,
2020.0,Percent,,Male,8.22,KAZ,,,,,
2020.0,Percent,Akmola,Male,6.06,KAZ,,,,,
2020.0,Percent,Aktobe,Male,1.61,KAZ,,,,,
2020.0,Percent,Almaty,Male,19.66,KAZ,,,,,
2020.0,Percent,Atyrau,Male,2.1,KAZ,,,,,
2020.0,Percent,Batys Kazakhstan,Male,14.46,KAZ,,,,,
2020.0,Percent,Zhambyl,Male,4.27,KAZ,,,,,
2020.0,Percent,Karagandy,Male,2.33,KAZ,,,,,
2020.0,Percent,Kostanay,Male,3.47,KAZ,,,,,
2020.0,Percent,Kyzylorda,Male,2.12,KAZ,,,,,
2020.0,Percent,Mangistau,Male,1.29,KAZ,,,,,
2020.0,Percent,Pavlodar,Male,6.61,KAZ,,,,,
2020.0,Percent,Soltustik Kazakhstan,Male,1.83,KAZ,,,,,
2020.0,Percent,Turkistan,Male,11.63,KAZ,,,,,
2020.0,Percent,Shygys Kazakhstan,Male,14.54,KAZ,,,,,
2020.0,Percent,,Female,1.57,KAZ,,,,,
2020.0,Percent,Akmola,Female,1.74,KAZ,,,,,
2020.0,Percent,Aktobe,Female,0.15,KAZ,,,,,
2020.0,Percent,Almaty,Female,3.12,KAZ,,,,,
2020.0,Percent,Atyrau,Female,0.81,KAZ,,,,,
2020.0,Percent,Batys Kazakhstan,Female,6.22,KAZ,,,,,
2020.0,Percent,Zhambyl,Female,1.19,KAZ,,,,,
2020.0,Percent,Karagandy,Female,0.62,KAZ,,,,,
2020.0,Percent,Kostanay,Female,0.29,KAZ,,,,,
2020.0,Percent,Kyzylorda,Female,0.09,KAZ,,,,,
2020.0,Percent,Mangistau,Female,0.17,KAZ,,,,,
2020.0,Percent,Pavlodar,Female,0.17,KAZ,,,,,
2020.0,Percent,Soltustik Kazakhstan,Female,0.21,KAZ,,,,,
2020.0,Percent,Turkistan,Female,1.12,KAZ,,,,,
2020.0,Percent,Shygys Kazakhstan,Female,3.71,KAZ,,,,,
2021.0,Percent,,,4.36,KAZ,,,,,
2021.0,Percent,Akmola,,3.82,KAZ,,,,,
2021.0,Percent,Aktobe,,0.88,KAZ,,,,,
2021.0,Percent,Almaty,,11.14,KAZ,,,,,
2021.0,Percent,Atyrau,,1.49,KAZ,,,,,
2021.0,Percent,Batys Kazakhstan,,10.18,KAZ,,,,,
2021.0,Percent,Zhambyl,,2.81,KAZ,,,,,
2021.0,Percent,Karagandy,,1.35,KAZ,,,,,
2021.0,Percent,Kostanay,,1.78,KAZ,,,,,
2021.0,Percent,Kyzylorda,,1.13,KAZ,,,,,
2021.0,Percent,Mangistau,,0.77,KAZ,,,,,
2021.0,Percent,Pavlodar,,3.21,KAZ,,,,,
2021.0,Percent,Soltustik Kazakhstan,,1.0,KAZ,,,,,
2021.0,Percent,Turkistan,,7.59,KAZ,,,,,
2021.0,Percent,Shygys Kazakhstan,,3.35,KAZ,,,,,
2021.0,Percent,,Male,7.43,KAZ,,,,,
2021.0,Percent,Akmola,Male,6.26,KAZ,,,,,
2021.0,Percent,Aktobe,Male,1.72,KAZ,,,,,
2021.0,Percent,Almaty,Male,19.65,KAZ,,,,,
2021.0,Percent,Atyrau,Male,2.22,KAZ,,,,,
2021.0,Percent,Batys Kazakhstan,Male,14.53,KAZ,,,,,
