Year,UNIT_MEASURE,Area,Sex,Regions,Value,M49_country_code,Reference area,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode
2014,Percent,,,Akmola,72.0,KAZ,,,,,,
2014,Percent,,,Aktobe,73.0,KAZ,,,,,,
2014,Percent,,,Almaty,54.5,KAZ,,,,,,
2014,Percent,,,Atyrau,74.3,KAZ,,,,,,
2014,Percent,,,Batys Kazakhstan,66.3,KAZ,,,,,,
2014,Percent,,,Zhambyl,54.4,KAZ,,,,,,
2014,Percent,,,Karagandy,66.0,KAZ,,,,,,
2014,Percent,,,Kostanay,77.0,KAZ,,,,,,
2014,Percent,,,Kyzylorda,67.2,KAZ,,,,,,
2014,Percent,,,Mangistau,70.3,KAZ,,,,,,
2014,Percent,,,Ontustik Kazakhstan,48.6,KAZ,,,,,,
2014,Percent,,,Pavlodar,69.3,KAZ,,,,,,
2014,Percent,,,Soltustik Kazakhstan,70.3,KAZ,,,,,,
2014,Percent,,,Shygys Kazakhstan,67.1,KAZ,,,,,,
2014,Percent,,,Nur-Sultan city,66.2,KAZ,,,,,,
2014,Percent,,,Almaty city,71.0,KAZ,,,,,,
2015,Percent,,,,72.8660129673921,KAZ,,,,,,
2015,Percent,urban,,,76.4,KAZ,,,,,,
2015,Percent,rural,,,68.3,KAZ,,,,,,
2015,Percent,,Male,,73.0,KAZ,,,,,,
2015,Percent,,Female,,72.7,KAZ,,,,,,
2015,Percent,,,Akmola,60.87720508246625,KAZ,,,,,,
2015,Percent,,,Aktobe,66.44451330706717,KAZ,,,,,,
2015,Percent,,,Almaty,81.16569074759364,KAZ,,,,,,
2015,Percent,,,Atyrau,67.18603978001076,KAZ,,,,,,
2015,Percent,,,Batys Kazakhstan,88.96409263894446,KAZ,,,,,,
2015,Percent,,,Zhambyl,61.63541033184858,KAZ,,,,,,
2015,Percent,,,Karagandy,68.57217287058481,KAZ,,,,,,
2015,Percent,,,Kostanay,76.95433833512575,KAZ,,,,,,
2015,Percent,,,Kyzylorda,70.15136835083149,KAZ,,,,,,
2015,Percent,,,Mangistau,66.28088901165027,KAZ,,,,,,
2015,Percent,,,Ontustik Kazakhstan,68.3891287407668,KAZ,,,,,,
2015,Percent,,,Pavlodar,81.15185175517124,KAZ,,,,,,
2015,Percent,,,Soltustik Kazakhstan,67.76427730694405,KAZ,,,,,,
2015,Percent,,,Shygys Kazakhstan,68.09526354822975,KAZ,,,,,,
2015,Percent,,,Nur-Sultan city,86.85082232392773,KAZ,,,,,,
2015,Percent,,,Almaty city,81.91506991196272,KAZ,,,,,,
2016,Percent,,,,76.8,KAZ,,,,,,
2016,Percent,urban,,,81.3,KAZ,,,,,,
2016,Percent,rural,,,70.9,KAZ,,,,,,
2016,Percent,,Male,,77.5,KAZ,,,,,,
2016,Percent,,Female,,76.2,KAZ,,,,,,
2016,Percent,,,Akmola,70.0,KAZ,,,,,,
2016,Percent,,,Aktobe,77.7,KAZ,,,,,,
2016,Percent,,,Almaty,81.4,KAZ,,,,,,
2016,Percent,,,Atyrau,72.9,KAZ,,,,,,
2016,Percent,,,Batys Kazakhstan,67.4,KAZ,,,,,,
2016,Percent,,,Zhambyl,68.7,KAZ,,,,,,
2016,Percent,,,Karagandy,72.5,KAZ,,,,,,
2016,Percent,,,Kostanay,83.7,KAZ,,,,,,
2016,Percent,,,Kyzylorda,76.7,KAZ,,,,,,
2016,Percent,,,Mangistau,72.5,KAZ,,,,,,
2016,Percent,,,Ontustik Kazakhstan,75.4,KAZ,,,,,,
2016,Percent,,,Pavlodar,80.3,KAZ,,,,,,
2016,Percent,,,Soltustik Kazakhstan,74.8,KAZ,,,,,,
2016,Percent,,,Shygys Kazakhstan,74.5,KAZ,,,,,,
2016,Percent,,,Nur-Sultan city,85.3,KAZ,,,,,,
2016,Percent,,,Almaty city,84.3,KAZ,,,,,,
2017,Percent,,,,78.8,KAZ,,,,,,
2017,Percent,urban,,,82.5,KAZ,,,,,,
2017,Percent,rural,,,73.9,KAZ,,,,,,
2017,Percent,,Male,,79.0,KAZ,,,,,,
2017,Percent,,Female,,78.7,KAZ,,,,,,
2017,Percent,,,Akmola,70.8,KAZ,,,,,,
2017,Percent,,,Aktobe,80.8,KAZ,,,,,,
2017,Percent,,,Almaty,84.5,KAZ,,,,,,
2017,Percent,,,Atyrau,75.1,KAZ,,,,,,
2017,Percent,,,Batys Kazakhstan,72.7,KAZ,,,,,,
2017,Percent,,,Zhambyl,70.1,KAZ,,,,,,
2017,Percent,,,Karagandy,72.8,KAZ,,,,,,
2017,Percent,,,Kostanay,85.5,KAZ,,,,,,
2017,Percent,,,Kyzylorda,76.2,KAZ,,,,,,
2017,Percent,,,Mangistau,72.6,KAZ,,,,,,
2017,Percent,,,Ontustik Kazakhstan,79.0,KAZ,,,,,,
2017,Percent,,,Pavlodar,82.1,KAZ,,,,,,
2017,Percent,,,Soltustik Kazakhstan,75.7,KAZ,,,,,,
2017,Percent,,,Shygys Kazakhstan,77.4,KAZ,,,,,,
2017,Percent,,,Nur-Sultan city,88.0,KAZ,,,,,,
2017,Percent,,,Almaty city,84.1,KAZ,,,,,,
2018,Percent,,,,81.3,KAZ,,,,,,
2018,Percent,urban,,,84.1,KAZ,,,,,,
2018,Percent,rural,,,77.5,KAZ,,,,,,
2018,Percent,,Male,,81.6,KAZ,,,,,,
2018,Percent,,Female,,81.1,KAZ,,,,,,
2018,Percent,,,Akmola,73.8,KAZ,,,,,,
2018,Percent,,,Aktobe,81.1,KAZ,,,,,,
2018,Percent,,,Almaty,85.3,KAZ,,,,,,
2018,Percent,,,Atyrau,78.1,KAZ,,,,,,
2018,Percent,,,Batys Kazakhstan,76.9,KAZ,,,,,,
2018,Percent,,,Zhambyl,80.9,KAZ,,,,,,
2018,Percent,,,Karagandy,73.9,KAZ,,,,,,
2018,Percent,,,Kostanay,85.7,KAZ,,,,,,
2018,Percent,,,Kyzylorda,77.7,KAZ,,,,,,
2018,Percent,,,Mangistau,78.9,KAZ,,,,,,
2018,Percent,,,Pavlodar,83.3,KAZ,,,,,,
2018,Percent,,,Soltustik Kazakhstan,77.0,KAZ,,,,,,
2018,Percent,,,Turkistan,84.8,KAZ,,,,,,
2018,Percent,,,Shygys Kazakhstan,79.2,KAZ,,,,,,
2018,Percent,,,Nur-Sultan city,88.1,KAZ,,,,,,
2018,Percent,,,Almaty city,84.3,KAZ,,,,,,
2018,Percent,,,Shymkent city,80.0,KAZ,,,,,,
2019,Percent,,,,84.2,KAZ,,,,,,
2019,Percent,urban,,,86.3,KAZ,,,,,,
2019,Percent,rural,,,81.4,KAZ,,,,,,
2019,Percent,,Male,,84.3,KAZ,,,,,,
2019,Percent,,Female,,84.2,KAZ,,,,,,
2019,Percent,,,Akmola,79.4,KAZ,,,,,,
2019,Percent,,,Aktobe,85.7,KAZ,,,,,,
2019,Percent,,,Almaty,85.4,KAZ,,,,,,
2019,Percent,,,Atyrau,80.7,KAZ,,,,,,
2019,Percent,,,Batys Kazakhstan,80.4,KAZ,,,,,,
2019,Percent,,,Zhambyl,81.6,KAZ,,,,,,
2019,Percent,,,Karagandy,80.5,KAZ,,,,,,
2019,Percent,,,Kostanay,86.9,KAZ,,,,,,
2019,Percent,,,Kyzylorda,77.9,KAZ,,,,,,
2019,Percent,,,Mangistau,82.3,KAZ,,,,,,
2019,Percent,,,Pavlodar,85.7,KAZ,,,,,,
2019,Percent,,,Soltustik Kazakhstan,81.2,KAZ,,,,,,
2019,Percent,,,Turkistan,89.6,KAZ,,,,,,
2019,Percent,,,Shygys Kazakhstan,81.7,KAZ,,,,,,
2019,Percent,,,Nur-Sultan city,91.7,KAZ,,,,,,
2019,Percent,,,Almaty city,87.7,KAZ,,,,,,
2019,Percent,,,Shymkent city,80.1,KAZ,,,,,,
2020,Percent,,,,88.2,KAZ,,,,,,
2020,Percent,urban,,,90.1,KAZ,,,,,,
2020,Percent,rural,,,85.5,KAZ,,,,,,
2020,Percent,,Male,,88.5,KAZ,,,,,,
2020,Percent,,Female,,88.0,KAZ,,,,,,
2020,Percent,,,Akmola,84.6,KAZ,,,,,,
2020,Percent,,,Aktobe,88.0,KAZ,,,,,,
2020,Percent,,,Almaty,88.7,KAZ,,,,,,
2020,Percent,,,Atyrau,80.7,KAZ,,,,,,
2020,Percent,,,Batys Kazakhstan,83.9,KAZ,,,,,,
2020,Percent,,,Zhambyl,86.0,KAZ,,,,,,
2020,Percent,,,Karagandy,93.1,KAZ,,,,,,
2020,Percent,,,Kostanay,87.1,KAZ,,,,,,
2020,Percent,,,Kyzylorda,80.0,KAZ,,,,,,
2020,Percent,,,Mangistau,85.9,KAZ,,,,,,
2020,Percent,,,Pavlodar,93.0,KAZ,,,,,,
2020,Percent,,,Soltustik Kazakhstan,88.9,KAZ,,,,,,
2020,Percent,,,Turkistan,92.5,KAZ,,,,,,
2020,Percent,,,Shygys Kazakhstan,84.1,KAZ,,,,,,
2020,Percent,,,Nur-Sultan city,94.5,KAZ,,,,,,
2020,Percent,,,Almaty city,91.8,KAZ,,,,,,
2020,Percent,,,Shymkent city,82.3,KAZ,,,,,,
2021,Percent,,,,92.9,KAZ,,,,,,
2021,Percent,urban,,,94.4,KAZ,,,,,,
2021,Percent,rural,,,90.7,KAZ,,,,,,
2021,Percent,,Male,,93.2,KAZ,,,,,,
2021,Percent,,Female,,92.6,KAZ,,,,,,
2021,Percent,,,Akmola,89.3,KAZ,,,,,,
2021,Percent,,,Aktobe,92.4,KAZ,,,,,,
2021,Percent,,,Almaty,92.8,KAZ,,,,,,
2021,Percent,,,Atyrau,88.8,KAZ,,,,,,
2021,Percent,,,Batys Kazakhstan,87.7,KAZ,,,,,,
2021,Percent,,,Zhambyl,90.6,KAZ,,,,,,
2021,Percent,,,Karagandy,96.7,KAZ,,,,,,
2021,Percent,,,Kostanay,92.6,KAZ,,,,,,
2021,Percent,,,Kyzylorda,89.2,KAZ,,,,,,
2021,Percent,,,Mangistau,95.0,KAZ,,,,,,
2021,Percent,,,Pavlodar,94.0,KAZ,,,,,,
2021,Percent,,,Soltustik Kazakhstan,90.6,KAZ,,,,,,
2021,Percent,,,Turkistan,94.0,KAZ,,,,,,
2021,Percent,,,Shygys Kazakhstan,89.7,KAZ,,,,,,
2021,Percent,,,Nur-Sultan city,96.9,KAZ,,,,,,
2021,Percent,,,Almaty city,95.2,KAZ,,,,,,
2021,Percent,,,Shymkent city,94.3,KAZ,,,,,,
2018,,,,,62.8,KGZ,,15 years old and over,,,,
2019,,,,,64.089121,KGZ,,15 years old and over,,,,
2020,,,,,72.0,KGZ,,15 years old and over,,,,
2021,,,,,78.853813,KGZ,,15 years old and over,,,,
2018,,,,,67.1,KGZ,,15 years old and over,Urban,,,
2019,,,,,71.135321,KGZ,,15 years old and over,Urban,,,
2020,,,,,78.2,KGZ,,15 years old and over,Urban,,,
2021,,,,,84.507279,KGZ,,15 years old and over,Urban,,,
2018,,,,,60.2,KGZ,,15 years old and over,Rural,,,
2019,,,,,59.898501,KGZ,,15 years old and over,Rural,,,
2020,,,,,68.1,KGZ,,15 years old and over,Rural,,,
2021,,,,,75.327723,KGZ,,15 years old and over,Rural,,,
2018,,,Male,,63.7,KGZ,,15 years old and over,,,,
2019,,,Male,,63.685825,KGZ,,15 years old and over,,,,
2020,,,Male,,72.8,KGZ,,15 years old and over,,,,
2021,,,Male,,79.192301,KGZ,,15 years old and over,,,,
2018,,,Female,,62.1,KGZ,,15 years old and over,,,,
2019,,,Female,,64.425621,KGZ,,15 years old and over,,,,
2020,,,Female,,71.2,KGZ,,15 years old and over,,,,
2021,,,Female,,78.569896,KGZ,,15 years old and over,,,,
2018,,,,,43.5,KGZ,Batken,15 years old and over,,,,KG05
2019,,,,,58.014757,KGZ,Batken,15 years old and over,,,,KG05
2020,,,,,65.1,KGZ,Batken,15 years old and over,,,,KG05
2021,,,,,74.503222,KGZ,Batken,15 years old and over,,,,KG05
2018,,,,,55.3,KGZ,Jalal-Abad,15 years old and over,,,,KG03
2019,,,,,48.46669,KGZ,Jalal-Abad,15 years old and over,,,,KG03
2020,,,,,53.9,KGZ,Jalal-Abad,15 years old and over,,,,KG03
2021,,,,,64.077217,KGZ,Jalal-Abad,15 years old and over,,,,KG03
2018,,,,,54.2,KGZ,Issyk-Kul,15 years old and over,,,,KG02
2019,,,,,59.724239,KGZ,Issyk-Kul,15 years old and over,,,,KG02
2020,,,,,76.5,KGZ,Issyk-Kul,15 years old and over,,,,KG02
2021,,,,,84.266839,KGZ,Issyk-Kul,15 years old and over,,,,KG02
2018,,,,,40.7,KGZ,Naryn,15 years old and over,,,,KG04
2019,,,,,57.04217,KGZ,Naryn,15 years old and over,,,,KG04
2020,,,,,66.4,KGZ,Naryn,15 years old and over,,,,KG04
2021,,,,,75.633446,KGZ,Naryn,15 years old and over,,,,KG04
2018,,,,,75.6,KGZ,Osh,15 years old and over,,,,KG06
2019,,,,,67.924978,KGZ,Osh,15 years old and over,,,,KG06
2020,,,,,75.8,KGZ,Osh,15 years old and over,,,,KG06
2021,,,,,80.623149,KGZ,Osh,15 years old and over,,,,KG06
2018,,,,,63.9,KGZ,Talas,15 years old and over,,,,KG07
2019,,,,,58.276065,KGZ,Talas,15 years old and over,,,,KG07
2020,,,,,67.6,KGZ,Talas,15 years old and over,,,,KG07
2021,,,,,75.125517,KGZ,Talas,15 years old and over,,,,KG07
2018,,,,,65.8,KGZ,Chui,15 years old and over,,,,KG08
2019,,,,,68.069686,KGZ,Chui,15 years old and over,,,,KG08
2020,,,,,75.2,KGZ,Chui,15 years old and over,,,,KG08
2021,,,,,81.503126,KGZ,Chui,15 years old and over,,,,KG08
2018,,,,,69.7,KGZ,Bishkek (city),15 years old and over,,,,KG11
2019,,,,,80.43023,KGZ,Bishkek (city),15 years old and over,,,,KG11
2020,,,,,87.9,KGZ,Bishkek (city),15 years old and over,,,,KG11
2021,,,,,91.007502,KGZ,Bishkek (city),15 years old and over,,,,KG11
2018,,,,,68.5,KGZ,Osh (city),15 years old and over,,,,KG21
2019,,,,,67.223678,KGZ,Osh (city),15 years old and over,,,,KG21
2020,,,,,72.9,KGZ,Osh (city),15 years old and over,,,,KG21
2021,,,,,83.858925,KGZ,Osh (city),15 years old and over,,,,KG21
2018,,,,,82.1,KGZ,,15 to 28 years old,,,,
2019,,,,,84.695277,KGZ,,15 to 28 years old,,,,
2020,,,,,86.1,KGZ,,15 to 28 years old,,,,
2021,,,,,92.988279,KGZ,,15 to 28 years old,,,,
2018,,,,,63.1,KGZ,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,
2019,,,,,66.216432,KGZ,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,
2020,,,,,77.3,KGZ,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,
2021,,,,,82.911602,KGZ,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,
2018,,,,,25.9,KGZ,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,
2019,,,,,21.33701,KGZ,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,
2020,,,,,33.4,KGZ,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,
2021,,,,,44.839535,KGZ,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,
2018,,,,,47.9,KGZ,,15 years old and over,,,Primary education,
2019,,,,,48.223983,KGZ,,15 years old and over,,,Primary education,
2020,,,,,52.9,KGZ,,15 years old and over,,,Primary education,
2021,,,,,64.794298,KGZ,,15 years old and over,,,Primary education,
2018,,,,,69.5,KGZ,,15 years old and over,,,Lower secondary education,
2019,,,,,66.897515,KGZ,,15 years old and over,,,Lower secondary education,
2020,,,,,70.8,KGZ,,15 years old and over,,,Lower secondary education,
2021,,,,,81.511513,KGZ,,15 years old and over,,,Lower secondary education,
2018,,,,,56.1,KGZ,,15 years old and over,,,Upper secondary education,
2019,,,,,57.461271,KGZ,,15 years old and over,,,Upper secondary education,
2020,,,,,66.3,KGZ,,15 years old and over,,,Upper secondary education,
2021,,,,,73.697745,KGZ,,15 years old and over,,,Upper secondary education,
2018,,,,,61.9,KGZ,,15 years old and over,,,Post-secondary non-tertiary education,
2019,,,,,64.187427,KGZ,,15 years old and over,,,Post-secondary non-tertiary education,
2020,,,,,74.7,KGZ,,15 years old and over,,,Post-secondary non-tertiary education,
2021,,,,,80.698145,KGZ,,15 years old and over,,,Post-secondary non-tertiary education,
2018,,,,,81.1,KGZ,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),
2019,,,,,83.898865,KGZ,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),
2020,,,,,89.6,KGZ,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),
2021,,,,,92.501625,KGZ,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),
2018,,,,,48.021936,KGZ,,15 years old and over,,Quintile 1 (poorest),,
2019,,,,,51.351216,KGZ,,15 years old and over,,Quintile 1 (poorest),,
2020,,,,,63.6,KGZ,,15 years old and over,,Quintile 1 (poorest),,
2021,,,,,70.906713,KGZ,,15 years old and over,,Quintile 1 (poorest),,
2018,,,,,59.801066,KGZ,,15 years old and over,,Quintile 2,,
2019,,,,,63.874815,KGZ,,15 years old and over,,Quintile 2,,
2020,,,,,72.1,KGZ,,15 years old and over,,Quintile 2,,
2021,,,,,78.880477,KGZ,,15 years old and over,,Quintile 2,,
2018,,,,,64.756488,KGZ,,15 years old and over,,Quintile 3,,
2019,,,,,64.519088,KGZ,,15 years old and over,,Quintile 3,,
2020,,,,,75.0,KGZ,,15 years old and over,,Quintile 3,,
2021,,,,,81.98765,KGZ,,15 years old and over,,Quintile 3,,
2018,,,,,67.075448,KGZ,,15 years old and over,,Quintile 4,,
2019,,,,,69.120333,KGZ,,15 years old and over,,Quintile 4,,
2020,,,,,73.8,KGZ,,15 years old and over,,Quintile 4,,
2021,,,,,80.196917,KGZ,,15 years old and over,,Quintile 4,,
2018,,,,,69.456488,KGZ,,15 years old and over,,Quintile 5 (richest),,
2019,,,,,67.9194,KGZ,,15 years old and over,,Quintile 5 (richest),,
2020,,,,,77.7,KGZ,,15 years old and over,,Quintile 5 (richest),,
2021,,,,,83.545634,KGZ,,15 years old and over,,Quintile 5 (richest),,
