Year,UNIT_MEASURE,SERIES,Area,Regions,Value,M49_country_code
2019,Percent,access to the internet for education purposes,urban,Soltustik Kazakhstan,98.4375,KAZ
2019,Percent,access to the internet for education purposes,urban,Turkistan,90.2439024390244,KAZ
2019,Percent,access to the internet for education purposes,urban,Shygys Kazakhstan,98.34254143646407,KAZ
2019,Percent,access to the internet for education purposes,urban,Nur-Sultan city,94.91525423728814,KAZ
2019,Percent,access to the internet for education purposes,urban,Almaty city,98.6206896551724,KAZ
2019,Percent,access to the internet for education purposes,urban,Shymkent city,91.90751445086704,KAZ
2019,Percent,access to the internet for education purposes,rural,,93.01797540208136,KAZ
2019,Percent,access to the internet for education purposes,rural,Akmola,100.0,KAZ
2019,Percent,access to the internet for education purposes,rural,Aktobe,96.81978798586572,KAZ
2019,Percent,access to the internet for education purposes,rural,Almaty,91.02941176470588,KAZ
2019,Percent,access to the internet for education purposes,rural,Atyrau,92.36641221374046,KAZ
2019,Percent,access to the internet for education purposes,rural,Batys Kazakhstan,85.44303797468355,KAZ
2019,Percent,access to the internet for education purposes,rural,Zhambyl,100.0,KAZ
2019,Percent,access to the internet for education purposes,rural,Karagandy,97.00996677740864,KAZ
2019,Percent,access to the internet for education purposes,rural,Kostanay,89.92805755395683,KAZ
2019,Percent,access to the internet for education purposes,rural,Kyzylorda,99.5744680851064,KAZ
2019,Percent,access to the internet for education purposes,rural,Mangistau,100.0,KAZ
2019,Percent,access to the internet for education purposes,rural,Pavlodar,100.0,KAZ
2019,Percent,access to the internet for education purposes,rural,Soltustik Kazakhstan,89.57345971563981,KAZ
2019,Percent,access to the internet for education purposes,rural,Turkistan,81.93224592220828,KAZ
2019,Percent,access to the internet for education purposes,rural,Shygys Kazakhstan,99.3975903614458,KAZ
2019,Percent,sources of drinking water,,,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Akmola,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Aktobe,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Almaty,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Atyrau,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Batys Kazakhstan,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Zhambyl,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Karagandy,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Kostanay,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Kyzylorda,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Mangistau,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Pavlodar,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Soltustik Kazakhstan,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Turkistan,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Shygys Kazakhstan,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Nur-Sultan city,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Almaty city,100.0,KAZ
2019,Percent,separate restrooms which meet minimum standards,,Shymkent city,100.0,KAZ
2019,Percent,_L_KZ_040a01_1A,,,41.57880508245472,KAZ
2019,Percent,_L_KZ_040a01_1A,,Akmola,75.13043478260869,KAZ
2019,Percent,_L_KZ_040a01_1A,,Aktobe,39.71291866028708,KAZ
2019,Percent,_L_KZ_040a01_1A,,Almaty,37.67383059418458,KAZ
2019,Percent,_L_KZ_040a01_1A,,Atyrau,46.85990338164252,KAZ
2019,Percent,_L_KZ_040a01_1A,,Batys Kazakhstan,30.76923076923077,KAZ
2019,Percent,_L_KZ_040a01_1A,,Zhambyl,28.41648590021692,KAZ
2019,Percent,_L_KZ_040a01_1A,,Karagandy,19.36685288640596,KAZ
2019,Percent,_L_KZ_040a01_1A,,Kostanay,66.08527131782945,KAZ
2019,Percent,_L_KZ_040a01_1A,,Kyzylorda,44.90445859872612,KAZ
2019,Percent,_L_KZ_040a01_1A,,Mangistau,28.387096774193548,KAZ
2019,Percent,_L_KZ_040a01_1A,,Pavlodar,72.01086956521739,KAZ
2019,Percent,_L_KZ_040a01_1A,,Soltustik Kazakhstan,62.96296296296296,KAZ
2019,Percent,_L_KZ_040a01_1A,,Turkistan,34.891304347826086,KAZ
2019,Percent,_L_KZ_040a01_1A,,Shygys Kazakhstan,32.40058910162003,KAZ
2019,Percent,_L_KZ_040a01_1A,,Nur-Sultan city,0.847457627118644,KAZ
2019,Percent,_L_KZ_040a01_1A,,Almaty city,3.103448275862069,KAZ
2019,Percent,_L_KZ_040a01_1A,,Shymkent city,46.24277456647399,KAZ
2019,Percent,_L_KZ_040a01_1B,,,31.346309813463098,KAZ
2019,Percent,_L_KZ_040a01_1B,,Akmola,0.0,KAZ
2019,Percent,_L_KZ_040a01_1B,,Aktobe,33.014354066985646,KAZ
2019,Percent,_L_KZ_040a01_1B,,Almaty,52.591656131479134,KAZ
2019,Percent,_L_KZ_040a01_1B,,Atyrau,18.35748792270532,KAZ
2019,Percent,_L_KZ_040a01_1B,,Batys Kazakhstan,51.02564102564102,KAZ
2019,Percent,_L_KZ_040a01_1B,,Zhambyl,58.13449023861171,KAZ
2019,Percent,_L_KZ_040a01_1B,,Karagandy,22.90502793296089,KAZ
2019,Percent,_L_KZ_040a01_1B,,Kostanay,9.30232558139535,KAZ
2019,Percent,_L_KZ_040a01_1B,,Kyzylorda,40.76433121019109,KAZ
2019,Percent,_L_KZ_040a01_1B,,Mangistau,25.161290322580644,KAZ
2019,Percent,_L_KZ_040a01_1B,,Pavlodar,0.5434782608695652,KAZ
2019,Percent,_L_KZ_040a01_1B,,Soltustik Kazakhstan,13.580246913580249,KAZ
2019,Percent,_L_KZ_040a01_1B,,Turkistan,59.130434782608695,KAZ
2019,Percent,_L_KZ_040a01_1B,,Shygys Kazakhstan,40.50073637702504,KAZ
2019,Percent,_L_KZ_040a01_1B,,Nur-Sultan city,0.0,KAZ
2019,Percent,_L_KZ_040a01_1B,,Almaty city,1.0344827586206895,KAZ
2019,Percent,_L_KZ_040a01_1B,,Shymkent city,18.4971098265896,KAZ
2019,Percent,_L_KZ_040a01_1C,,,27.074885104082185,KAZ
2019,Percent,_L_KZ_040a01_1C,,Akmola,24.869565217391305,KAZ
2019,Percent,_L_KZ_040a01_1C,,Aktobe,27.27272727272727,KAZ
2019,Percent,_L_KZ_040a01_1C,,Almaty,9.734513274336283,KAZ
2019,Percent,_L_KZ_040a01_1C,,Atyrau,34.78260869565217,KAZ
2019,Percent,_L_KZ_040a01_1C,,Batys Kazakhstan,18.205128205128204,KAZ
2019,Percent,_L_KZ_040a01_1C,,Zhambyl,13.449023861171366,KAZ
2019,Percent,_L_KZ_040a01_1C,,Karagandy,57.72811918063314,KAZ
2019,Percent,_L_KZ_040a01_1C,,Kostanay,24.6124031007752,KAZ
2019,Percent,_L_KZ_040a01_1C,,Kyzylorda,14.331210191082802,KAZ
2019,Percent,_L_KZ_040a01_1C,,Mangistau,46.45161290322581,KAZ
2019,Percent,_L_KZ_040a01_1C,,Pavlodar,27.445652173913043,KAZ
2019,Percent,_L_KZ_040a01_1C,,Soltustik Kazakhstan,23.456790123456788,KAZ
2019,Percent,_L_KZ_040a01_1C,,Turkistan,5.978260869565218,KAZ
2019,Percent,_L_KZ_040a01_1C,,Shygys Kazakhstan,27.098674521354933,KAZ
2019,Percent,_L_KZ_040a01_1C,,Nur-Sultan city,99.15254237288136,KAZ
2019,Percent,_L_KZ_040a01_1C,,Almaty city,95.86206896551724,KAZ
2019,Percent,_L_KZ_040a01_1C,,Shymkent city,35.26011560693642,KAZ
