Year,UNIT_MEASURE,SERIES,Sex,Regions,Value,M49_country_code
2015,Percent,math skills,Male,Batys Kazakhstan,97.04,KAZ
2015,Percent,math skills,Female,Batys Kazakhstan,97.91,KAZ
2015,Percent,math skills,Male,Zhambyl,94.57,KAZ
2015,Percent,math skills,Female,Zhambyl,97.43,KAZ
2015,Percent,math skills,Male,Karagandy,93.69,KAZ
2015,Percent,math skills,Female,Karagandy,93.33,KAZ
2015,Percent,math skills,Male,Kostanay,82.12,KAZ
2015,Percent,math skills,Female,Kostanay,89.48,KAZ
2015,Percent,math skills,Male,Kyzylorda,98.02,KAZ
2015,Percent,math skills,Female,Kyzylorda,98.78,KAZ
2015,Percent,math skills,Male,Mangistau,82.36,KAZ
2015,Percent,math skills,Female,Mangistau,88.87,KAZ
2015,Percent,math skills,Male,Ontustik Kazakhstan,85.74,KAZ
2015,Percent,math skills,Female,Ontustik Kazakhstan,88.95,KAZ
2015,Percent,math skills,Male,Pavlodar,91.1,KAZ
2015,Percent,math skills,Female,Pavlodar,93.79,KAZ
2015,Percent,math skills,Male,Soltustik Kazakhstan,93.04,KAZ
2015,Percent,math skills,Female,Soltustik Kazakhstan,94.69,KAZ
2015,Percent,math skills,Male,Shygys Kazakhstan,98.99,KAZ
2015,Percent,math skills,Female,Shygys Kazakhstan,99.4,KAZ
2015,Percent,math skills,Male,Nur-Sultan city,85.04,KAZ
2015,Percent,math skills,Female,Nur-Sultan city,95.37,KAZ
2015,Percent,math skills,Male,Almaty city,97.17,KAZ
2015,Percent,math skills,Female,Almaty city,92.92,KAZ
2016,Percent,math skills,,,98.0,KAZ
2016,Percent,math skills,Male,,98.0,KAZ
2016,Percent,math skills,Female,,98.0,KAZ
2018,Percent,i) literacy (based on gender),,,35.8,KAZ
2018,Percent,i) literacy (based on gender),Male,,29.34,KAZ
2018,Percent,i) literacy (based on gender),Female,,42.66,KAZ
2018,Percent,i) literacy (based on gender),Male,Akmola,37.25,KAZ
2018,Percent,i) literacy (based on gender),Female,Akmola,48.81,KAZ
2018,Percent,i) literacy (based on gender),Male,Aktobe,22.52,KAZ
2018,Percent,i) literacy (based on gender),Female,Aktobe,42.35,KAZ
2018,Percent,i) literacy (based on gender),Male,Almaty,15.42,KAZ
2018,Percent,i) literacy (based on gender),Female,Almaty,30.1,KAZ
2018,Percent,i) literacy (based on gender),Male,Atyrau,9.88,KAZ
2018,Percent,i) literacy (based on gender),Female,Atyrau,23.02,KAZ
2018,Percent,i) literacy (based on gender),Male,Batys Kazakhstan,23.66,KAZ
2018,Percent,i) literacy (based on gender),Female,Batys Kazakhstan,38.99,KAZ
2018,Percent,i) literacy (based on gender),Male,Zhambyl,20.86,KAZ
2018,Percent,i) literacy (based on gender),Female,Zhambyl,28.49,KAZ
2018,Percent,i) literacy (based on gender),Male,Karagandy,45.62,KAZ
2018,Percent,i) literacy (based on gender),Female,Karagandy,61.58,KAZ
2018,Percent,i) literacy (based on gender),Male,Kostanay,47.43,KAZ
2018,Percent,i) literacy (based on gender),Female,Kostanay,60.8,KAZ
2018,Percent,i) literacy (based on gender),Male,Kyzylorda,15.91,KAZ
2018,Percent,i) literacy (based on gender),Female,Kyzylorda,28.81,KAZ
2018,Percent,i) literacy (based on gender),Male,Mangistau,15.74,KAZ
2018,Percent,i) literacy (based on gender),Female,Mangistau,28.06,KAZ
2018,Percent,i) literacy (based on gender),Male,Ontustik Kazakhstan,18.02,KAZ
2018,Percent,i) literacy (based on gender),Female,Ontustik Kazakhstan,32.52,KAZ
2018,Percent,i) literacy (based on gender),Male,Pavlodar,38.13,KAZ
2018,Percent,i) literacy (based on gender),Female,Pavlodar,42.06,KAZ
2018,Percent,i) literacy (based on gender),Male,Soltustik Kazakhstan,45.38,KAZ
2018,Percent,i) literacy (based on gender),Female,Soltustik Kazakhstan,59.7,KAZ
2018,Percent,i) literacy (based on gender),Male,Shygys Kazakhstan,37.05,KAZ
2018,Percent,i) literacy (based on gender),Female,Shygys Kazakhstan,55.91,KAZ
2018,Percent,i) literacy (based on gender),Male,Nur-Sultan city,53.4,KAZ
2018,Percent,i) literacy (based on gender),Female,Nur-Sultan city,60.67,KAZ
2018,Percent,i) literacy (based on gender),Male,Almaty city,48.11,KAZ
2018,Percent,i) literacy (based on gender),Female,Almaty city,61.21,KAZ
2018,Percent,math skills,,,50.9,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,,50.9,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,,51.0,KAZ
2018,Percent,math skills,Male,Akmola,47.5,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Akmola,44.1,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Aktobe,49.4,KAZ
2018,Percent,math skills,Female,Aktobe,52.0,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Almaty,40.0,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Almaty,38.6,KAZ
2018,Percent,math skills,Male,Atyrau,28.9,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Atyrau,33.3,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Batys Kazakhstan,47.0,KAZ
2018,Percent,math skills,Female,Batys Kazakhstan,50.3,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Zhambyl,68.6,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Zhambyl,68.3,KAZ
2018,Percent,math skills,Male,Karagandy,61.6,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Karagandy,58.1,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Kostanay,64.4,KAZ
2018,Percent,math skills,Female,Kostanay,62.8,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Kyzylorda,47.7,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Kyzylorda,53.3,KAZ
2018,Percent,math skills,Male,Mangistau,32.9,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Mangistau,37.2,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Ontustik Kazakhstan,40.4,KAZ
2018,Percent,math skills,Female,Ontustik Kazakhstan,40.6,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Pavlodar,61.9,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Pavlodar,54.8,KAZ
2018,Percent,math skills,Male,Soltustik Kazakhstan,56.4,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Soltustik Kazakhstan,53.4,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Shygys Kazakhstan,55.6,KAZ
2018,Percent,math skills,Female,Shygys Kazakhstan,60.7,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Nur-Sultan city,65.2,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Nur-Sultan city,59.8,KAZ
2018,Percent,math skills,Male,Almaty city,62.1,KAZ
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Almaty city,60.9,KAZ
