Year,UNIT_MEASURE,Area,Regions,Value,M49_country_code
2015,Percent,rural,Shygys Kazakhstan,11.83,KAZ
2016,Percent,,,3.04,KAZ
2016,Percent,,Akmola,4.92,KAZ
2016,Percent,,Aktobe,5.8,KAZ
2016,Percent,,Almaty,5.48,KAZ
2016,Percent,,Atyrau,1.78,KAZ
2016,Percent,,Batys Kazakhstan,6.17,KAZ
2016,Percent,,Zhambyl,1.6,KAZ
2016,Percent,,Karagandy,4.16,KAZ
2016,Percent,,Kostanay,12.16,KAZ
2016,Percent,,Kyzylorda,0.19,KAZ
2016,Percent,,Mangistau,0.01,KAZ
2016,Percent,,Ontustik Kazakhstan,0.97,KAZ
2016,Percent,,Pavlodar,0.05,KAZ
2016,Percent,,Soltustik Kazakhstan,0.2,KAZ
2016,Percent,,Shygys Kazakhstan,4.88,KAZ
2016,Percent,urban,,3.31,KAZ
2016,Percent,urban,Akmola,8.47,KAZ
2016,Percent,urban,Aktobe,8.44,KAZ
2016,Percent,urban,Almaty,3.42,KAZ
2016,Percent,urban,Atyrau,0.93,KAZ
2016,Percent,urban,Batys Kazakhstan,9.9,KAZ
2016,Percent,urban,Zhambyl,1.37,KAZ
2016,Percent,urban,Karagandy,4.26,KAZ
2016,Percent,urban,Kostanay,17.02,KAZ
2016,Percent,urban,Kyzylorda,0.19,KAZ
2016,Percent,urban,Mangistau,0.0,KAZ
2016,Percent,urban,Turkistan,0.24,KAZ
2016,Percent,urban,Pavlodar,0.69,KAZ
2016,Percent,urban,Soltustik Kazakhstan,0.19,KAZ
2016,Percent,urban,Shygys Kazakhstan,6.92,KAZ
2016,Percent,rural,,2.62,KAZ
2016,Percent,rural,Akmola,1.48,KAZ
2016,Percent,rural,Aktobe,0.87,KAZ
2016,Percent,rural,Almaty,6.17,KAZ
2016,Percent,rural,Atyrau,2.61,KAZ
2016,Percent,rural,Batys Kazakhstan,1.83,KAZ
2016,Percent,rural,Zhambyl,1.77,KAZ
2016,Percent,rural,Karagandy,3.7,KAZ
2016,Percent,rural,Kostanay,6.02,KAZ
2016,Percent,rural,Kyzylorda,0.19,KAZ
2016,Percent,rural,Mangistau,0.01,KAZ
2016,Percent,rural,Turkistan,1.62,KAZ
2016,Percent,rural,Pavlodar,0.16,KAZ
2016,Percent,rural,Soltustik Kazakhstan,0.21,KAZ
2016,Percent,rural,Shygys Kazakhstan,1.3,KAZ
2017,Percent,,,2.63,KAZ
2017,Percent,,Akmola,3.29,KAZ
2017,Percent,,Aktobe,5.77,KAZ
2017,Percent,,Almaty,1.87,KAZ
2017,Percent,,Atyrau,1.78,KAZ
2017,Percent,,Batys Kazakhstan,5.31,KAZ
2017,Percent,,Zhambyl,1.53,KAZ
2017,Percent,,Karagandy,4.08,KAZ
2017,Percent,,Kostanay,12.25,KAZ
2017,Percent,,Kyzylorda,0.19,KAZ
2017,Percent,,Mangistau,0.02,KAZ
2017,Percent,,Ontustik Kazakhstan,1.03,KAZ
2017,Percent,,Pavlodar,0.16,KAZ
2017,Percent,,Soltustik Kazakhstan,2.66,KAZ
2017,Percent,,Shygys Kazakhstan,4.88,KAZ
2017,Percent,urban,,2.91,KAZ
2017,Percent,urban,Akmola,0.01,KAZ
2017,Percent,urban,Aktobe,7.96,KAZ
2017,Percent,urban,Almaty,0.04,KAZ
2017,Percent,urban,Atyrau,0.88,KAZ
2017,Percent,urban,Batys Kazakhstan,8.19,KAZ
2017,Percent,urban,Zhambyl,0.46,KAZ
2017,Percent,urban,Karagandy,4.28,KAZ
2017,Percent,urban,Kostanay,17.02,KAZ
2017,Percent,urban,Kyzylorda,0.18,KAZ
2017,Percent,urban,Mangistau,0.0,KAZ
2017,Percent,urban,Turkistan,0.7,KAZ
2017,Percent,urban,Pavlodar,0.0,KAZ
2017,Percent,urban,Soltustik Kazakhstan,5.05,KAZ
2017,Percent,urban,Shygys Kazakhstan,6.98,KAZ
2017,Percent,rural,,2.16,KAZ
2017,Percent,rural,Akmola,6.46,KAZ
2017,Percent,rural,Aktobe,0.97,KAZ
2017,Percent,rural,Almaty,2.46,KAZ
2017,Percent,rural,Atyrau,2.74,KAZ
2017,Percent,rural,Batys Kazakhstan,1.89,KAZ
2017,Percent,rural,Zhambyl,2.32,KAZ
2017,Percent,rural,Karagandy,3.14,KAZ
2017,Percent,rural,Kostanay,6.12,KAZ
2017,Percent,rural,Kyzylorda,0.19,KAZ
2017,Percent,rural,Mangistau,0.02,KAZ
2017,Percent,rural,Turkistan,1.33,KAZ
2017,Percent,rural,Pavlodar,0.61,KAZ
2017,Percent,rural,Soltustik Kazakhstan,0.42,KAZ
2017,Percent,rural,Shygys Kazakhstan,1.12,KAZ
2018,Percent,,,2.61,KAZ
2018,Percent,,Akmola,2.88,KAZ
2018,Percent,,Aktobe,5.74,KAZ
2018,Percent,,Almaty,2.08,KAZ
2018,Percent,,Atyrau,1.76,KAZ
2018,Percent,,Batys Kazakhstan,6.19,KAZ
2018,Percent,,Zhambyl,1.32,KAZ
2018,Percent,,Karagandy,4.12,KAZ
2018,Percent,,Kostanay,12.04,KAZ
2018,Percent,,Kyzylorda,0.19,KAZ
2018,Percent,,Mangistau,0.01,KAZ
2018,Percent,,Pavlodar,0.23,KAZ
2018,Percent,,Soltustik Kazakhstan,2.77,KAZ
2018,Percent,,Turkistan,1.44,KAZ
2018,Percent,,Shygys Kazakhstan,4.93,KAZ
2018,Percent,urban,,3.05,KAZ
2018,Percent,urban,Akmola,5.4,KAZ
2018,Percent,urban,Aktobe,7.52,KAZ
2018,Percent,urban,Almaty,0.18,KAZ
2018,Percent,urban,Atyrau,0.84,KAZ
2018,Percent,urban,Batys Kazakhstan,9.7,KAZ
2018,Percent,urban,Zhambyl,0.07,KAZ
2018,Percent,urban,Karagandy,4.31,KAZ
2018,Percent,urban,Kostanay,16.57,KAZ
2018,Percent,urban,Kyzylorda,0.18,KAZ
2018,Percent,urban,Mangistau,0.0,KAZ
2018,Percent,urban,Turkistan,0.87,KAZ
2018,Percent,urban,Pavlodar,0.0,KAZ
2018,Percent,urban,Soltustik Kazakhstan,5.4,KAZ
2018,Percent,urban,Shygys Kazakhstan,6.89,KAZ
2018,Percent,rural,,1.89,KAZ
2018,Percent,rural,Akmola,0.46,KAZ
2018,Percent,rural,Aktobe,1.09,KAZ
2018,Percent,rural,Almaty,2.67,KAZ
2018,Percent,rural,Atyrau,2.87,KAZ
2018,Percent,rural,Batys Kazakhstan,1.93,KAZ
2018,Percent,rural,Zhambyl,2.23,KAZ
2018,Percent,rural,Karagandy,3.22,KAZ
2018,Percent,rural,Kostanay,6.09,KAZ
2018,Percent,rural,Kyzylorda,0.18,KAZ
2018,Percent,rural,Mangistau,0.02,KAZ
2018,Percent,rural,Turkistan,7.75,KAZ
2018,Percent,rural,Pavlodar,0.61,KAZ
2018,Percent,rural,Soltustik Kazakhstan,0.1,KAZ
2018,Percent,rural,Shygys Kazakhstan,1.33,KAZ
2019,Percent,,,1.99,KAZ
2019,Percent,,Akmola,2.91,KAZ
2019,Percent,,Aktobe,5.65,KAZ
2019,Percent,,Almaty,2.08,KAZ
2019,Percent,,Atyrau,2.36,KAZ
2019,Percent,,Batys Kazakhstan,6.2,KAZ
2019,Percent,,Zhambyl,1.53,KAZ
2019,Percent,,Karagandy,4.15,KAZ
2019,Percent,,Kostanay,12.11,KAZ
2019,Percent,,Kyzylorda,0.19,KAZ
2019,Percent,,Mangistau,0.01,KAZ
2019,Percent,,Pavlodar,0.24,KAZ
2019,Percent,,Soltustik Kazakhstan,2.8,KAZ
2019,Percent,,Turkistan,1.43,KAZ
2019,Percent,,Shygys Kazakhstan,4.98,KAZ
