Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value,M49_country_code
2016,Percent,Property Taxes,0.448395359704393,KAZ
2016,Percent,Land Taxes,0.0324776699822337,KAZ
2016,Percent,Vehicle Tax,0.0998044587740772,KAZ
2016,Percent,Consolidated Land Tax,0.0020090439631773,KAZ
2016,Percent,Value added tax,3.184256630908696,KAZ
2016,Percent,Royalties related to use of resources,0.7663100369556631,KAZ
2016,Percent,Registration fees,0.0572745312091571,KAZ
2016,Percent,Gambling tax,0.0252842072586044,KAZ
2016,Percent,Taxes related to international trade and foreign operations,2.0263644995162777,KAZ
2016,Percent,Excise taxes,0.436929807878304,KAZ
2016,Percent,Government tariffs,0.0820557997364978,KAZ
2017,Percent,,12.8,KAZ
2017,Percent,Corporate Income Tax,2.89783108702546,KAZ
2017,Percent,Individual Income Tax,1.4127941749077353,KAZ
2017,Percent,Social Security Taxes,1.0858619184762712,KAZ
2017,Percent,Property Taxes,0.4510463800108314,KAZ
2017,Percent,Land Taxes,0.0289133093580238,KAZ
2017,Percent,Vehicle Tax,0.1129554633481184,KAZ
2017,Percent,Consolidated Land Tax,0.0018901133109558,KAZ
2017,Percent,Value added tax,3.1349511983308904,KAZ
2017,Percent,Royalties related to use of resources,0.7814243726672542,KAZ
2017,Percent,Registration fees,0.0500593893551361,KAZ
2017,Percent,Gambling tax,0.025136793132666,KAZ
2017,Percent,Taxes related to international trade and foreign operations,2.2540294008270103,KAZ
2017,Percent,Excise taxes,0.4820866659776195,KAZ
2017,Percent,Government tariffs,0.0879676891252182,KAZ
2018,Percent,,13.4,KAZ
2018,Percent,Corporate Income Tax,2.8974801987727234,KAZ
2018,Percent,Individual Income Tax,1.4394788698445034,KAZ
2018,Percent,Social Security Taxes,1.061941118008234,KAZ
2018,Percent,Property Taxes,0.4816782596705393,KAZ
2018,Percent,Land Taxes,0.0289749300476978,KAZ
2018,Percent,Vehicle Tax,0.1153639146304789,KAZ
2018,Percent,Consolidated Land Tax,0.0017789335610972,KAZ
2018,Percent,Value added tax,3.49280917001048,KAZ
2018,Percent,Royalties related to use of resources,0.8475687919457615,KAZ
2018,Percent,Registration fees,0.0508608580206448,KAZ
2018,Percent,Gambling tax,0.0495578325605358,KAZ
2018,Percent,Taxes related to international trade and foreign operations,2.442730956520576,KAZ
2018,Percent,Excise taxes,0.5354400695874856,KAZ
2018,Percent,Government tariffs,0.09,KAZ
2019,Percent,,13.4,KAZ
2019,Percent,Corporate Income Tax,2.9,KAZ
2019,Percent,Individual Income Tax,1.3,KAZ
2019,Percent,Social Security Taxes,1.0,KAZ
2019,Percent,Property Taxes,0.4,KAZ
2019,Percent,Land Taxes,0.0,KAZ
2019,Percent,Vehicle Tax,0.1,KAZ
2019,Percent,Consolidated Land Tax,0.0,KAZ
2019,Percent,Value added tax,3.9,KAZ
2019,Percent,Royalties related to use of resources,0.8,KAZ
2019,Percent,Registration fees,0.0,KAZ
2019,Percent,Gambling tax,0.0,KAZ
2019,Percent,Taxes related to international trade and foreign operations,2.2,KAZ
2019,Percent,Excise taxes,0.5,KAZ
2019,Percent,Government tariffs,0.1,KAZ
2020,Percent,,12.2,KAZ
2020,Percent,Corporate Income Tax,2.9,KAZ
2020,Percent,Individual Income Tax,1.3,KAZ
2020,Percent,Social Security Taxes,1.0,KAZ
2020,Percent,Property Taxes,0.4,KAZ
2020,Percent,Land Taxes,0.0,KAZ
2020,Percent,Vehicle Tax,0.1,KAZ
2020,Percent,Consolidated Land Tax,0.0,KAZ
2020,Percent,Value added tax,3.6,KAZ
2020,Percent,Royalties related to use of resources,0.7,KAZ
2020,Percent,Registration fees,0.0,KAZ
2020,Percent,Gambling tax,0.0,KAZ
2020,Percent,Taxes related to international trade and foreign operations,1.3,KAZ
2020,Percent,Excise taxes,0.6,KAZ
2020,Percent,Government tariffs,0.1,KAZ
2021,Percent,,13.4,KAZ
2021,Percent,Corporate Income Tax,3.5,KAZ
2021,Percent,Individual Income Tax,1.4,KAZ
2021,Percent,Social Security Taxes,1.0,KAZ
2021,Percent,Property Taxes,0.4,KAZ
2021,Percent,Land Taxes,0.0,KAZ
2021,Percent,Vehicle Tax,0.1,KAZ
2021,Percent,Consolidated Land Tax,0.0,KAZ
2021,Percent,Value added tax,3.5,KAZ
2021,Percent,Royalties related to use of resources,0.8,KAZ
2021,Percent,Registration fees,0.0,KAZ
2021,Percent,Gambling tax,0.0,KAZ
2021,Percent,Taxes related to international trade and foreign operations,1.8,KAZ
2021,Percent,Excise taxes,0.6,KAZ
2021,Percent,Government tariffs,0.1,KAZ
